Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,276.00","1,286.00","1,259.55","1,274.40","1,280.85","1,281.50","1,273.89","1,369.00","1,049.05","418,525","533,153,487.35","23,469"
23-Jun-2023,EQ,"1,275.80","1,280.70","1,260.10","1,275.95","1,274.00","1,274.40","1,269.75","1,369.00","1,049.05","325,251","412,987,397.20","20,440"
22-Jun-2023,EQ,"1,302.50","1,316.00","1,270.70","1,302.55","1,272.05","1,275.95","1,297.41","1,369.00","1,049.05","630,696","818,270,045.50","29,623"
21-Jun-2023,EQ,"1,295.90","1,322.90","1,288.05","1,292.25","1,304.00","1,302.55","1,305.60","1,369.00","1,049.05","645,726","843,060,303.55","38,760"
20-Jun-2023,EQ,"1,278.00","1,294.95","1,260.60","1,259.90","1,290.65","1,292.25","1,280.74","1,369.00","1,049.05","758,433","971,354,233.40","35,250"
19-Jun-2023,EQ,"1,265.65","1,270.00","1,242.10","1,254.75","1,255.60","1,259.90","1,256.95","1,369.00","1,049.05","354,553","445,655,135.30","26,295"
16-Jun-2023,EQ,"1,211.95","1,259.95","1,211.55","1,209.50","1,256.00","1,254.75","1,242.38","1,369.00","1,049.05","1,685,160","2,093,609,116.10","45,804"
15-Jun-2023,EQ,"1,212.05","1,222.85","1,200.10","1,212.05","1,211.55","1,209.50","1,217.40","1,369.00","1,049.05","887,511","1,080,458,322.40","29,184"
14-Jun-2023,EQ,"1,216.55","1,217.75","1,205.30","1,219.80","1,211.90","1,212.05","1,209.28","1,369.00","1,049.05","523,635","633,218,822.70","17,038"
13-Jun-2023,EQ,"1,222.00","1,228.10","1,211.00","1,212.55","1,215.00","1,219.80","1,217.31","1,369.00","1,049.05","486,419","592,120,322.30","48,724"
12-Jun-2023,EQ,"1,215.60","1,223.25","1,195.25","1,215.50","1,212.35","1,212.55","1,208.49","1,369.00","1,049.05","301,610","364,492,421.75","31,801"
09-Jun-2023,EQ,"1,249.95","1,258.10","1,213.05","1,252.65","1,215.15","1,215.50","1,224.73","1,369.00","1,049.05","635,421","778,218,093.80","32,083"
08-Jun-2023,EQ,"1,263.95","1,267.00","1,249.70","1,257.35","1,255.00","1,252.65","1,258.59","1,369.00","1,049.05","342,612","431,209,224.85","23,942"
07-Jun-2023,EQ,"1,246.65","1,272.50","1,241.80","1,237.75","1,263.35","1,257.35","1,256.95","1,369.00","1,049.05","962,461","1,209,763,847.85","50,114"
06-Jun-2023,EQ,"1,220.10","1,239.60","1,214.00","1,226.25","1,235.10","1,237.75","1,232.06","1,369.00","1,049.05","386,992","476,797,811.20","46,081"
05-Jun-2023,EQ,"1,237.25","1,243.20","1,220.05","1,232.90","1,226.95","1,226.25","1,227.66","1,369.00","1,049.05","342,547","420,532,317.35","26,747"
02-Jun-2023,EQ,"1,227.10","1,236.75","1,215.25","1,225.25","1,230.00","1,232.90","1,228.23","1,369.00","1,049.05","652,537","801,465,161.80","38,303"
01-Jun-2023,EQ,"1,173.00","1,228.80","1,173.00","1,182.10","1,224.20","1,225.25","1,215.24","1,369.00","1,049.05","1,228,214","1,492,572,673.35","49,255"
31-May-2023,EQ,"1,182.50","1,193.10","1,169.25","1,184.65","1,181.65","1,182.10","1,181.35","1,369.00","1,049.05","923,876","1,091,421,168.45","32,562"
30-May-2023,EQ,"1,185.00","1,194.00","1,168.75","1,190.95","1,182.15","1,184.65","1,180.42","1,369.00","1,049.05","1,360,051","1,605,428,115.70","64,423"
29-May-2023,EQ,"1,209.90","1,255.70","1,176.10","1,099.95","1,190.30","1,190.95","1,210.45","1,369.00","1,049.05","8,245,590","9,980,849,587.30","181,624"
26-May-2023,EQ,"1,082.00","1,104.90","1,079.80","1,080.30","1,100.80","1,099.95","1,095.52","1,369.00","1,049.05","658,681","721,595,428.50","21,099"
25-May-2023,EQ,"1,074.35","1,082.95","1,069.50","1,074.65","1,077.35","1,080.30","1,076.07","1,369.00","1,049.05","574,576","618,285,102.60","19,335"
24-May-2023,EQ,"1,077.00","1,083.10","1,066.30","1,084.60","1,076.00","1,074.65","1,073.66","1,369.00","1,049.05","1,032,560","1,108,620,160.30","45,826"
23-May-2023,EQ,"1,094.00","1,100.00","1,082.00","1,092.70","1,083.75","1,084.60","1,090.02","1,369.00","1,049.05","667,188","727,247,286.25","34,845"
22-May-2023,EQ,"1,078.50","1,098.00","1,074.60","1,076.65","1,090.95","1,092.70","1,090.64","1,369.00","1,049.05","687,647","749,972,093.95","28,320"
19-May-2023,EQ,"1,099.00","1,100.60","1,073.85","1,094.80","1,074.30","1,076.65","1,083.59","1,369.00","1,049.05","421,302","456,516,980.70","27,207"
18-May-2023,EQ,"1,109.80","1,119.90","1,092.50","1,102.35","1,096.00","1,094.80","1,107.54","1,369.00","1,049.05","307,752","340,847,501.95","16,063"
17-May-2023,EQ,"1,120.05","1,120.05","1,100.10","1,117.25","1,102.00","1,102.35","1,107.48","1,369.00","1,049.05","249,895","276,753,412.05","27,581"
16-May-2023,EQ,"1,126.95","1,126.95","1,110.50","1,119.20","1,111.00","1,117.25","1,119.47","1,369.00","1,049.05","502,923","563,006,128.70","32,041"
15-May-2023,EQ,"1,123.00","1,131.70","1,112.25","1,118.20","1,119.65","1,119.20","1,124.38","1,369.00","1,049.05","285,321","320,809,587.85","25,518"
12-May-2023,EQ,"1,112.45","1,126.15","1,106.00","1,110.10","1,118.50","1,118.20","1,119.04","1,369.00","1,049.05","403,079","451,063,229.35","27,326"
11-May-2023,EQ,"1,108.05","1,111.85","1,102.40","1,108.05","1,109.65","1,110.10","1,108.65","1,369.00","1,049.05","373,263","413,817,229.35","22,102"
10-May-2023,EQ,"1,110.00","1,111.00","1,093.00","1,098.55","1,107.60","1,108.05","1,103.28","1,369.00","1,049.05","564,308","622,591,116.35","25,149"
09-May-2023,EQ,"1,085.00","1,100.90","1,080.65","1,082.90","1,098.05","1,098.55","1,091.95","1,369.00","1,049.05","428,096","467,458,488.25","36,831"
08-May-2023,EQ,"1,074.00","1,087.00","1,070.00","1,072.15","1,086.80","1,082.90","1,081.09","1,369.00","1,049.05","288,054","311,411,024.35","23,975"
05-May-2023,EQ,"1,086.50","1,098.00","1,070.00","1,089.80","1,073.40","1,072.15","1,081.58","1,369.00","1,049.05","369,250","399,371,844.05","17,684"
04-May-2023,EQ,"1,086.00","1,100.65","1,082.15","1,088.45","1,092.00","1,089.80","1,093.17","1,369.00","1,049.05","470,960","514,839,510.05","25,212"
03-May-2023,EQ,"1,089.80","1,090.50","1,077.05","1,087.05","1,086.10","1,088.45","1,083.52","1,369.00","1,049.05","448,506","485,966,869.60","34,623"
