Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,555.65,577.45,554.5,556.15,563.4,564.05,568.16,608.75,380.7,"2,505,762","1,423,676,054.45","46,740"
23-Jun-2023,EQ,561.95,567.9,554.4,562.55,555.3,556.15,558.55,608.75,380.7,"1,473,904","823,243,877.40","45,952"
22-Jun-2023,EQ,567.85,577.8,559.65,567.9,561.5,562.55,570.01,608.75,380.7,"2,171,971","1,238,034,679.50","61,260"
21-Jun-2023,EQ,565.8,571.95,560.6,563.25,567.15,567.9,565.82,608.75,380.7,"4,914,968","2,780,994,893.25","78,605"
20-Jun-2023,EQ,552.0,566.4,551.05,549.25,563.15,563.25,560.79,608.75,380.7,"3,386,993","1,899,379,451.85","59,513"
19-Jun-2023,EQ,535.0,553.0,530.6,534.2,552.4,549.25,540.31,608.75,380.7,"2,643,105","1,428,092,454.25","37,810"
16-Jun-2023,EQ,512.8,540.95,512.8,512.5,534.25,534.2,532.25,608.75,380.7,"4,458,267","2,372,933,810.35","100,855"
15-Jun-2023,EQ,516.9,516.9,510.2,517.0,512.7,512.5,513.46,608.75,380.7,"878,135","450,885,880.35","48,509"
14-Jun-2023,EQ,509.1,522.8,508.35,507.65,514.0,517.0,517.78,608.75,380.7,"2,751,526","1,424,697,975.70","55,058"
13-Jun-2023,EQ,506.25,511.2,504.5,503.4,508.65,507.65,508.62,608.75,380.7,"1,265,647","643,727,108.30","42,031"
12-Jun-2023,EQ,494.0,510.0,491.3,495.05,502.9,503.4,504.99,608.75,380.7,"2,467,369","1,246,003,405.75","64,848"
09-Jun-2023,EQ,501.35,511.6,493.75,512.8,495.95,495.05,500.63,608.75,380.7,"2,299,463","1,151,183,005.50","64,342"
08-Jun-2023,EQ,508.8,516.55,502.85,507.6,513.3,512.8,512.7,608.75,380.7,"2,675,656","1,371,817,370.25","50,883"
07-Jun-2023,EQ,499.3,514.5,497.5,496.7,507.6,507.6,509.35,608.75,380.7,"4,050,016","2,062,880,861.20","65,155"
06-Jun-2023,EQ,488.0,498.3,482.65,485.75,495.6,496.7,492.72,608.75,380.7,"3,029,195","1,492,540,783.15","48,649"
05-Jun-2023,EQ,473.15,487.0,472.35,471.8,487.0,485.75,482.09,608.75,380.7,"2,460,361","1,186,107,452.75","49,060"
02-Jun-2023,EQ,482.9,482.9,470.0,478.0,472.0,471.8,474.9,608.75,380.7,"1,283,206","609,398,104.70","25,677"
01-Jun-2023,EQ,471.0,482.55,465.0,466.0,476.0,478.0,477.04,608.75,380.7,"2,734,461","1,304,436,744.55","63,464"
31-May-2023,EQ,466.95,469.05,462.85,467.55,466.4,466.0,466.05,608.75,380.7,"1,846,067","860,367,972.45","30,746"
30-May-2023,EQ,459.0,471.15,455.95,461.8,467.0,467.55,464.89,608.75,380.7,"1,779,817","827,416,636.60","44,787"
29-May-2023,EQ,447.85,469.95,447.6,445.95,460.25,461.8,460.71,608.75,380.7,"3,646,628","1,680,052,649.50","61,549"
26-May-2023,EQ,438.0,447.75,437.5,438.25,446.2,445.95,442.91,608.75,380.7,"1,306,017","578,452,269.55","20,420"
25-May-2023,EQ,439.0,439.4,433.2,440.3,438.5,438.25,436.01,608.75,380.7,"942,466","410,928,301.75","18,867"
24-May-2023,EQ,440.0,444.65,435.0,440.2,440.3,440.3,440.9,608.75,380.7,"524,416","231,214,841.85","11,039"
23-May-2023,EQ,439.8,444.9,436.1,436.55,441.2,440.2,440.44,608.75,380.7,"1,556,493","685,545,130.55","62,668"
22-May-2023,EQ,426.9,440.0,425.7,425.85,435.5,436.55,433.61,608.75,380.7,"1,163,715","504,600,688.95","20,464"
19-May-2023,EQ,426.0,428.05,421.5,424.25,427.0,425.85,424.38,608.75,380.7,"960,017","407,413,155.25","21,528"
18-May-2023,EQ,425.4,434.4,423.0,424.85,423.65,424.25,428.51,608.75,380.7,"1,190,785","510,261,171.25","24,220"
17-May-2023,EQ,433.5,433.5,420.0,434.25,424.0,424.85,423.85,608.75,380.7,"1,912,343","810,544,311.85","34,974"
16-May-2023,EQ,436.3,440.15,431.95,438.7,433.6,434.25,436.59,608.75,380.7,"932,792","407,245,773.35","47,130"
15-May-2023,EQ,436.0,440.35,433.15,433.3,437.85,438.7,438.24,608.75,380.7,"1,211,759","531,043,867.25","41,492"
12-May-2023,EQ,448.5,450.0,429.5,450.0,434.55,433.3,440.14,608.75,380.7,"2,384,469","1,049,496,124.45","54,372"
11-May-2023,EQ,453.9,453.9,446.2,450.85,448.8,450.0,449.7,608.75,380.7,"1,806,902","812,571,720.35","19,656"
10-May-2023,EQ,444.0,453.5,443.8,444.7,450.05,450.85,450.23,608.75,380.7,"1,118,455","503,564,684.30","41,060"
09-May-2023,EQ,443.0,449.9,441.85,442.05,445.0,444.7,446.73,608.75,380.7,"1,142,348","510,322,642.90","38,199"
08-May-2023,EQ,437.05,444.0,434.05,435.7,442.0,442.05,441.89,608.75,380.7,"1,143,054","505,101,869.85","30,844"
05-May-2023,EQ,436.6,439.8,433.85,437.45,436.0,435.7,436.28,608.75,380.7,"932,082","406,647,169.15","32,892"
04-May-2023,EQ,435.0,440.0,431.25,430.25,438.0,437.45,437.41,608.75,380.7,"1,389,263","607,681,559.80","40,526"
03-May-2023,EQ,436.85,439.6,429.75,439.55,430.8,430.25,433.67,608.75,380.7,"1,326,747","575,371,376.70","31,351"
02-May-2023,EQ,433.05,440.7,432.55,434.5,439.75,439.55,437.61,608.75,380.7,"1,619,468","708,690,780.05","52,057"
28-Apr-2023,EQ,425.6,436.5,425.5,424.45,433.5,434.5,432.58,608.75,380.7,"1,882,788","814,452,769.35","33,308"
27-Apr-2023,EQ,429.0,429.15,420.05,428.8,425.6,424.45,424.31,608.75,380.7,"1,625,621","689,763,017.35","47,102"
26-Apr-2023,EQ,432.35,436.5,425.3,434.55,429.0,428.8,430.19,608.75,380.7,"2,202,324","947,419,794.30","49,377"
25-Apr-2023,EQ,440.0,445.0,432.0,442.8,434.75,434.55,438.39,608.75,380.7,"2,066,705","906,016,083.30","46,901"
24-Apr-2023,EQ,446.45,447.3,430.65,444.1,442.5,442.8,436.71,608.75,380.7,"3,152,036","1,376,540,519.10","57,010"
21-Apr-2023,EQ,457.0,462.85,438.6,455.7,443.95,444.1,448.04,608.75,380.7,"8,724,739","3,909,071,044.00","128,717"
20-Apr-2023,EQ,444.0,461.0,441.5,445.6,457.9,455.7,454.2,608.75,380.7,"4,322,040","1,963,053,352.25","67,297"
19-Apr-2023,EQ,450.05,454.6,444.65,449.9,446.0,445.6,449.43,608.75,380.7,"4,234,171","1,902,952,415.85","53,804"
18-Apr-2023,EQ,450.0,452.7,446.85,450.65,450.55,449.9,449.46,608.75,380.7,"1,874,301","842,419,245.90","35,973"
17-Apr-2023,EQ,440.0,451.7,438.25,442.9,450.7,450.65,448.05,608.75,380.7,"1,335,470","598,358,100.65","34,459"
13-Apr-2023,EQ,442.0,450.35,440.55,442.5,442.1,442.9,444.47,608.75,380.7,"1,290,166","573,437,273.10","21,725"
12-Apr-2023,EQ,436.0,445.75,432.95,435.9,442.45,442.5,440.61,608.75,380.7,"2,103,806","926,952,893.20","30,215"
11-Apr-2023,EQ,434.0,443.8,433.0,433.0,436.0,435.9,438.66,608.75,380.7,"1,493,093","654,953,041.30","66,201"
10-Apr-2023,EQ,440.15,440.15,429.2,440.95,431.9,433.0,433.19,608.75,380.7,"1,158,854","502,001,276.70","38,411"
06-Apr-2023,EQ,438.0,442.45,435.7,438.1,440.0,440.95,439.82,608.75,380.7,"999,136","439,437,081.95","27,868"
05-Apr-2023,EQ,437.9,440.4,433.55,437.95,437.45,438.1,436.41,608.75,380.7,"934,408","407,780,623.65","35,527"
03-Apr-2023,EQ,435.85,441.65,435.0,435.7,438.6,437.95,438.5,608.75,380.7,"760,255","333,370,159.60","29,308"
31-Mar-2023,EQ,428.0,439.2,426.9,426.5,433.6,435.7,434.71,608.75,380.7,"2,402,348","1,044,315,277.25","46,583"
29-Mar-2023,EQ,421.5,428.0,418.9,421.75,427.0,426.5,424.75,608.75,380.7,"1,474,965","626,498,091.50","34,692"
28-Mar-2023,EQ,419.55,422.85,417.0,419.45,422.0,421.75,419.77,608.75,380.7,"1,180,743","495,639,681.90","32,519"
27-Mar-2023,EQ,420.85,421.35,417.0,420.25,419.55,419.45,419.56,608.75,380.7,"1,111,860","466,487,803.20","23,737"
24-Mar-2023,EQ,414.7,423.95,391.0,418.75,420.0,420.25,416.34,608.75,380.7,"3,455,815","1,438,779,570.60","50,710"
23-Mar-2023,EQ,422.5,426.2,418.0,427.7,419.45,418.75,420.75,608.75,380.7,"1,478,265","621,986,612.85","32,536"
22-Mar-2023,EQ,416.5,431.25,416.5,415.9,428.45,427.7,427.26,608.75,380.7,"3,132,211","1,338,282,763.50","53,995"
21-Mar-2023,EQ,405.55,424.0,404.75,405.6,416.0,415.9,417.65,608.75,380.7,"4,312,571","1,801,135,335.20","75,052"
20-Mar-2023,EQ,405.9,408.9,393.55,405.9,406.0,405.6,401.92,608.75,380.7,"1,827,170","734,371,496.25","49,516"
17-Mar-2023,EQ,411.7,414.6,403.65,409.65,408.05,405.9,408.56,608.75,380.7,"4,048,236","1,653,937,578.55","41,527"
16-Mar-2023,EQ,385.0,418.9,380.7,384.05,409.9,409.65,407.56,608.75,380.7,"9,510,146","3,875,912,102.75","129,328"
15-Mar-2023,EQ,389.45,393.5,382.2,387.05,384.5,384.05,386.65,608.75,382.2,"2,144,154","829,044,399.45","44,550"
14-Mar-2023,EQ,391.2,394.7,386.0,392.7,386.9,387.05,389.36,608.75,386.0,"920,691","358,477,394.50","23,207"
13-Mar-2023,EQ,391.0,400.85,390.5,394.0,391.45,392.7,396.49,608.75,387.05,"1,126,280","446,557,473.30","39,791"
10-Mar-2023,EQ,394.05,396.2,390.15,397.6,394.6,394.0,392.78,608.75,387.05,"1,180,810","463,795,501.85","29,963"
09-Mar-2023,EQ,407.45,408.8,396.2,407.45,397.8,397.6,401.75,608.75,387.05,"1,257,806","505,323,006.55","43,733"
08-Mar-2023,EQ,404.7,408.2,403.0,405.4,407.0,407.45,405.4,608.75,387.05,"1,033,956","419,165,505.25","37,563"
06-Mar-2023,EQ,407.0,410.4,404.7,405.55,405.9,405.4,407.61,608.75,387.05,"716,260","291,954,229.30","26,814"
03-Mar-2023,EQ,400.4,408.15,398.6,398.45,404.05,405.55,404.07,608.75,387.05,"1,054,855","426,234,104.60","18,761"
02-Mar-2023,EQ,406.0,406.0,397.5,407.85,398.5,398.45,400.74,608.75,387.05,"1,482,412","594,060,673.10","29,254"
01-Mar-2023,EQ,406.1,409.3,400.4,408.9,406.15,407.85,405.84,608.75,387.05,"1,386,636","562,745,689.70","18,712"
28-Feb-2023,EQ,405.9,410.9,402.1,405.2,408.9,408.9,408.28,608.75,387.05,"1,498,917","611,980,088.35","20,542"
27-Feb-2023,EQ,401.25,406.5,390.1,399.7,404.9,405.2,396.61,608.75,387.05,"1,414,374","560,958,600.95","21,672"
24-Feb-2023,EQ,404.0,406.25,397.6,402.5,400.75,399.7,400.82,608.75,387.05,"1,103,925","442,471,539.05","18,759"
23-Feb-2023,EQ,408.55,410.55,401.3,410.95,401.8,402.5,404.19,608.75,387.05,"2,357,236","952,763,577.30","52,189"
22-Feb-2023,EQ,418.0,418.0,409.2,418.45,410.45,410.95,411.91,608.75,387.05,"925,607","381,263,492.75","31,478"
21-Feb-2023,EQ,421.0,422.95,416.5,420.5,418.0,418.45,419.0,608.75,387.05,"589,378","246,950,135.60","13,645"
20-Feb-2023,EQ,416.85,431.75,411.5,417.55,420.0,420.5,420.55,608.75,387.05,"1,216,225","511,483,123.40","34,204"
17-Feb-2023,EQ,424.0,426.25,413.05,428.5,417.3,417.55,418.18,608.75,387.05,"1,931,928","807,893,068.75","34,207"
16-Feb-2023,EQ,438.75,441.7,427.0,438.75,428.0,428.5,432.9,608.75,387.05,"1,284,438","556,028,971.40","31,487"
15-Feb-2023,EQ,434.55,439.8,432.95,436.3,438.75,438.75,436.76,608.75,387.05,"1,530,243","668,353,651.05","39,708"
14-Feb-2023,EQ,438.9,438.95,433.05,437.4,436.8,436.3,435.5,608.75,387.05,"1,571,426","684,357,136.90","26,567"
13-Feb-2023,EQ,437.55,439.75,431.25,437.55,438.3,437.4,435.73,608.75,387.05,"2,401,650","1,046,461,277.90","39,800"
10-Feb-2023,EQ,437.0,439.15,433.2,437.25,437.4,437.55,436.99,608.75,387.05,"819,408","358,069,186.00","34,072"
09-Feb-2023,EQ,437.0,440.1,434.3,436.4,437.15,437.25,437.29,608.75,387.05,"1,049,565","458,966,365.10","23,996"
08-Feb-2023,EQ,426.95,440.25,425.0,426.05,437.15,436.4,435.78,608.75,387.05,"3,047,387","1,328,000,664.05","55,483"
07-Feb-2023,EQ,429.65,432.9,422.65,429.15,424.9,426.05,426.31,608.75,387.05,"2,003,626","854,168,039.55","41,306"
06-Feb-2023,EQ,418.0,430.5,417.45,418.0,429.05,429.15,425.12,608.75,387.05,"2,453,170","1,042,883,692.75","79,170"
03-Feb-2023,EQ,409.0,423.7,408.35,409.45,420.0,418.0,417.12,608.75,387.05,"3,550,174","1,480,836,596.55","73,450"
02-Feb-2023,EQ,394.0,411.45,387.05,401.95,409.85,409.45,404.27,608.75,387.05,"4,499,056","1,818,840,546.25","92,401"
01-Feb-2023,EQ,454.1,456.6,390.35,452.4,400.35,401.95,418.97,608.75,390.35,"8,989,162","3,766,193,859.30","151,696"
31-Jan-2023,EQ,455.8,456.95,448.0,454.5,453.0,452.4,452.0,608.75,430.0,"1,285,506","581,051,458.55","49,335"
30-Jan-2023,EQ,461.1,463.4,446.75,465.25,455.6,454.5,454.4,608.75,430.0,"2,213,369","1,005,753,346.75","48,276"
27-Jan-2023,EQ,464.1,467.95,458.05,464.15,460.0,465.25,463.6,608.75,430.0,"3,031,223","1,405,279,798.55","31,198"
25-Jan-2023,EQ,470.45,472.0,461.05,469.95,463.3,464.15,464.48,608.75,430.0,"1,045,167","485,458,129.65","20,324"
24-Jan-2023,EQ,475.4,475.4,468.6,474.7,469.85,469.95,470.66,608.75,430.0,"1,196,236","563,023,273.10","20,560"
23-Jan-2023,EQ,472.05,475.8,468.9,470.7,474.9,474.7,472.76,608.75,430.0,"1,061,081","501,634,666.05","24,872"
20-Jan-2023,EQ,483.2,483.2,467.25,483.45,471.9,470.7,473.24,648.85,430.0,"2,730,762","1,292,314,541.35","40,472"
19-Jan-2023,EQ,483.7,488.5,481.0,487.35,482.05,483.45,484.61,648.85,430.0,"2,083,729","1,009,793,510.05","28,530"
18-Jan-2023,EQ,485.3,488.75,475.0,484.8,487.05,487.35,483.42,648.85,430.0,"4,673,829","2,259,423,221.30","58,842"
17-Jan-2023,EQ,477.55,485.9,470.15,477.55,485.3,484.8,480.08,648.85,430.0,"2,334,670","1,120,827,742.80","39,568"
16-Jan-2023,EQ,472.0,479.9,469.8,469.55,476.55,477.55,476.8,648.85,430.0,"1,909,177","910,302,338.10","47,733"
13-Jan-2023,EQ,468.0,475.75,468.0,464.7,468.9,469.55,471.83,648.85,430.0,"3,153,137","1,487,730,342.55","55,931"
12-Jan-2023,EQ,462.9,467.0,461.05,461.7,466.75,464.7,463.4,648.85,430.0,"667,882","309,495,832.65","26,101"
11-Jan-2023,EQ,465.7,466.9,460.05,465.65,460.7,461.7,463.49,648.85,430.0,"626,159","290,221,340.05","27,441"
10-Jan-2023,EQ,466.75,469.6,459.2,466.65,465.75,465.65,464.5,648.85,430.0,"2,107,951","979,132,731.15","36,471"
09-Jan-2023,EQ,475.0,476.25,463.35,473.0,466.0,466.65,468.01,648.85,430.0,"1,114,854","521,757,537.05","33,186"
06-Jan-2023,EQ,471.65,477.8,469.35,471.7,473.05,473.0,473.9,648.85,430.0,"2,155,725","1,021,592,211.35","43,278"
05-Jan-2023,EQ,469.9,472.45,465.3,468.75,472.0,471.7,469.46,648.85,430.0,"1,070,708","502,656,469.65","34,005"
04-Jan-2023,EQ,470.0,475.0,467.4,468.85,468.65,468.75,470.07,648.85,430.0,"1,678,426","788,984,230.95","27,814"
03-Jan-2023,EQ,454.0,472.0,450.7,452.4,470.0,468.85,466.6,648.85,430.0,"4,108,248","1,916,916,874.90","74,168"
02-Jan-2023,EQ,451.3,454.0,444.8,451.3,453.5,452.4,448.96,648.85,430.0,"688,085","308,921,916.75","14,839"
30-Dec-2022,EQ,452.0,455.4,448.5,448.0,451.0,451.3,452.67,648.85,430.0,"895,186","405,227,793.30","25,688"
29-Dec-2022,EQ,449.0,452.0,440.8,449.45,452.0,448.0,445.92,648.85,430.0,"1,287,119","573,951,907.30","31,027"
28-Dec-2022,EQ,450.4,453.6,448.0,450.4,448.0,449.45,451.0,648.85,430.0,"688,253","310,399,509.80","12,680"
27-Dec-2022,EQ,446.15,451.0,445.65,445.9,450.9,450.4,448.51,648.85,430.0,"1,073,611","481,527,278.20","16,588"
26-Dec-2022,EQ,438.0,447.7,437.7,439.65,445.65,445.9,442.15,648.85,430.0,"1,180,235","521,836,233.95","17,219"
23-Dec-2022,EQ,448.15,449.3,438.0,450.2,438.5,439.65,442.62,648.85,430.0,"1,479,721","654,948,092.35","21,947"
22-Dec-2022,EQ,454.5,458.35,446.8,454.2,450.25,450.2,450.36,648.85,430.0,"766,591","345,244,832.50","19,450"
21-Dec-2022,EQ,455.0,461.65,451.2,454.35,454.35,454.2,458.79,648.85,430.0,"2,303,957","1,057,021,233.65","40,217"
20-Dec-2022,EQ,453.0,456.5,447.0,452.65,453.65,454.35,452.81,648.85,430.0,"1,351,150","611,812,437.10","32,261"
19-Dec-2022,EQ,445.6,453.3,444.65,444.35,453.1,452.65,448.74,648.85,430.0,"652,572","292,832,117.95","17,044"
16-Dec-2022,EQ,451.05,452.5,443.2,453.0,446.3,444.35,446.25,648.85,430.0,"1,571,656","701,357,110.90","32,492"
15-Dec-2022,EQ,455.0,462.0,451.5,453.6,452.4,453.0,456.33,648.85,430.0,"2,428,957","1,108,406,252.85","36,597"
14-Dec-2022,EQ,452.5,456.5,450.9,449.8,452.5,453.6,454.04,648.85,430.0,"1,345,298","610,816,327.45","23,883"
13-Dec-2022,EQ,452.0,453.65,448.6,450.9,449.7,449.8,450.27,648.85,430.0,"977,791","440,271,287.95","34,300"
12-Dec-2022,EQ,456.55,456.85,448.0,456.85,450.85,450.9,450.51,648.85,430.0,"3,598,421","1,621,107,861.25","47,934"
09-Dec-2022,EQ,465.7,466.0,455.0,462.25,456.0,456.85,459.05,648.85,430.0,"1,708,947","784,499,055.40","29,050"
08-Dec-2022,EQ,465.1,466.55,460.25,465.1,461.85,462.25,462.07,648.85,430.0,"1,233,437","569,936,014.30","18,021"
07-Dec-2022,EQ,470.0,471.4,464.2,468.0,465.05,465.1,467.44,648.85,430.0,"1,006,428","470,447,756.05","23,728"
06-Dec-2022,EQ,475.8,479.9,467.1,475.3,468.0,468.0,470.44,648.85,430.0,"1,666,287","783,894,258.55","24,196"
05-Dec-2022,EQ,484.8,484.8,470.75,482.25,474.9,475.3,474.8,648.85,430.0,"1,866,186","886,069,254.45","33,542"
02-Dec-2022,EQ,478.3,483.45,474.1,476.65,479.5,482.25,477.61,648.85,430.0,"1,566,499","748,170,348.80","24,049"
01-Dec-2022,EQ,479.0,479.15,472.5,476.2,476.5,476.65,475.76,648.85,430.0,"2,717,911","1,293,063,689.85","27,545"
30-Nov-2022,EQ,473.5,478.95,470.55,471.1,475.9,476.2,475.16,648.85,430.0,"3,786,647","1,799,256,147.55","48,184"
29-Nov-2022,EQ,456.9,473.95,453.85,455.15,472.0,471.1,460.75,648.85,430.0,"10,301,083","4,746,249,989.60","68,436"
28-Nov-2022,EQ,454.3,459.9,452.75,452.1,455.65,455.15,456.66,648.85,430.0,"5,207,226","2,377,933,736.65","91,249"
25-Nov-2022,EQ,461.3,468.8,450.6,462.0,452.45,452.1,455.76,648.85,430.0,"6,951,008","3,167,980,962.70","82,129"
24-Nov-2022,EQ,462.45,466.9,459.0,460.1,463.65,462.0,462.0,648.85,430.0,"2,639,177","1,219,310,162.55","23,425"
23-Nov-2022,EQ,468.2,469.0,453.9,467.35,460.9,460.1,460.24,648.85,430.0,"4,297,126","1,977,701,520.60","42,067"
22-Nov-2022,EQ,464.9,468.7,459.0,465.3,468.25,467.35,464.79,648.85,430.0,"1,083,032","503,382,822.45","26,021"
21-Nov-2022,EQ,469.7,472.0,462.55,469.7,465.4,465.3,465.13,648.85,430.0,"904,399","420,659,454.00","22,634"
18-Nov-2022,EQ,477.05,478.0,464.0,476.95,469.7,469.7,469.38,677.0,430.0,"2,592,536","1,216,891,973.50","43,757"
17-Nov-2022,EQ,471.7,482.0,471.7,475.0,477.0,476.95,478.48,677.0,430.0,"1,731,223","828,359,907.25","25,416"
16-Nov-2022,EQ,480.0,484.15,474.1,481.1,475.0,475.0,475.93,677.0,430.0,"2,086,052","992,809,439.60","23,470"
15-Nov-2022,EQ,485.0,486.15,478.7,485.6,481.5,481.1,480.84,677.0,430.0,"2,019,173","970,904,020.35","37,986"
14-Nov-2022,EQ,490.0,490.1,483.7,488.6,485.6,485.6,485.56,677.0,430.0,"1,661,259","806,643,966.75","23,271"
11-Nov-2022,EQ,491.55,497.3,486.15,489.1,489.4,488.6,490.88,679.95,430.0,"3,170,570","1,556,371,158.10","53,237"
10-Nov-2022,EQ,500.0,500.2,484.7,500.6,490.0,489.1,490.31,679.95,430.0,"1,246,010","610,937,203.20","40,193"
09-Nov-2022,EQ,513.2,514.0,499.1,513.1,500.0,500.6,503.48,679.95,430.0,"1,059,104","533,241,147.80","33,029"
07-Nov-2022,EQ,516.0,519.3,507.55,514.6,512.55,513.1,511.66,679.95,430.0,"668,753","342,175,480.75","38,057"
04-Nov-2022,EQ,520.0,520.15,511.2,519.15,515.0,514.6,515.12,679.95,430.0,"341,572","175,948,976.65","18,586"
03-Nov-2022,EQ,516.55,524.75,512.05,517.25,518.0,519.15,520.18,679.95,430.0,"460,314","239,443,910.05","17,757"
02-Nov-2022,EQ,516.5,523.15,515.7,520.25,518.5,517.25,519.77,679.95,430.0,"433,564","225,354,890.10","16,512"
01-Nov-2022,EQ,509.5,522.75,509.0,507.55,520.0,520.25,517.96,679.95,430.0,"722,561","374,254,621.55","22,808"
31-Oct-2022,EQ,500.0,509.25,499.0,502.15,508.6,507.55,505.1,679.95,430.0,"1,193,917","603,045,385.80","26,917"
28-Oct-2022,EQ,502.45,507.4,499.65,500.4,502.4,502.15,503.07,679.95,430.0,"625,611","314,723,107.40","14,791"
27-Oct-2022,EQ,508.0,511.0,490.0,503.8,500.0,500.4,498.92,679.95,430.0,"2,379,714","1,187,291,252.40","54,770"
25-Oct-2022,EQ,512.0,512.95,501.0,511.7,502.95,503.8,504.62,679.95,430.0,"2,221,480","1,120,996,139.00","38,790"
24-Oct-2022,EQ,520.2,520.2,510.5,510.0,511.0,511.7,512.73,679.95,430.0,"97,311","49,893,917.75","2,652"
21-Oct-2022,EQ,521.4,521.4,505.05,518.8,510.95,510.0,510.61,682.45,430.0,"1,522,576","777,440,639.15","42,772"
20-Oct-2022,EQ,506.7,520.5,501.25,508.2,519.6,518.8,510.88,682.45,430.0,"1,640,059","837,867,697.85","37,074"
19-Oct-2022,EQ,513.55,517.35,506.5,513.4,509.55,508.2,511.68,682.45,430.0,"761,308","389,542,435.40","17,512"
18-Oct-2022,EQ,510.0,514.7,500.65,509.7,513.0,513.4,508.53,682.45,430.0,"1,113,585","566,294,195.85","26,582"
17-Oct-2022,EQ,511.5,515.95,503.0,513.35,509.7,509.7,509.09,682.45,430.0,"1,256,193","639,509,712.95","29,487"
14-Oct-2022,EQ,506.1,519.8,501.75,500.85,513.0,513.35,510.54,682.45,430.0,"1,259,463","643,004,126.05","23,163"
13-Oct-2022,EQ,512.2,512.8,499.1,512.1,501.0,500.85,503.39,682.45,430.0,"668,379","336,456,214.55","19,201"
12-Oct-2022,EQ,511.35,514.35,504.0,508.8,510.2,512.1,509.52,682.45,430.0,"606,618","309,082,125.60","22,306"
11-Oct-2022,EQ,515.6,519.7,507.9,515.6,508.25,508.8,512.09,682.45,430.0,"585,165","299,657,647.95","15,583"
10-Oct-2022,EQ,520.0,521.0,512.0,522.6,515.4,515.6,515.93,682.45,430.0,"749,885","386,887,774.20","27,199"
07-Oct-2022,EQ,521.0,525.85,514.2,521.65,524.7,522.6,518.82,692.55,430.0,"1,832,202","950,576,546.75","21,839"
06-Oct-2022,EQ,533.55,533.55,519.7,526.9,520.8,521.65,525.1,692.55,430.0,"1,122,254","589,295,057.75","26,968"
04-Oct-2022,EQ,513.9,528.45,513.6,509.9,526.75,526.9,522.83,692.55,430.0,"1,090,829","570,318,157.85","22,327"
03-Oct-2022,EQ,520.0,528.2,509.0,525.95,509.1,509.9,517.47,692.55,430.0,"714,660","369,813,273.35","29,023"
30-Sep-2022,EQ,519.3,530.0,515.05,529.9,525.2,525.95,523.06,692.55,430.0,"1,645,466","860,680,146.30","63,526"
29-Sep-2022,EQ,535.4,539.25,520.2,532.7,531.5,529.9,528.31,692.55,430.0,"1,214,269","641,505,370.90","49,098"
28-Sep-2022,EQ,529.5,538.05,526.45,532.5,530.8,532.7,532.92,692.55,430.0,"1,020,329","543,755,977.25","15,317"
27-Sep-2022,EQ,533.55,537.65,526.05,535.15,532.75,532.5,532.21,692.55,430.0,"810,771","431,500,779.90","29,177"
26-Sep-2022,EQ,540.0,544.1,528.45,545.55,535.1,535.15,535.53,692.55,430.0,"1,039,247","556,544,530.45","22,313"
23-Sep-2022,EQ,553.95,555.95,540.55,553.05,544.1,545.55,546.52,702.0,430.0,"426,887","233,302,358.10","16,090"
