Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,7.5,7.75,7.3,7.45,7.6,7.65,7.54,10.1,5.7,"121,102,250","912,644,537.85","62,444"
23-Jun-2023,EQ,7.5,7.6,7.3,7.45,7.45,7.45,7.47,10.1,5.7,"121,876,136","910,010,796.70","54,802"
22-Jun-2023,EQ,7.7,7.85,7.4,7.75,7.45,7.45,7.57,10.1,5.7,"178,616,430","1,352,188,688.00","62,909"
21-Jun-2023,EQ,7.4,7.9,7.3,7.4,7.7,7.75,7.62,10.1,5.7,"204,460,640","1,557,993,306.60","92,672"
20-Jun-2023,EQ,7.6,7.65,7.35,7.6,7.4,7.4,7.45,10.1,5.7,"76,398,916","569,433,655.45","62,104"
19-Jun-2023,EQ,7.8,7.85,7.6,7.8,7.6,7.6,7.69,10.1,5.7,"60,944,546","468,404,941.45","82,423"
16-Jun-2023,EQ,7.85,8.0,7.75,7.8,7.8,7.8,7.86,10.1,5.7,"70,611,505","555,280,248.10","82,234"
15-Jun-2023,EQ,7.9,8.05,7.75,7.9,7.85,7.8,7.89,10.1,5.7,"110,857,729","874,356,763.00","97,889"
14-Jun-2023,EQ,8.15,8.25,7.85,7.7,7.85,7.9,8.07,10.1,5.7,"344,314,076","2,780,053,904.95","142,464"
13-Jun-2023,EQ,7.55,7.9,7.5,7.5,7.7,7.7,7.69,10.1,5.7,"168,436,075","1,294,567,503.50","52,741"
12-Jun-2023,EQ,7.35,7.6,7.25,7.3,7.55,7.5,7.44,10.1,5.7,"94,726,837","704,503,740.20","59,042"
09-Jun-2023,EQ,7.4,7.5,7.2,7.35,7.35,7.3,7.36,10.1,5.7,"99,974,916","735,849,132.65","80,152"
08-Jun-2023,EQ,7.8,7.8,7.35,7.65,7.35,7.35,7.53,10.1,5.7,"135,736,706","1,021,940,806.80","58,658"
07-Jun-2023,EQ,7.05,7.75,7.05,7.05,7.65,7.65,7.49,10.1,5.7,"218,120,279","1,632,988,733.95","96,584"
06-Jun-2023,EQ,7.15,7.15,7.0,7.15,7.1,7.05,7.09,10.1,5.7,"35,549,017","251,911,837.65","42,667"
05-Jun-2023,EQ,7.2,7.25,7.05,7.15,7.1,7.15,7.14,10.1,5.7,"34,807,393","248,671,257.80","46,477"
02-Jun-2023,EQ,7.2,7.25,7.1,7.15,7.2,7.15,7.16,10.2,5.7,"30,962,188","221,831,137.10","35,623"
01-Jun-2023,EQ,7.2,7.25,7.15,7.2,7.15,7.15,7.2,10.2,5.7,"39,538,257","284,486,430.45","46,349"
31-May-2023,EQ,7.15,7.25,6.95,7.1,7.15,7.2,7.09,10.2,5.7,"101,093,940","716,499,433.70","69,530"
30-May-2023,EQ,7.15,7.2,7.05,7.1,7.1,7.1,7.12,10.2,5.7,"45,601,346","324,637,888.90","50,059"
29-May-2023,EQ,7.1,7.3,7.05,7.05,7.1,7.1,7.17,10.2,5.7,"86,663,626","621,138,889.05","59,397"
26-May-2023,EQ,7.15,7.2,7.0,7.0,7.05,7.05,7.08,10.2,5.7,"78,262,217","554,123,846.70","60,444"
25-May-2023,EQ,6.95,7.25,6.85,6.95,7.0,7.0,7.08,10.2,5.7,"149,531,180","1,058,320,260.10","51,703"
24-May-2023,EQ,6.95,7.05,6.9,6.95,6.95,6.95,6.99,10.2,5.7,"77,537,344","542,346,005.15","59,968"
23-May-2023,EQ,7.05,7.05,6.95,7.0,6.95,6.95,6.99,10.2,5.7,"33,836,036","236,368,507.85","50,857"
22-May-2023,EQ,7.05,7.05,6.95,7.05,7.05,7.0,7.01,10.2,5.7,"35,838,782","251,092,205.65","44,555"
19-May-2023,EQ,7.1,7.1,6.9,7.0,7.0,7.05,6.99,10.2,5.7,"49,912,293","349,134,048.70","42,130"
18-May-2023,EQ,7.05,7.1,6.95,7.05,7.05,7.0,7.03,10.2,5.7,"47,696,869","335,332,096.25","40,707"
17-May-2023,EQ,7.25,7.25,7.0,7.35,7.05,7.05,7.11,10.2,5.7,"112,361,973","798,535,554.45","70,727"
16-May-2023,EQ,7.1,7.45,7.0,7.05,7.35,7.35,7.24,10.2,5.7,"182,466,634","1,320,457,084.75","55,393"
15-May-2023,EQ,7.0,7.3,7.0,7.0,7.1,7.05,7.14,10.2,5.7,"69,507,856","496,178,163.25","54,611"
12-May-2023,EQ,7.1,7.1,6.95,7.15,7.0,7.0,7.04,10.2,5.7,"74,270,136","522,901,276.90","47,931"
11-May-2023,EQ,6.8,7.3,6.75,6.75,7.1,7.15,7.11,10.2,5.7,"202,578,532","1,439,833,585.35","86,987"
10-May-2023,EQ,6.85,6.85,6.55,6.8,6.75,6.75,6.7,10.2,5.7,"101,392,533","678,955,583.90","40,623"
09-May-2023,EQ,6.95,7.0,6.8,6.9,6.85,6.8,6.89,10.2,5.7,"31,986,884","220,279,912.40","47,215"
08-May-2023,EQ,6.95,7.0,6.9,6.9,6.9,6.9,6.94,10.2,5.7,"26,422,235","183,470,953.45","31,285"
05-May-2023,EQ,6.95,7.1,6.85,7.0,6.95,6.9,6.95,10.2,5.7,"59,309,955","411,909,960.55","55,941"
04-May-2023,EQ,6.95,7.15,6.85,6.9,6.95,7.0,7.01,10.2,5.7,"96,883,916","678,914,234.50","59,990"
03-May-2023,EQ,6.9,7.15,6.85,6.9,6.95,6.9,7.0,10.2,5.7,"82,283,911","576,310,408.10","49,424"
02-May-2023,EQ,7.0,7.0,6.75,6.95,6.9,6.9,6.85,10.2,5.7,"78,645,995","539,041,510.55","50,224"
28-Apr-2023,EQ,6.95,7.1,6.9,6.9,6.95,6.95,7.01,10.2,5.7,"95,346,249","668,376,421.40","68,769"
27-Apr-2023,EQ,6.6,7.05,6.55,6.55,6.85,6.9,6.85,10.2,5.7,"317,650,440","2,174,945,908.05","84,061"
26-Apr-2023,EQ,6.35,6.7,6.3,6.3,6.6,6.55,6.55,10.2,5.7,"169,158,349","1,107,957,143.80","56,799"
25-Apr-2023,EQ,6.35,6.45,6.3,6.35,6.35,6.3,6.34,10.2,5.7,"37,745,399","239,448,136.20","64,319"
24-Apr-2023,EQ,6.5,6.55,6.25,6.45,6.35,6.35,6.35,10.2,5.7,"88,279,995","560,863,963.55","48,966"
21-Apr-2023,EQ,6.15,6.65,6.15,6.05,6.45,6.45,6.46,10.35,5.7,"326,277,787","2,108,340,183.20","83,952"
20-Apr-2023,EQ,6.05,6.1,6.0,6.05,6.1,6.05,6.05,10.35,5.7,"20,160,099","122,053,836.15","25,298"
19-Apr-2023,EQ,6.1,6.15,6.05,6.05,6.1,6.05,6.08,10.35,5.7,"28,209,620","171,488,168.20","54,234"
18-Apr-2023,EQ,6.1,6.1,6.0,6.05,6.1,6.05,6.06,10.35,5.7,"27,942,624","169,283,823.30","43,567"
17-Apr-2023,EQ,6.1,6.15,6.0,6.05,6.05,6.05,6.06,10.35,5.7,"35,501,339","215,171,783.55","68,890"
13-Apr-2023,EQ,6.2,6.25,6.05,6.2,6.1,6.05,6.14,11.45,5.7,"38,875,654","238,546,710.35","72,775"
12-Apr-2023,EQ,6.15,6.25,6.1,6.1,6.2,6.2,6.19,11.45,5.7,"39,172,810","242,463,255.45","70,870"
11-Apr-2023,EQ,6.2,6.2,6.05,6.15,6.15,6.1,6.13,11.45,5.7,"36,352,340","222,737,468.30","59,025"
10-Apr-2023,EQ,6.25,6.3,6.1,6.25,6.15,6.15,6.16,11.45,5.7,"37,645,193","231,954,248.50","46,454"
06-Apr-2023,EQ,6.2,6.3,6.15,6.25,6.25,6.25,6.25,11.55,5.7,"87,622,817","547,231,872.10","49,999"
05-Apr-2023,EQ,6.15,6.35,6.05,6.15,6.2,6.25,6.22,11.55,5.7,"109,358,436","680,020,618.65","63,815"
03-Apr-2023,EQ,5.85,6.25,5.8,5.8,6.15,6.15,6.08,11.55,5.7,"115,281,750","700,571,674.60","54,956"
31-Mar-2023,EQ,5.9,5.95,5.7,5.9,5.85,5.8,5.84,11.55,5.7,"114,439,391","668,524,682.30","85,468"
29-Mar-2023,EQ,5.9,6.05,5.8,5.9,5.85,5.9,5.92,11.55,5.8,"95,162,411","563,683,624.85","58,456"
28-Mar-2023,EQ,6.0,6.1,5.8,6.05,6.0,5.9,5.89,11.55,5.8,"109,833,770","647,220,260.40","68,467"
27-Mar-2023,EQ,6.25,6.3,6.0,6.25,6.05,6.05,6.13,11.55,6.0,"73,481,124","450,284,084.30","56,538"
24-Mar-2023,EQ,6.4,6.5,6.2,6.45,6.3,6.25,6.33,11.55,6.2,"113,503,938","718,328,019.65","66,116"
23-Mar-2023,EQ,6.55,6.55,6.4,6.55,6.4,6.45,6.48,11.55,6.25,"54,965,463","356,273,501.60","53,462"
22-Mar-2023,EQ,6.35,6.8,6.3,6.3,6.55,6.55,6.6,11.55,6.25,"170,527,399","1,126,205,757.45","53,641"
21-Mar-2023,EQ,6.35,6.4,6.3,6.35,6.35,6.3,6.34,11.55,6.25,"50,371,395","319,534,495.15","56,562"
20-Mar-2023,EQ,6.45,6.45,6.25,6.4,6.35,6.35,6.34,11.55,6.25,"66,231,334","419,634,718.10","69,250"
17-Mar-2023,EQ,6.45,6.5,6.35,6.45,6.4,6.4,6.43,11.55,6.25,"79,553,023","511,463,767.75","61,105"
16-Mar-2023,EQ,6.45,6.55,6.25,6.4,6.4,6.45,6.39,11.55,6.25,"70,627,780","451,548,990.15","60,215"
15-Mar-2023,EQ,6.6,6.65,6.4,6.55,6.45,6.4,6.48,11.55,6.3,"58,760,946","381,001,563.50","56,502"
14-Mar-2023,EQ,6.65,6.65,6.5,6.6,6.55,6.55,6.55,11.55,6.3,"58,565,265","383,638,945.00","59,263"
13-Mar-2023,EQ,6.8,6.8,6.55,6.75,6.65,6.6,6.64,11.55,6.3,"54,468,617","361,559,689.00","90,697"
10-Mar-2023,EQ,6.85,6.85,6.7,6.85,6.8,6.75,6.77,11.55,6.3,"49,809,823","337,375,116.60","53,469"
09-Mar-2023,EQ,6.95,7.0,6.85,6.95,6.9,6.85,6.92,11.55,6.3,"39,876,831","275,925,499.10","52,990"
08-Mar-2023,EQ,6.95,7.0,6.85,6.95,6.95,6.95,6.92,11.55,6.3,"34,888,541","241,498,542.00","51,580"
06-Mar-2023,EQ,6.95,7.05,6.9,6.9,6.95,6.95,6.97,11.55,6.3,"48,641,336","338,963,788.00","158,027"
03-Mar-2023,EQ,7.0,7.05,6.85,6.95,6.95,6.9,6.91,11.55,6.3,"53,189,694","367,695,410.60","57,015"
02-Mar-2023,EQ,6.9,7.05,6.85,6.9,6.95,6.95,6.96,11.55,6.3,"40,814,192","284,125,661.45","62,215"
01-Mar-2023,EQ,6.85,7.0,6.8,6.8,6.95,6.9,6.88,11.55,6.3,"101,315,010","697,034,217.40","84,339"
28-Feb-2023,EQ,6.7,6.9,6.65,6.7,6.8,6.8,6.77,11.55,6.3,"67,725,048","458,489,265.30","71,912"
27-Feb-2023,EQ,6.8,6.85,6.55,6.75,6.7,6.7,6.67,11.55,6.3,"86,209,985","574,717,798.65","106,068"
24-Feb-2023,EQ,6.75,7.05,6.65,6.7,6.8,6.75,6.83,11.65,6.3,"134,764,686","920,350,430.95","104,685"
23-Feb-2023,EQ,7.0,7.05,6.6,7.0,6.75,6.7,6.81,11.65,6.3,"200,373,402","1,365,431,395.60","76,230"
22-Feb-2023,EQ,7.0,7.2,6.9,7.0,7.0,7.0,7.05,11.65,6.3,"94,172,202","663,515,516.55","71,429"
21-Feb-2023,EQ,6.95,7.1,6.9,7.05,7.05,7.0,6.99,11.65,6.3,"56,554,003","395,203,509.15","56,930"
20-Feb-2023,EQ,7.2,7.25,6.85,7.25,7.0,7.05,7.0,11.65,6.3,"152,049,838","1,064,424,438.45","97,496"
17-Feb-2023,EQ,7.45,7.5,7.05,7.5,7.2,7.25,7.24,11.65,6.3,"112,014,675","810,812,625.30","79,406"
16-Feb-2023,EQ,7.7,7.75,7.4,7.75,7.5,7.5,7.53,11.65,6.3,"82,248,551","619,041,967.15","91,131"
15-Feb-2023,EQ,7.7,7.8,7.65,7.7,7.7,7.75,7.72,11.65,6.3,"31,730,009","244,930,836.65","60,392"
14-Feb-2023,EQ,7.85,7.9,7.65,7.85,7.75,7.7,7.72,11.65,6.3,"50,984,495","393,420,016.70","66,299"
13-Feb-2023,EQ,7.85,8.0,7.8,7.85,7.85,7.85,7.9,11.65,6.3,"50,407,661","398,021,975.95","87,733"
10-Feb-2023,EQ,7.75,8.05,7.7,7.85,7.85,7.85,7.89,11.65,6.3,"71,585,105","564,562,330.75","78,640"
09-Feb-2023,EQ,7.9,7.95,7.7,7.9,7.85,7.85,7.84,11.65,6.3,"95,732,533","750,352,654.85","77,542"
08-Feb-2023,EQ,8.05,8.05,7.65,7.95,7.95,7.9,7.83,11.65,6.3,"135,146,676","1,058,293,135.50","142,151"
07-Feb-2023,EQ,8.55,8.55,7.8,8.25,7.95,7.95,8.03,11.65,6.3,"224,333,616","1,800,592,143.90","154,501"
06-Feb-2023,EQ,7.5,8.6,7.5,6.85,8.25,8.25,8.33,11.65,6.3,"675,108,185","5,625,653,293.95","286,482"
03-Feb-2023,EQ,6.8,7.0,6.45,6.8,7.0,6.85,6.68,11.95,6.3,"143,726,966","960,050,435.85","199,999"
02-Feb-2023,EQ,6.7,7.05,6.6,6.7,6.85,6.8,6.88,11.95,6.3,"109,039,158","749,853,365.45","161,716"
01-Feb-2023,EQ,7.15,7.2,6.6,7.05,6.7,6.7,6.89,11.95,6.3,"122,646,396","845,342,102.35","75,406"
31-Jan-2023,EQ,6.9,7.15,6.75,6.8,7.15,7.05,6.97,11.95,6.3,"108,361,076","755,162,071.25","116,357"
30-Jan-2023,EQ,6.45,7.1,6.4,6.4,6.75,6.8,6.79,11.95,6.3,"165,341,766","1,123,469,665.70","97,290"
27-Jan-2023,EQ,6.8,6.85,6.3,6.75,6.5,6.4,6.5,11.95,6.3,"140,336,474","911,939,625.20","122,705"
25-Jan-2023,EQ,7.05,7.05,6.7,7.05,6.75,6.75,6.87,11.95,6.7,"104,380,508","716,647,484.60","98,008"
24-Jan-2023,EQ,7.05,7.2,6.95,7.05,7.05,7.05,7.07,11.95,6.95,"107,329,586","758,951,992.80","67,703"
23-Jan-2023,EQ,7.3,7.3,7.0,7.25,7.15,7.05,7.09,11.95,7.0,"110,363,909","782,100,586.45","91,169"
20-Jan-2023,EQ,7.45,7.45,7.2,7.4,7.25,7.25,7.31,12.95,7.1,"51,597,026","377,343,330.90","65,794"
19-Jan-2023,EQ,7.3,7.6,7.25,7.3,7.45,7.4,7.42,12.95,7.1,"151,598,798","1,125,001,683.90","81,976"
18-Jan-2023,EQ,7.25,7.35,7.15,7.25,7.3,7.3,7.27,12.95,7.1,"40,376,482","293,722,964.25","63,782"
17-Jan-2023,EQ,7.2,7.35,7.15,7.2,7.2,7.25,7.26,12.95,7.1,"66,561,448","482,964,493.15","72,323"
