Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,98.5,100.3,96.5,98.3,100.25,100.0,98.19,110.5,48.15,"6,866,664","674,262,389.60","24,304"
23-Jun-2023,EQ,99.85,100.75,97.45,99.9,98.4,98.3,99.2,110.5,42.2,"6,923,753","686,842,831.85","24,581"
22-Jun-2023,EQ,102.8,103.9,99.15,102.8,99.85,99.9,101.02,110.5,42.2,"13,099,765","1,323,299,782.90","40,480"
21-Jun-2023,EQ,105.55,106.3,100.55,105.5,102.65,102.8,102.41,110.5,42.2,"20,734,865","2,123,485,434.10","58,838"
20-Jun-2023,EQ,107.1,107.8,104.9,106.9,105.55,105.5,105.99,110.5,42.2,"8,251,682","874,560,767.80","21,592"
19-Jun-2023,EQ,108.5,110.5,106.4,108.3,107.2,106.9,108.54,110.5,42.2,"10,718,368","1,163,417,887.85","27,976"
16-Jun-2023,EQ,105.85,108.65,105.0,105.6,108.15,108.3,107.56,108.65,42.2,"6,749,686","725,990,109.90","24,889"
15-Jun-2023,EQ,103.5,107.05,103.25,103.5,105.6,105.6,105.84,107.05,42.2,"7,136,190","755,295,899.95","27,322"
14-Jun-2023,EQ,104.8,105.9,102.85,104.8,103.75,103.5,104.67,105.9,42.2,"13,995,147","1,464,816,775.85","27,477"
13-Jun-2023,EQ,103.0,104.95,102.7,102.55,104.55,104.8,104.25,104.95,42.2,"6,150,160","641,173,448.25","16,259"
12-Jun-2023,EQ,101.25,102.9,100.45,101.35,102.8,102.55,101.89,103.1,42.2,"5,975,433","608,815,103.45","19,427"
09-Jun-2023,EQ,101.8,101.85,100.65,101.0,101.05,101.35,101.19,103.1,42.2,"4,457,214","451,039,788.40","13,394"
08-Jun-2023,EQ,102.25,102.6,100.7,102.55,101.15,101.0,101.63,103.1,42.2,"5,023,794","510,543,399.30","14,145"
07-Jun-2023,EQ,101.9,103.1,101.65,102.0,102.4,102.55,102.5,103.1,42.2,"5,390,203","552,470,983.60","15,111"
06-Jun-2023,EQ,100.6,102.6,99.25,100.0,101.9,102.0,101.07,102.6,42.2,"6,494,767","656,441,174.05","21,830"
05-Jun-2023,EQ,99.1,100.65,98.95,98.9,100.05,100.0,99.79,100.65,42.2,"5,340,925","532,992,684.35","27,908"
02-Jun-2023,EQ,99.45,100.05,98.7,99.4,98.85,98.9,99.21,100.25,42.2,"2,878,851","285,613,996.85","12,582"
01-Jun-2023,EQ,98.7,100.25,98.7,99.2,99.1,99.4,99.56,100.25,42.2,"4,784,978","476,406,503.15","18,005"
31-May-2023,EQ,99.4,99.6,97.3,99.15,98.55,99.2,98.84,99.6,42.2,"9,223,491","911,616,097.10","26,671"
30-May-2023,EQ,96.45,99.45,96.3,96.5,99.05,99.15,98.29,99.45,42.2,"7,739,108","760,643,654.45","21,518"
29-May-2023,EQ,95.6,97.0,95.15,95.1,96.45,96.5,96.16,97.0,42.2,"5,641,553","542,487,813.35","16,875"
