Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,77.9,78.25,76.45,77.75,78.15,77.75,77.2,84.5,30.6,"30,737,311","2,372,858,489.60","78,736"
23-Jun-2023,EQ,77.6,79.15,75.55,77.6,77.65,77.75,77.63,84.5,28.95,"56,849,916","4,413,317,477.50","123,129"
22-Jun-2023,EQ,81.9,82.0,77.3,82.2,77.85,77.6,78.65,84.5,28.95,"85,854,307","6,752,424,136.10","238,325"
21-Jun-2023,EQ,83.1,84.35,81.5,82.8,82.2,82.2,82.47,84.5,28.95,"44,526,728","3,672,043,585.25","85,974"
20-Jun-2023,EQ,81.75,83.15,81.4,81.3,83.05,82.8,82.24,84.5,28.95,"46,126,349","3,793,402,155.25","107,005"
19-Jun-2023,EQ,82.0,84.5,80.2,81.7,81.65,81.3,82.7,84.5,28.95,"82,330,493","6,808,680,166.90","159,768"
16-Jun-2023,EQ,79.5,82.35,79.25,79.0,81.0,81.7,80.93,82.35,28.95,"60,784,532","4,919,169,997.35","151,478"
15-Jun-2023,EQ,76.9,79.9,76.3,76.75,79.0,79.0,78.82,79.9,28.95,"71,417,373","5,629,194,607.35","187,540"
14-Jun-2023,EQ,75.25,76.9,74.95,74.8,76.65,76.75,76.27,76.9,28.95,"50,922,815","3,883,641,833.25","77,826"
13-Jun-2023,EQ,73.2,75.0,73.0,72.8,74.85,74.8,74.31,75.0,28.95,"44,054,805","3,273,643,076.05","55,854"
12-Jun-2023,EQ,71.8,73.05,70.85,71.7,72.9,72.8,72.09,74.25,28.95,"21,006,740","1,514,313,838.30","51,995"
09-Jun-2023,EQ,72.35,72.9,71.45,72.2,71.65,71.7,72.24,74.25,28.95,"17,742,518","1,281,646,640.05","47,215"
08-Jun-2023,EQ,73.6,73.9,72.05,73.6,72.3,72.2,72.87,74.25,28.95,"28,757,809","2,095,498,843.15","73,388"
07-Jun-2023,EQ,74.0,74.25,73.3,73.8,73.55,73.6,73.9,74.25,28.95,"17,304,251","1,278,740,932.25","56,604"
06-Jun-2023,EQ,73.95,74.15,73.05,73.7,73.85,73.8,73.69,74.15,28.95,"24,524,411","1,807,255,247.05","149,412"
