Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,127.6,129.65,126.25,127.2,129.35,129.45,128.75,177.35,116.0,"6,021,252","775,254,641.05","37,298"
23-Jun-2023,EQ,127.0,128.9,124.75,126.7,126.95,127.2,127.1,177.35,116.0,"7,786,678","989,685,929.05","44,902"
22-Jun-2023,EQ,129.0,129.25,126.35,128.35,126.9,126.7,127.45,177.35,116.0,"6,706,174","854,706,084.40","47,952"
21-Jun-2023,EQ,131.25,131.55,128.0,130.7,128.35,128.35,129.77,177.35,116.0,"8,866,011","1,150,554,442.60","58,444"
20-Jun-2023,EQ,129.9,132.5,128.8,128.75,130.7,130.7,130.63,177.35,116.0,"19,846,063","2,592,418,748.60","104,652"
19-Jun-2023,EQ,126.0,129.3,126.0,125.8,128.85,128.75,128.03,177.35,116.0,"13,447,079","1,721,633,671.20","66,952"
16-Jun-2023,EQ,125.45,126.4,124.2,124.85,125.95,125.8,125.51,180.4,116.0,"9,508,717","1,193,430,881.45","56,613"
15-Jun-2023,EQ,123.5,125.9,123.5,123.35,124.7,124.85,124.74,180.4,116.0,"9,763,522","1,217,914,858.30","51,597"
14-Jun-2023,EQ,125.5,125.75,123.1,125.15,123.5,123.35,123.67,180.4,116.0,"11,355,031","1,404,328,293.20","73,149"
13-Jun-2023,EQ,123.8,125.45,123.8,123.6,125.15,125.15,124.7,180.4,116.0,"13,246,858","1,651,924,931.40","85,223"
12-Jun-2023,EQ,126.0,127.0,123.05,122.6,123.8,123.6,124.67,180.4,116.0,"36,392,534","4,536,922,725.95","197,294"
09-Jun-2023,EQ,128.0,130.0,116.0,136.45,122.85,122.6,122.56,185.6,116.0,"146,159,814","17,913,595,539.65","537,265"
08-Jun-2023,EQ,149.65,150.95,135.35,148.7,136.1,136.45,140.41,185.6,125.8,"24,010,073","3,371,310,294.60","167,466"
07-Jun-2023,EQ,147.3,149.55,145.45,147.2,148.8,148.7,148.04,185.6,125.8,"6,665,847","986,812,390.75","41,764"
06-Jun-2023,EQ,153.75,153.75,146.6,153.2,147.45,147.2,148.72,185.6,125.8,"11,143,867","1,657,350,598.30","95,709"
05-Jun-2023,EQ,153.2,153.95,152.5,152.75,153.1,153.2,153.37,185.6,125.8,"2,919,012","447,693,087.45","25,559"
02-Jun-2023,EQ,154.1,154.35,152.55,153.45,152.75,152.75,153.18,197.6,125.8,"1,674,551","256,508,716.30","23,685"
01-Jun-2023,EQ,153.85,155.0,153.0,153.0,153.55,153.45,153.76,197.6,125.8,"2,216,723","340,844,079.70","21,390"
31-May-2023,EQ,153.7,155.05,152.7,153.7,153.1,153.0,153.78,197.6,125.8,"1,993,319","306,523,298.00","22,993"
30-May-2023,EQ,155.3,155.45,152.5,155.1,153.7,153.7,153.42,197.6,125.8,"3,549,026","544,483,938.55","31,043"
29-May-2023,EQ,156.15,157.9,154.8,155.8,155.15,155.1,156.38,197.6,125.8,"3,914,243","612,091,004.05","28,687"
26-May-2023,EQ,156.05,159.4,154.35,155.5,155.8,155.8,155.56,198.2,125.8,"6,172,298","960,142,415.55","32,479"
25-May-2023,EQ,155.75,156.65,154.3,155.75,156.0,155.5,155.41,198.2,125.8,"3,768,295","585,613,625.60","30,155"
24-May-2023,EQ,156.4,157.45,155.1,156.65,155.75,155.75,156.55,198.2,125.8,"2,869,512","449,220,290.15","24,658"
23-May-2023,EQ,156.0,157.8,155.75,155.65,156.5,156.65,156.75,198.2,125.8,"3,068,702","481,032,054.60","29,573"
22-May-2023,EQ,158.95,158.95,154.25,158.95,155.75,155.65,155.43,198.2,125.8,"5,899,869","917,009,377.40","40,416"
19-May-2023,EQ,160.1,160.1,157.6,159.1,158.5,158.95,158.77,198.6,125.8,"4,427,580","702,967,136.50","23,368"
18-May-2023,EQ,159.35,162.9,158.45,159.35,158.9,159.1,160.65,198.6,125.8,"6,144,795","987,186,209.45","38,098"
17-May-2023,EQ,160.05,160.75,157.5,159.2,159.05,159.35,159.04,198.6,125.8,"6,772,095","1,077,057,740.55","32,671"
16-May-2023,EQ,155.45,162.0,155.0,155.8,159.4,159.2,158.65,198.6,125.8,"8,224,221","1,304,806,123.60","56,981"
