Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,475.0,484.45,473.4,476.5,482.5,483.2,480.57,515.7,343.75,"936,088","449,854,748.75","23,217"
23-Jun-2023,EQ,488.55,489.05,474.3,486.1,474.4,476.5,480.99,515.7,337.9,"834,078","401,186,551.40","22,315"
22-Jun-2023,EQ,483.8,497.9,480.8,480.4,485.15,486.1,491.11,515.7,337.9,"3,506,243","1,721,936,555.45","60,288"
21-Jun-2023,EQ,470.2,482.0,466.15,466.25,479.55,480.4,476.2,515.7,337.9,"2,770,163","1,319,155,103.50","61,967"
20-Jun-2023,EQ,458.25,467.0,455.85,459.4,466.15,466.25,461.11,515.7,337.9,"1,405,941","648,299,956.75","27,644"
19-Jun-2023,EQ,468.05,468.75,458.1,466.75,458.65,459.4,461.68,515.7,337.9,"871,691","402,444,003.65","21,030"
16-Jun-2023,EQ,469.0,469.25,463.7,467.35,468.0,466.75,465.96,515.7,335.35,"721,212","336,057,138.25","11,885"
15-Jun-2023,EQ,471.65,472.4,464.45,469.45,466.3,467.35,467.91,515.7,335.35,"776,158","363,170,596.85","16,176"
14-Jun-2023,EQ,464.8,470.35,462.2,464.2,469.7,469.45,467.42,515.7,335.35,"1,099,313","513,844,348.10","18,580"
13-Jun-2023,EQ,463.1,466.85,461.0,462.9,465.0,464.2,463.36,515.7,335.35,"832,460","385,728,160.20","18,040"
12-Jun-2023,EQ,461.55,466.5,459.4,463.05,463.25,462.9,463.64,515.7,335.35,"733,819","340,230,219.65","16,168"
09-Jun-2023,EQ,463.5,466.5,461.8,462.3,462.35,463.05,464.06,515.7,335.35,"544,778","252,808,063.95","13,887"
08-Jun-2023,EQ,467.95,470.95,461.4,467.95,463.5,462.3,466.4,515.7,335.35,"1,026,908","478,952,946.55","15,277"
07-Jun-2023,EQ,463.6,468.6,463.3,462.7,467.5,467.95,466.58,515.7,335.35,"775,889","362,013,584.05","14,623"
06-Jun-2023,EQ,464.85,467.15,459.15,463.55,462.45,462.7,463.11,515.7,335.35,"1,057,557","489,766,456.90","15,649"
05-Jun-2023,EQ,460.0,464.5,457.15,459.25,463.0,463.55,462.22,515.7,335.35,"1,099,894","508,389,494.65","24,870"
02-Jun-2023,EQ,474.15,474.15,458.0,471.75,459.25,459.25,462.45,515.7,335.35,"1,964,935","908,681,917.40","42,356"
01-Jun-2023,EQ,475.0,476.4,468.15,480.6,471.8,471.75,472.19,515.7,335.35,"2,274,400","1,073,952,769.70","38,673"
31-May-2023,EQ,479.0,484.7,477.05,479.05,481.9,480.6,480.79,515.7,335.35,"1,649,163","792,907,184.65","34,534"
30-May-2023,EQ,482.05,484.5,478.05,480.75,478.5,479.05,480.85,515.7,335.35,"980,873","471,648,304.90","19,695"
29-May-2023,EQ,483.0,484.65,479.0,480.05,481.0,480.75,480.73,515.7,335.35,"1,167,944","561,463,517.70","15,323"
26-May-2023,EQ,482.5,483.75,475.0,480.25,480.0,480.05,480.82,515.7,335.35,"1,466,546","705,143,558.45","18,012"
25-May-2023,EQ,480.0,488.95,477.05,479.45,482.0,480.25,481.58,515.7,335.35,"1,998,466","962,416,512.30","30,387"
24-May-2023,EQ,477.9,487.35,476.3,477.9,479.5,479.45,482.05,515.7,335.35,"1,145,972","552,411,377.75","19,383"
23-May-2023,EQ,480.1,482.65,475.15,478.6,476.6,477.9,479.14,515.7,335.35,"1,429,931","685,130,536.65","32,304"
22-May-2023,EQ,471.65,479.6,467.8,471.65,479.25,478.6,474.46,515.7,335.35,"1,144,253","542,904,527.80","24,825"
