Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,380.35,386.0,379.15,380.4,383.9,383.6,382.43,406.0,220.4,"2,261,966","865,036,409.15","47,269"
23-Jun-2023,EQ,383.4,386.55,378.45,382.65,380.0,380.4,380.96,406.0,207.25,"3,902,114","1,486,540,595.25","48,312"
22-Jun-2023,EQ,396.95,396.95,381.6,396.8,383.0,382.65,386.7,406.0,207.25,"3,244,877","1,254,780,873.65","55,084"
21-Jun-2023,EQ,397.0,403.0,394.1,394.5,396.7,396.8,399.07,406.0,207.25,"5,324,374","2,124,784,414.15","56,679"
20-Jun-2023,EQ,396.5,397.25,392.0,396.15,395.0,394.5,394.38,406.0,207.25,"5,053,569","1,993,029,113.75","45,080"
19-Jun-2023,EQ,406.0,406.0,393.5,403.25,396.05,396.15,399.57,406.0,207.25,"2,891,291","1,155,284,008.15","43,151"
16-Jun-2023,EQ,394.7,404.2,393.15,393.45,403.75,403.25,400.37,404.2,207.25,"4,845,961","1,940,197,613.70","62,760"
15-Jun-2023,EQ,393.1,395.95,391.2,391.3,393.0,393.45,394.08,399.3,207.25,"2,576,653","1,015,396,769.85","31,964"
14-Jun-2023,EQ,393.45,397.25,389.9,393.35,392.8,391.3,393.26,399.3,207.25,"2,881,178","1,133,055,946.50","39,848"
13-Jun-2023,EQ,389.25,394.6,388.4,387.7,393.25,393.35,392.31,399.3,207.25,"3,811,857","1,495,436,115.20","32,945"
12-Jun-2023,EQ,383.05,389.0,380.6,381.95,388.0,387.7,384.82,399.3,207.25,"3,749,939","1,443,053,167.10","40,570"
09-Jun-2023,EQ,383.0,386.05,381.0,380.8,382.1,381.95,383.42,399.3,207.25,"4,212,790","1,615,255,799.70","47,919"
08-Jun-2023,EQ,396.0,398.6,380.0,395.85,381.25,380.8,386.28,399.3,207.25,"4,946,671","1,910,785,180.75","51,619"
07-Jun-2023,EQ,392.0,397.25,389.45,389.25,395.95,395.85,394.11,399.3,207.25,"2,834,627","1,117,166,460.40","75,675"
06-Jun-2023,EQ,391.75,393.9,385.1,389.8,391.0,389.25,389.13,399.3,207.25,"5,116,106","1,990,813,086.70","60,139"
05-Jun-2023,EQ,396.0,399.25,388.25,395.65,389.3,389.8,393.12,399.3,207.25,"4,593,591","1,805,815,337.85","57,067"
02-Jun-2023,EQ,397.3,399.3,394.45,395.7,396.0,395.65,396.68,399.3,207.25,"4,398,205","1,744,694,641.45","45,528"
01-Jun-2023,EQ,389.7,396.4,386.2,389.7,395.0,395.7,392.86,396.4,207.25,"5,081,690","1,996,404,301.25","71,654"
31-May-2023,EQ,385.0,395.0,381.2,385.45,389.0,389.7,388.56,395.0,207.25,"17,417,007","6,767,520,763.80","101,921"
30-May-2023,EQ,380.85,386.0,379.25,380.0,385.0,385.45,384.2,389.4,207.25,"2,980,523","1,145,125,103.05","52,868"
29-May-2023,EQ,385.0,386.95,377.5,383.95,380.0,380.0,380.43,389.4,207.25,"4,011,007","1,525,918,503.05","46,152"
26-May-2023,EQ,381.8,386.0,381.1,380.6,383.9,383.95,383.48,389.4,207.25,"2,607,569","999,943,355.40","34,003"
25-May-2023,EQ,375.3,389.4,374.3,375.25,380.75,380.6,383.69,389.4,207.25,"9,253,281","3,550,351,002.35","87,332"
24-May-2023,EQ,371.05,377.45,369.2,371.0,375.0,375.25,374.42,377.95,207.25,"4,692,522","1,756,987,766.20","45,843"
23-May-2023,EQ,372.0,375.95,368.4,371.2,371.0,371.0,371.01,377.95,207.25,"3,058,696","1,134,801,411.35","35,207"
22-May-2023,EQ,371.75,375.4,369.2,372.35,371.05,371.2,372.69,377.95,207.25,"2,920,212","1,088,335,624.30","28,589"
19-May-2023,EQ,367.4,376.5,366.95,366.6,372.7,372.35,372.6,377.95,207.25,"7,034,650","2,621,144,130.15","74,753"
18-May-2023,EQ,369.45,372.5,365.25,367.5,366.35,366.6,369.43,377.95,207.25,"4,462,806","1,648,685,233.35","45,859"
17-May-2023,EQ,366.0,376.4,364.25,363.75,368.0,367.5,369.79,377.95,207.25,"10,649,382","3,937,987,905.10","106,601"
16-May-2023,EQ,355.0,371.6,355.0,353.35,363.2,363.75,364.86,377.95,207.25,"10,241,550","3,736,727,302.55","101,469"
15-May-2023,EQ,358.5,358.65,350.5,357.6,353.25,353.35,354.86,377.95,207.25,"4,013,236","1,424,117,732.75","39,170"
12-May-2023,EQ,367.0,367.0,353.5,365.55,357.1,357.6,356.35,377.95,207.25,"12,291,661","4,380,128,737.10","88,385"
11-May-2023,EQ,370.0,375.0,364.45,371.35,365.0,365.55,368.08,377.95,207.25,"3,099,638","1,140,919,124.45","36,301"
10-May-2023,EQ,374.2,375.95,367.3,374.25,371.5,371.35,370.0,377.95,207.25,"3,464,915","1,282,027,468.65","71,577"
09-May-2023,EQ,371.95,377.95,371.1,370.1,374.25,374.25,374.58,377.95,207.25,"7,795,963","2,920,223,252.65","85,545"
08-May-2023,EQ,363.0,374.0,361.85,358.7,369.95,370.1,368.57,374.0,207.25,"10,283,508","3,790,154,604.80","139,609"
05-May-2023,EQ,358.5,364.35,357.0,357.2,358.1,358.7,360.53,364.35,207.25,"4,722,961","1,702,764,184.30","69,513"
04-May-2023,EQ,357.2,359.5,352.5,354.9,356.1,357.2,356.56,363.0,207.25,"4,601,660","1,640,781,684.70","35,968"
03-May-2023,EQ,348.4,363.0,346.8,347.45,355.5,354.9,356.76,363.0,207.25,"13,208,635","4,712,264,717.55","108,180"
02-May-2023,EQ,342.2,350.6,340.3,339.1,348.0,347.45,347.69,350.6,207.25,"9,032,408","3,140,501,339.10","118,991"
28-Apr-2023,EQ,348.0,348.0,336.6,340.0,339.0,339.1,342.17,349.0,207.25,"13,144,055","4,497,450,043.40","107,561"
27-Apr-2023,EQ,342.0,343.4,336.65,340.95,340.9,340.0,340.16,349.0,207.25,"3,883,042","1,320,838,335.05","42,461"
26-Apr-2023,EQ,340.0,345.8,339.45,338.85,340.8,340.95,341.88,349.0,207.25,"4,497,928","1,537,767,259.30","79,611"
25-Apr-2023,EQ,338.45,341.0,337.55,339.0,339.4,338.85,339.24,349.0,207.25,"1,573,448","533,781,736.80","28,142"
24-Apr-2023,EQ,336.75,339.9,330.95,336.75,339.15,339.0,336.66,349.0,207.25,"2,999,129","1,009,679,974.00","38,743"
21-Apr-2023,EQ,337.0,338.6,333.15,335.1,336.2,336.75,336.71,349.0,207.25,"3,418,976","1,151,210,028.55","48,461"
20-Apr-2023,EQ,330.55,336.25,329.6,330.55,335.6,335.1,333.59,349.0,207.25,"2,903,755","968,651,219.10","34,156"
19-Apr-2023,EQ,332.45,334.95,328.65,330.4,330.9,330.55,331.31,349.0,207.25,"2,359,012","781,555,428.25","36,395"
18-Apr-2023,EQ,334.0,334.4,326.5,332.4,330.1,330.4,330.02,349.0,207.25,"2,741,843","904,861,760.40","40,813"
17-Apr-2023,EQ,327.5,333.5,326.25,328.05,332.35,332.4,331.58,349.0,207.25,"3,574,529","1,185,224,911.65","35,440"
13-Apr-2023,EQ,331.7,333.1,325.45,330.75,329.0,328.05,328.36,349.0,207.25,"3,140,060","1,031,082,161.25","48,102"
12-Apr-2023,EQ,327.4,331.85,325.25,327.35,331.2,330.75,328.17,349.0,207.25,"2,710,628","889,545,676.40","41,222"
11-Apr-2023,EQ,328.9,330.5,324.7,328.0,327.4,327.35,327.56,349.0,207.25,"4,266,651","1,397,583,895.00","54,672"
10-Apr-2023,EQ,327.5,332.25,324.65,326.75,328.15,328.0,328.36,349.0,207.25,"3,406,679","1,118,618,662.00","35,735"
06-Apr-2023,EQ,323.9,330.3,322.55,323.9,326.4,326.75,326.43,349.0,207.25,"3,880,533","1,266,719,582.30","65,742"
05-Apr-2023,EQ,320.0,324.65,318.1,321.05,324.25,323.9,321.77,349.0,207.25,"2,016,527","648,858,695.45","37,336"
03-Apr-2023,EQ,324.8,325.0,319.15,324.35,321.7,321.05,320.69,349.0,207.25,"4,349,256","1,394,751,548.75","36,974"
31-Mar-2023,EQ,320.5,326.8,318.85,319.05,324.0,324.35,323.38,349.0,207.25,"3,928,162","1,270,300,072.90","49,905"
29-Mar-2023,EQ,312.0,319.8,310.0,312.1,319.15,319.05,314.58,349.0,207.25,"3,193,116","1,004,502,672.00","35,970"
28-Mar-2023,EQ,306.5,313.5,302.1,304.95,313.3,312.1,308.36,349.0,207.25,"3,338,848","1,029,579,082.20","39,319"
27-Mar-2023,EQ,310.45,311.8,303.0,310.45,305.25,304.95,305.28,349.0,207.25,"2,877,356","878,389,894.55","33,542"
24-Mar-2023,EQ,314.0,315.95,309.4,314.05,310.4,310.45,312.0,349.0,205.0,"1,383,891","431,779,819.90","23,752"
23-Mar-2023,EQ,315.05,318.3,313.4,315.1,314.0,314.05,315.5,349.0,205.0,"1,778,728","561,184,686.55","17,559"
22-Mar-2023,EQ,318.85,319.75,312.65,317.85,315.95,315.1,317.35,349.0,205.0,"1,524,897","483,930,948.60","27,458"
21-Mar-2023,EQ,316.7,319.9,315.95,315.1,317.8,317.85,317.48,349.0,205.0,"1,793,808","569,499,910.45","30,229"
20-Mar-2023,EQ,324.4,324.4,311.45,321.85,315.6,315.1,315.2,349.0,205.0,"1,947,923","613,995,010.25","30,095"
17-Mar-2023,EQ,322.55,324.2,319.05,320.9,320.75,321.85,321.76,349.0,200.4,"3,180,834","1,023,468,190.25","26,957"
16-Mar-2023,EQ,313.15,321.9,312.15,315.65,321.0,320.9,318.01,349.0,200.4,"2,239,532","712,203,922.85","38,526"
15-Mar-2023,EQ,317.0,318.95,314.0,315.65,314.6,315.65,315.87,349.0,200.4,"1,572,618","496,740,669.15","21,008"
14-Mar-2023,EQ,312.1,316.75,306.7,312.15,314.0,315.65,311.73,349.0,200.4,"2,813,465","877,050,728.55","35,763"
13-Mar-2023,EQ,317.35,318.3,310.55,317.35,312.0,312.15,314.46,349.0,200.4,"2,251,942","708,150,776.20","27,060"
10-Mar-2023,EQ,321.5,321.5,313.4,321.8,317.55,317.35,316.69,349.0,180.6,"1,983,100","628,024,919.65","25,502"
09-Mar-2023,EQ,327.2,330.7,321.05,327.0,322.0,321.8,326.24,349.0,180.6,"3,685,557","1,202,373,252.90","50,202"
08-Mar-2023,EQ,319.7,327.75,318.05,319.7,327.2,327.0,323.85,349.0,180.6,"2,310,325","748,193,735.35","30,926"
