Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,209.25,214.25,208.2,209.7,213.4,213.3,211.32,298.95,152.3,"1,926,307","407,058,499.35","16,289"
23-Jun-2023,EQ,218.35,218.65,209.0,218.2,209.8,209.7,213.09,298.95,145.45,"4,549,273","969,403,090.00","33,575"
22-Jun-2023,EQ,234.55,236.8,217.4,231.5,218.0,218.2,224.74,298.95,145.45,"10,794,191","2,425,904,925.25","66,779"
21-Jun-2023,EQ,222.85,233.4,222.5,222.4,233.2,231.5,227.98,298.95,145.45,"4,978,577","1,134,992,251.00","26,692"
20-Jun-2023,EQ,222.95,225.0,220.5,223.15,222.0,222.4,223.05,298.95,145.45,"2,512,130","560,333,375.55","16,291"
19-Jun-2023,EQ,223.9,224.6,218.0,223.85,222.8,223.15,221.27,298.95,145.45,"2,181,770","482,764,732.50","13,662"
16-Jun-2023,EQ,224.65,226.6,223.05,222.55,224.2,223.85,224.64,298.95,145.45,"1,287,632","289,255,807.20","9,505"
15-Jun-2023,EQ,227.25,228.35,221.35,227.25,222.9,222.55,224.4,298.95,145.45,"2,212,035","496,371,127.05","15,743"
14-Jun-2023,EQ,228.0,231.5,226.05,228.15,227.05,227.25,228.34,298.95,145.45,"1,929,981","440,688,482.65","13,624"
13-Jun-2023,EQ,230.95,230.95,227.55,230.1,228.05,228.15,228.71,298.95,145.45,"1,513,328","346,111,157.80","11,075"
12-Jun-2023,EQ,230.35,232.0,225.3,230.35,230.25,230.1,228.7,298.95,145.45,"4,374,544","1,000,443,845.15","28,745"
09-Jun-2023,EQ,216.0,234.5,216.0,215.35,229.75,230.35,229.11,298.95,145.45,"21,562,473","4,940,163,059.90","121,999"
08-Jun-2023,EQ,223.0,223.0,214.35,223.05,216.3,215.35,217.48,298.95,145.45,"3,415,672","742,841,397.65","21,252"
07-Jun-2023,EQ,221.4,223.75,218.0,220.9,222.25,223.05,221.12,298.95,145.45,"3,107,561","687,133,539.20","35,597"
06-Jun-2023,EQ,217.75,221.5,216.35,217.9,221.2,220.9,219.89,298.95,145.45,"3,741,969","822,821,530.85","20,006"
05-Jun-2023,EQ,214.2,223.25,214.2,212.95,217.55,217.9,219.84,298.95,145.45,"9,139,156","2,009,142,991.20","55,830"
02-Jun-2023,EQ,211.95,214.35,210.05,210.9,212.55,212.95,212.5,298.95,145.45,"3,550,709","754,527,723.65","25,007"
01-Jun-2023,EQ,202.35,213.25,201.6,202.35,210.45,210.9,208.74,298.95,145.45,"8,470,578","1,768,148,301.50","51,695"
31-May-2023,EQ,198.05,202.95,198.05,199.75,202.2,202.35,201.2,298.95,145.45,"3,618,973","728,147,034.30","22,746"
30-May-2023,EQ,193.9,202.35,193.2,193.2,199.5,199.75,199.7,298.95,145.45,"9,554,944","1,908,143,602.95","52,104"
29-May-2023,EQ,188.5,193.5,188.0,187.85,193.3,193.2,191.81,298.95,145.45,"3,115,900","597,673,740.30","18,475"
26-May-2023,EQ,185.1,188.35,184.75,185.0,187.35,187.85,186.92,298.95,145.45,"1,746,835","326,524,389.70","11,742"
25-May-2023,EQ,188.35,189.45,183.55,190.2,185.5,185.0,185.59,298.95,145.45,"3,829,223","710,684,613.90","25,754"
24-May-2023,EQ,195.65,195.95,188.65,195.65,190.4,190.2,191.55,298.95,145.45,"5,091,726","975,330,006.80","35,770"
23-May-2023,EQ,194.55,198.8,194.25,194.3,195.2,195.65,196.41,298.95,145.45,"3,620,277","711,061,852.25","21,516"
22-May-2023,EQ,191.0,195.7,190.35,191.9,194.5,194.3,193.92,298.95,145.45,"1,813,117","351,602,637.95","14,364"
19-May-2023,EQ,188.75,193.0,186.3,188.85,191.9,191.9,190.09,298.95,145.45,"3,077,187","584,942,497.25","19,693"
18-May-2023,EQ,195.1,196.15,188.0,194.3,188.35,188.85,191.74,298.95,145.45,"1,774,086","340,166,963.30","15,025"
17-May-2023,EQ,194.45,197.9,192.55,193.75,194.35,194.3,195.28,298.95,145.45,"3,405,605","665,042,428.15","24,679"
16-May-2023,EQ,194.0,196.55,192.5,193.75,193.35,193.75,194.54,298.95,145.45,"1,721,556","334,913,008.70","13,066"
15-May-2023,EQ,194.75,195.3,190.8,194.05,193.75,193.75,193.3,298.95,145.45,"1,559,471","301,452,349.15","12,949"
12-May-2023,EQ,196.75,196.75,193.4,196.75,194.05,194.05,194.92,298.95,145.45,"1,199,308","233,766,346.70","9,283"
11-May-2023,EQ,195.0,198.0,193.85,194.25,196.85,196.75,196.41,298.95,145.45,"2,322,996","456,256,100.10","15,881"
10-May-2023,EQ,191.95,200.85,190.55,191.55,194.15,194.25,196.53,298.95,145.45,"6,334,835","1,244,989,880.05","41,528"
09-May-2023,EQ,196.0,197.2,190.7,195.55,191.4,191.55,193.65,298.95,145.45,"1,540,830","298,376,031.75","11,939"
08-May-2023,EQ,192.2,197.0,191.7,191.2,195.7,195.55,194.84,298.95,145.45,"5,183,584","1,009,969,859.55","29,098"
05-May-2023,EQ,189.5,193.5,186.65,189.65,190.7,191.2,190.71,298.95,145.45,"3,848,184","733,891,656.45","20,041"
04-May-2023,EQ,187.6,190.75,187.4,187.4,189.2,189.65,189.6,298.95,145.45,"1,699,174","322,164,934.90","11,820"
03-May-2023,EQ,186.2,188.9,185.0,186.5,187.7,187.4,187.32,298.95,145.45,"1,681,224","314,927,528.05","17,562"
02-May-2023,EQ,186.4,188.2,184.3,185.55,186.45,186.5,186.43,298.95,145.45,"1,748,717","326,005,289.75","13,613"
28-Apr-2023,EQ,182.0,186.4,181.85,181.55,185.15,185.55,183.93,298.95,145.45,"3,053,377","561,612,596.45","21,136"
27-Apr-2023,EQ,179.95,182.3,178.9,179.85,181.65,181.55,180.4,298.95,145.45,"1,432,544","258,432,844.75","10,550"
26-Apr-2023,EQ,180.8,181.25,178.85,180.05,179.85,179.85,180.03,298.95,145.45,"1,140,305","205,286,610.55","8,782"
25-Apr-2023,EQ,180.6,183.0,179.1,180.55,180.0,180.05,181.37,298.95,145.45,"1,634,077","296,368,477.95","11,405"
24-Apr-2023,EQ,177.6,181.0,176.25,177.5,180.95,180.55,178.88,298.95,145.45,"1,889,449","337,985,334.05","14,561"
21-Apr-2023,EQ,183.3,184.45,176.75,183.25,177.55,177.5,179.2,298.95,145.45,"2,675,325","479,431,085.75","20,310"
20-Apr-2023,EQ,187.0,187.8,182.2,186.85,183.55,183.25,184.44,298.95,145.45,"1,881,800","347,072,463.50","15,478"
19-Apr-2023,EQ,188.7,191.2,185.7,188.65,187.35,186.85,188.51,298.95,145.45,"1,517,037","285,979,333.80","14,214"
18-Apr-2023,EQ,193.5,194.2,186.85,192.0,188.6,188.65,190.78,298.95,145.45,"3,197,759","610,072,658.55","23,890"
17-Apr-2023,EQ,186.0,192.45,184.55,186.2,191.8,192.0,190.17,298.95,145.45,"2,522,589","479,718,280.30","20,740"
13-Apr-2023,EQ,189.7,189.7,185.4,189.5,186.0,186.2,187.04,298.95,145.45,"1,363,960","255,118,247.70","11,129"
12-Apr-2023,EQ,189.0,191.85,188.35,188.95,189.25,189.5,190.15,298.95,145.45,"1,296,466","246,525,064.90","11,234"
11-Apr-2023,EQ,187.9,190.9,187.35,186.95,188.8,188.95,189.25,298.95,145.45,"1,348,089","255,120,930.80","10,753"
10-Apr-2023,EQ,188.8,189.9,185.9,187.7,186.8,186.95,187.7,298.95,145.45,"1,331,545","249,925,200.95","10,277"
06-Apr-2023,EQ,186.2,189.7,185.6,187.45,187.5,187.7,187.7,298.95,145.45,"2,460,146","461,757,788.60","16,100"
05-Apr-2023,EQ,187.2,188.2,185.25,187.15,186.95,187.45,186.84,298.95,145.45,"961,949","179,730,290.90","9,036"
03-Apr-2023,EQ,185.2,188.45,184.25,185.05,186.75,187.15,186.8,298.95,145.45,"1,723,077","321,870,317.85","12,893"
31-Mar-2023,EQ,178.0,186.35,177.2,177.2,184.5,185.05,183.31,298.95,145.45,"3,632,043","665,806,871.70","24,671"
29-Mar-2023,EQ,168.1,178.15,167.6,168.4,177.0,177.2,174.15,298.95,145.45,"3,158,218","549,996,241.10","22,106"
28-Mar-2023,EQ,172.9,172.9,167.2,172.0,167.45,168.4,169.13,298.95,145.45,"2,182,981","369,213,633.95","16,949"
27-Mar-2023,EQ,174.85,175.75,171.1,175.4,171.3,172.0,172.59,298.95,145.45,"1,816,758","313,546,157.35","15,545"
24-Mar-2023,EQ,179.45,180.7,174.65,179.8,175.3,175.4,177.46,298.95,145.45,"1,398,343","248,150,159.75","11,767"
23-Mar-2023,EQ,181.25,182.1,179.35,181.65,180.0,179.8,180.79,298.95,145.45,"915,817","165,568,471.30","7,578"
22-Mar-2023,EQ,181.2,182.9,180.25,180.25,181.7,181.65,181.52,298.95,145.45,"1,801,631","327,037,396.50","11,597"
21-Mar-2023,EQ,179.25,181.55,177.25,178.05,180.4,180.25,180.15,298.95,145.45,"3,505,772","631,557,726.75","19,709"
20-Mar-2023,EQ,189.2,189.2,175.05,188.25,178.5,178.05,179.3,298.95,145.45,"6,404,452","1,148,310,023.30","36,975"
17-Mar-2023,EQ,193.7,194.8,187.7,192.25,188.0,188.25,190.0,298.95,145.45,"3,166,766","601,699,323.60","18,348"
16-Mar-2023,EQ,191.0,193.7,188.05,190.65,193.0,192.25,191.38,298.95,145.45,"1,623,354","310,674,719.70","12,583"
15-Mar-2023,EQ,189.6,193.8,188.75,188.2,190.65,190.65,191.59,298.95,145.45,"2,102,940","402,908,669.20","15,928"
14-Mar-2023,EQ,188.0,189.2,183.2,187.15,187.7,188.2,186.44,298.95,145.45,"2,275,354","424,223,231.70","16,595"
13-Mar-2023,EQ,196.0,197.05,186.4,195.55,187.6,187.15,190.56,298.95,145.45,"2,045,900","389,864,470.40","16,990"
10-Mar-2023,EQ,199.4,199.4,195.0,200.65,195.9,195.55,196.27,298.95,145.45,"1,252,606","245,854,829.40","10,592"
09-Mar-2023,EQ,203.0,204.5,199.65,202.65,200.15,200.65,202.05,298.95,145.45,"1,243,660","251,280,347.55","10,555"
08-Mar-2023,EQ,198.0,203.0,196.35,199.15,202.0,202.65,200.91,298.95,145.45,"2,004,004","402,625,477.60","13,289"
06-Mar-2023,EQ,200.2,203.0,198.5,199.2,199.3,199.15,201.11,298.95,145.45,"4,026,524","809,762,687.05","23,633"
03-Mar-2023,EQ,198.5,200.3,196.55,196.45,199.2,199.2,198.51,298.95,145.45,"2,154,255","427,646,161.45","13,781"
02-Mar-2023,EQ,193.5,197.0,192.55,193.55,196.45,196.45,195.66,298.95,145.45,"2,187,993","428,110,503.10","15,341"
01-Mar-2023,EQ,186.65,194.2,186.15,187.1,193.85,193.55,191.12,298.95,145.45,"2,894,145","553,117,617.00","18,155"
28-Feb-2023,EQ,184.85,188.8,184.0,184.85,187.75,187.1,186.29,298.95,145.45,"2,971,800","553,609,596.55","15,322"
27-Feb-2023,EQ,188.8,188.8,182.7,188.9,184.7,184.85,185.1,298.95,145.45,"1,659,670","307,211,976.05","12,982"
24-Feb-2023,EQ,189.45,191.0,187.6,188.3,189.1,188.9,189.14,298.95,145.45,"1,359,960","257,224,556.20","10,625"
23-Feb-2023,EQ,190.7,191.3,187.25,190.3,188.7,188.3,188.97,298.95,145.45,"2,089,907","394,938,599.70","14,301"
22-Feb-2023,EQ,197.65,198.2,189.55,197.9,190.0,190.3,192.16,298.95,145.45,"3,246,397","623,835,435.80","22,333"
21-Feb-2023,EQ,199.5,201.1,197.2,199.15,198.0,197.9,199.13,298.95,145.45,"2,158,664","429,858,811.90","14,212"
20-Feb-2023,EQ,198.75,201.95,194.4,198.2,199.0,199.15,198.4,298.95,145.45,"3,484,925","691,426,326.70","24,659"
17-Feb-2023,EQ,197.95,203.95,196.2,198.3,197.25,198.2,200.56,298.95,145.45,"8,341,248","1,672,912,616.20","49,077"
16-Feb-2023,EQ,196.25,199.5,195.55,195.8,198.95,198.3,197.6,298.95,145.45,"3,855,180","761,769,494.20","20,649"
15-Feb-2023,EQ,194.5,197.6,193.4,194.8,195.95,195.8,195.91,298.95,145.45,"2,633,642","515,965,783.65","15,217"
14-Feb-2023,EQ,196.4,199.2,191.5,195.65,194.6,194.8,195.66,298.95,145.45,"3,309,538","647,532,321.45","24,695"
13-Feb-2023,EQ,199.9,204.9,195.0,197.9,195.2,195.65,198.93,298.95,145.45,"8,745,806","1,739,813,360.20","52,883"
10-Feb-2023,EQ,192.5,201.0,190.5,192.35,201.0,197.9,194.94,298.95,145.45,"3,293,303","641,993,141.35","20,602"
09-Feb-2023,EQ,193.0,193.45,188.4,193.3,192.8,192.35,191.54,298.95,145.45,"3,540,659","678,167,065.15","19,897"
08-Feb-2023,EQ,189.6,194.75,189.6,188.0,193.3,193.3,192.32,298.95,145.45,"6,669,546","1,282,719,078.55","38,725"
07-Feb-2023,EQ,189.35,190.95,184.75,188.4,188.6,188.0,187.8,298.95,145.45,"2,586,135","485,684,423.20","18,617"
06-Feb-2023,EQ,190.0,192.85,186.05,192.25,188.0,188.4,188.48,298.95,145.45,"3,828,366","721,585,491.70","27,234"
03-Feb-2023,EQ,193.3,194.1,184.65,192.35,191.05,192.25,189.88,298.95,145.45,"6,150,185","1,167,775,280.30","47,298"
02-Feb-2023,EQ,192.1,198.3,187.75,193.85,192.65,192.35,193.22,298.95,145.45,"3,202,033","618,704,554.55","28,238"
01-Feb-2023,EQ,195.0,202.95,187.4,193.3,193.8,193.85,197.03,298.95,145.45,"4,400,562","867,037,234.60","34,692"
31-Jan-2023,EQ,189.0,194.8,188.3,188.15,193.55,193.3,192.15,298.95,145.45,"3,412,844","655,773,268.55","22,169"
30-Jan-2023,EQ,188.1,196.3,184.05,189.75,187.15,188.15,190.03,298.95,145.45,"3,560,906","676,670,771.80","29,335"
27-Jan-2023,EQ,193.5,196.9,183.4,194.65,190.0,189.75,190.0,298.95,145.45,"4,392,712","834,636,260.35","35,908"
25-Jan-2023,EQ,202.75,203.1,193.45,203.3,194.9,194.65,196.92,298.95,145.45,"3,845,201","757,209,672.45","29,081"
24-Jan-2023,EQ,208.1,209.9,202.5,207.85,203.0,203.3,205.44,298.95,145.45,"2,012,971","413,551,399.75","15,761"
23-Jan-2023,EQ,215.0,216.0,206.55,215.25,207.1,207.85,209.49,298.95,145.45,"3,073,678","643,915,479.50","19,332"
20-Jan-2023,EQ,215.9,217.7,214.0,215.85,214.8,215.25,215.33,298.95,145.45,"1,328,088","285,973,389.60","8,274"
19-Jan-2023,EQ,217.0,218.1,214.3,217.35,215.4,215.85,216.33,298.95,145.45,"1,120,021","242,290,592.40","9,496"
18-Jan-2023,EQ,215.8,217.8,213.1,214.85,217.75,217.35,215.76,298.95,145.45,"1,018,881","219,834,481.55","8,311"
17-Jan-2023,EQ,216.0,216.3,212.3,215.85,214.55,214.85,214.53,298.95,145.45,"1,072,883","230,170,788.85","8,456"
16-Jan-2023,EQ,217.65,218.0,214.6,216.8,214.85,215.85,216.31,298.95,145.45,"1,098,340","237,582,142.60","9,412"
13-Jan-2023,EQ,215.2,217.75,213.5,214.5,216.05,216.8,215.85,298.95,145.45,"1,316,955","284,269,390.45","11,625"
12-Jan-2023,EQ,216.0,218.5,213.0,215.55,214.05,214.5,215.86,298.95,145.45,"2,479,580","535,254,437.05","16,524"
11-Jan-2023,EQ,216.0,216.9,214.1,216.0,214.85,215.55,215.42,298.95,145.45,"1,207,982","260,224,923.20","9,508"
10-Jan-2023,EQ,219.75,219.95,212.7,219.75,215.75,216.0,216.35,298.95,145.45,"1,437,809","311,064,615.05","11,645"
09-Jan-2023,EQ,218.8,221.9,217.2,217.7,219.0,219.75,219.71,298.95,145.45,"1,088,664","239,185,346.90","10,033"
06-Jan-2023,EQ,221.25,221.65,213.9,220.7,217.5,217.7,217.87,298.95,145.45,"2,190,462","477,230,926.65","16,817"
05-Jan-2023,EQ,220.65,221.7,217.95,219.55,220.5,220.7,219.74,298.95,145.45,"1,898,964","417,283,430.65","15,252"
04-Jan-2023,EQ,222.8,224.7,218.5,222.35,219.5,219.55,221.51,298.95,145.45,"2,709,407","600,161,403.20","20,437"
03-Jan-2023,EQ,223.25,223.25,219.0,222.15,222.8,222.35,221.2,298.95,145.45,"1,735,986","384,002,001.50","12,757"
02-Jan-2023,EQ,219.6,224.2,218.6,218.45,222.0,222.15,221.92,298.95,145.45,"2,017,765","447,791,905.05","13,495"
30-Dec-2022,EQ,220.65,222.0,217.2,219.55,218.25,218.45,219.56,298.95,145.45,"2,473,315","543,031,528.75","20,267"
29-Dec-2022,EQ,215.95,221.5,210.5,215.95,220.0,219.55,215.5,298.95,145.45,"4,602,096","991,734,190.15","27,474"
28-Dec-2022,EQ,215.45,217.15,212.75,215.95,215.75,215.95,215.37,298.95,145.45,"2,178,707","469,224,028.05","17,649"
27-Dec-2022,EQ,210.05,217.3,208.25,208.45,215.5,215.95,212.72,298.95,145.45,"4,204,877","894,448,500.20","30,038"
26-Dec-2022,EQ,199.15,211.95,197.2,198.1,208.5,208.45,207.07,298.95,145.45,"5,418,450","1,122,025,117.40","37,703"
23-Dec-2022,EQ,214.2,215.75,197.05,218.75,199.0,198.1,206.33,298.95,145.45,"6,082,011","1,254,876,850.35","43,999"
22-Dec-2022,EQ,227.0,227.55,215.7,225.5,217.7,218.75,220.43,298.95,145.45,"4,898,248","1,079,733,971.75","36,062"
21-Dec-2022,EQ,233.9,238.5,223.5,232.25,224.2,225.5,231.35,298.95,145.45,"4,261,815","985,969,754.20","30,941"
20-Dec-2022,EQ,233.0,233.85,227.25,233.45,232.0,232.25,230.35,298.95,145.45,"2,135,324","491,866,240.55","15,848"
19-Dec-2022,EQ,230.0,234.75,227.85,230.15,234.2,233.45,232.3,298.95,145.45,"2,077,906","482,699,935.95","17,050"
16-Dec-2022,EQ,237.55,242.25,228.0,239.95,228.75,230.15,234.52,298.95,145.45,"3,505,534","822,130,180.95","30,105"
15-Dec-2022,EQ,245.05,247.95,238.0,246.7,238.7,239.95,243.26,298.95,145.45,"1,872,892","455,607,593.25","13,965"
14-Dec-2022,EQ,244.9,248.5,244.55,243.85,246.95,246.7,246.72,298.95,145.45,"1,564,935","386,100,037.75","11,019"
13-Dec-2022,EQ,246.8,247.55,242.5,245.6,243.9,243.85,244.67,298.95,145.45,"2,030,766","496,861,828.40","16,791"
12-Dec-2022,EQ,241.9,246.35,236.0,241.55,246.05,245.6,243.11,298.95,145.45,"2,515,450","611,530,998.75","19,040"
09-Dec-2022,EQ,248.5,250.8,237.95,247.2,241.8,241.55,244.95,298.95,145.45,"2,571,075","629,776,127.90","19,634"
08-Dec-2022,EQ,244.8,248.55,243.25,244.8,247.5,247.2,246.0,298.95,145.45,"1,774,075","436,430,898.55","13,595"
07-Dec-2022,EQ,250.0,251.4,241.8,249.4,244.0,244.8,245.78,298.95,145.45,"3,094,920","760,683,618.05","20,433"
06-Dec-2022,EQ,247.0,253.05,246.4,248.1,249.4,249.4,250.14,298.95,145.45,"3,295,415","824,302,384.55","23,981"
05-Dec-2022,EQ,249.7,251.05,246.2,248.85,247.2,248.1,248.63,298.95,145.45,"1,665,776","414,163,800.75","12,940"
02-Dec-2022,EQ,248.7,251.8,247.55,247.2,248.6,248.85,249.73,298.95,145.45,"5,574,678","1,392,157,556.70","35,481"
