Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,893.00","2,913.30","2,865.00","2,905.50","2,867.00","2,873.20","2,891.40","6,097.00","2,865.00","131,680","380,739,273.30","15,501"
23-Jun-2023,EQ,"2,928.00","2,938.60","2,885.00","2,928.25","2,908.95","2,905.50","2,907.67","6,097.00","2,885.00","131,604","382,660,403.65","14,002"
22-Jun-2023,EQ,"2,990.00","3,001.50","2,888.05","2,990.50","2,926.00","2,928.25","2,927.23","6,097.00","2,888.05","263,532","771,419,598.05","20,321"
21-Jun-2023,EQ,"2,980.00","3,014.00","2,965.00","5,915.30","2,994.95","2,990.50","2,988.52","6,097.00","2,965.00","346,075","1,034,253,281.65","35,809"
20-Jun-2023,EQ,"5,911.00","5,938.60","5,851.60","5,910.35","5,917.80","5,915.30","5,902.62","6,097.00","3,676.00","106,862","630,765,274.70","14,646"
19-Jun-2023,EQ,"5,938.00","5,950.00","5,838.05","5,909.85","5,910.00","5,910.35","5,898.37","6,097.00","3,676.00","78,710","464,260,789.05","12,484"
16-Jun-2023,EQ,"5,847.00","5,969.00","5,809.75","5,838.95","5,905.45","5,909.85","5,919.38","6,097.00","3,676.00","126,141","746,676,959.85","19,306"
15-Jun-2023,EQ,"5,811.95","5,872.25","5,803.65","5,810.75","5,835.00","5,838.95","5,840.21","6,097.00","3,676.00","75,225","439,329,809.65","10,691"
14-Jun-2023,EQ,"5,784.00","5,838.00","5,724.05","5,746.20","5,818.00","5,810.75","5,789.28","6,097.00","3,676.00","96,160","556,697,437.90","13,269"
13-Jun-2023,EQ,"5,700.00","5,793.75","5,699.95","5,677.10","5,749.00","5,746.20","5,748.36","6,097.00","3,676.00","86,235","495,709,760.95","14,549"
12-Jun-2023,EQ,"5,600.00","5,698.00","5,547.55","5,587.95","5,686.10","5,677.10","5,653.55","6,097.00","3,676.00","102,380","578,810,262.05","26,592"
09-Jun-2023,EQ,"5,569.90","5,669.95","5,521.00","5,537.05","5,571.00","5,587.95","5,604.86","6,097.00","3,676.00","77,838","436,271,381.05","12,258"
08-Jun-2023,EQ,"5,660.95","5,678.85","5,518.05","5,649.15","5,534.00","5,537.05","5,577.28","6,097.00","3,676.00","70,289","392,021,751.75","11,484"
07-Jun-2023,EQ,"5,634.00","5,693.70","5,612.20","5,605.40","5,660.00","5,649.15","5,655.18","6,097.00","3,676.00","52,415","296,416,160.30","9,038"
06-Jun-2023,EQ,"5,623.00","5,639.95","5,583.00","5,618.95","5,604.00","5,605.40","5,606.83","6,097.00","3,676.00","51,604","289,334,740.05","8,407"
05-Jun-2023,EQ,"5,749.95","5,749.95","5,581.00","5,700.80","5,627.90","5,618.95","5,637.12","6,097.00","3,676.00","100,102","564,287,425.90","12,566"
02-Jun-2023,EQ,"5,622.85","5,714.00","5,600.00","5,601.05","5,710.00","5,700.80","5,677.43","6,097.00","3,676.00","86,326","490,109,965.30","14,318"
01-Jun-2023,EQ,"5,583.95","5,665.00","5,551.50","5,580.55","5,605.00","5,601.05","5,602.85","6,097.00","3,676.00","103,278","578,651,149.95","15,001"
31-May-2023,EQ,"5,525.00","5,610.70","5,495.10","5,502.55","5,582.30","5,580.55","5,575.12","6,097.00","3,676.00","92,572","516,100,030.95","13,901"
30-May-2023,EQ,"5,550.00","5,568.55","5,485.00","5,545.60","5,510.00","5,502.55","5,516.76","6,097.00","3,676.00","33,360","184,039,226.30","6,929"
29-May-2023,EQ,"5,561.00","5,598.00","5,534.55","5,559.90","5,534.55","5,545.60","5,562.70","6,097.00","3,676.00","32,425","180,370,574.50","6,179"
26-May-2023,EQ,"5,466.00","5,619.85","5,456.65","5,498.55","5,552.00","5,559.90","5,551.37","6,097.00","3,676.00","99,263","551,045,179.25","14,270"
25-May-2023,EQ,"5,542.00","5,580.00","5,433.00","5,542.60","5,500.00","5,498.55","5,481.06","6,097.00","3,676.00","86,802","475,767,116.85","11,466"
24-May-2023,EQ,"5,527.65","5,559.50","5,480.15","5,534.90","5,541.40","5,542.60","5,534.26","6,097.00","3,676.00","84,908","469,902,652.85","9,235"
23-May-2023,EQ,"5,580.00","5,590.00","5,520.10","5,571.15","5,527.65","5,534.90","5,543.23","6,097.00","3,676.00","47,462","263,092,936.05","7,091"
22-May-2023,EQ,"5,594.95","5,617.85","5,521.90","5,588.50","5,575.00","5,571.15","5,571.94","6,097.00","3,676.00","51,297","285,824,010.55","8,166"
19-May-2023,EQ,"5,680.10","5,694.45","5,553.00","5,640.70","5,581.20","5,588.50","5,593.81","6,097.00","3,676.00","114,407","639,971,587.50","14,933"
18-May-2023,EQ,"5,861.85","5,861.85","5,615.85","5,809.95","5,638.00","5,640.70","5,711.30","6,097.00","3,676.00","112,964","645,170,813.05","10,961"
17-May-2023,EQ,"5,850.00","5,850.00","5,774.50","5,851.35","5,809.00","5,809.95","5,804.94","6,097.00","3,676.00","94,089","546,180,541.70","11,282"
16-May-2023,EQ,"5,985.60","5,990.05","5,835.00","5,955.80","5,844.05","5,851.35","5,888.91","6,097.00","3,676.00","74,851","440,790,776.70","11,998"
15-May-2023,EQ,"5,900.00","5,979.95","5,852.65","5,909.35","5,941.10","5,955.80","5,935.90","6,097.00","3,676.00","95,861","569,021,077.40","19,802"
12-May-2023,EQ,"5,917.00","5,987.95","5,870.00","5,910.70","5,895.30","5,909.35","5,930.97","6,097.00","3,676.00","92,836","550,607,125.05","17,049"
11-May-2023,EQ,"5,935.00","5,966.00","5,861.25","5,928.35","5,910.00","5,910.70","5,912.43","6,097.00","3,676.00","66,457","392,922,464.85","8,997"
10-May-2023,EQ,"5,947.00","5,981.85","5,893.05","5,939.30","5,927.00","5,928.35","5,927.69","6,097.00","3,676.00","69,214","410,279,446.55","9,129"
09-May-2023,EQ,"5,998.95","6,024.15","5,882.10","5,985.65","5,930.55","5,939.30","5,950.35","6,097.00","3,676.00","102,526","610,065,276.95","11,671"
08-May-2023,EQ,"5,967.15","6,020.00","5,881.00","5,946.90","5,993.00","5,985.65","5,961.48","6,097.00","3,676.00","150,996","900,159,180.10","23,575"
05-May-2023,EQ,"6,055.00","6,055.00","5,900.15","6,040.20","5,969.00","5,946.90","5,965.25","6,097.00","3,676.00","170,206","1,015,321,756.65","20,127"
04-May-2023,EQ,"5,735.10","6,097.00","5,735.10","5,735.10","6,055.00","6,040.20","5,942.10","6,097.00","3,676.00","498,194","2,960,318,430.20","58,005"
03-May-2023,EQ,"5,628.00","5,750.00","5,601.05","5,628.15","5,732.00","5,735.10","5,686.66","5,750.00","3,676.00","248,018","1,410,394,763.30","31,424"
02-May-2023,EQ,"5,350.00","5,653.45","5,327.05","5,366.65","5,642.80","5,628.15","5,535.10","5,653.45","3,676.00","318,763","1,764,383,795.30","39,745"
28-Apr-2023,EQ,"5,315.00","5,420.00","5,211.05","5,248.50","5,363.05","5,366.65","5,331.55","5,565.50","3,676.00","183,459","978,121,631.45","23,106"
27-Apr-2023,EQ,"5,306.00","5,318.95","5,224.45","5,274.15","5,247.00","5,248.50","5,255.75","5,565.50","3,676.00","49,997","262,771,814.70","7,293"
26-Apr-2023,EQ,"5,337.95","5,360.60","5,240.35","5,318.30","5,284.95","5,274.15","5,294.58","5,565.50","3,676.00","112,208","594,094,319.05","13,771"
25-Apr-2023,EQ,"5,200.00","5,398.00","5,182.50","5,204.40","5,305.00","5,318.30","5,305.53","5,565.50","3,676.00","156,713","831,445,226.75","20,151"
24-Apr-2023,EQ,"5,250.00","5,303.00","5,179.30","5,249.70","5,193.10","5,204.40","5,231.72","5,565.50","3,676.00","63,330","331,324,942.95","10,086"
21-Apr-2023,EQ,"5,448.00","5,448.00","5,220.00","5,408.20","5,225.00","5,249.70","5,314.70","5,565.50","3,676.00","78,101","415,083,716.85","12,805"
20-Apr-2023,EQ,"5,446.00","5,483.20","5,400.25","5,397.95","5,412.00","5,408.20","5,439.98","5,565.50","3,676.00","79,623","433,147,245.15","14,398"
19-Apr-2023,EQ,"5,361.00","5,495.00","5,342.10","5,360.70","5,404.05","5,397.95","5,434.94","5,565.50","3,676.00","131,355","713,906,428.90","23,389"
18-Apr-2023,EQ,"5,358.00","5,432.50","5,332.65","5,353.95","5,345.00","5,360.70","5,385.68","5,565.50","3,676.00","78,106","420,654,108.25","15,347"
17-Apr-2023,EQ,"5,395.00","5,466.00","5,340.00","5,391.50","5,340.05","5,353.95","5,392.16","5,565.50","3,676.00","117,767","635,018,500.80","18,643"
13-Apr-2023,EQ,"5,374.95","5,565.50","5,329.55","5,331.45","5,396.90","5,391.50","5,450.96","5,565.50","3,676.00","346,885","1,890,854,569.05","45,649"
12-Apr-2023,EQ,"5,140.00","5,340.00","5,128.95","5,136.10","5,340.00","5,331.45","5,284.00","5,340.00","3,676.00","285,071","1,506,315,578.95","40,319"
11-Apr-2023,EQ,"5,045.75","5,163.45","5,025.25","5,045.75","5,141.25","5,136.10","5,121.79","5,248.00","3,676.00","106,699","546,489,823.65","16,273"
10-Apr-2023,EQ,"5,000.35","5,061.45","4,950.20","5,000.35","5,047.00","5,045.75","4,999.93","5,248.00","3,676.00","74,293","371,459,993.15","11,182"
06-Apr-2023,EQ,"5,065.00","5,070.00","4,987.65","5,052.20","5,000.00","5,000.35","5,012.79","5,248.00","3,676.00","25,108","125,861,105.75","5,447"
05-Apr-2023,EQ,"5,015.00","5,069.90","4,975.55","5,016.75","5,059.00","5,052.20","5,017.38","5,248.00","3,676.00","69,047","346,434,969.40","19,228"
03-Apr-2023,EQ,"5,040.00","5,041.20","4,939.35","5,019.75","5,015.00","5,016.75","4,998.54","5,248.00","3,676.00","88,490","442,320,566.70","17,800"
31-Mar-2023,EQ,"5,006.45","5,097.70","4,990.00","5,006.45","5,030.00","5,019.75","5,047.53","5,248.00","3,676.00","85,899","433,577,693.90","17,794"
29-Mar-2023,EQ,"4,990.00","5,050.00","4,958.80","5,011.25","4,980.00","5,006.45","5,008.30","5,248.00","3,676.00","147,001","736,225,598.35","22,022"
28-Mar-2023,EQ,"5,050.00","5,066.55","4,966.55","5,036.95","5,015.00","5,011.25","5,019.04","5,248.00","3,676.00","75,787","380,377,718.05","13,495"
27-Mar-2023,EQ,"4,970.05","5,114.00","4,950.30","4,976.85","5,040.00","5,036.95","5,052.18","5,248.00","3,676.00","116,730","589,741,489.95","19,744"
24-Mar-2023,EQ,"4,923.10","5,077.45","4,921.00","4,932.90","4,985.95","4,976.85","5,008.38","5,248.00","3,676.00","109,860","550,220,281.30","17,990"
23-Mar-2023,EQ,"5,035.05","5,035.05","4,922.65","5,035.05","4,943.00","4,932.90","4,960.77","5,248.00","3,676.00","81,806","405,820,922.50","11,818"
22-Mar-2023,EQ,"5,105.05","5,193.00","5,019.65","5,102.30","5,019.65","5,035.05","5,092.70","5,248.00","3,676.00","129,324","658,608,559.20","16,821"
21-Mar-2023,EQ,"4,909.95","5,139.95","4,900.50","4,904.25","5,096.00","5,102.30","5,078.31","5,248.00","3,676.00","327,455","1,662,918,390.65","43,922"
20-Mar-2023,EQ,"4,893.50","4,940.00","4,844.00","4,893.50","4,900.00","4,904.25","4,870.48","5,248.00","3,676.00","68,350","332,897,277.35","7,190"
17-Mar-2023,EQ,"4,808.05","4,920.00","4,800.80","4,800.80","4,912.00","4,893.50","4,885.51","5,248.00","3,676.00","54,251","265,043,580.80","10,964"
16-Mar-2023,EQ,"4,739.40","4,870.00","4,700.00","4,739.40","4,796.10","4,800.80","4,794.42","5,248.00","3,676.00","66,641","319,505,085.25","15,810"
15-Mar-2023,EQ,"4,745.00","4,778.80","4,716.30","4,707.55","4,743.00","4,739.40","4,744.11","5,248.00","3,676.00","47,757","226,564,419.55","8,337"
14-Mar-2023,EQ,"4,640.00","4,734.95","4,631.20","4,661.30","4,715.00","4,707.55","4,692.15","5,248.00","3,676.00","70,016","328,525,735.00","15,612"
13-Mar-2023,EQ,"4,721.00","4,754.70","4,639.55","4,755.45","4,660.00","4,661.30","4,690.31","5,248.00","3,676.00","82,813","388,418,658.05","16,572"
10-Mar-2023,EQ,"4,919.95","4,919.95","4,730.00","4,940.25","4,745.00","4,755.45","4,773.27","5,248.00","3,676.00","114,614","547,084,121.00","22,286"
09-Mar-2023,EQ,"4,950.00","5,050.00","4,920.85","4,929.60","4,928.90","4,940.25","4,989.02","5,248.00","3,676.00","109,650","547,045,537.85","15,199"
08-Mar-2023,EQ,"4,940.25","4,950.00","4,908.00","4,954.25","4,939.00","4,929.60","4,928.56","5,248.00","3,676.00","31,021","152,888,719.60","8,155"
06-Mar-2023,EQ,"4,958.00","5,009.80","4,930.05","4,915.20","4,957.00","4,954.25","4,968.02","5,248.00","3,676.00","78,056","387,784,097.35","11,823"
03-Mar-2023,EQ,"4,915.95","4,964.95","4,888.25","4,906.85","4,925.00","4,915.20","4,923.57","5,248.00","3,676.00","52,057","256,306,252.70","11,656"
02-Mar-2023,EQ,"4,957.00","4,994.00","4,848.65","4,951.30","4,900.00","4,906.85","4,911.28","5,248.00","3,676.00","79,769","391,767,540.55","13,927"
01-Mar-2023,EQ,"4,860.00","5,045.00","4,848.00","4,848.95","4,951.00","4,951.30","4,980.65","5,248.00","3,676.00","231,049","1,150,774,364.50","31,004"
28-Feb-2023,EQ,"4,759.00","4,865.95","4,750.00","4,745.35","4,860.00","4,848.95","4,830.96","5,248.00","3,676.00","81,511","393,776,187.60","13,050"
27-Feb-2023,EQ,"4,711.00","4,773.70","4,681.00","4,768.10","4,753.00","4,745.35","4,732.58","5,248.00","3,676.00","40,696","192,596,893.80","7,368"
24-Feb-2023,EQ,"4,788.65","4,870.00","4,748.60","4,788.60","4,750.10","4,768.10","4,807.39","5,248.00","3,676.00","59,908","288,001,309.30","8,432"
23-Feb-2023,EQ,"4,738.40","4,820.50","4,686.00","4,719.25","4,818.90","4,788.60","4,759.27","5,248.00","3,676.00","117,840","560,832,546.40","17,295"
22-Feb-2023,EQ,"4,754.00","4,760.00","4,680.05","4,760.35","4,708.35","4,719.25","4,715.39","5,248.00","3,676.00","39,798","187,663,039.60","7,920"
21-Feb-2023,EQ,"4,765.00","4,810.00","4,743.05","4,754.15","4,754.90","4,760.35","4,788.84","5,248.00","3,676.00","53,518","256,288,940.70","7,984"
20-Feb-2023,EQ,"4,810.00","4,830.00","4,736.15","4,797.45","4,765.00","4,754.15","4,799.16","5,248.00","3,676.00","49,485","237,486,450.10","8,454"
17-Feb-2023,EQ,"4,781.00","4,816.20","4,746.10","4,794.35","4,790.05","4,797.45","4,788.64","5,248.80","3,676.00","52,938","253,500,981.20","9,264"
16-Feb-2023,EQ,"4,768.80","4,819.55","4,736.95","4,743.40","4,770.00","4,794.35","4,788.22","5,248.80","3,676.00","60,002","287,302,778.50","10,579"
15-Feb-2023,EQ,"4,700.00","4,856.25","4,700.00","4,716.55","4,741.05","4,743.40","4,791.51","5,248.80","3,676.00","98,920","473,976,165.45","13,698"
14-Feb-2023,EQ,"4,684.00","4,757.90","4,650.20","4,684.70","4,740.00","4,716.55","4,727.61","5,248.80","3,676.00","68,316","322,971,533.45","10,458"
13-Feb-2023,EQ,"4,784.00","4,800.00","4,657.15","4,791.75","4,671.00","4,684.70","4,725.42","5,248.80","3,676.00","52,233","246,822,936.70","9,606"
10-Feb-2023,EQ,"4,722.00","4,829.40","4,721.95","4,751.55","4,775.00","4,791.75","4,798.01","5,252.65","3,676.00","56,519","271,178,766.70","10,357"
09-Feb-2023,EQ,"4,701.00","4,766.40","4,641.30","4,701.00","4,725.00","4,751.55","4,731.78","5,252.65","3,676.00","56,592","267,780,631.80","9,761"
08-Feb-2023,EQ,"4,717.40","4,802.85","4,665.40","4,715.50","4,683.90","4,701.00","4,739.18","5,252.65","3,676.00","108,733","515,304,718.25","14,735"
07-Feb-2023,EQ,"4,690.00","4,748.95","4,655.30","4,696.20","4,731.00","4,715.50","4,708.50","5,252.65","3,676.00","63,397","298,505,077.05","12,463"
06-Feb-2023,EQ,"4,588.00","4,720.00","4,562.90","4,567.05","4,660.00","4,696.20","4,653.35","5,252.65","3,676.00","91,895","427,619,514.20","12,973"
03-Feb-2023,EQ,"4,550.00","4,605.00","4,527.60","4,538.50","4,560.00","4,567.05","4,566.06","5,382.00","3,676.00","72,353","330,368,261.00","15,672"
02-Feb-2023,EQ,"4,502.00","4,610.00","4,455.10","4,507.40","4,538.50","4,538.50","4,562.25","5,382.00","3,676.00","46,820","213,604,339.35","10,982"
01-Feb-2023,EQ,"4,538.80","4,656.00","4,451.70","4,538.60","4,471.00","4,507.40","4,586.46","5,382.00","3,676.00","78,287","359,060,207.90","15,737"
31-Jan-2023,EQ,"4,428.15","4,549.90","4,410.95","4,418.10","4,512.00","4,538.60","4,486.86","5,382.00","3,676.00","42,549","190,911,288.75","7,530"
30-Jan-2023,EQ,"4,444.00","4,464.85","4,371.00","4,434.35","4,420.00","4,418.10","4,415.88","5,382.00","3,676.00","36,450","160,958,842.25","7,205"
27-Jan-2023,EQ,"4,651.10","4,674.90","4,400.00","4,680.70","4,446.00","4,434.35","4,487.21","6,174.95","3,676.00","64,055","287,428,355.65","11,735"
25-Jan-2023,EQ,"4,694.45","4,723.95","4,640.05","4,694.45","4,641.95","4,680.70","4,676.73","6,174.95","3,676.00","83,633","391,128,961.20","9,919"
24-Jan-2023,EQ,"4,620.00","4,720.00","4,584.05","4,594.95","4,698.00","4,694.45","4,664.98","6,174.95","3,676.00","129,388","603,592,469.50","13,953"
23-Jan-2023,EQ,"4,570.00","4,650.00","4,550.05","4,549.60","4,583.00","4,594.95","4,597.88","6,174.95","3,676.00","110,662","508,810,312.80","13,900"
20-Jan-2023,EQ,"4,500.00","4,698.35","4,496.00","4,479.50","4,532.00","4,549.60","4,578.88","6,850.00","3,676.00","309,371","1,416,571,385.55","33,420"
19-Jan-2023,EQ,"4,464.00","4,520.00","4,443.10","4,510.65","4,489.90","4,479.50","4,480.66","6,850.00","3,676.00","62,418","279,673,927.50","9,195"
18-Jan-2023,EQ,"4,520.00","4,587.35","4,460.00","4,540.50","4,510.50","4,510.65","4,504.74","6,850.00","3,676.00","76,249","343,481,582.35","10,263"
17-Jan-2023,EQ,"4,565.55","4,595.00","4,510.00","4,586.30","4,537.60","4,540.50","4,536.20","6,850.00","3,676.00","61,807","280,368,890.25","11,332"
16-Jan-2023,EQ,"4,475.00","4,627.00","4,464.25","4,460.55","4,596.85","4,586.30","4,568.61","6,850.00","3,676.00","158,249","722,977,937.15","21,954"
13-Jan-2023,EQ,"4,456.95","4,479.20","4,399.00","4,446.55","4,477.00","4,460.55","4,442.19","6,907.00","3,676.00","34,233","152,069,444.15","5,400"
12-Jan-2023,EQ,"4,405.00","4,460.00","4,396.80","4,405.00","4,450.00","4,446.55","4,437.11","6,907.00","3,676.00","34,163","151,584,938.30","6,367"
11-Jan-2023,EQ,"4,375.00","4,432.90","4,370.00","4,364.95","4,405.10","4,405.00","4,402.63","6,907.00","3,676.00","31,306","137,828,623.25","5,291"
10-Jan-2023,EQ,"4,346.00","4,406.60","4,340.05","4,345.10","4,374.00","4,364.95","4,369.51","6,907.00","3,676.00","40,636","177,559,338.50","6,667"
09-Jan-2023,EQ,"4,352.15","4,386.50","4,305.25","4,339.55","4,331.00","4,345.10","4,340.51","6,907.00","3,676.00","33,072","143,549,294.50","6,917"
06-Jan-2023,EQ,"4,368.00","4,375.00","4,291.65","4,368.05","4,340.00","4,339.55","4,338.30","6,907.00","3,676.00","35,726","154,990,178.15","6,201"
05-Jan-2023,EQ,"4,385.00","4,385.00","4,316.90","4,359.95","4,356.50","4,368.05","4,356.33","6,907.00","3,676.00","25,914","112,890,046.90","5,587"
04-Jan-2023,EQ,"4,372.00","4,385.55","4,320.00","4,351.15","4,364.00","4,359.95","4,354.74","6,907.00","3,676.00","31,403","136,751,900.75","5,004"
03-Jan-2023,EQ,"4,313.30","4,380.00","4,313.30","4,327.35","4,351.15","4,351.15","4,356.06","6,907.00","3,676.00","20,736","90,327,355.30","2,868"
02-Jan-2023,EQ,"4,341.10","4,358.80","4,307.25","4,319.50","4,335.00","4,327.35","4,333.64","6,907.00","3,676.00","30,630","132,739,377.25","4,694"
30-Dec-2022,EQ,"4,278.10","4,355.00","4,278.10","4,278.10","4,323.00","4,319.50","4,322.74","6,907.00","3,676.00","37,193","160,775,586.15","6,225"
29-Dec-2022,EQ,"4,182.00","4,296.05","4,175.00","4,210.15","4,286.00","4,278.10","4,244.69","6,907.00","3,676.00","68,971","292,760,813.35","9,309"
28-Dec-2022,EQ,"4,258.15","4,287.10","4,200.00","4,258.15","4,211.70","4,210.15","4,244.79","6,907.00","3,676.00","86,759","368,273,631.95","15,773"
27-Dec-2022,EQ,"4,260.00","4,294.90","4,224.75","4,245.90","4,265.00","4,258.15","4,259.17","6,907.00","3,676.00","44,157","188,072,020.60","6,544"
26-Dec-2022,EQ,"4,129.30","4,269.00","4,091.00","4,108.75","4,230.10","4,245.90","4,214.62","6,907.00","3,676.00","75,198","316,931,219.40","10,768"
23-Dec-2022,EQ,"4,276.05","4,322.85","4,087.00","4,346.60","4,155.00","4,108.75","4,174.32","6,943.90","3,676.00","89,955","375,501,348.40","14,684"
22-Dec-2022,EQ,"4,410.00","4,446.30","4,326.00","4,407.35","4,344.00","4,346.60","4,368.22","6,943.90","3,676.00","42,281","184,692,550.00","6,868"
21-Dec-2022,EQ,"4,544.40","4,589.00","4,390.75","4,518.80","4,400.00","4,407.35","4,494.17","6,943.90","3,676.00","69,039","310,272,798.90","10,746"
20-Dec-2022,EQ,"4,455.00","4,573.30","4,438.80","4,481.15","4,521.00","4,518.80","4,511.74","6,943.90","3,676.00","120,528","543,791,090.35","15,095"
19-Dec-2022,EQ,"4,330.05","4,575.00","4,320.00","4,334.50","4,478.15","4,481.15","4,508.50","6,943.90","3,676.00","315,105","1,420,650,923.15","35,318"
16-Dec-2022,EQ,"4,320.00","4,364.90","4,285.00","4,351.25","4,324.80","4,334.50","4,327.25","7,359.00","3,676.00","38,651","167,252,354.95","7,617"
15-Dec-2022,EQ,"4,389.80","4,405.60","4,264.20","4,393.00","4,355.00","4,351.25","4,331.80","7,359.00","3,676.00","136,751","592,377,729.35","17,308"
14-Dec-2022,EQ,"4,398.80","4,459.95","4,375.00","4,380.70","4,383.05","4,393.00","4,410.25","7,359.00","3,676.00","55,996","246,956,401.35","7,046"
13-Dec-2022,EQ,"4,463.95","4,463.95","4,370.15","4,440.00","4,377.00","4,380.70","4,400.75","7,359.00","3,676.00","43,577","191,771,677.45","8,369"
12-Dec-2022,EQ,"4,427.40","4,466.50","4,398.30","4,435.45","4,445.00","4,440.00","4,432.27","7,359.00","3,676.00","35,156","155,821,043.60","5,992"
09-Dec-2022,EQ,"4,420.00","4,508.00","4,408.20","4,418.70","4,432.00","4,435.45","4,463.47","7,440.00","3,676.00","86,693","386,952,016.40","10,903"
08-Dec-2022,EQ,"4,395.40","4,442.00","4,377.55","4,382.60","4,413.60","4,418.70","4,414.61","7,440.00","3,676.00","31,105","137,316,425.30","5,818"
07-Dec-2022,EQ,"4,449.00","4,501.10","4,365.25","4,458.10","4,382.00","4,382.60","4,411.73","7,440.00","3,676.00","51,905","228,990,607.25","8,065"
06-Dec-2022,EQ,"4,463.00","4,488.00","4,441.05","4,479.70","4,446.50","4,458.10","4,463.78","7,440.00","3,676.00","29,697","132,560,813.15","5,845"
05-Dec-2022,EQ,"4,489.10","4,496.00","4,430.00","4,466.75","4,470.05","4,479.70","4,475.20","7,440.00","3,676.00","40,431","180,936,899.00","8,258"
02-Dec-2022,EQ,"4,430.00","4,475.00","4,414.55","4,443.40","4,465.00","4,466.75","4,454.31","7,500.00","3,676.00","36,064","160,640,284.55","6,263"
01-Dec-2022,EQ,"4,422.45","4,500.00","4,395.00","4,383.60","4,446.70","4,443.40","4,463.24","7,500.00","3,676.00","84,156","375,608,801.65","16,006"
30-Nov-2022,EQ,"4,398.80","4,427.00","4,360.00","4,384.35","4,387.90","4,383.60","4,384.43","7,500.00","3,676.00","33,183","145,488,698.00","7,066"
29-Nov-2022,EQ,"4,400.00","4,450.00","4,372.25","4,405.70","4,385.50","4,384.35","4,412.80","7,500.00","3,676.00","41,019","181,008,746.20","5,799"
28-Nov-2022,EQ,"4,398.85","4,467.85","4,356.30","4,379.60","4,415.00","4,405.70","4,419.01","7,500.00","3,676.00","60,592","267,756,752.15","7,577"
