Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,452.00","2,480.00","2,444.85","2,475.05","2,464.95","2,464.85","2,463.58","2,508.95","1,571.75","536,769","1,322,373,055.35","31,454"
23-Jun-2023,EQ,"2,480.00","2,508.95","2,462.00","2,476.95","2,470.00","2,475.05","2,486.53","2,508.95","1,511.75","748,652","1,861,545,150.40","48,724"
22-Jun-2023,EQ,"2,478.95","2,482.50","2,455.65","2,470.30","2,478.95","2,476.95","2,471.50","2,490.00","1,511.75","472,856","1,168,664,533.45","33,421"
21-Jun-2023,EQ,"2,450.00","2,474.80","2,430.00","2,437.75","2,472.00","2,470.30","2,459.25","2,490.00","1,511.75","716,072","1,760,997,593.70","31,027"
20-Jun-2023,EQ,"2,490.00","2,490.00","2,428.85","2,432.30","2,439.00","2,437.75","2,454.26","2,490.00","1,511.75","1,276,432","3,132,692,668.95","73,684"
19-Jun-2023,EQ,"2,445.00","2,450.00","2,420.55","2,429.50","2,431.95","2,432.30","2,436.08","2,488.00","1,511.75","359,751","876,380,571.30","27,288"
16-Jun-2023,EQ,"2,434.95","2,450.55","2,415.60","2,414.10","2,434.60","2,429.50","2,429.52","2,488.00","1,511.75","707,941","1,719,955,093.85","31,139"
15-Jun-2023,EQ,"2,380.00","2,420.00","2,370.00","2,356.00","2,419.00","2,414.10","2,402.38","2,488.00","1,511.75","1,126,186","2,705,526,716.25","43,383"
14-Jun-2023,EQ,"2,365.00","2,368.85","2,346.10","2,340.00","2,359.00","2,356.00","2,358.39","2,488.00","1,511.75","737,180","1,738,556,777.05","34,516"
13-Jun-2023,EQ,"2,411.00","2,416.95","2,331.10","2,410.95","2,338.85","2,340.00","2,355.95","2,488.00","1,511.75","2,035,531","4,795,609,286.60","63,317"
12-Jun-2023,EQ,"2,485.00","2,485.00","2,377.00","2,462.75","2,415.30","2,410.95","2,413.11","2,488.00","1,511.75","1,070,310","2,582,772,745.90","53,423"
09-Jun-2023,EQ,"2,447.00","2,488.00","2,439.90","2,447.05","2,462.00","2,462.75","2,467.96","2,488.00","1,511.75","512,036","1,263,682,102.15","43,231"
08-Jun-2023,EQ,"2,432.00","2,468.55","2,415.60","2,419.90","2,445.00","2,447.05","2,452.92","2,468.55","1,511.75","627,078","1,538,171,390.75","47,870"
07-Jun-2023,EQ,"2,411.00","2,438.70","2,402.15","2,410.40","2,417.00","2,419.90","2,424.62","2,438.70","1,511.75","256,312","621,458,088.25","16,424"
06-Jun-2023,EQ,"2,410.00","2,413.50","2,383.25","2,402.75","2,408.00","2,410.40","2,401.37","2,418.50","1,511.75","286,207","687,289,580.15","19,049"
05-Jun-2023,EQ,"2,393.00","2,418.50","2,376.00","2,385.75","2,402.50","2,402.75","2,402.06","2,418.50","1,511.75","880,388","2,114,742,488.85","43,937"
02-Jun-2023,EQ,"2,348.85","2,389.85","2,345.70","2,343.80","2,379.00","2,385.75","2,372.07","2,413.75","1,511.75","685,037","1,624,957,100.75","37,664"
01-Jun-2023,EQ,"2,372.50","2,372.50","2,335.75","2,372.50","2,343.00","2,343.80","2,351.83","2,413.75","1,511.75","431,516","1,014,850,244.40","35,189"
31-May-2023,EQ,"2,372.40","2,394.00","2,316.70","2,371.40","2,327.00","2,372.50","2,370.68","2,413.75","1,511.75","3,931,180","9,319,574,439.25","73,471"
30-May-2023,EQ,"2,335.00","2,413.75","2,323.00","2,321.20","2,368.00","2,371.40","2,378.02","2,413.75","1,511.75","1,581,691","3,761,292,432.60","72,744"
29-May-2023,EQ,"2,327.60","2,352.85","2,315.40","2,323.35","2,316.00","2,321.20","2,334.65","2,352.85","1,511.75","644,870","1,505,544,903.95","24,137"
26-May-2023,EQ,"2,305.65","2,327.00","2,292.95","2,305.70","2,324.85","2,323.35","2,311.78","2,332.95","1,511.75","625,438","1,445,875,882.40","24,481"
25-May-2023,EQ,"2,280.65","2,316.30","2,259.35","2,269.00","2,295.00","2,305.70","2,293.50","2,332.95","1,511.75","1,391,561","3,191,541,869.65","44,671"
24-May-2023,EQ,"2,277.95","2,303.75","2,260.05","2,277.20","2,266.80","2,269.00","2,287.53","2,332.95","1,511.75","1,205,803","2,758,309,384.25","35,406"
23-May-2023,EQ,"2,290.05","2,299.00","2,258.05","2,290.05","2,265.00","2,277.20","2,278.89","2,332.95","1,511.75","635,920","1,449,189,327.40","25,530"
22-May-2023,EQ,"2,264.95","2,299.05","2,255.00","2,266.80","2,283.90","2,290.05","2,285.80","2,332.95","1,511.75","528,624","1,208,327,477.95","38,240"
19-May-2023,EQ,"2,300.00","2,302.45","2,230.50","2,264.65","2,257.45","2,266.80","2,264.70","2,332.95","1,511.75","1,606,656","3,638,599,423.85","108,091"
18-May-2023,EQ,"2,313.90","2,332.95","2,255.30","2,300.20","2,265.00","2,264.65","2,290.61","2,332.95","1,511.75","827,802","1,896,170,279.70","43,498"
17-May-2023,EQ,"2,293.85","2,307.00","2,268.00","2,281.00","2,300.00","2,300.20","2,289.07","2,307.00","1,511.75","516,811","1,183,014,536.65","38,546"
16-May-2023,EQ,"2,250.00","2,295.00","2,245.75","2,251.40","2,281.00","2,281.00","2,277.54","2,304.75","1,511.75","477,303","1,087,075,135.90","28,273"
15-May-2023,EQ,"2,240.00","2,256.95","2,222.40","2,234.60","2,251.00","2,251.40","2,244.82","2,304.75","1,511.75","290,376","651,841,131.90","21,603"
12-May-2023,EQ,"2,300.05","2,304.75","2,228.70","2,251.45","2,236.00","2,234.60","2,253.95","2,304.75","1,511.75","718,138","1,618,645,486.05","47,529"
11-May-2023,EQ,"2,233.00","2,257.35","2,225.00","2,223.65","2,251.15","2,251.45","2,239.75","2,257.35","1,511.75","458,136","1,026,109,278.50","30,296"
10-May-2023,EQ,"2,224.90","2,230.65","2,203.30","2,207.85","2,222.00","2,223.65","2,222.20","2,236.95","1,511.75","430,542","956,750,406.10","31,063"
09-May-2023,EQ,"2,213.00","2,223.85","2,198.00","2,199.85","2,212.95","2,207.85","2,211.59","2,236.95","1,511.75","393,517","870,296,764.70","26,552"
08-May-2023,EQ,"2,170.00","2,210.00","2,161.00","2,158.85","2,194.35","2,199.85","2,191.20","2,236.95","1,511.75","752,671","1,649,255,763.70","55,644"
05-May-2023,EQ,"2,169.00","2,172.90","2,149.40","2,163.60","2,154.65","2,158.85","2,161.97","2,236.95","1,511.75","304,849","659,075,594.05","19,364"
04-May-2023,EQ,"2,176.95","2,180.00","2,130.30","2,164.10","2,161.00","2,163.60","2,152.33","2,236.95","1,511.75","581,130","1,250,783,434.90","38,022"
03-May-2023,EQ,"2,145.00","2,236.95","2,145.00","2,067.40","2,166.00","2,164.10","2,185.11","2,236.95","1,511.75","4,126,517","9,016,892,455.35","166,717"
02-May-2023,EQ,"2,031.00","2,087.90","2,022.00","2,020.95","2,064.35","2,067.40","2,045.09","2,180.00","1,511.75","850,179","1,738,689,836.25","32,926"
28-Apr-2023,EQ,"2,027.70","2,037.45","2,007.20","2,021.05","2,022.00","2,020.95","2,022.70","2,180.00","1,511.75","579,273","1,171,693,371.60","53,557"
27-Apr-2023,EQ,"2,024.00","2,033.05","2,010.20","2,017.55","2,021.00","2,021.05","2,022.04","2,180.00","1,511.75","317,706","642,413,321.00","29,989"
26-Apr-2023,EQ,"1,990.00","2,021.45","1,979.15","1,992.70","2,010.10","2,017.55","2,007.88","2,180.00","1,511.75","473,999","951,731,535.05","30,034"
