Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,162.0,165.9,159.7,161.9,165.5,165.35,163.02,230.9,135.15,"7,492,375","1,221,413,347.25","52,173"
23-Jun-2023,EQ,164.0,164.9,160.65,165.3,161.4,161.9,162.52,230.9,135.15,"5,940,041","965,389,291.65","30,672"
22-Jun-2023,EQ,167.25,169.7,164.7,167.0,165.25,165.3,167.5,230.9,135.15,"5,231,435","876,250,765.55","34,694"
21-Jun-2023,EQ,161.8,171.75,160.55,161.55,167.7,167.0,167.96,230.9,135.15,"31,946,660","5,365,805,920.30","123,613"
20-Jun-2023,EQ,160.8,162.45,159.5,160.8,161.8,161.55,160.91,230.9,135.15,"3,802,675","611,901,767.80","26,103"
19-Jun-2023,EQ,164.0,164.6,160.3,163.7,161.15,160.8,161.8,230.9,135.15,"3,976,280","643,364,033.65","27,618"
16-Jun-2023,EQ,164.1,165.65,163.35,163.5,163.85,163.7,164.04,230.9,135.15,"4,336,673","711,402,254.00","24,954"
15-Jun-2023,EQ,166.8,168.75,163.1,166.75,163.5,163.5,166.1,230.9,135.15,"11,834,286","1,965,667,975.90","55,374"
14-Jun-2023,EQ,172.2,172.95,166.25,166.3,166.35,166.75,169.58,230.9,135.15,"23,432,403","3,973,721,130.50","109,175"
13-Jun-2023,EQ,164.65,167.1,162.55,163.35,166.1,166.3,165.31,230.9,135.15,"10,249,011","1,694,272,536.75","50,346"
12-Jun-2023,EQ,158.9,163.9,158.0,157.25,163.9,163.35,161.49,230.9,135.15,"9,901,664","1,599,059,665.70","54,719"
09-Jun-2023,EQ,157.25,161.2,155.65,157.25,157.25,157.25,157.96,230.9,135.15,"8,783,170","1,387,403,852.45","38,727"
08-Jun-2023,EQ,161.5,162.9,156.55,161.55,157.95,157.25,159.51,230.9,135.15,"9,181,217","1,464,508,540.25","34,315"
07-Jun-2023,EQ,156.65,164.8,154.65,157.25,161.2,161.55,159.97,230.9,135.15,"17,338,074","2,773,610,426.05","64,208"
06-Jun-2023,EQ,157.65,158.45,155.55,157.65,157.05,157.25,156.97,230.9,135.15,"8,295,147","1,302,083,480.10","32,959"
05-Jun-2023,EQ,160.05,162.2,157.1,160.05,157.5,157.65,158.96,230.9,135.15,"9,485,886","1,507,864,726.95","41,656"
02-Jun-2023,EQ,159.0,160.5,157.4,158.55,160.05,160.05,159.24,230.9,135.15,"11,760,689","1,872,802,669.65","49,671"
01-Jun-2023,EQ,156.0,160.7,155.85,153.85,158.0,158.55,158.52,230.9,135.15,"14,342,857","2,273,645,147.90","75,617"
31-May-2023,EQ,153.25,158.3,152.35,156.75,155.9,153.85,154.0,230.9,135.15,"91,351,515","14,067,713,661.30","114,418"
30-May-2023,EQ,155.0,157.25,153.3,155.7,157.0,156.75,155.24,230.9,135.15,"6,076,133","943,268,217.00","34,581"
29-May-2023,EQ,157.9,158.65,154.8,156.65,156.0,155.7,156.31,230.9,135.15,"9,249,811","1,445,817,630.90","44,582"
26-May-2023,EQ,147.95,157.65,147.05,147.65,156.7,156.65,153.9,230.9,135.15,"20,174,493","3,104,780,144.10","99,627"
25-May-2023,EQ,142.75,149.7,142.15,142.75,148.3,147.65,147.38,230.9,135.15,"15,730,072","2,318,298,187.00","78,867"
24-May-2023,EQ,145.4,145.45,142.15,145.25,142.7,142.75,142.92,230.9,135.15,"6,228,920","890,254,528.40","31,915"
23-May-2023,EQ,143.1,146.7,141.6,143.1,145.15,145.25,144.0,230.9,135.15,"5,136,071","739,619,631.55","34,144"
22-May-2023,EQ,145.05,145.2,141.9,144.9,143.2,143.1,143.09,230.9,135.15,"2,575,811","368,568,769.90","19,826"
19-May-2023,EQ,148.15,148.45,144.55,147.5,144.85,144.9,145.75,230.9,135.15,"2,768,878","403,552,217.35","20,725"
18-May-2023,EQ,151.8,152.55,147.0,151.45,147.4,147.5,149.81,230.9,135.15,"5,723,714","857,441,983.30","34,672"
17-May-2023,EQ,155.5,156.0,150.4,154.6,151.8,151.45,152.2,230.9,135.15,"4,689,694","713,770,569.60","32,797"
16-May-2023,EQ,151.05,156.15,150.45,150.4,155.8,154.6,154.27,230.9,135.15,"7,345,718","1,133,209,291.70","51,772"
15-May-2023,EQ,148.65,151.55,148.25,148.15,151.0,150.4,150.5,230.9,135.15,"2,401,247","361,387,763.35","21,576"
12-May-2023,EQ,150.4,150.85,147.85,151.45,148.3,148.15,148.97,230.9,135.15,"3,963,941","590,519,331.35","28,545"
11-May-2023,EQ,152.55,153.45,150.6,153.0,151.65,151.45,151.61,230.9,135.15,"1,956,855","296,681,449.80","16,535"
10-May-2023,EQ,152.65,153.9,151.6,152.15,152.95,153.0,152.97,230.9,135.15,"2,386,697","365,101,926.60","18,248"
09-May-2023,EQ,151.75,155.2,151.05,150.7,152.4,152.15,153.59,230.9,135.15,"6,192,341","951,079,482.15","36,233"
08-May-2023,EQ,152.0,152.05,147.8,152.05,150.3,150.7,150.3,230.9,135.15,"3,708,001","557,328,598.70","28,845"
05-May-2023,EQ,153.0,154.2,150.6,152.8,151.85,152.05,152.09,230.9,135.15,"3,204,340","487,348,773.25","20,171"
04-May-2023,EQ,151.95,154.65,151.1,151.4,152.85,152.8,152.86,230.9,135.15,"4,419,649","675,592,994.60","26,099"
03-May-2023,EQ,154.9,155.75,151.0,156.45,151.55,151.4,152.4,230.9,135.15,"7,998,933","1,219,027,911.55","53,400"
02-May-2023,EQ,158.0,160.85,155.7,155.0,156.35,156.45,158.17,230.9,135.15,"10,897,706","1,723,636,539.10","70,258"
28-Apr-2023,EQ,144.85,160.4,144.85,144.85,154.8,155.0,155.89,230.9,135.15,"46,124,871","7,190,544,779.25","198,578"
27-Apr-2023,EQ,145.25,148.75,142.8,143.0,145.25,144.85,145.18,230.9,135.15,"19,412,303","2,818,280,458.20","81,550"
26-Apr-2023,EQ,138.0,143.5,138.0,138.0,143.5,143.0,141.92,230.9,135.15,"12,326,822","1,749,373,365.80","68,011"
25-Apr-2023,EQ,139.3,139.5,136.8,138.85,138.2,138.0,138.22,230.9,135.15,"5,455,345","754,017,205.30","33,066"
24-Apr-2023,EQ,140.05,140.1,137.5,139.1,139.0,138.85,138.41,230.9,135.15,"3,961,080","548,257,418.25","32,789"
21-Apr-2023,EQ,138.25,144.7,137.85,137.7,139.1,139.1,141.5,230.9,135.15,"17,513,812","2,478,188,824.90","82,603"
20-Apr-2023,EQ,136.9,138.65,135.8,136.75,137.95,137.7,137.77,230.9,135.15,"2,710,999","373,490,888.65","14,500"
19-Apr-2023,EQ,137.25,137.9,136.3,136.9,136.6,136.75,136.97,230.9,135.15,"3,413,882","467,599,637.90","17,058"
18-Apr-2023,EQ,137.1,138.95,136.5,137.1,137.4,136.9,137.62,230.9,135.15,"2,823,576","388,578,327.90","19,916"
17-Apr-2023,EQ,138.25,139.2,136.75,137.4,137.05,137.1,137.66,230.9,135.15,"3,167,197","436,010,528.85","25,759"
13-Apr-2023,EQ,139.9,140.15,136.5,139.55,137.8,137.4,137.77,230.9,135.15,"3,179,142","437,977,528.00","24,372"
12-Apr-2023,EQ,139.75,140.0,137.65,139.15,139.6,139.55,139.13,230.9,135.15,"3,392,103","471,946,366.80","28,098"
11-Apr-2023,EQ,142.5,142.95,138.55,142.05,139.2,139.15,139.52,230.9,135.15,"4,647,795","648,472,268.35","39,734"
10-Apr-2023,EQ,142.9,143.5,141.2,141.65,142.3,142.05,142.19,230.9,135.15,"1,848,841","262,881,511.65","16,994"
06-Apr-2023,EQ,143.25,143.6,141.4,143.2,141.85,141.65,142.0,230.9,135.15,"2,309,983","328,010,054.90","22,590"
05-Apr-2023,EQ,143.75,144.9,141.4,143.6,143.7,143.2,143.03,230.9,135.15,"3,037,257","434,414,250.55","31,706"
03-Apr-2023,EQ,143.65,144.85,142.55,143.0,143.7,143.6,143.74,230.9,135.15,"1,510,884","217,175,988.00","12,215"
31-Mar-2023,EQ,143.05,144.95,142.25,142.25,142.5,143.0,143.41,230.9,135.15,"2,991,622","429,015,332.10","21,465"
29-Mar-2023,EQ,144.0,146.1,141.05,143.95,142.0,142.25,142.79,230.9,135.15,"4,106,922","586,437,854.65","29,486"
28-Mar-2023,EQ,148.8,150.45,143.5,148.4,144.3,143.95,145.65,230.9,135.15,"3,241,712","472,164,161.65","26,481"
27-Mar-2023,EQ,148.55,151.7,147.0,148.05,148.05,148.4,149.7,230.9,135.15,"3,273,362","490,010,978.15","22,061"
24-Mar-2023,EQ,151.2,153.65,147.65,151.0,148.25,148.05,150.35,230.9,135.15,"2,141,268","321,945,990.35","15,815"
23-Mar-2023,EQ,150.9,152.0,150.0,150.9,151.4,151.0,150.96,230.9,135.15,"1,870,491","282,367,860.75","11,836"
22-Mar-2023,EQ,151.85,153.15,150.05,151.85,150.95,150.9,151.49,230.9,135.15,"2,840,370","430,279,209.65","14,280"
21-Mar-2023,EQ,152.9,154.2,151.25,152.3,151.95,151.85,152.67,230.9,135.15,"2,708,793","413,561,146.40","15,618"
20-Mar-2023,EQ,150.3,153.55,148.1,150.7,152.4,152.3,151.19,230.9,135.15,"3,030,546","458,185,826.15","23,362"
17-Mar-2023,EQ,154.0,154.6,149.8,153.2,150.35,150.7,151.14,230.9,135.15,"5,347,968","808,302,832.05","27,155"
16-Mar-2023,EQ,149.9,154.7,147.1,149.4,153.4,153.2,151.95,230.9,135.15,"4,269,554","648,776,088.50","27,088"
15-Mar-2023,EQ,152.7,153.0,147.85,151.9,149.85,149.4,149.57,230.9,135.15,"4,333,180","648,104,852.35","31,585"
14-Mar-2023,EQ,153.15,154.85,150.6,153.05,152.05,151.9,152.37,230.9,135.15,"3,071,413","467,982,279.60","17,712"
