Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,89.3,89.95,88.7,89.3,89.75,89.55,89.29,110.85,65.2,"10,963,542","978,949,325.70","41,163"
23-Jun-2023,EQ,92.3,92.4,88.85,92.0,89.35,89.3,90.55,110.85,65.2,"18,134,295","1,641,993,585.15","52,870"
22-Jun-2023,EQ,92.0,92.85,91.75,92.0,92.0,92.0,92.24,110.85,65.2,"9,694,937","894,298,177.00","32,883"
21-Jun-2023,EQ,91.95,92.85,91.7,91.9,92.0,92.0,92.15,110.85,65.2,"9,499,893","875,395,638.25","35,671"
20-Jun-2023,EQ,91.9,92.6,91.3,91.9,91.95,91.9,92.06,110.85,65.2,"9,394,894","864,927,492.95","36,637"
19-Jun-2023,EQ,92.15,92.85,91.65,92.15,91.8,91.9,92.1,110.85,65.2,"6,800,507","626,357,125.75","37,616"
16-Jun-2023,EQ,93.0,93.2,91.9,92.9,92.1,92.15,92.42,116.3,65.2,"15,146,569","1,399,841,460.30","42,735"
15-Jun-2023,EQ,93.3,93.7,92.6,93.15,92.95,92.9,93.17,116.3,65.2,"8,742,159","814,483,059.55","40,655"
14-Jun-2023,EQ,92.2,93.5,92.0,91.9,93.15,93.15,92.97,116.3,65.2,"19,246,845","1,789,318,248.75","59,733"
13-Jun-2023,EQ,92.85,93.1,91.7,91.85,92.2,91.9,92.39,116.3,65.2,"19,796,495","1,829,078,422.70","58,611"
12-Jun-2023,EQ,90.7,92.0,90.2,90.3,91.75,91.85,91.35,116.3,65.2,"10,813,997","987,809,508.65","45,632"
09-Jun-2023,EQ,90.2,91.65,90.15,90.05,90.25,90.3,90.86,120.7,65.2,"9,921,823","901,469,862.05","38,602"
08-Jun-2023,EQ,90.75,90.85,89.7,90.85,89.95,90.05,90.31,120.7,65.2,"10,809,055","976,160,560.30","38,665"
07-Jun-2023,EQ,89.55,91.1,89.5,89.4,90.75,90.85,90.6,120.7,65.2,"11,403,972","1,033,187,952.90","47,109"
06-Jun-2023,EQ,89.4,89.8,88.85,89.25,89.4,89.4,89.32,120.7,65.2,"5,740,801","512,762,488.90","33,765"
05-Jun-2023,EQ,89.9,90.0,88.65,89.8,89.45,89.25,89.08,120.7,65.2,"9,227,005","821,980,985.40","38,413"
02-Jun-2023,EQ,90.5,90.9,89.7,90.5,89.9,89.8,90.12,120.7,65.2,"7,123,634","641,960,075.40","40,356"
01-Jun-2023,EQ,90.5,91.15,89.9,90.0,90.6,90.5,90.71,120.7,65.2,"11,770,478","1,067,679,248.85","44,126"
31-May-2023,EQ,90.4,91.4,89.55,90.3,89.9,90.0,90.44,120.7,65.2,"17,157,711","1,551,791,723.35","49,242"
30-May-2023,EQ,90.0,90.95,89.8,90.05,90.4,90.3,90.44,120.7,65.2,"9,269,698","838,372,889.50","36,631"
29-May-2023,EQ,90.3,90.45,89.4,90.2,90.0,90.05,89.96,120.7,65.2,"6,891,927","619,974,564.85","33,082"
26-May-2023,EQ,89.2,90.3,89.0,89.15,90.2,90.2,90.04,120.7,65.2,"9,846,321","886,524,166.75","38,433"
25-May-2023,EQ,89.85,89.85,88.6,89.65,89.15,89.15,89.2,120.7,65.2,"9,684,940","863,930,659.50","39,047"
24-May-2023,EQ,89.1,89.9,88.75,89.0,89.7,89.65,89.52,120.7,65.2,"19,866,440","1,778,469,428.90","54,284"
23-May-2023,EQ,87.45,89.9,86.75,87.15,89.0,89.0,88.92,120.7,65.2,"27,392,800","2,435,660,316.95","89,730"
22-May-2023,EQ,86.05,87.3,85.3,86.05,87.1,87.15,86.61,120.7,65.2,"9,226,502","799,130,737.80","39,497"
19-May-2023,EQ,86.0,86.25,84.8,86.0,85.9,86.05,85.63,126.0,65.2,"11,201,198","959,190,697.80","44,999"
18-May-2023,EQ,87.6,87.75,85.8,87.55,85.9,86.0,86.85,126.0,65.2,"16,119,484","1,399,978,629.65","53,324"
17-May-2023,EQ,87.8,88.6,87.3,87.0,87.45,87.55,87.9,126.0,65.2,"20,861,152","1,833,729,992.40","80,854"
16-May-2023,EQ,85.4,87.65,85.0,84.2,87.05,87.0,86.42,126.0,65.2,"44,298,431","3,828,317,965.50","132,128"
15-May-2023,EQ,83.8,84.55,83.55,83.55,84.4,84.2,84.21,126.0,65.2,"7,167,177","603,537,687.10","35,796"
12-May-2023,EQ,83.85,84.15,83.35,83.95,83.5,83.55,83.6,126.3,65.2,"4,700,410","392,962,768.55","25,531"
11-May-2023,EQ,84.3,84.45,83.8,84.25,83.9,83.95,84.19,126.3,65.2,"4,455,253","375,096,788.80","24,250"
10-May-2023,EQ,84.5,84.6,83.85,84.0,84.1,84.25,84.16,126.3,65.2,"7,349,573","618,562,087.00","30,387"
09-May-2023,EQ,83.75,84.3,83.5,83.25,83.9,84.0,83.92,126.3,65.2,"7,286,472","611,466,285.70","36,977"
08-May-2023,EQ,83.0,83.45,82.4,82.8,83.35,83.25,83.02,126.3,65.2,"6,051,050","502,334,079.80","32,747"
05-May-2023,EQ,83.3,83.45,82.4,83.3,82.65,82.8,82.81,128.7,65.2,"5,895,640","488,190,854.00","26,963"
04-May-2023,EQ,83.1,84.5,82.9,82.7,83.25,83.3,83.86,128.7,65.2,"15,811,123","1,325,857,727.80","55,504"
03-May-2023,EQ,82.45,83.6,82.45,82.15,82.8,82.7,82.82,128.7,65.2,"12,067,736","999,409,741.55","41,499"
02-May-2023,EQ,81.75,82.7,81.4,81.4,82.05,82.15,82.2,128.7,65.2,"11,768,608","967,437,743.35","55,076"
28-Apr-2023,EQ,80.95,81.55,80.4,80.45,81.35,81.4,81.03,132.95,65.2,"11,996,476","972,089,448.65","46,700"
27-Apr-2023,EQ,78.55,80.75,78.55,78.45,80.5,80.45,79.99,132.95,65.2,"17,036,886","1,362,754,684.70","51,616"
