Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,700.10,744.85,691.20,727.20,740.00,740.50,724.91,"1,034.30",669.8,"2,894,091","2,097,961,481.00","51,630"
23-Jun-2023,EQ,727.25,733.75,723.05,730.55,728.00,727.20,728.58,"1,034.30",669.8,"948,572","691,113,396.30","33,483"
22-Jun-2023,EQ,737.25,740.85,726.45,737.25,732.65,730.55,731.30,"1,034.30",669.8,"438,986","321,029,301.10","20,708"
21-Jun-2023,EQ,731.20,742.85,729.25,731.20,737.50,737.25,736.22,"1,034.30",669.8,"313,244","230,616,189.35","12,081"
20-Jun-2023,EQ,728.30,736.00,726.20,727.65,730.00,731.20,730.84,"1,034.30",669.8,"191,483","139,944,291.15","9,269"
19-Jun-2023,EQ,735.55,741.65,725.20,735.35,730.00,727.65,731.06,"1,034.30",669.8,"495,776","362,443,130.85","17,345"
16-Jun-2023,EQ,722.00,737.50,720.25,720.65,735.55,735.35,730.70,"1,034.30",669.8,"535,841","391,538,715.65","19,042"
15-Jun-2023,EQ,715.10,727.50,710.00,716.85,722.00,720.65,722.36,"1,034.30",669.8,"420,937","304,068,670.95","15,666"
14-Jun-2023,EQ,736.00,740.50,712.40,734.85,717.00,716.85,718.50,"1,034.30",669.8,"1,769,514","1,271,394,851.15","44,158"
13-Jun-2023,EQ,731.55,748.20,729.25,730.55,734.05,734.85,739.58,"1,034.30",669.8,"1,310,904","969,524,627.75","49,124"
12-Jun-2023,EQ,730.00,742.45,720.00,727.95,732.00,730.55,730.35,"1,034.30",669.8,"1,543,263","1,127,128,463.50","19,741"
09-Jun-2023,EQ,735.00,738.60,726.05,735.80,728.00,727.95,730.33,"1,034.30",669.8,"924,468","675,167,438.85","10,028"
08-Jun-2023,EQ,745.85,751.50,731.20,746.05,736.50,735.80,737.58,"1,034.30",669.8,"440,665","325,024,340.55","14,302"
07-Jun-2023,EQ,748.00,760.95,743.00,748.05,746.75,746.05,751.59,"1,034.30",669.8,"693,875","521,511,889.10","21,468"
06-Jun-2023,EQ,730.00,753.00,719.55,725.30,746.80,748.05,737.69,"1,034.30",669.8,"1,511,180","1,114,780,236.55","41,104"
05-Jun-2023,EQ,704.65,726.60,700.15,714.20,724.30,725.30,719.62,"1,034.30",669.8,"741,353","533,494,201.60","19,124"
02-Jun-2023,EQ,705.50,717.00,703.00,705.50,714.20,714.20,710.69,"1,034.30",669.8,"643,392","457,250,477.70","18,714"
01-Jun-2023,EQ,705.00,711.45,698.60,700.95,705.15,705.50,706.24,"1,034.30",669.8,"346,424","244,657,863.40","14,507"
31-May-2023,EQ,690.00,706.95,685.80,687.95,701.00,700.95,701.63,"1,034.30",669.8,"924,542","648,685,702.85","34,344"
30-May-2023,EQ,690.00,693.90,683.05,689.10,687.35,687.95,688.12,"1,034.30",669.8,"681,693","469,085,999.10","14,156"
29-May-2023,EQ,686.45,691.35,675.45,684.45,687.95,689.10,685.44,"1,034.30",669.8,"962,650","659,836,595.20","29,869"
26-May-2023,EQ,682.45,685.90,677.55,681.70,682.95,684.45,681.76,"1,034.30",669.8,"171,176","116,700,869.00","11,233"
25-May-2023,EQ,684.80,687.95,680.00,684.90,682.30,681.70,682.91,"1,034.30",669.8,"169,398","115,683,434.40","9,046"
