Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,625.0,633.7,621.65,627.8,632.9,632.45,630.29,774.90,557.0,"914,109","576,149,847.60","26,061"
23-Jun-2023,EQ,644.9,646.0,625.6,644.9,627.9,627.8,631.32,774.90,557.0,"1,975,633","1,247,247,010.05","58,906"
22-Jun-2023,EQ,663.45,666.7,641.8,662.35,645.0,644.9,652.34,774.90,557.0,"1,913,224","1,248,080,942.35","54,949"
21-Jun-2023,EQ,664.05,667.5,659.0,664.05,661.3,662.35,663.37,774.90,557.0,"1,006,572","667,733,971.15","33,171"
20-Jun-2023,EQ,668.5,670.9,660.2,667.85,663.1,664.05,664.63,774.90,557.0,"1,519,178","1,009,694,165.80","37,891"
19-Jun-2023,EQ,662.0,675.0,660.2,665.0,667.2,667.85,668.05,774.90,557.0,"4,493,884","3,002,135,208.05","83,569"
16-Jun-2023,EQ,645.0,670.65,643.2,643.0,666.0,665.0,661.89,774.90,557.0,"5,271,115","3,488,918,254.80","103,859"
15-Jun-2023,EQ,643.5,649.0,641.5,643.5,643.2,643.0,644.96,774.90,557.0,"765,612","493,785,647.70","26,136"
14-Jun-2023,EQ,646.85,649.75,642.05,647.6,643.0,643.5,645.79,774.90,557.0,"785,495","507,268,459.55","29,541"
13-Jun-2023,EQ,641.35,650.5,641.35,645.9,646.0,647.6,646.11,774.90,557.0,"956,702","618,130,358.95","25,409"
12-Jun-2023,EQ,641.95,647.0,638.6,640.15,645.9,645.9,644.47,774.90,557.0,"864,306","557,019,133.10","25,942"
09-Jun-2023,EQ,646.0,646.95,638.9,644.0,640.3,640.15,642.64,774.90,557.0,"745,628","479,173,324.30","24,468"
08-Jun-2023,EQ,655.0,657.8,642.4,652.9,644.0,644.0,648.41,774.90,557.0,"1,224,083","793,703,938.85","32,899"
07-Jun-2023,EQ,644.05,657.8,643.95,643.0,653.0,652.9,652.89,774.90,557.0,"2,220,779","1,449,921,157.85","50,874"
06-Jun-2023,EQ,643.8,646.45,637.05,643.65,644.0,643.0,641.82,774.90,557.0,"882,889","566,655,019.60","27,151"
05-Jun-2023,EQ,636.0,647.35,636.0,645.45,643.8,643.65,642.9,774.90,557.0,"1,619,948","1,041,466,128.35","35,322"
02-Jun-2023,EQ,653.4,654.75,643.55,649.5,644.3,645.45,648.66,774.90,557.0,"1,537,757","997,487,984.55","38,738"
01-Jun-2023,EQ,650.1,659.1,647.45,649.5,650.3,649.5,653.22,774.90,557.0,"2,453,298","1,602,551,020.10","56,238"
31-May-2023,EQ,643.0,650.2,640.0,643.75,648.7,649.5,647.31,774.90,557.0,"2,740,993","1,774,274,831.15","48,783"
30-May-2023,EQ,637.0,653.7,627.3,645.75,642.55,643.75,640.77,774.90,557.0,"10,121,546","6,485,615,080.15","158,597"
29-May-2023,EQ,630.0,647.0,626.25,624.35,646.5,645.75,640.11,774.90,557.0,"4,019,467","2,572,891,413.85","81,990"
26-May-2023,EQ,621.8,625.7,619.3,618.55,624.5,624.35,622.96,774.90,557.0,"1,185,212","738,335,796.75","25,357"
25-May-2023,EQ,619.5,621.5,616.0,618.9,618.8,618.55,617.98,774.90,557.0,"595,504","368,010,354.20","18,814"
24-May-2023,EQ,624.0,626.85,618.0,624.35,619.5,618.9,621.61,774.90,557.0,"659,056","409,677,790.40","19,301"
23-May-2023,EQ,628.4,636.3,622.0,623.5,623.9,624.35,628.65,774.90,557.0,"1,199,438","754,028,761.55","31,898"
22-May-2023,EQ,610.35,624.9,607.1,610.35,624.35,623.5,618.4,774.90,557.0,"1,083,528","670,051,645.80","29,105"
19-May-2023,EQ,614.85,617.0,604.1,614.85,610.5,610.35,609.69,774.90,557.0,"847,752","516,865,614.80","31,850"
18-May-2023,EQ,625.0,627.8,613.0,622.75,614.1,614.85,619.76,774.90,557.0,"723,251","448,243,944.80","20,763"
17-May-2023,EQ,626.15,629.0,618.0,626.15,622.95,622.75,622.9,774.90,557.0,"671,895","418,524,064.45","23,367"
16-May-2023,EQ,632.05,636.7,624.3,632.35,626.5,626.15,631.12,774.90,557.0,"676,721","427,091,998.30","24,004"
15-May-2023,EQ,625.0,635.6,625.0,628.45,631.9,632.35,631.03,774.90,557.0,"927,921","585,545,697.05","27,852"
12-May-2023,EQ,626.6,637.2,625.05,626.6,627.35,628.45,631.63,774.90,557.0,"1,240,961","783,825,886.60","40,368"
11-May-2023,EQ,625.05,627.65,624.3,624.3,627.25,626.6,625.78,774.90,557.0,"530,789","332,158,202.40","19,384"
10-May-2023,EQ,623.0,625.75,618.0,622.6,623.5,624.3,622.71,774.90,557.0,"650,253","404,915,927.10","25,094"
09-May-2023,EQ,628.1,633.4,620.0,628.1,621.5,622.6,626.9,774.90,557.0,"935,395","586,402,803.65","32,477"
08-May-2023,EQ,628.0,630.6,625.4,625.4,628.1,628.1,628.33,774.90,557.0,"659,593","414,439,729.70","21,311"
05-May-2023,EQ,630.75,633.7,624.0,631.6,626.0,625.4,628.34,774.90,557.0,"878,399","551,934,550.90","30,413"
04-May-2023,EQ,627.7,635.55,627.55,627.7,630.85,631.6,631.49,774.90,557.0,"1,244,544","785,914,626.25","33,893"
03-May-2023,EQ,626.45,632.8,622.6,626.95,627.4,627.7,628.81,774.90,557.0,"1,461,740","919,160,916.60","33,991"
02-May-2023,EQ,620.0,631.0,618.2,617.8,626.3,626.95,624.89,774.90,557.0,"2,483,827","1,552,122,915.45","58,345"
28-Apr-2023,EQ,610.1,619.65,608.4,606.1,618.0,617.8,614.44,774.90,557.0,"1,552,366","953,830,876.50","35,256"
27-Apr-2023,EQ,608.2,610.15,605.0,608.2,606.5,606.1,607.35,774.90,557.0,"702,044","426,385,445.95","25,364"
26-Apr-2023,EQ,606.0,613.0,604.55,607.9,607.95,608.2,609.3,774.90,557.0,"1,087,979","662,906,793.40","32,559"
25-Apr-2023,EQ,603.95,611.0,600.0,603.4,607.6,607.9,605.79,774.90,557.0,"977,657","592,258,903.25","26,173"
24-Apr-2023,EQ,603.0,607.5,597.3,603.0,602.75,603.4,603.32,774.90,557.0,"870,486","525,179,756.40","26,422"
21-Apr-2023,EQ,602.0,603.85,594.7,601.75,603.6,603.0,599.22,778.00,557.0,"830,247","497,501,563.30","22,311"
20-Apr-2023,EQ,606.85,609.9,599.0,606.7,601.0,601.75,603.95,778.00,557.0,"698,282","421,723,999.60","25,719"
19-Apr-2023,EQ,606.9,613.85,600.5,603.55,605.85,606.7,608.88,778.00,557.0,"1,814,835","1,105,018,366.80","43,752"
