Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,569.2,571.9,563.1,568.85,570.1,567.7,567.23,622.75,320.0,"1,570,497","890,826,979.20","30,968"
23-Jun-2023,EQ,578.0,581.4,567.1,584.1,567.8,568.85,573.06,622.75,304.2,"1,927,779","1,104,724,466.40","33,302"
22-Jun-2023,EQ,582.75,586.75,573.55,583.5,583.0,584.1,580.9,622.75,304.2,"3,184,252","1,849,736,798.85","46,686"
21-Jun-2023,EQ,594.5,595.2,581.9,594.15,585.0,583.5,586.68,622.75,304.2,"2,792,440","1,638,267,195.10","50,534"
20-Jun-2023,EQ,574.5,604.5,571.25,574.5,593.45,594.15,593.5,622.75,304.2,"9,508,590","5,643,356,413.05","128,989"
19-Jun-2023,EQ,558.0,581.15,557.45,544.2,575.35,574.5,572.11,622.75,304.2,"8,045,417","4,602,869,857.25","113,521"
16-Jun-2023,EQ,540.5,547.95,538.8,537.05,547.95,544.2,542.52,622.75,304.2,"2,498,994","1,355,742,194.75","37,976"
15-Jun-2023,EQ,542.5,544.2,534.2,540.6,535.8,537.05,538.59,622.75,304.2,"2,271,029","1,223,155,317.85","40,060"
14-Jun-2023,EQ,538.0,545.45,534.25,533.1,540.05,540.6,539.88,622.75,304.2,"3,925,283","2,119,167,110.50","54,005"
13-Jun-2023,EQ,528.0,536.95,526.0,525.8,532.65,533.1,532.02,622.75,304.2,"2,492,673","1,326,160,240.55","35,904"
12-Jun-2023,EQ,526.0,529.5,521.6,523.95,527.4,525.8,525.43,622.75,304.2,"1,935,905","1,017,184,495.55","27,206"
09-Jun-2023,EQ,532.0,533.0,520.5,530.15,524.65,523.95,525.17,622.75,304.2,"2,929,898","1,538,682,619.75","34,292"
08-Jun-2023,EQ,534.9,542.0,529.05,531.5,531.0,530.15,534.77,622.75,304.2,"6,076,512","3,249,535,972.55","68,431"
07-Jun-2023,EQ,525.0,533.3,522.25,523.05,533.0,531.5,526.69,622.75,304.2,"4,463,947","2,351,104,368.70","55,337"
06-Jun-2023,EQ,525.0,528.2,520.55,525.95,522.5,523.05,523.65,622.75,304.2,"2,673,151","1,399,797,070.10","47,897"
05-Jun-2023,EQ,529.9,530.0,518.05,525.35,525.7,525.95,523.47,622.75,304.2,"3,161,259","1,654,820,325.10","41,874"
02-Jun-2023,EQ,514.45,526.6,512.25,509.85,524.75,525.35,521.46,622.75,304.2,"3,652,493","1,904,634,751.25","52,255"
01-Jun-2023,EQ,520.0,520.9,507.95,517.25,509.9,509.85,512.98,622.75,304.2,"2,436,623","1,249,937,028.90","41,133"
31-May-2023,EQ,519.8,525.15,512.15,522.8,516.95,517.25,518.27,622.75,304.2,"3,897,562","2,019,999,999.40","47,854"
30-May-2023,EQ,532.0,535.7,521.7,531.8,523.85,522.8,528.34,622.75,304.2,"1,953,558","1,032,144,926.40","36,409"
29-May-2023,EQ,525.1,534.15,523.25,520.35,531.0,531.8,530.0,622.75,304.2,"2,046,489","1,084,646,045.45","32,673"
26-May-2023,EQ,511.0,522.5,508.25,510.6,521.25,520.35,516.9,622.75,304.2,"2,569,828","1,328,335,628.00","33,120"
25-May-2023,EQ,507.6,514.0,503.0,510.15,511.9,510.6,507.54,622.75,304.2,"1,811,459","919,385,109.55","29,219"
24-May-2023,EQ,519.0,520.5,508.75,520.85,510.3,510.15,514.78,622.75,304.2,"1,987,757","1,023,263,002.10","34,874"
23-May-2023,EQ,525.35,528.75,520.0,525.15,520.0,520.85,523.81,622.75,304.2,"1,955,175","1,024,139,936.55","31,157"
22-May-2023,EQ,517.1,527.8,516.0,522.4,525.35,525.15,521.6,622.75,304.2,"2,039,749","1,063,923,908.45","38,845"
19-May-2023,EQ,525.0,526.7,515.4,523.85,522.5,522.4,520.65,622.75,304.2,"3,150,698","1,640,395,582.05","58,288"
18-May-2023,EQ,532.5,539.25,521.55,532.1,523.25,523.85,527.74,622.75,304.2,"4,000,851","2,111,424,331.20","68,253"
17-May-2023,EQ,548.0,549.85,530.3,560.4,531.5,532.1,540.62,622.75,304.2,"8,830,826","4,774,128,979.30","110,542"
16-May-2023,EQ,579.0,580.8,558.45,575.05,561.95,560.4,564.03,622.75,304.2,"2,894,930","1,632,841,440.15","46,302"
15-May-2023,EQ,574.15,577.9,564.1,574.15,574.9,575.05,572.3,622.75,304.2,"1,142,120","653,637,683.65","24,347"
12-May-2023,EQ,577.35,582.8,573.0,581.95,574.7,574.15,576.82,622.75,304.2,"1,255,035","723,934,698.95","27,210"
11-May-2023,EQ,586.5,588.9,579.1,584.75,583.45,581.95,583.54,622.75,304.2,"1,123,419","655,560,987.60","22,225"
10-May-2023,EQ,590.0,591.0,580.5,587.65,585.1,584.75,584.63,622.75,304.2,"955,848","558,814,657.40","26,312"
09-May-2023,EQ,593.0,604.5,586.3,592.9,588.5,587.65,596.3,622.75,304.2,"1,744,202","1,040,070,855.95","30,792"
08-May-2023,EQ,587.0,597.0,580.1,583.1,591.8,592.9,591.56,622.75,304.2,"1,402,955","829,930,829.25","25,876"
05-May-2023,EQ,594.0,596.25,582.0,595.05,583.0,583.1,587.57,622.75,304.2,"1,511,288","887,990,529.70","33,212"
04-May-2023,EQ,589.05,600.65,588.65,588.6,594.4,595.05,595.6,622.75,304.2,"1,392,236","829,212,433.85","28,189"
03-May-2023,EQ,594.0,594.8,580.4,592.75,587.95,588.6,586.16,622.75,304.2,"1,376,005","806,561,126.35","25,178"
02-May-2023,EQ,587.0,597.35,582.4,582.85,592.0,592.75,591.85,622.75,304.2,"2,060,182","1,219,328,937.60","36,426"
28-Apr-2023,EQ,581.85,585.2,578.0,579.45,582.0,582.85,581.43,622.75,304.2,"1,733,781","1,008,066,649.40","23,185"
27-Apr-2023,EQ,570.4,580.9,567.4,570.4,579.7,579.45,576.75,622.75,304.2,"1,408,423","812,303,744.20","21,274"
26-Apr-2023,EQ,574.25,574.9,563.2,575.65,567.0,570.4,568.18,622.75,304.2,"1,535,100","872,209,524.00","23,241"
25-Apr-2023,EQ,576.1,581.1,574.0,576.6,575.85,575.65,577.72,622.75,304.2,"926,966","535,527,545.15","15,200"
24-Apr-2023,EQ,573.0,579.5,569.0,573.05,575.5,576.6,575.81,622.75,304.2,"1,065,300","613,407,688.85","18,309"
21-Apr-2023,EQ,584.45,586.9,565.95,584.55,573.0,573.05,571.66,622.75,304.2,"2,315,012","1,323,401,164.35","40,776"
20-Apr-2023,EQ,579.85,589.0,578.8,579.85,585.5,584.55,584.95,622.75,304.2,"1,240,024","725,357,104.45","21,429"
19-Apr-2023,EQ,570.0,589.5,566.55,566.5,580.45,579.85,582.28,622.75,304.2,"4,824,485","2,809,194,934.45","73,305"
18-Apr-2023,EQ,563.5,568.5,561.35,560.45,567.0,566.5,565.19,622.75,304.2,"1,278,845","722,785,008.30","27,091"
17-Apr-2023,EQ,560.0,567.0,557.3,560.4,560.8,560.45,561.43,622.75,304.2,"1,355,214","760,852,194.70","27,647"
13-Apr-2023,EQ,559.3,561.3,555.6,559.3,560.15,560.4,558.25,622.75,304.2,"1,395,446","779,011,609.55","19,423"
12-Apr-2023,EQ,564.95,567.65,557.6,562.9,558.1,559.3,560.3,622.75,304.2,"1,472,367","824,969,653.80","22,949"
11-Apr-2023,EQ,553.7,563.9,552.85,549.5,563.0,562.9,560.54,622.75,304.2,"1,915,083","1,073,487,160.00","42,643"
10-Apr-2023,EQ,548.7,558.5,548.05,544.3,549.05,549.5,554.0,622.75,304.2,"4,240,150","2,349,050,849.45","34,577"
