Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,350.00","3,436.50","3,309.55","3,360.10","3,430.00","3,425.90","3,384.09","3,450.00","2,040.15","90,161","305,113,047.90","9,217"
23-Jun-2023,EQ,"3,404.00","3,404.00","3,333.00","3,405.75","3,341.50","3,360.10","3,357.37","3,450.00","2,003.70","83,000","278,661,604.25","11,521"
22-Jun-2023,EQ,"3,422.70","3,445.00","3,380.00","3,411.05","3,396.00","3,405.75","3,408.09","3,450.00","2,003.70","109,700","373,867,707.70","9,604"
21-Jun-2023,EQ,"3,370.00","3,450.00","3,370.00","3,362.55","3,400.00","3,411.05","3,418.26","3,450.00","2,003.70","93,310","318,957,928.15","9,647"
20-Jun-2023,EQ,"3,382.90","3,414.80","3,342.05","3,371.90","3,357.55","3,362.55","3,371.81","3,438.00","2,003.70","114,382","385,674,420.30","12,080"
19-Jun-2023,EQ,"3,382.00","3,438.00","3,355.10","3,364.50","3,382.90","3,371.90","3,397.33","3,438.00","2,003.70","111,022","377,178,604.65","10,203"
16-Jun-2023,EQ,"3,354.95","3,392.00","3,343.90","3,343.90","3,366.50","3,364.50","3,363.44","3,392.00","2,003.70","154,709","520,354,004.25","8,834"
15-Jun-2023,EQ,"3,332.95","3,360.00","3,326.50","3,326.35","3,332.00","3,343.90","3,347.03","3,360.00","2,003.70","181,974","609,071,703.90","17,788"
14-Jun-2023,EQ,"3,293.25","3,343.75","3,291.05","3,293.25","3,318.00","3,326.35","3,327.60","3,343.75","2,003.70","152,448","507,286,300.80","16,569"
13-Jun-2023,EQ,"3,290.00","3,300.00","3,267.25","3,261.95","3,286.00","3,293.25","3,287.21","3,324.00","2,003.70","112,186","368,779,369.45","11,109"
12-Jun-2023,EQ,"3,248.10","3,269.95","3,182.40","3,227.35","3,262.05","3,261.95","3,237.12","3,324.00","2,003.70","66,226","214,381,612.00","10,855"
09-Jun-2023,EQ,"3,266.00","3,298.00","3,214.80","3,240.85","3,219.00","3,227.35","3,251.21","3,324.00","2,003.70","90,526","294,319,450.50","11,416"
08-Jun-2023,EQ,"3,299.00","3,302.95","3,223.75","3,283.10","3,239.00","3,240.85","3,268.45","3,324.00","2,003.70","121,737","397,891,132.70","11,075"
