Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,479.9,491.0,477.5,478.85,488.85,486.7,485.15,652.35,412.1,"1,751,660","849,809,749.50","37,195"
23-Jun-2023,EQ,496.9,496.9,477.15,495.3,480.0,478.85,486.04,652.35,412.1,"2,127,202","1,033,902,059.95","52,894"
22-Jun-2023,EQ,495.15,509.8,492.85,495.15,496.5,495.3,502.34,652.35,412.1,"3,947,127","1,982,818,937.05","68,287"
21-Jun-2023,EQ,496.9,499.6,489.65,497.0,495.15,495.15,495.06,652.35,412.1,"1,763,858","873,222,556.20","44,507"
20-Jun-2023,EQ,495.85,500.0,492.1,494.4,496.6,497.0,495.58,652.35,412.1,"1,155,328","572,552,772.20","27,103"
19-Jun-2023,EQ,499.9,501.5,493.15,498.15,496.0,494.4,497.16,652.35,412.1,"1,673,846","832,164,503.20","37,666"
16-Jun-2023,EQ,496.15,500.0,493.0,497.0,498.5,498.15,496.59,652.35,412.1,"2,224,342","1,104,585,438.80","34,810"
15-Jun-2023,EQ,495.2,500.0,494.0,494.3,495.0,497.0,497.19,652.35,412.1,"2,793,881","1,389,089,786.15","43,583"
14-Jun-2023,EQ,485.0,496.0,484.05,485.0,495.0,494.3,492.56,652.35,412.1,"1,374,519","677,033,514.35","30,711"
13-Jun-2023,EQ,483.15,487.75,482.1,483.15,485.25,485.0,484.74,652.35,412.1,"2,153,441","1,043,851,745.55","31,780"
12-Jun-2023,EQ,477.85,486.85,474.65,479.55,483.0,483.15,482.13,652.35,412.1,"944,735","455,485,319.15","22,927"
09-Jun-2023,EQ,486.0,489.5,477.0,486.05,478.05,479.55,484.24,652.35,412.1,"965,552","467,557,843.50","31,217"
08-Jun-2023,EQ,495.1,495.5,485.0,493.05,487.1,486.05,488.98,652.35,412.1,"954,493","466,727,387.05","34,150"
07-Jun-2023,EQ,491.05,495.5,488.0,490.75,493.3,493.05,492.77,652.35,412.1,"1,040,574","512,767,539.00","32,672"
06-Jun-2023,EQ,494.7,494.7,485.05,494.0,491.6,490.75,488.82,652.35,412.1,"1,177,086","575,381,104.00","25,288"
05-Jun-2023,EQ,493.9,496.5,492.8,492.05,493.55,494.0,494.76,652.35,412.1,"779,958","385,890,906.50","17,980"
02-Jun-2023,EQ,493.4,496.55,490.5,491.5,493.0,492.05,492.94,652.35,412.1,"1,134,309","559,147,392.05","22,650"
01-Jun-2023,EQ,487.0,494.5,483.3,483.3,490.05,491.5,490.61,652.35,412.1,"1,586,384","778,300,735.65","36,828"
31-May-2023,EQ,486.75,490.6,481.5,487.95,483.55,483.3,484.44,652.35,412.1,"2,061,546","998,701,356.90","31,301"
30-May-2023,EQ,482.9,488.9,480.35,482.4,487.45,487.95,485.39,652.35,412.1,"1,557,057","755,776,149.80","31,636"
29-May-2023,EQ,488.0,488.35,481.1,483.65,481.7,482.4,483.49,652.35,412.1,"1,004,989","485,897,305.70","23,033"
26-May-2023,EQ,489.4,489.4,483.0,489.15,483.8,483.65,485.18,652.35,412.1,"1,409,515","683,875,428.65","28,800"
25-May-2023,EQ,473.1,492.8,472.7,473.8,492.0,489.15,483.59,652.35,412.1,"3,098,642","1,498,472,780.05","52,508"
24-May-2023,EQ,472.1,478.0,468.55,474.0,473.5,473.8,474.5,652.35,412.1,"1,193,674","566,403,882.50","36,639"
23-May-2023,EQ,470.45,480.9,469.05,469.6,473.95,474.0,474.52,652.35,412.1,"3,068,427","1,456,016,996.55","53,482"
