Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,117.8,119.25,114.95,118.0,118.7,118.65,117.19,126.9,66.3,"15,173,431","1,778,213,222.40","45,155"
23-Jun-2023,EQ,120.4,120.4,116.25,120.45,118.5,118.0,117.95,126.9,65.95,"13,252,964","1,563,217,279.75","45,946"
22-Jun-2023,EQ,124.05,124.1,116.2,123.65,120.7,120.45,119.66,126.9,65.95,"18,745,422","2,243,051,370.55","54,936"
21-Jun-2023,EQ,122.1,126.9,122.1,121.6,123.4,123.65,124.85,126.9,65.95,"21,790,055","2,720,395,785.05","56,992"
20-Jun-2023,EQ,118.8,121.9,116.25,118.15,121.4,121.6,119.6,121.9,65.95,"12,135,931","1,451,396,998.50","39,084"
19-Jun-2023,EQ,118.85,121.2,117.55,118.25,118.6,118.15,119.44,121.45,65.95,"10,312,897","1,231,751,008.45","39,245"
16-Jun-2023,EQ,118.4,119.5,117.2,117.5,118.0,118.25,118.27,121.45,65.95,"11,296,782","1,336,092,022.20","42,377"
15-Jun-2023,EQ,112.4,121.45,111.8,112.2,117.5,117.5,118.07,121.45,65.95,"46,023,828","5,434,214,837.30","153,330"
14-Jun-2023,EQ,109.8,112.75,108.55,109.9,112.5,112.2,110.85,112.75,65.95,"10,386,005","1,151,299,382.00","36,029"
13-Jun-2023,EQ,107.95,110.4,107.6,107.45,110.0,109.9,109.45,110.4,65.95,"12,266,306","1,342,583,157.25","49,413"
12-Jun-2023,EQ,105.55,107.75,104.75,105.15,107.6,107.45,106.64,108.3,65.95,"4,261,650","454,482,211.25","18,672"
09-Jun-2023,EQ,105.65,106.6,104.65,105.65,104.95,105.15,105.55,108.3,65.95,"4,708,088","496,950,734.10","16,938"
08-Jun-2023,EQ,107.95,108.3,104.45,107.55,105.65,105.65,106.11,108.3,65.95,"7,198,164","763,815,444.15","26,666"
07-Jun-2023,EQ,107.0,108.25,106.85,106.75,107.35,107.55,107.57,108.25,65.95,"6,636,364","713,856,017.40","21,765"
06-Jun-2023,EQ,105.7,107.0,105.1,105.05,106.8,106.75,106.48,107.0,65.95,"7,331,338","780,605,922.55","37,383"
05-Jun-2023,EQ,106.0,107.0,103.9,105.55,104.9,105.05,105.04,107.0,65.95,"24,492,750","2,572,616,160.85","47,730"
02-Jun-2023,EQ,105.75,106.7,105.0,104.85,105.3,105.55,105.71,106.7,65.95,"8,350,359","882,735,562.95","28,743"
01-Jun-2023,EQ,104.2,105.85,104.2,104.15,104.9,104.85,105.22,105.85,65.95,"6,886,135","724,584,093.50","25,345"
31-May-2023,EQ,104.15,104.95,103.1,104.35,104.1,104.15,103.96,104.95,65.95,"5,444,298","565,968,988.00","20,140"
30-May-2023,EQ,103.5,104.7,103.1,103.25,104.3,104.35,104.01,104.7,65.95,"7,590,202","789,493,232.00","24,746"
29-May-2023,EQ,103.0,104.1,102.4,102.5,103.3,103.25,103.12,104.1,65.95,"6,101,147","629,134,471.95","24,365"
26-May-2023,EQ,102.95,103.45,101.45,102.65,102.5,102.5,102.52,103.45,65.95,"7,785,946","798,207,180.05","30,098"
25-May-2023,EQ,101.45,102.95,100.7,101.05,102.65,102.65,102.18,102.95,65.95,"10,961,461","1,119,996,222.40","40,505"
24-May-2023,EQ,98.2,102.9,97.8,98.35,101.0,101.05,101.51,102.9,65.95,"16,472,310","1,672,152,885.40","53,283"
23-May-2023,EQ,100.0,100.2,97.6,99.75,98.3,98.35,98.45,102.4,65.95,"9,229,803","908,641,134.05","27,880"
22-May-2023,EQ,99.9,100.45,99.0,99.65,99.8,99.75,99.54,102.4,65.95,"5,490,210","546,516,591.95","19,835"
19-May-2023,EQ,99.85,100.25,97.3,99.45,99.65,99.65,99.01,102.4,65.95,"8,909,522","882,161,014.95","26,086"
18-May-2023,EQ,100.55,102.4,98.85,99.9,99.35,99.45,101.07,102.4,65.95,"15,965,978","1,613,669,744.30","56,872"
17-May-2023,EQ,99.3,101.45,98.55,99.0,99.95,99.9,99.92,101.45,65.95,"11,535,709","1,152,658,787.30","40,341"
16-May-2023,EQ,98.9,100.8,98.05,98.15,99.0,99.0,99.67,100.8,65.95,"15,991,575","1,593,858,223.55","54,398"
15-May-2023,EQ,95.55,98.5,95.05,95.55,98.1,98.15,97.49,99.4,65.95,"7,807,726","761,171,305.90","35,191"
