Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,109.85","2,184.95","2,075.55","2,109.85","2,170.00","2,166.60","2,143.48","2,750.00","1,762.05","382,502","819,884,527.25","32,383"
23-Jun-2023,EQ,"2,170.00","2,181.70","2,099.00","2,180.45","2,119.00","2,109.85","2,137.90","2,750.00","1,762.05","314,414","672,185,207.50","25,637"
22-Jun-2023,EQ,"2,229.95","2,253.15","2,175.00","2,231.85","2,183.00","2,180.45","2,223.70","2,750.00","1,762.05","313,140","696,328,568.65","29,135"
21-Jun-2023,EQ,"2,223.25","2,245.50","2,192.00","2,223.25","2,228.45","2,231.85","2,221.74","2,750.00","1,762.05","367,711","816,956,916.35","33,188"
20-Jun-2023,EQ,"2,134.00","2,230.00","2,128.05","2,121.15","2,220.00","2,223.25","2,192.24","2,750.00","1,762.05","1,640,325","3,595,992,659.15","95,269"
19-Jun-2023,EQ,"2,050.00","2,142.40","2,040.40","2,026.45","2,123.00","2,121.15","2,109.14","2,750.00","1,762.05","1,266,232","2,670,660,011.60","86,728"
16-Jun-2023,EQ,"1,994.00","2,035.00","1,992.50","1,994.40","2,035.00","2,026.45","2,013.83","2,750.00","1,762.05","528,277","1,063,858,755.50","25,502"
15-Jun-2023,EQ,"1,995.00","2,020.85","1,990.00","1,997.30","1,994.90","1,994.40","2,008.68","2,750.00","1,762.05","366,360","735,901,350.90","19,232"
14-Jun-2023,EQ,"2,007.50","2,008.75","1,973.00","1,987.65","1,999.50","1,997.30","1,995.98","2,750.00","1,762.05","411,041","820,429,994.70","22,843"
13-Jun-2023,EQ,"1,962.00","2,009.85","1,962.00","1,959.60","1,990.00","1,987.65","1,992.57","2,750.00","1,762.05","161,521","321,842,427.50","18,465"
12-Jun-2023,EQ,"1,958.00","1,968.30","1,916.05","1,955.65","1,964.85","1,959.60","1,943.17","2,750.00","1,762.05","240,040","466,438,230.00","26,086"
09-Jun-2023,EQ,"2,010.00","2,016.00","1,950.00","2,007.50","1,958.95","1,955.65","1,975.01","2,750.00","1,762.05","207,866","410,537,268.95","25,357"
08-Jun-2023,EQ,"2,034.90","2,045.00","2,000.10","2,028.70","2,007.00","2,007.50","2,016.76","2,750.00","1,762.05","157,888","318,422,518.15","17,119"
07-Jun-2023,EQ,"2,033.70","2,041.00","2,019.00","2,018.90","2,026.20","2,028.70","2,030.28","2,750.00","1,762.05","120,064","243,763,404.45","13,464"
06-Jun-2023,EQ,"2,018.55","2,034.95","2,011.05","2,018.55","2,022.00","2,018.90","2,021.36","2,750.00","1,762.05","139,875","282,737,910.15","18,647"
05-Jun-2023,EQ,"2,020.00","2,039.45","2,001.65","2,015.20","2,020.00","2,018.55","2,024.13","2,750.00","1,762.05","124,072","251,137,494.70","9,942"
02-Jun-2023,EQ,"2,028.45","2,033.45","1,999.25","2,005.35","2,020.00","2,015.20","2,014.61","2,750.00","1,762.05","168,239","338,936,390.10","11,996"
01-Jun-2023,EQ,"2,048.00","2,056.00","1,999.90","2,032.95","2,009.00","2,005.35","2,018.41","2,750.00","1,762.05","194,879","393,345,154.55","13,375"
31-May-2023,EQ,"2,026.50","2,058.00","2,014.55","2,032.90","2,028.00","2,032.95","2,033.55","2,750.00","1,762.05","147,747","300,450,353.80","12,089"
30-May-2023,EQ,"2,045.05","2,057.00","2,028.05","2,045.70","2,028.55","2,032.90","2,042.98","2,750.00","1,762.05","75,479","154,201,793.80","10,688"
29-May-2023,EQ,"2,025.95","2,049.00","2,017.00","2,025.95","2,037.95","2,045.70","2,037.11","2,750.00","1,762.05","86,962","177,151,137.95","8,587"
26-May-2023,EQ,"2,025.00","2,073.55","2,020.00","2,025.55","2,025.00","2,025.95","2,041.05","2,750.00","1,762.05","136,962","279,545,638.80","13,374"
25-May-2023,EQ,"2,035.00","2,057.00","2,018.80","2,046.20","2,024.10","2,025.55","2,036.03","2,750.00","1,762.05","108,184","220,265,992.60","9,951"
24-May-2023,EQ,"2,025.70","2,055.70","1,986.00","2,025.70","2,040.15","2,046.20","2,034.08","2,750.00","1,762.05","230,038","467,915,461.60","18,260"
23-May-2023,EQ,"2,016.80","2,043.20","1,982.00","2,018.20","2,026.00","2,025.70","2,023.85","2,750.00","1,762.05","210,724","426,474,294.30","16,080"
22-May-2023,EQ,"1,943.95","2,024.95","1,931.00","1,940.15","2,012.10","2,018.20","1,989.21","2,750.00","1,762.05","207,190","412,144,378.65","17,929"
19-May-2023,EQ,"1,986.60","1,986.60","1,934.00","1,976.15","1,944.00","1,940.15","1,945.75","2,750.00","1,762.05","135,812","264,256,867.20","12,444"
18-May-2023,EQ,"2,018.05","2,025.00","1,970.35","2,013.60","1,978.00","1,976.15","1,993.72","2,750.00","1,762.05","110,558","220,421,445.20","11,199"
17-May-2023,EQ,"2,039.95","2,043.00","1,985.00","2,033.35","2,008.50","2,013.60","2,010.66","2,750.00","1,762.05","141,909","285,330,253.50","15,277"
16-May-2023,EQ,"2,013.00","2,053.75","2,010.00","2,008.90","2,028.00","2,033.35","2,039.86","2,750.00","1,762.05","320,494","653,764,311.10","19,820"
15-May-2023,EQ,"2,021.00","2,078.00","2,001.00","2,040.90","2,008.00","2,008.90","2,041.57","2,750.00","1,762.05","472,595","964,835,079.75","34,426"
12-May-2023,EQ,"1,910.00","2,059.00","1,892.20","1,906.35","2,059.00","2,040.90","2,002.93","2,750.00","1,762.05","772,746","1,547,757,881.05","46,794"
11-May-2023,EQ,"1,950.00","1,969.95","1,888.10","1,949.85","1,909.00","1,906.35","1,926.07","2,750.00","1,762.05","432,047","832,152,541.35","36,439"
10-May-2023,EQ,"1,926.00","1,955.00","1,926.00","1,929.25","1,952.00","1,949.85","1,946.82","2,750.00","1,762.05","104,675","203,783,732.15","10,394"
09-May-2023,EQ,"1,930.00","1,956.15","1,922.55","1,930.00","1,928.00","1,929.25","1,938.97","2,750.00","1,762.05","83,293","161,502,228.95","9,305"
08-May-2023,EQ,"1,945.95","1,947.95","1,910.80","1,945.50","1,934.85","1,930.00","1,924.75","2,750.00","1,762.05","214,356","412,582,722.35","19,262"
05-May-2023,EQ,"1,966.00","1,966.00","1,940.00","1,962.60","1,950.00","1,945.50","1,953.29","2,750.00","1,762.05","68,922","134,624,807.65","9,117"
04-May-2023,EQ,"1,935.60","1,967.15","1,933.45","1,934.10","1,956.00","1,962.60","1,953.59","2,750.00","1,762.05","81,366","158,955,596.00","11,073"
03-May-2023,EQ,"1,953.00","1,963.95","1,929.05","1,956.30","1,935.00","1,934.10","1,945.10","2,750.00","1,762.05","104,717","203,685,385.20","12,068"
02-May-2023,EQ,"1,954.05","1,972.00","1,945.35","1,954.50","1,952.00","1,956.30","1,959.33","2,750.00","1,762.05","163,437","320,227,023.15","16,908"
28-Apr-2023,EQ,"1,922.90","1,961.50","1,915.00","1,931.40","1,950.90","1,954.50","1,934.71","2,840.00","1,762.05","136,510","264,107,528.45","14,433"
27-Apr-2023,EQ,"1,925.00","1,939.00","1,910.55","1,930.20","1,923.00","1,931.40","1,924.04","2,840.00","1,762.05","164,736","316,957,904.90","17,848"
26-Apr-2023,EQ,"1,917.00","1,937.00","1,911.10","1,931.45","1,930.00","1,930.20","1,926.19","2,840.00","1,762.05","215,154","414,427,316.85","15,305"
25-Apr-2023,EQ,"1,897.00","1,942.00","1,892.90","1,916.30","1,922.00","1,931.45","1,925.43","2,840.00","1,762.05","175,311","337,549,711.75","16,012"
24-Apr-2023,EQ,"1,920.00","1,925.00","1,881.55","1,909.15","1,913.00","1,916.30","1,912.71","2,840.00","1,762.05","159,817","305,684,312.85","18,468"
21-Apr-2023,EQ,"1,900.75","1,920.00","1,893.40","1,903.00","1,908.00","1,909.15","1,910.46","2,840.00","1,762.05","203,923","389,585,993.00","14,711"
20-Apr-2023,EQ,"1,903.95","1,910.00","1,880.10","1,903.90","1,904.15","1,903.00","1,897.53","2,840.00","1,762.05","138,109","262,065,339.30","15,616"
19-Apr-2023,EQ,"1,908.60","1,909.85","1,872.55","1,898.60","1,904.95","1,903.90","1,900.76","2,840.00","1,762.05","362,211","688,476,241.15","13,165"
18-Apr-2023,EQ,"1,886.10","1,921.95","1,876.00","1,890.60","1,898.00","1,898.60","1,898.21","2,840.00","1,762.05","231,249","438,959,392.65","16,307"
17-Apr-2023,EQ,"1,909.00","1,911.00","1,883.25","1,908.25","1,886.00","1,890.60","1,896.60","2,840.00","1,762.05","120,940","229,375,367.85","12,443"
13-Apr-2023,EQ,"1,919.80","1,926.80","1,885.00","1,916.70","1,905.00","1,908.25","1,904.59","2,840.00","1,762.05","134,732","256,609,243.10","11,335"
12-Apr-2023,EQ,"1,872.85","1,936.75","1,865.00","1,861.35","1,916.00","1,916.70","1,903.92","2,840.00","1,762.05","457,943","871,884,933.20","34,028"
11-Apr-2023,EQ,"1,868.00","1,871.95","1,848.05","1,851.15","1,863.10","1,861.35","1,859.80","2,840.00","1,762.05","135,206","251,455,535.90","17,423"
10-Apr-2023,EQ,"1,859.00","1,870.65","1,841.00","1,836.10","1,849.50","1,851.15","1,852.67","2,840.00","1,762.05","124,063","229,847,730.40","13,216"
06-Apr-2023,EQ,"1,859.90","1,865.90","1,830.00","1,853.55","1,839.00","1,836.10","1,846.15","2,878.55","1,762.05","104,982","193,812,094.95","9,229"
05-Apr-2023,EQ,"1,841.70","1,856.00","1,825.00","1,841.70","1,854.00","1,853.55","1,843.87","2,878.55","1,762.05","86,276","159,081,429.30","8,488"
03-Apr-2023,EQ,"1,829.80","1,844.00","1,821.05","1,828.10","1,842.00","1,841.70","1,835.15","2,878.55","1,762.05","76,734","140,818,718.65","8,764"
31-Mar-2023,EQ,"1,801.00","1,835.00","1,791.05","1,800.05","1,827.00","1,828.10","1,818.98","2,878.55","1,762.05","193,567","352,095,100.35","14,168"
29-Mar-2023,EQ,"1,810.30","1,818.55","1,794.75","1,810.30","1,797.05","1,800.05","1,802.70","2,878.55","1,762.05","138,542","249,749,984.45","12,753"
28-Mar-2023,EQ,"1,838.20","1,838.20","1,797.30","1,827.60","1,805.00","1,810.30","1,815.55","2,878.55","1,762.05","121,301","220,228,022.80","12,390"
27-Mar-2023,EQ,"1,826.65","1,873.95","1,820.00","1,817.10","1,823.70","1,827.60","1,850.14","2,878.55","1,762.05","353,766","654,516,022.40","27,247"
24-Mar-2023,EQ,"1,833.00","1,835.00","1,804.25","1,829.30","1,815.00","1,817.10","1,817.34","2,878.55","1,762.05","112,401","204,271,195.75","12,432"
23-Mar-2023,EQ,"1,825.00","1,850.00","1,810.35","1,829.70","1,831.00","1,829.30","1,828.16","2,878.55","1,762.05","209,497","382,993,177.20","17,034"
22-Mar-2023,EQ,"1,785.00","1,848.95","1,775.10","1,779.85","1,825.00","1,829.70","1,818.28","2,878.55","1,762.05","305,633","555,726,581.80","33,098"
21-Mar-2023,EQ,"1,798.65","1,810.25","1,773.10","1,789.70","1,781.95","1,779.85","1,787.22","2,878.55","1,762.05","156,082","278,952,987.95","15,330"
20-Mar-2023,EQ,"1,828.30","1,837.95","1,762.05","1,828.30","1,798.20","1,789.70","1,786.15","2,878.55","1,762.05","275,300","491,728,130.40","24,712"
17-Mar-2023,EQ,"1,868.90","1,873.70","1,820.00","1,867.00","1,823.00","1,828.30","1,843.36","2,878.55","1,780.00","190,395","350,965,805.10","18,538"
16-Mar-2023,EQ,"1,861.95","1,870.00","1,836.10","1,852.85","1,866.70","1,867.00","1,859.42","2,878.55","1,780.00","171,777","319,405,969.80","22,341"
15-Mar-2023,EQ,"1,844.00","1,872.00","1,835.50","1,833.45","1,846.50","1,852.85","1,854.75","2,878.55","1,780.00","217,579","403,554,386.80","19,165"
14-Mar-2023,EQ,"1,833.35","1,854.90","1,780.00","1,833.35","1,835.00","1,833.45","1,821.88","2,878.55","1,780.00","443,466","807,942,711.10","49,091"
13-Mar-2023,EQ,"1,825.05","1,856.60","1,810.35","1,830.55","1,839.00","1,833.35","1,834.44","2,878.55","1,805.55","332,700","610,318,501.60","41,636"
10-Mar-2023,EQ,"1,881.00","1,881.00","1,817.10","1,881.15","1,829.00","1,830.55","1,836.53","2,878.55","1,805.55","225,185","413,559,415.90","28,256"
09-Mar-2023,EQ,"1,911.00","1,924.90","1,877.00","1,910.05","1,883.00","1,881.15","1,895.21","2,878.55","1,805.55","237,300","449,734,369.50","37,429"
08-Mar-2023,EQ,"1,959.85","1,966.05","1,901.00","1,958.95","1,911.00","1,910.05","1,919.12","2,878.55","1,805.55","234,409","449,858,667.80","27,667"
