Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,351.95,365.5,349.6,350.65,362.0,361.95,360.47,605.5,278.85,"2,684,715","967,767,377.00","45,211"
23-Jun-2023,EQ,355.0,357.65,349.05,355.95,350.15,350.65,352.3,605.5,278.85,"1,176,039","414,319,389.70","25,389"
22-Jun-2023,EQ,366.6,367.1,354.2,364.75,355.45,355.95,359.28,605.5,278.85,"2,195,587","788,840,082.50","22,540"
21-Jun-2023,EQ,366.05,368.7,363.6,365.5,364.85,364.75,365.58,605.5,278.85,"1,022,200","373,698,507.55","21,631"
20-Jun-2023,EQ,366.4,367.55,363.0,364.5,365.3,365.5,365.33,605.5,278.85,"1,079,050","394,207,319.40","18,840"
19-Jun-2023,EQ,369.0,370.5,364.0,367.95,365.0,364.5,366.6,605.5,278.85,"1,311,863","480,926,859.45","24,071"
16-Jun-2023,EQ,368.05,374.95,366.75,366.75,367.3,367.95,371.07,605.5,278.85,"2,942,601","1,091,922,250.20","38,859"
15-Jun-2023,EQ,358.0,369.3,357.45,359.0,366.2,366.75,365.2,605.5,278.85,"3,417,191","1,247,942,778.00","61,676"
14-Jun-2023,EQ,363.0,364.1,357.15,360.1,358.1,359.0,360.24,605.5,278.85,"2,017,191","726,664,820.80","34,328"
13-Jun-2023,EQ,344.0,361.4,343.15,343.4,361.0,360.1,356.28,605.5,278.85,"4,742,560","1,689,662,596.50","52,161"
12-Jun-2023,EQ,331.5,346.95,325.3,340.5,344.0,343.4,340.66,605.5,278.85,"2,729,906","929,982,826.20","37,462"
09-Jun-2023,EQ,347.15,350.9,338.75,347.15,340.0,340.5,345.44,605.5,278.85,"1,487,708","513,920,345.85","24,131"
08-Jun-2023,EQ,349.5,352.15,343.25,348.85,346.5,347.15,348.08,605.5,278.85,"2,518,174","876,520,280.90","32,397"
07-Jun-2023,EQ,343.0,350.5,341.5,342.05,348.95,348.85,347.45,605.5,278.85,"2,044,259","710,275,783.30","33,566"
06-Jun-2023,EQ,343.4,343.4,335.6,341.65,341.9,342.05,339.94,605.5,278.85,"1,115,441","379,178,603.60","16,889"
05-Jun-2023,EQ,348.0,349.35,340.5,346.05,341.5,341.65,345.39,605.5,278.85,"1,621,295","559,980,025.10","23,933"
02-Jun-2023,EQ,342.45,347.0,338.5,340.5,346.05,346.05,343.36,605.5,278.85,"2,932,962","1,007,065,748.50","30,878"
01-Jun-2023,EQ,334.65,345.0,333.05,330.7,340.05,340.5,340.47,605.5,278.85,"6,986,665","2,378,763,260.30","70,193"
31-May-2023,EQ,332.0,336.5,330.0,331.75,331.0,330.7,332.41,605.5,278.85,"1,157,152","384,654,462.70","16,781"
30-May-2023,EQ,336.4,337.7,328.95,334.65,332.4,331.75,333.43,605.5,278.85,"1,257,964","419,438,101.30","19,173"
29-May-2023,EQ,334.85,337.0,332.05,334.85,333.8,334.65,334.54,605.5,278.85,"932,053","311,805,443.15","12,884"
26-May-2023,EQ,334.25,335.85,330.0,333.4,334.4,334.85,332.84,605.5,278.85,"1,433,355","477,079,123.95","19,224"
25-May-2023,EQ,334.8,338.15,330.55,334.8,333.75,333.4,334.16,605.5,278.85,"2,420,869","808,955,328.50","31,121"
24-May-2023,EQ,315.6,341.05,314.1,314.45,334.8,334.8,331.09,605.5,278.85,"8,546,304","2,829,574,180.00","97,511"
23-May-2023,EQ,313.0,317.85,311.55,312.1,315.0,314.45,315.08,605.5,278.85,"1,409,566","444,126,947.70","18,287"
22-May-2023,EQ,312.0,314.95,309.6,312.4,312.2,312.1,312.6,605.5,278.85,"1,106,701","345,959,884.30","16,906"
19-May-2023,EQ,312.45,313.85,307.0,310.4,311.85,312.4,311.25,605.5,278.85,"929,453","289,294,683.10","14,082"
18-May-2023,EQ,313.85,316.95,309.45,311.85,311.0,310.4,312.79,605.5,278.85,"1,160,609","363,024,355.95","16,163"
