Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,390.05,395.1,386.0,389.65,392.0,391.75,390.59,443.6,315.1,"2,228,143","870,283,344.10","22,831"
23-Jun-2023,EQ,403.0,405.85,387.0,402.55,387.8,389.65,396.1,443.6,291.75,"3,485,291","1,380,512,590.10","36,835"
22-Jun-2023,EQ,406.2,420.4,400.55,405.7,402.5,402.55,411.66,443.6,291.75,"6,158,348","2,535,174,332.65","79,650"
21-Jun-2023,EQ,391.0,407.9,390.35,390.55,406.3,405.7,400.45,443.6,291.75,"5,015,480","2,008,433,240.60","58,746"
20-Jun-2023,EQ,384.5,391.3,381.0,384.55,390.0,390.55,386.15,443.6,291.75,"1,502,464","580,177,296.85","23,588"
19-Jun-2023,EQ,387.95,392.45,383.4,386.4,384.4,384.55,388.65,443.6,291.75,"1,327,636","515,991,284.00","22,134"
16-Jun-2023,EQ,378.0,392.95,377.05,376.45,386.8,386.4,387.46,443.6,291.75,"4,158,485","1,611,229,263.75","48,241"
15-Jun-2023,EQ,372.5,381.95,371.45,372.85,376.55,376.45,377.56,443.6,291.75,"2,525,602","953,554,982.80","33,425"
14-Jun-2023,EQ,371.5,374.1,370.0,373.45,372.5,372.85,372.16,443.6,291.75,"1,119,894","416,779,535.75","22,567"
13-Jun-2023,EQ,372.0,376.75,370.95,370.3,373.1,373.45,373.16,443.6,291.75,"1,841,448","687,158,669.35","40,999"
12-Jun-2023,EQ,363.75,371.5,363.15,364.0,371.3,370.3,367.91,443.6,291.75,"2,825,348","1,039,468,985.30","36,080"
09-Jun-2023,EQ,373.0,374.35,362.75,372.0,363.0,364.0,366.23,443.6,291.75,"3,575,108","1,309,298,631.25","73,647"
08-Jun-2023,EQ,377.15,380.5,371.0,376.75,372.2,372.0,374.46,443.6,291.75,"1,720,772","644,366,436.35","33,294"
07-Jun-2023,EQ,374.25,378.3,372.65,373.05,377.0,376.75,375.15,443.6,291.75,"1,662,365","623,628,581.25","18,773"
06-Jun-2023,EQ,376.0,377.4,372.2,375.8,373.0,373.05,373.69,443.6,291.75,"684,871","255,931,397.55","15,716"
05-Jun-2023,EQ,380.9,382.15,375.1,379.2,375.8,375.8,378.46,443.6,291.75,"2,323,645","879,403,558.70","27,839"
02-Jun-2023,EQ,378.25,380.35,376.65,377.1,379.0,379.2,378.91,443.6,291.75,"730,890","276,944,198.40","10,785"
01-Jun-2023,EQ,373.95,379.35,372.75,372.0,376.3,377.1,376.6,443.6,291.75,"926,549","348,936,597.60","13,546"
31-May-2023,EQ,379.5,379.5,371.35,379.55,372.2,372.0,374.6,443.6,291.75,"780,347","292,319,605.85","11,208"
30-May-2023,EQ,380.05,383.5,377.0,380.05,379.7,379.55,380.37,443.6,291.75,"1,365,553","519,414,649.75","20,498"
29-May-2023,EQ,379.9,383.6,377.5,377.5,380.0,380.05,380.41,443.6,291.75,"1,184,824","450,719,463.85","16,893"
26-May-2023,EQ,375.2,378.3,373.55,375.05,377.4,377.5,376.39,443.6,291.75,"905,809","340,936,781.20","14,500"
25-May-2023,EQ,377.85,377.85,371.45,376.2,374.7,375.05,374.16,443.6,291.75,"958,131","358,492,913.50","15,420"
24-May-2023,EQ,371.9,378.4,370.4,373.05,376.05,376.2,375.64,443.6,291.75,"1,524,854","572,798,668.60","22,493"
23-May-2023,EQ,372.5,375.2,370.65,372.25,372.4,373.05,372.91,443.6,291.75,"910,330","339,469,688.90","15,413"
22-May-2023,EQ,373.0,376.4,369.65,372.8,372.25,372.25,373.16,443.6,291.75,"2,240,712","836,135,341.60","40,107"
19-May-2023,EQ,366.0,374.55,364.5,365.8,373.05,372.8,370.15,443.6,291.75,"2,809,030","1,039,757,077.10","30,460"
18-May-2023,EQ,373.0,375.0,362.75,370.45,366.4,365.8,368.47,443.6,291.75,"3,730,009","1,374,393,566.50","46,802"
17-May-2023,EQ,391.0,391.0,365.6,394.7,370.75,370.45,372.16,443.6,291.75,"15,836,838","5,893,826,532.85","223,488"
16-May-2023,EQ,384.0,398.0,382.25,381.8,395.45,394.7,392.79,443.6,291.75,"7,290,408","2,863,587,356.00","91,962"
15-May-2023,EQ,375.0,383.5,372.7,374.95,382.9,381.8,380.84,443.6,291.75,"1,506,402","573,703,324.45","27,527"
12-May-2023,EQ,378.75,380.3,374.0,377.8,374.6,374.95,376.64,443.6,291.75,"1,220,873","459,830,504.60","18,686"
11-May-2023,EQ,374.0,379.0,371.3,372.45,378.8,377.8,375.5,443.6,291.75,"1,478,514","555,177,875.50","23,207"
10-May-2023,EQ,371.4,373.25,365.0,368.7,371.2,372.45,369.69,443.6,291.75,"709,126","262,158,154.05","14,517"
09-May-2023,EQ,371.5,373.9,367.0,370.85,370.5,368.7,369.96,443.6,291.75,"944,037","349,252,862.90","14,886"
