Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,954.90","5,018.85","4,926.05","4,956.65","5,002.20","5,007.30","4,996.34","5,360.00","3,833.15","234,908","1,173,680,473.35","22,104"
23-Jun-2023,EQ,"4,999.95","5,010.90","4,910.85","5,026.05","4,950.00","4,956.65","4,958.16","5,360.00","3,833.15","263,039","1,304,189,103.40","31,825"
22-Jun-2023,EQ,"5,024.80","5,037.60","4,971.00","5,000.50","5,022.00","5,026.05","5,010.35","5,360.00","3,833.15","248,629","1,245,717,442.00","21,382"
21-Jun-2023,EQ,"5,045.00","5,078.00","4,968.35","5,022.15","5,001.00","5,000.50","4,996.68","5,360.00","3,833.15","335,601","1,676,889,153.50","43,148"
20-Jun-2023,EQ,"5,068.00","5,070.35","4,957.30","5,049.95","5,029.00","5,022.15","4,996.86","5,360.00","3,833.15","372,934","1,863,499,512.90","28,516"
19-Jun-2023,EQ,"5,011.00","5,144.00","5,007.00","5,010.60","5,065.00","5,049.95","5,078.47","5,360.00","3,833.15","770,658","3,913,764,070.45","60,057"
16-Jun-2023,EQ,"5,000.35","5,093.00","4,952.10","4,971.15","5,008.00","5,010.60","5,023.44","5,360.00","3,833.15","689,468","3,463,501,172.35","54,055"
15-Jun-2023,EQ,"4,903.35","5,020.00","4,881.05","4,906.70","4,975.00","4,971.15","4,961.90","5,360.00","3,833.15","452,221","2,243,875,933.30","28,520"
14-Jun-2023,EQ,"4,944.95","4,958.95","4,870.75","4,944.95","4,902.00","4,906.70","4,900.70","5,360.00","3,833.15","361,987","1,773,990,295.65","31,928"
13-Jun-2023,EQ,"4,930.10","4,966.85","4,902.00","4,899.35","4,945.00","4,944.95","4,945.55","5,360.00","3,833.15","263,147","1,301,405,681.00","27,336"
12-Jun-2023,EQ,"4,823.05","4,938.00","4,790.85","4,823.05","4,905.35","4,899.35","4,885.33","5,360.00","3,833.15","337,136","1,647,019,778.65","38,851"
09-Jun-2023,EQ,"4,812.00","4,836.25","4,776.10","4,805.20","4,808.00","4,823.05","4,814.91","5,360.00","3,833.15","274,316","1,320,807,265.55","25,729"
08-Jun-2023,EQ,"4,895.00","4,897.00","4,797.10","4,902.25","4,810.00","4,805.20","4,837.52","5,360.00","3,833.15","415,304","2,009,039,490.00","37,402"
07-Jun-2023,EQ,"4,915.00","4,938.75","4,860.30","4,884.85","4,915.00","4,902.25","4,892.54","5,360.00","3,833.15","286,467","1,401,550,053.35","28,952"
06-Jun-2023,EQ,"4,890.00","4,915.45","4,800.00","4,943.20","4,907.00","4,884.85","4,839.55","5,360.00","3,833.15","920,055","4,452,649,560.40","74,753"
05-Jun-2023,EQ,"5,010.00","5,029.95","4,930.10","4,994.15","4,935.00","4,943.20","4,970.06","5,360.00","3,833.15","156,817","779,389,217.75","22,702"
02-Jun-2023,EQ,"5,020.00","5,020.00","4,980.00","4,969.30","4,988.00","4,994.15","4,993.42","5,360.00","3,833.15","269,222","1,344,339,583.90","32,458"
01-Jun-2023,EQ,"5,018.75","5,040.00","4,957.55","4,998.40","4,968.00","4,969.30","4,993.40","5,360.00","3,833.15","320,472","1,600,245,290.10","26,630"
31-May-2023,EQ,"4,989.05","5,027.75","4,951.45","4,991.25","4,992.00","4,998.40","5,000.35","5,360.00","3,833.15","512,681","2,563,584,999.30","39,839"
30-May-2023,EQ,"4,999.00","5,020.15","4,970.35","4,988.90","4,996.25","4,991.25","5,001.48","5,360.00","3,833.15","306,273","1,531,817,846.95","23,949"
29-May-2023,EQ,"5,043.00","5,054.70","4,976.20","5,001.10","4,986.00","4,988.90","5,001.07","5,360.00","3,833.15","303,516","1,517,903,980.30","29,014"
26-May-2023,EQ,"4,925.00","5,019.00","4,925.00","4,910.55","4,994.25","5,001.10","4,985.20","5,360.00","3,733.30","443,908","2,212,969,479.70","37,953"
25-May-2023,EQ,"4,850.00","4,924.25","4,791.55","4,826.35","4,915.05","4,910.55","4,867.96","5,360.00","3,733.30","289,085","1,407,254,154.05","29,664"
24-May-2023,EQ,"4,829.00","4,878.80","4,781.80","4,857.85","4,840.00","4,826.35","4,824.84","5,360.00","3,733.30","501,671","2,420,480,752.60","45,732"
23-May-2023,EQ,"4,988.00","5,015.00","4,839.35","4,987.45","4,857.85","4,857.85","4,929.54","5,360.00","3,733.30","447,041","2,203,705,153.85","45,438"
22-May-2023,EQ,"4,817.00","5,015.40","4,810.00","4,803.00","4,964.70","4,987.45","4,934.14","5,360.00","3,733.30","569,846","2,811,698,063.05","49,493"
19-May-2023,EQ,"4,751.65","4,843.25","4,730.15","4,712.80","4,797.00","4,803.00","4,805.20","5,360.00","3,733.30","527,489","2,534,690,102.65","47,108"
18-May-2023,EQ,"4,749.80","4,777.65","4,701.00","4,739.90","4,711.00","4,712.80","4,745.79","5,360.00","3,733.30","246,516","1,169,912,876.10","33,759"
17-May-2023,EQ,"4,744.00","4,757.00","4,681.00","4,736.05","4,730.00","4,739.90","4,722.18","5,360.00","3,733.30","185,117","874,155,776.50","20,179"
16-May-2023,EQ,"4,720.00","4,790.00","4,715.00","4,707.15","4,722.50","4,736.05","4,756.15","5,360.00","3,733.30","254,021","1,208,161,008.50","26,845"
15-May-2023,EQ,"4,682.00","4,717.00","4,657.00","4,687.20","4,707.00","4,707.15","4,702.56","5,360.00","3,733.30","162,309","763,267,290.50","18,439"
12-May-2023,EQ,"4,640.00","4,721.95","4,614.05","4,658.20","4,680.00","4,687.20","4,684.59","5,360.00","3,733.30","232,055","1,087,082,389.10","22,205"
11-May-2023,EQ,"4,665.00","4,685.95","4,628.95","4,594.70","4,654.90","4,658.20","4,659.86","5,360.00","3,733.30","272,084","1,267,872,733.20","24,093"
10-May-2023,EQ,"4,637.95","4,638.00","4,571.45","4,622.65","4,605.00","4,594.70","4,593.50","5,360.00","3,733.30","246,174","1,130,800,885.45","28,132"
09-May-2023,EQ,"4,533.40","4,666.60","4,520.00","4,517.80","4,619.00","4,622.65","4,614.42","5,360.00","3,733.30","535,062","2,469,000,851.00","52,568"
08-May-2023,EQ,"4,520.00","4,535.00","4,490.00","4,487.85","4,516.00","4,517.80","4,519.94","5,360.00","3,733.30","172,189","778,284,101.65","22,222"
05-May-2023,EQ,"4,498.00","4,550.00","4,474.05","4,501.05","4,483.00","4,487.85","4,505.94","5,360.00","3,733.30","217,630","980,628,130.65","27,200"
04-May-2023,EQ,"4,480.80","4,522.95","4,466.05","4,498.00","4,495.00","4,501.05","4,491.96","5,360.00","3,733.30","331,451","1,488,864,108.40","38,259"
03-May-2023,EQ,"4,538.25","4,544.00","4,458.45","4,548.25","4,480.05","4,498.00","4,500.14","5,360.00","3,733.30","404,872","1,821,979,518.70","46,444"
02-May-2023,EQ,"4,430.95","4,615.00","4,424.05","4,419.45","4,545.00","4,548.25","4,548.85","5,360.00","3,733.30","757,405","3,445,325,215.60","66,842"
28-Apr-2023,EQ,"4,335.00","4,443.45","4,284.45","4,320.15","4,411.00","4,419.45","4,395.00","5,360.00","3,733.30","1,138,300","5,002,830,644.75","102,388"
27-Apr-2023,EQ,"4,185.00","4,351.65","4,163.35","4,160.15","4,322.00","4,320.15","4,288.54","5,360.00","3,733.30","888,098","3,808,641,085.50","65,062"
26-Apr-2023,EQ,"4,180.00","4,217.05","4,153.05","4,186.40","4,157.00","4,160.15","4,177.84","5,360.00","3,733.30","496,132","2,072,760,498.15","51,459"
25-Apr-2023,EQ,"4,210.00","4,219.95","4,175.45","4,183.45","4,179.95","4,186.40","4,193.30","5,360.00","3,733.30","299,754","1,256,957,847.60","40,660"
24-Apr-2023,EQ,"4,199.00","4,212.30","4,148.20","4,170.85","4,183.00","4,183.45","4,187.28","5,360.00","3,733.30","280,999","1,176,621,324.65","45,994"
21-Apr-2023,EQ,"4,162.15","4,213.90","4,132.20","4,152.85","4,164.00","4,170.85","4,160.58","6,069.35","3,733.30","480,473","1,999,048,094.85","60,045"
20-Apr-2023,EQ,"4,194.00","4,241.95","4,136.10","4,194.55","4,154.90","4,152.85","4,186.35","6,069.35","3,733.30","548,732","2,297,184,132.40","57,359"
19-Apr-2023,EQ,"4,318.60","4,360.00","4,178.05","4,318.60","4,189.00","4,194.55","4,237.90","6,069.35","3,733.30","823,131","3,488,350,917.15","94,968"
18-Apr-2023,EQ,"4,362.85","4,365.00","4,235.40","4,332.60","4,313.25","4,318.60","4,292.84","6,069.35","3,733.30","771,432","3,311,635,661.10","60,288"
17-Apr-2023,EQ,"4,482.00","4,490.00","4,181.80","4,646.40","4,323.00","4,332.60","4,291.90","6,069.35","3,733.30","1,763,639","7,569,360,004.05","206,039"
13-Apr-2023,EQ,"4,790.00","4,790.00","4,615.55","4,827.70","4,635.80","4,646.40","4,663.29","6,180.40","3,733.30","912,484","4,255,181,571.00","86,932"
12-Apr-2023,EQ,"4,774.95","4,837.00","4,750.00","4,772.40","4,830.00","4,827.70","4,792.67","6,180.40","3,733.30","327,375","1,569,001,874.60","31,498"
11-Apr-2023,EQ,"4,800.00","4,800.00","4,726.20","4,797.40","4,767.00","4,772.40","4,760.67","6,180.40","3,733.30","186,260","886,722,208.75","24,678"
10-Apr-2023,EQ,"4,784.00","4,808.50","4,754.00","4,773.25","4,785.70","4,797.40","4,786.23","6,180.40","3,733.30","220,328","1,054,541,488.55","22,456"
06-Apr-2023,EQ,"4,840.00","4,840.00","4,751.70","4,833.45","4,778.95","4,773.25","4,784.11","6,430.00","3,733.30","192,083","918,945,374.30","18,403"
05-Apr-2023,EQ,"4,739.00","4,848.00","4,710.80","4,739.85","4,828.00","4,833.45","4,785.38","6,430.00","3,733.30","430,407","2,059,660,456.60","33,648"
03-Apr-2023,EQ,"4,760.00","4,779.00","4,700.00","4,759.65","4,747.00","4,739.85","4,725.20","6,430.00","3,733.30","257,102","1,214,859,219.65","22,035"
31-Mar-2023,EQ,"4,640.00","4,777.70","4,632.00","4,620.55","4,746.65","4,759.65","4,711.71","6,430.00","3,733.30","328,337","1,547,027,286.60","26,382"
29-Mar-2023,EQ,"4,567.00","4,662.95","4,548.85","4,554.90","4,640.00","4,620.55","4,599.46","6,430.00","3,733.30","333,288","1,532,943,584.25","40,918"
28-Mar-2023,EQ,"4,568.95","4,612.45","4,516.10","4,557.70","4,559.70","4,554.90","4,564.19","6,430.00","3,733.30","313,376","1,430,306,060.05","24,664"
27-Mar-2023,EQ,"4,620.00","4,663.45","4,550.00","4,601.45","4,565.00","4,557.70","4,600.62","6,430.00","3,733.30","249,140","1,146,199,446.95","24,902"
24-Mar-2023,EQ,"4,648.00","4,713.00","4,588.90","4,601.90","4,597.00","4,601.45","4,658.53","6,430.00","3,733.30","477,503","2,224,462,170.05","40,684"
23-Mar-2023,EQ,"4,611.00","4,648.00","4,542.50","4,649.75","4,600.50","4,601.90","4,582.31","6,430.00","3,733.30","400,901","1,837,052,496.65","42,560"
