Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,832.00","3,845.95","3,755.25","3,817.15","3,810.00","3,812.55","3,804.02","4,318.70","2,924.20","328,787","1,250,713,225.65","35,039"
23-Jun-2023,EQ,"3,975.00","3,975.00","3,803.00","3,984.05","3,813.00","3,817.15","3,888.67","4,318.70","2,924.20","581,614","2,261,705,428.80","36,132"
22-Jun-2023,EQ,"3,989.00","3,999.00","3,940.05","3,996.40","3,984.00","3,984.05","3,975.35","4,318.70","2,924.20","165,867","659,379,929.60","12,263"
21-Jun-2023,EQ,"3,996.00","4,033.25","3,935.35","3,970.15","3,988.00","3,996.40","3,992.42","4,318.70","2,924.20","371,549","1,483,380,973.65","26,171"
20-Jun-2023,EQ,"3,924.00","4,000.00","3,873.10","3,906.00","3,998.00","3,970.15","3,944.70","4,318.70","2,924.20","328,778","1,296,930,577.65","25,372"
19-Jun-2023,EQ,"3,874.60","3,939.75","3,861.25","3,878.45","3,905.00","3,906.00","3,910.00","4,318.70","2,924.20","166,842","652,352,351.35","14,544"
16-Jun-2023,EQ,"3,851.95","3,914.80","3,841.15","3,836.25","3,875.00","3,878.45","3,883.76","4,318.70","2,924.20","250,935","974,570,258.05","22,213"
15-Jun-2023,EQ,"3,877.90","3,896.95","3,825.65","3,876.30","3,835.00","3,836.25","3,844.69","4,318.70","2,924.20","353,775","1,360,156,366.75","25,671"
14-Jun-2023,EQ,"3,958.00","3,960.00","3,870.00","3,953.80","3,885.00","3,876.30","3,894.58","4,318.70","2,924.20","258,839","1,008,069,900.50","22,388"
13-Jun-2023,EQ,"3,918.00","3,959.00","3,903.00","3,890.30","3,958.00","3,953.80","3,938.09","4,318.70","2,924.20","217,285","855,687,475.35","16,036"
12-Jun-2023,EQ,"3,818.00","3,900.00","3,804.50","3,808.45","3,890.00","3,890.30","3,877.24","4,318.70","2,924.20","202,461","784,988,977.05","14,878"
09-Jun-2023,EQ,"3,844.00","3,852.85","3,783.30","3,829.10","3,807.00","3,808.45","3,814.76","4,318.70","2,924.20","115,288","439,796,570.30","12,269"
08-Jun-2023,EQ,"3,878.70","3,889.00","3,816.15","3,870.35","3,840.00","3,829.10","3,839.40","4,318.70","2,924.20","103,976","399,205,499.50","11,330"
07-Jun-2023,EQ,"3,879.90","3,894.70","3,855.00","3,842.10","3,866.00","3,870.35","3,875.06","4,318.70","2,924.20","104,771","405,994,412.60","10,011"
06-Jun-2023,EQ,"3,925.80","3,929.00","3,792.20","3,925.80","3,853.00","3,842.10","3,839.81","4,318.70","2,924.20","270,598","1,039,044,818.30","28,080"
05-Jun-2023,EQ,"3,959.95","3,975.00","3,916.55","3,935.75","3,932.00","3,925.80","3,942.40","4,318.70","2,924.20","137,494","542,056,194.10","10,848"
02-Jun-2023,EQ,"3,927.00","3,952.10","3,910.45","3,898.05","3,935.00","3,935.75","3,935.35","4,318.70","2,924.20","216,425","851,707,976.75","27,109"
01-Jun-2023,EQ,"3,916.95","3,932.45","3,885.20","3,903.00","3,894.75","3,898.05","3,916.88","4,318.70","2,924.20","118,870","465,599,535.30","11,431"
31-May-2023,EQ,"3,872.05","3,924.70","3,851.05","3,872.90","3,899.00","3,903.00","3,902.02","4,318.70","2,924.20","178,837","697,824,771.55","15,013"
30-May-2023,EQ,"3,890.00","3,902.90","3,851.60","3,866.80","3,872.00","3,872.90","3,878.15","4,318.70","2,924.20","108,674","421,454,276.25","11,651"
29-May-2023,EQ,"3,924.55","3,933.45","3,850.00","3,878.25","3,870.00","3,866.80","3,881.75","4,318.70","2,924.20","139,377","541,026,951.90","12,465"
26-May-2023,EQ,"3,818.00","3,890.00","3,811.30","3,801.50","3,866.00","3,878.25","3,864.08","4,318.70","2,924.20","292,680","1,130,938,312.65","19,159"
25-May-2023,EQ,"3,810.00","3,832.00","3,744.00","3,792.30","3,819.60","3,801.50","3,776.74","4,318.70","2,924.20","351,460","1,327,372,575.25","25,338"
24-May-2023,EQ,"3,880.00","3,895.00","3,768.40","3,897.85","3,799.00","3,792.30","3,816.75","4,318.70","2,924.20","348,959","1,331,890,142.35","34,695"
23-May-2023,EQ,"3,947.00","3,996.90","3,884.15","3,928.55","3,894.00","3,897.85","3,934.39","4,318.70","2,924.20","233,486","918,624,458.50","18,849"
22-May-2023,EQ,"3,835.20","3,948.00","3,825.35","3,837.35","3,928.00","3,928.55","3,908.28","4,318.70","2,924.20","276,494","1,080,616,410.65","21,197"
19-May-2023,EQ,"3,872.95","3,908.00","3,810.95","3,844.40","3,830.85","3,837.35","3,873.48","4,318.70","2,924.20","318,276","1,232,834,882.00","22,465"
18-May-2023,EQ,"3,850.00","3,877.95","3,825.05","3,826.45","3,846.00","3,844.40","3,848.74","4,318.70","2,924.20","110,674","425,955,190.80","10,568"
17-May-2023,EQ,"3,847.90","3,854.60","3,790.00","3,847.90","3,827.00","3,826.45","3,816.25","4,318.70","2,924.20","123,834","472,581,061.45","12,284"
16-May-2023,EQ,"3,868.00","3,893.05","3,840.00","3,855.45","3,845.00","3,847.90","3,872.11","4,318.70","2,924.20","155,660","602,732,648.40","13,776"
15-May-2023,EQ,"3,815.00","3,869.95","3,775.15","3,812.60","3,853.95","3,855.45","3,845.57","4,318.70","2,924.20","149,314","574,197,500.20","14,931"
12-May-2023,EQ,"3,827.00","3,886.95","3,803.00","3,839.15","3,818.00","3,812.60","3,852.80","4,318.70","2,924.20","222,911","858,831,780.00","19,661"
11-May-2023,EQ,"3,890.00","3,917.60","3,825.30","3,835.15","3,828.00","3,839.15","3,871.57","4,318.70","2,924.20","364,144","1,409,810,519.35","27,649"
10-May-2023,EQ,"3,770.00","3,850.00","3,760.00","3,763.50","3,836.30","3,835.15","3,822.10","4,318.70","2,924.20","423,263","1,617,754,011.75","30,957"
09-May-2023,EQ,"3,751.00","3,820.00","3,738.00","3,737.30","3,760.25","3,763.50","3,785.26","4,318.70","2,924.20","239,795","907,686,705.95","23,337"
