Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,858.05,875.0,852.35,858.25,872.3,874.0,870.43,885.30,603.0,"971,992","846,050,409.40","25,734"
23-Jun-2023,EQ,851.45,865.8,846.3,852.35,857.0,858.25,858.19,885.30,595.0,"2,171,748","1,863,766,914.55","49,121"
22-Jun-2023,EQ,868.95,868.95,835.0,875.05,849.0,852.35,851.22,885.30,595.0,"3,868,670","3,293,073,477.75","89,401"
21-Jun-2023,EQ,832.0,885.3,829.05,829.9,874.8,875.05,868.23,885.30,595.0,"5,768,804","5,008,619,967.10","122,277"
20-Jun-2023,EQ,830.0,831.2,821.6,825.15,829.9,829.9,827.86,843.65,595.0,"389,177","322,185,108.05","11,732"
19-Jun-2023,EQ,830.45,834.0,823.6,830.45,826.15,825.15,828.91,843.65,595.0,"403,683","334,615,864.70","12,721"
16-Jun-2023,EQ,838.75,843.65,827.0,834.75,829.4,830.45,834.22,843.65,592.9,"1,245,895","1,039,346,868.45","29,806"
15-Jun-2023,EQ,824.0,835.9,823.4,818.75,835.2,834.75,831.94,835.90,592.9,"1,320,203","1,098,334,912.75","40,369"
14-Jun-2023,EQ,817.95,823.5,809.95,817.45,820.5,818.75,817.62,831.35,592.9,"675,571","552,357,794.20","19,175"
13-Jun-2023,EQ,819.5,821.9,815.5,818.9,817.7,817.45,818.61,831.35,592.9,"594,446","486,620,740.70","13,643"
12-Jun-2023,EQ,814.0,823.45,813.55,806.4,820.0,818.9,818.43,831.35,592.9,"617,667","505,515,440.30","21,354"
09-Jun-2023,EQ,811.85,815.15,804.8,811.85,810.0,806.4,808.75,831.35,592.9,"548,968","443,975,523.45","17,513"
08-Jun-2023,EQ,821.25,822.3,808.6,817.65,810.6,811.85,814.01,831.35,592.9,"473,303","385,274,150.30","16,260"
07-Jun-2023,EQ,823.5,827.4,812.7,821.65,819.05,817.65,818.16,831.35,592.9,"548,880","449,073,494.75","23,399"
06-Jun-2023,EQ,822.85,824.45,814.35,820.3,822.85,821.65,819.39,831.35,592.9,"427,490","350,281,426.10","14,757"
05-Jun-2023,EQ,825.0,831.35,818.0,816.95,819.3,820.3,822.7,831.35,592.9,"1,487,359","1,223,650,891.50","33,395"
02-Jun-2023,EQ,815.0,820.5,806.1,812.15,819.35,816.95,812.9,820.50,592.9,"586,226","476,545,062.15","20,448"
01-Jun-2023,EQ,806.0,817.35,805.0,804.5,813.5,812.15,812.86,817.35,592.9,"905,122","735,738,609.95","29,692"
31-May-2023,EQ,806.15,813.0,801.25,803.6,806.0,804.5,805.54,813.75,592.9,"1,122,072","903,879,418.85","28,224"
30-May-2023,EQ,810.0,813.75,798.1,805.7,803.0,803.6,805.69,813.75,592.9,"1,337,941","1,077,960,376.50","41,431"
29-May-2023,EQ,787.95,811.7,780.0,779.95,805.0,805.7,801.69,811.70,592.9,"1,895,651","1,519,730,085.80","40,337"
26-May-2023,EQ,778.85,783.6,773.2,778.85,780.55,779.95,778.73,800.00,583.0,"369,378","287,644,177.15","12,504"
25-May-2023,EQ,777.95,785.65,776.0,777.95,780.0,778.85,780.03,800.00,583.0,"479,838","374,286,898.80","12,708"
24-May-2023,EQ,779.8,782.9,773.35,776.85,778.6,777.95,778.42,800.00,583.0,"615,201","478,883,796.30","13,586"
23-May-2023,EQ,772.8,789.85,770.9,774.4,777.9,776.85,776.33,800.00,583.0,"344,619","267,538,553.80","9,336"
22-May-2023,EQ,772.4,781.4,769.6,774.4,773.7,774.4,774.96,800.00,583.0,"451,001","349,509,280.45","15,183"
19-May-2023,EQ,781.0,784.0,771.2,779.3,772.4,774.4,778.57,800.00,583.0,"365,585","284,634,499.30","13,821"
18-May-2023,EQ,780.0,782.35,771.6,780.95,779.0,779.3,778.34,800.00,583.0,"597,261","464,870,875.55","15,891"
17-May-2023,EQ,788.0,791.75,775.5,790.75,781.45,780.95,782.85,800.00,583.0,"466,127","364,905,737.35","17,593"
16-May-2023,EQ,789.0,796.75,779.25,787.25,789.1,790.75,789.92,800.00,583.0,"1,231,878","973,081,856.85","38,441"
15-May-2023,EQ,782.75,800.0,771.9,773.6,786.1,787.25,788.93,800.00,583.0,"1,910,389","1,507,154,002.30","51,460"
12-May-2023,EQ,760.0,776.05,757.05,765.45,774.15,773.6,771.7,788.90,583.0,"1,453,617","1,121,754,205.00","39,538"
11-May-2023,EQ,750.5,767.8,742.45,750.2,764.65,765.45,756.26,788.90,583.0,"1,235,913","934,672,945.90","35,097"
10-May-2023,EQ,750.0,770.8,734.3,745.55,749.15,750.2,752.73,788.90,583.0,"4,835,108","3,639,551,811.15","88,239"
09-May-2023,EQ,733.0,752.0,726.0,732.55,744.0,745.55,741.83,788.90,583.0,"1,897,240","1,407,422,622.40","43,961"
08-May-2023,EQ,706.95,736.85,704.1,704.35,732.95,732.55,722.17,788.90,583.0,"1,480,353","1,069,070,761.80","31,390"
05-May-2023,EQ,707.0,713.25,702.4,709.9,703.0,704.35,708.3,788.90,583.0,"267,403","189,400,600.45","9,240"
04-May-2023,EQ,709.65,712.2,705.0,709.65,710.0,709.9,709.4,788.90,583.0,"223,675","158,675,700.05","10,411"
03-May-2023,EQ,708.8,714.0,705.0,708.8,708.0,709.65,709.19,788.90,583.0,"311,850","221,162,429.90","11,081"
02-May-2023,EQ,708.95,716.4,703.6,709.5,706.15,708.8,710.22,788.90,583.0,"645,261","458,277,873.50","19,102"
28-Apr-2023,EQ,699.35,710.35,696.0,693.75,707.1,709.5,705.61,788.90,583.0,"957,872","675,887,421.65","24,917"
27-Apr-2023,EQ,706.95,707.95,680.0,707.7,694.7,693.75,691.72,788.90,583.0,"1,608,022","1,112,304,111.05","36,859"
26-Apr-2023,EQ,705.5,709.8,699.5,705.5,707.5,707.7,706.33,788.90,583.0,"595,732","420,782,396.30","18,106"
25-Apr-2023,EQ,705.0,710.0,701.8,702.05,703.2,705.5,706.05,788.90,583.0,"640,382","452,144,617.45","13,635"
24-Apr-2023,EQ,695.15,705.45,688.8,695.15,703.65,702.05,700.94,788.90,583.0,"1,234,488","865,299,615.65","32,155"
21-Apr-2023,EQ,685.0,702.0,685.0,684.25,695.4,695.15,695.71,797.50,583.0,"2,210,350","1,537,756,748.75","46,720"
20-Apr-2023,EQ,686.85,690.1,678.55,686.85,685.0,684.25,683.43,797.50,583.0,"789,119","539,309,662.75","18,049"
19-Apr-2023,EQ,698.55,698.7,685.7,698.55,686.35,686.85,691.98,797.50,583.0,"1,203,963","833,116,079.10","39,588"
18-Apr-2023,EQ,658.5,704.5,658.5,658.15,698.0,698.55,691.86,797.50,583.0,"5,365,200","3,711,986,880.95","100,653"
17-Apr-2023,EQ,670.0,670.0,655.4,671.4,658.5,658.15,660.26,797.50,583.0,"519,751","343,172,972.55","24,009"
13-Apr-2023,EQ,672.25,678.4,667.0,679.55,671.8,671.4,673.62,797.50,583.0,"816,473","549,995,481.05","17,550"
12-Apr-2023,EQ,660.3,685.0,659.9,660.25,679.2,679.55,677.65,797.50,583.0,"2,326,481","1,576,548,148.10","52,004"
11-Apr-2023,EQ,664.85,667.5,656.35,663.7,660.5,660.25,661.77,797.50,583.0,"398,086","263,443,237.95","22,193"
10-Apr-2023,EQ,664.0,667.0,661.0,664.1,663.2,663.7,663.94,797.50,583.0,"353,296","234,566,575.65","18,131"
06-Apr-2023,EQ,659.0,665.85,658.0,658.85,664.15,664.1,663.26,797.50,583.0,"571,100","378,787,504.00","20,660"
05-Apr-2023,EQ,650.85,661.95,648.05,651.8,661.95,658.85,655.02,797.50,583.0,"599,687","392,805,606.50","19,225"
03-Apr-2023,EQ,649.15,654.5,644.0,648.4,649.1,651.8,648.8,797.50,583.0,"809,470","525,180,899.40","19,734"
31-Mar-2023,EQ,644.65,650.95,628.0,652.4,648.0,648.4,642.3,797.50,583.0,"1,991,163","1,278,925,039.40","38,626"
29-Mar-2023,EQ,644.4,659.0,643.2,644.4,653.0,652.4,652.57,797.50,583.0,"946,826","617,872,057.75","28,195"
28-Mar-2023,EQ,661.9,661.9,640.95,658.75,646.0,644.4,646.74,797.50,583.0,"998,013","645,451,129.10","25,989"
27-Mar-2023,EQ,644.0,673.75,641.75,640.0,659.55,658.75,663.74,797.50,583.0,"3,965,489","2,632,060,965.95","74,728"
24-Mar-2023,EQ,651.0,654.85,638.35,648.55,639.25,640.0,647.6,797.50,583.0,"721,966","467,546,648.20","15,516"
23-Mar-2023,EQ,660.35,663.0,646.65,658.85,648.8,648.55,654.83,797.50,583.0,"1,304,892","854,486,924.30","38,083"
22-Mar-2023,EQ,650.25,662.0,649.0,649.4,661.7,658.85,655.33,797.50,583.0,"279,093","182,897,530.05","10,556"
21-Mar-2023,EQ,655.0,655.45,646.1,646.4,650.0,649.4,649.39,797.50,583.0,"303,443","197,053,666.45","12,644"
20-Mar-2023,EQ,654.95,655.0,640.8,657.0,646.0,646.4,646.12,797.50,583.0,"538,837","348,151,555.90","23,719"
17-Mar-2023,EQ,668.0,669.0,654.3,666.2,655.0,657.0,660.82,797.50,583.0,"698,565","461,627,284.20","18,961"
16-Mar-2023,EQ,660.65,668.0,653.55,658.3,668.0,666.2,661.1,797.50,583.0,"596,960","394,651,797.50","23,690"
15-Mar-2023,EQ,658.2,666.45,655.0,656.2,659.05,658.3,661.05,797.50,583.0,"679,462","449,160,560.40","24,064"
14-Mar-2023,EQ,657.2,668.9,652.2,654.3,657.0,656.2,658.35,797.50,583.0,"968,618","637,694,309.80","30,095"
13-Mar-2023,EQ,660.0,664.95,651.15,656.1,652.85,654.3,655.87,797.50,583.0,"471,640","309,332,207.40","12,617"
10-Mar-2023,EQ,655.0,658.8,649.35,658.05,656.8,656.1,654.76,797.50,583.0,"443,979","290,697,544.50","16,406"
09-Mar-2023,EQ,665.95,666.35,656.55,664.25,658.5,658.05,661.27,797.50,583.0,"480,016","317,420,287.80","26,970"
08-Mar-2023,EQ,663.0,666.6,657.05,662.45,665.35,664.25,662.22,797.50,583.0,"256,788","170,048,958.15","11,759"
