Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,304.7,309.7,302.15,305.7,308.9,308.75,306.54,328.1,171.05,"2,558,108","784,165,933.15","26,914"
23-Jun-2023,EQ,311.5,311.5,301.15,312.85,305.3,305.7,306.12,328.1,164.0,"5,823,056","1,782,568,845.50","67,208"
22-Jun-2023,EQ,326.0,328.0,309.1,325.85,312.6,312.85,315.35,328.1,164.0,"5,512,725","1,738,435,917.75","52,807"
21-Jun-2023,EQ,321.05,328.1,320.6,320.3,325.5,325.85,324.98,328.1,164.0,"4,335,563","1,408,990,923.30","49,254"
20-Jun-2023,EQ,317.85,322.45,315.15,316.25,321.0,320.3,319.67,322.45,164.0,"3,674,134","1,174,504,247.50","40,221"
19-Jun-2023,EQ,306.5,321.7,305.75,305.0,315.85,316.25,315.26,321.7,164.0,"13,305,248","4,194,593,682.60","95,756"
16-Jun-2023,EQ,294.8,305.9,293.45,294.1,303.65,305.0,301.64,305.9,164.0,"3,920,275","1,182,526,901.30","35,061"
15-Jun-2023,EQ,295.0,298.0,292.25,295.0,293.5,294.1,294.46,305.0,164.0,"2,214,533","652,088,564.40","18,880"
14-Jun-2023,EQ,298.0,299.15,293.7,297.2,295.05,295.0,295.41,305.0,164.0,"1,158,372","342,191,627.35","13,796"
13-Jun-2023,EQ,293.0,298.0,292.2,290.1,297.5,297.2,296.16,305.0,164.0,"3,575,730","1,058,974,816.85","36,267"
12-Jun-2023,EQ,283.95,291.5,281.2,283.4,291.2,290.1,286.88,305.0,164.0,"4,203,744","1,205,982,404.85","28,661"
09-Jun-2023,EQ,285.0,286.3,278.7,284.95,282.7,283.4,283.77,305.0,164.0,"4,710,042","1,336,565,084.40","62,254"
08-Jun-2023,EQ,291.9,293.7,282.6,291.65,285.1,284.95,286.1,305.0,164.0,"5,399,010","1,544,675,224.95","60,741"
07-Jun-2023,EQ,294.0,294.9,290.15,294.2,291.6,291.65,292.01,305.0,164.0,"3,112,434","908,875,324.55","28,219"
06-Jun-2023,EQ,301.0,301.7,292.4,301.0,294.0,294.2,295.34,305.0,164.0,"1,996,746","589,719,535.50","18,852"
05-Jun-2023,EQ,300.0,305.0,299.1,298.1,300.0,301.0,302.2,305.0,164.0,"5,712,184","1,726,218,359.45","44,618"
02-Jun-2023,EQ,295.9,299.3,294.2,294.05,298.0,298.1,297.08,299.3,164.0,"5,606,661","1,665,612,034.75","68,758"
01-Jun-2023,EQ,283.2,295.0,283.2,284.3,293.9,294.05,292.18,296.45,164.0,"5,065,861","1,480,150,883.95","48,283"
31-May-2023,EQ,285.0,286.7,282.85,286.15,285.5,284.3,284.36,296.45,164.0,"3,906,848","1,110,948,963.65","30,727"
30-May-2023,EQ,288.45,288.45,284.85,286.55,285.8,286.15,286.45,296.45,164.0,"2,764,028","791,766,006.65","23,033"
29-May-2023,EQ,281.4,287.3,280.4,280.05,286.15,286.55,285.0,296.45,164.0,"2,839,519","809,250,026.45","28,712"
26-May-2023,EQ,283.05,284.85,279.25,283.15,280.15,280.05,280.96,296.45,160.6,"1,370,444","385,043,891.25","13,728"
25-May-2023,EQ,283.0,285.3,279.3,283.6,283.95,283.15,281.68,296.45,160.6,"3,191,662","899,030,229.20","21,780"
24-May-2023,EQ,284.5,287.75,283.1,285.65,283.35,283.6,285.47,296.45,160.6,"914,356","261,020,892.00","9,821"
23-May-2023,EQ,284.0,288.0,281.0,283.15,286.0,285.65,285.33,296.45,160.6,"2,921,703","833,641,610.95","28,387"
22-May-2023,EQ,278.7,284.75,278.55,281.8,282.95,283.15,282.23,296.45,160.6,"3,415,424","963,931,556.35","31,854"
19-May-2023,EQ,285.15,285.85,278.7,285.1,281.5,281.8,281.79,296.45,160.6,"2,246,742","633,119,239.00","35,498"
18-May-2023,EQ,285.25,290.4,284.1,285.05,285.4,285.1,287.33,296.45,160.6,"2,200,543","632,287,006.75","22,586"
17-May-2023,EQ,283.9,285.9,281.7,283.9,284.65,285.05,284.36,296.45,160.6,"2,426,292","689,951,137.05","24,771"
16-May-2023,EQ,284.0,286.8,282.55,283.6,283.9,283.9,284.65,296.45,160.6,"3,698,602","1,052,819,400.95","35,970"
15-May-2023,EQ,282.0,285.55,280.65,281.8,283.2,283.6,283.98,296.45,160.6,"3,266,357","927,570,314.15","17,317"
12-May-2023,EQ,286.0,286.4,280.6,285.55,282.3,281.8,283.17,296.45,160.6,"3,456,702","978,838,079.75","29,605"
11-May-2023,EQ,287.2,288.35,284.15,285.85,285.8,285.55,286.62,296.45,160.6,"1,768,199","506,794,498.70","11,091"
10-May-2023,EQ,289.5,289.5,279.55,288.7,285.85,285.85,284.3,296.45,160.6,"5,653,139","1,607,213,985.95","34,559"
09-May-2023,EQ,294.6,296.45,287.55,294.15,288.7,288.7,292.34,296.45,160.6,"5,692,145","1,664,019,669.30","38,334"
08-May-2023,EQ,286.4,294.85,284.6,286.4,293.5,294.15,291.06,294.85,160.6,"8,335,654","2,426,197,852.40","51,584"
05-May-2023,EQ,288.2,289.2,284.65,288.35,286.45,286.4,286.7,289.2,160.6,"6,894,981","1,976,818,956.60","43,883"
04-May-2023,EQ,272.5,289.15,269.7,271.5,288.0,288.35,283.7,289.15,160.6,"18,427,087","5,227,678,038.10","137,156"
03-May-2023,EQ,262.05,272.4,261.8,266.3,271.65,271.5,269.64,278.0,160.6,"11,013,256","2,969,640,703.25","55,584"
02-May-2023,EQ,262.25,278.0,262.0,259.0,266.8,266.3,270.71,278.0,160.6,"21,415,225","5,797,308,489.75","146,970"
28-Apr-2023,EQ,257.95,259.7,253.1,256.85,259.1,259.0,257.25,272.0,160.6,"4,029,363","1,036,547,625.05","30,790"
27-Apr-2023,EQ,251.1,257.25,250.5,251.15,256.3,256.85,254.29,272.0,160.6,"4,029,796","1,024,741,634.75","36,702"
26-Apr-2023,EQ,251.8,255.5,249.2,251.05,251.4,251.15,251.8,272.0,160.6,"2,343,850","590,181,038.15","47,986"
25-Apr-2023,EQ,255.25,255.85,248.1,255.15,251.85,251.05,251.51,272.0,160.6,"3,489,516","877,639,851.35","28,837"
24-Apr-2023,EQ,255.0,257.15,253.1,257.35,255.45,255.15,255.24,272.0,160.6,"2,411,516","615,506,507.50","32,123"
21-Apr-2023,EQ,260.95,262.2,255.95,260.95,256.35,257.35,258.26,272.0,160.6,"3,039,303","784,932,678.80","31,479"
20-Apr-2023,EQ,260.85,263.6,260.0,261.0,260.8,260.95,261.6,272.0,160.6,"1,591,120","416,241,165.75","12,936"
19-Apr-2023,EQ,258.3,262.5,258.3,259.7,260.4,261.0,260.68,272.0,160.6,"1,718,529","447,983,967.95","26,394"
18-Apr-2023,EQ,259.95,262.1,257.3,260.65,259.8,259.7,259.93,272.0,160.6,"2,399,337","623,653,653.50","22,892"
17-Apr-2023,EQ,259.4,262.6,257.5,259.4,260.75,260.65,260.4,272.0,160.6,"1,511,223","393,520,759.80","14,611"
13-Apr-2023,EQ,254.5,260.0,253.8,255.15,259.25,259.4,258.29,272.0,160.6,"3,000,995","775,133,553.70","28,235"
12-Apr-2023,EQ,252.0,256.15,250.55,251.4,255.8,255.15,254.34,272.0,160.6,"2,031,855","516,789,641.15","17,671"
11-Apr-2023,EQ,251.15,253.25,247.75,250.9,251.0,251.4,250.77,272.0,160.6,"2,431,374","609,726,722.15","19,235"
10-Apr-2023,EQ,250.05,254.1,249.1,252.15,250.55,250.9,251.53,272.0,160.6,"3,309,804","832,502,276.45","28,168"
06-Apr-2023,EQ,239.45,253.45,236.5,239.5,252.0,252.15,248.94,272.0,160.6,"9,379,084","2,334,865,079.70","52,889"
05-Apr-2023,EQ,241.8,247.0,236.65,238.0,239.5,239.5,240.15,272.0,160.6,"5,335,299","1,281,246,149.40","40,878"
03-Apr-2023,EQ,233.85,241.0,233.0,231.65,237.0,238.0,236.34,272.0,160.6,"2,099,024","496,080,587.75","23,863"
31-Mar-2023,EQ,227.85,233.0,227.5,226.7,232.45,231.65,231.02,272.0,156.45,"3,604,611","832,738,747.80","39,716"
29-Mar-2023,EQ,222.25,230.75,221.7,221.4,227.3,226.7,226.47,272.0,156.45,"4,363,754","988,278,825.25","41,214"
28-Mar-2023,EQ,219.25,222.15,217.5,218.15,221.7,221.4,219.97,272.0,156.45,"2,064,126","454,048,190.60","17,845"
27-Mar-2023,EQ,220.9,222.15,215.65,220.5,218.05,218.15,218.46,272.0,156.45,"2,570,039","561,457,001.00","32,027"
24-Mar-2023,EQ,226.65,226.65,219.5,227.7,220.85,220.5,222.51,272.0,155.5,"5,643,816","1,255,823,087.10","45,369"
23-Mar-2023,EQ,228.65,233.75,226.0,230.45,227.85,227.7,230.91,272.0,155.5,"3,661,062","845,391,559.05","27,641"
22-Mar-2023,EQ,230.4,236.8,229.15,229.55,230.2,230.45,232.77,272.0,155.5,"12,562,286","2,924,127,400.75","34,856"
21-Mar-2023,EQ,226.0,230.3,222.25,225.5,229.4,229.55,226.71,272.0,155.5,"6,134,655","1,390,808,978.55","33,528"
20-Mar-2023,EQ,235.8,235.8,223.65,235.8,225.7,225.5,225.9,272.0,155.5,"5,000,513","1,129,629,022.45","42,613"
17-Mar-2023,EQ,243.0,250.65,234.5,242.15,235.15,235.8,237.18,272.0,142.4,"4,248,503","1,007,648,732.20","22,523"
16-Mar-2023,EQ,240.5,244.35,239.3,241.95,241.55,242.15,242.54,272.0,142.4,"2,168,829","526,024,638.15","16,838"
15-Mar-2023,EQ,244.25,248.05,240.55,243.1,241.4,241.95,245.08,272.0,142.4,"2,071,780","507,746,767.95","19,733"
14-Mar-2023,EQ,237.0,244.7,237.0,238.5,242.9,243.1,241.49,272.0,142.4,"3,523,767","850,953,207.90","25,463"
13-Mar-2023,EQ,245.05,247.1,237.15,245.05,238.1,238.5,243.36,272.0,142.4,"1,966,255","478,499,780.95","20,781"
10-Mar-2023,EQ,249.95,249.95,242.0,250.85,245.0,245.05,244.48,272.0,128.0,"3,766,796","920,918,871.20","30,091"
09-Mar-2023,EQ,254.05,255.7,249.2,253.9,250.9,250.85,253.09,272.0,128.0,"2,302,996","582,867,899.35","22,922"
08-Mar-2023,EQ,254.95,255.5,252.05,256.2,253.45,253.9,253.6,272.0,128.0,"2,996,434","759,883,379.20","17,593"
06-Mar-2023,EQ,254.45,260.25,253.55,253.95,257.0,256.2,257.01,272.0,128.0,"2,717,677","698,468,104.75","17,929"
03-Mar-2023,EQ,258.3,258.3,249.8,252.55,254.15,253.95,253.48,272.0,128.0,"3,046,022","772,114,415.70","36,362"
02-Mar-2023,EQ,256.4,257.35,251.95,255.1,252.1,252.55,253.96,272.0,128.0,"970,352","246,434,378.55","10,423"
01-Mar-2023,EQ,252.0,257.1,251.6,251.8,255.5,255.1,255.11,272.0,128.0,"1,795,772","458,116,764.15","37,783"
28-Feb-2023,EQ,253.45,255.65,250.2,251.95,251.8,251.8,252.68,272.0,128.0,"2,767,720","699,336,330.00","27,712"
27-Feb-2023,EQ,256.0,257.95,248.35,256.85,252.4,251.95,251.69,272.0,128.0,"2,114,590","532,217,949.40","21,943"
24-Feb-2023,EQ,256.85,260.0,255.1,255.55,256.4,256.85,257.41,272.0,128.0,"1,368,009","352,144,841.00","12,364"
23-Feb-2023,EQ,255.8,257.9,251.6,255.25,257.9,255.55,254.93,272.0,128.0,"2,220,221","565,996,739.70","17,952"
22-Feb-2023,EQ,254.0,256.85,251.6,256.1,255.2,255.25,253.59,272.0,128.0,"2,053,486","520,752,972.15","22,662"
21-Feb-2023,EQ,259.85,263.95,254.65,260.3,256.1,256.1,257.56,272.0,128.0,"1,693,900","436,278,080.85","21,807"
20-Feb-2023,EQ,262.5,264.8,259.9,262.25,260.05,260.3,262.34,272.0,128.0,"817,488","214,457,108.85","9,213"
17-Feb-2023,EQ,265.75,266.8,260.7,267.0,262.9,262.25,263.25,272.0,128.0,"933,864","245,835,756.70","9,248"
16-Feb-2023,EQ,263.0,268.2,260.15,262.9,268.0,267.0,264.93,272.0,128.0,"1,659,355","439,619,976.95","23,152"
15-Feb-2023,EQ,261.05,264.0,259.6,262.1,263.0,262.9,262.0,272.0,128.0,"1,378,706","361,215,667.50","14,943"
14-Feb-2023,EQ,259.0,262.95,255.6,260.75,262.15,262.1,259.23,272.0,128.0,"3,543,902","918,691,964.30","19,082"
13-Feb-2023,EQ,265.05,265.3,259.2,265.05,260.0,260.75,260.9,272.0,128.0,"3,549,874","926,146,119.50","22,934"
10-Feb-2023,EQ,269.9,272.0,264.55,270.4,265.1,265.05,266.95,272.0,128.0,"3,005,491","802,319,370.00","23,517"
09-Feb-2023,EQ,266.15,271.45,266.15,269.05,270.6,270.4,269.6,271.45,128.0,"4,055,214","1,093,290,091.00","51,061"
08-Feb-2023,EQ,266.7,270.25,264.65,267.45,268.55,269.05,267.96,270.25,128.0,"3,975,227","1,065,203,164.45","32,744"
07-Feb-2023,EQ,261.6,268.3,260.3,261.85,266.8,267.45,265.94,268.8,128.0,"6,302,359","1,676,041,172.70","49,130"
06-Feb-2023,EQ,253.0,268.8,250.05,243.6,261.45,261.85,262.82,268.8,128.0,"21,408,885","5,626,605,618.70","171,326"
03-Feb-2023,EQ,239.15,247.85,234.0,237.8,247.55,243.6,238.4,247.85,128.0,"4,704,672","1,121,581,269.55","31,111"
02-Feb-2023,EQ,234.3,240.3,232.0,233.85,238.3,237.8,237.87,247.0,128.0,"3,316,738","788,959,398.70","30,778"
01-Feb-2023,EQ,235.5,244.35,226.0,232.75,234.25,233.85,238.48,247.0,128.0,"4,813,852","1,148,007,585.50","45,754"
31-Jan-2023,EQ,227.8,234.2,224.5,225.55,232.45,232.75,230.62,247.0,128.0,"4,653,909","1,073,293,072.60","26,719"
30-Jan-2023,EQ,223.0,227.85,222.9,225.5,225.5,225.55,225.12,247.0,128.0,"3,505,644","789,189,733.25","28,675"
27-Jan-2023,EQ,230.8,231.05,223.2,229.65,227.0,225.5,226.27,247.0,128.0,"1,750,331","396,048,444.30","18,257"
25-Jan-2023,EQ,234.15,234.9,228.35,234.1,229.45,229.65,230.38,247.0,128.0,"1,704,055","392,586,325.35","15,721"
24-Jan-2023,EQ,237.5,238.5,231.2,236.35,233.8,234.1,233.9,247.0,128.0,"1,589,114","371,689,441.40","11,420"
23-Jan-2023,EQ,234.65,238.0,233.0,234.5,237.5,236.35,236.53,247.0,128.0,"1,474,693","348,815,923.20","14,915"
20-Jan-2023,EQ,235.05,236.7,233.55,234.7,234.1,234.5,235.26,247.0,128.0,"1,048,355","246,636,384.00","10,843"
19-Jan-2023,EQ,231.55,235.25,230.75,232.15,234.5,234.7,233.52,247.0,128.0,"917,380","214,226,555.05","11,942"
18-Jan-2023,EQ,231.15,233.5,228.85,230.0,232.0,232.15,231.92,247.0,128.0,"1,930,060","447,613,967.80","23,768"
17-Jan-2023,EQ,232.0,233.0,226.0,232.05,229.85,230.0,228.97,247.0,128.0,"2,536,314","580,731,862.95","15,903"
16-Jan-2023,EQ,236.1,239.5,231.25,235.05,231.7,232.05,234.83,247.0,128.0,"1,565,835","367,705,646.80","13,329"
13-Jan-2023,EQ,234.05,235.85,231.85,232.85,234.9,235.05,234.11,247.0,128.0,"2,093,673","490,150,545.00","12,004"
12-Jan-2023,EQ,237.05,237.65,231.9,236.4,232.9,232.85,234.23,247.0,128.0,"2,101,970","492,352,844.10","12,855"
