Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,123.7,126.7,121.55,123.8,126.7,125.8,124.4,133.95,83.65,"8,484,591","1,055,454,386.60","33,027"
23-Jun-2023,EQ,125.8,125.95,122.85,126.1,123.4,123.8,124.25,133.95,81.5,"6,584,498","818,091,744.45","26,541"
22-Jun-2023,EQ,127.55,128.8,124.55,128.0,125.65,126.1,126.57,133.95,81.5,"9,690,047","1,226,487,130.45","33,946"
21-Jun-2023,EQ,126.55,130.5,126.4,125.95,128.2,128.0,128.55,133.95,81.5,"19,564,720","2,515,023,930.30","49,092"
20-Jun-2023,EQ,127.15,127.4,124.05,127.15,125.9,125.95,125.49,133.95,81.5,"10,335,657","1,297,043,785.20","31,822"
19-Jun-2023,EQ,128.2,129.0,125.25,125.2,127.3,127.15,127.21,133.95,81.5,"18,351,129","2,334,452,251.90","42,523"
16-Jun-2023,EQ,119.95,125.75,119.05,119.65,125.1,125.2,123.99,133.95,81.5,"24,157,487","2,995,285,402.75","52,960"
15-Jun-2023,EQ,120.9,121.45,118.4,121.1,119.45,119.65,119.83,133.95,81.5,"7,715,844","924,594,952.60","25,931"
14-Jun-2023,EQ,121.0,121.5,119.25,121.5,121.0,121.1,120.51,133.95,81.5,"7,911,416","953,384,926.00","21,434"
13-Jun-2023,EQ,119.5,121.8,119.1,118.75,121.65,121.5,120.6,133.95,81.5,"16,326,358","1,968,989,467.95","42,503"
12-Jun-2023,EQ,118.1,120.2,117.7,117.25,118.75,118.75,118.99,133.95,81.5,"24,579,189","2,924,724,497.50","69,735"
09-Jun-2023,EQ,113.4,118.2,113.35,112.55,116.9,117.25,116.41,133.95,81.5,"34,451,667","4,010,618,285.65","76,627"
08-Jun-2023,EQ,113.7,114.2,111.2,113.0,112.6,112.55,112.59,133.95,81.5,"20,019,149","2,253,867,750.50","33,682"
07-Jun-2023,EQ,110.0,113.5,109.8,109.9,113.05,113.0,111.99,133.95,81.5,"22,503,935","2,520,163,250.15","49,533"
06-Jun-2023,EQ,110.5,111.0,109.5,110.5,109.95,109.9,110.03,133.95,81.5,"5,337,705","587,302,412.45","23,275"
05-Jun-2023,EQ,112.9,113.3,110.1,112.35,110.3,110.5,111.2,133.95,81.5,"16,277,489","1,810,090,988.15","42,454"
02-Jun-2023,EQ,114.25,115.15,111.95,113.4,112.45,112.35,113.31,133.95,81.5,"10,137,526","1,148,671,319.85","36,877"
01-Jun-2023,EQ,110.65,114.7,110.2,110.25,113.3,113.4,112.91,133.95,81.5,"21,218,342","2,395,755,227.05","55,108"
31-May-2023,EQ,111.0,111.7,109.7,111.05,110.1,110.25,110.48,133.95,81.5,"5,633,664","622,391,865.85","17,841"
30-May-2023,EQ,111.9,112.5,110.85,112.05,111.05,111.05,111.36,133.95,81.5,"6,950,024","773,968,536.90","14,308"
29-May-2023,EQ,111.05,112.65,110.35,110.0,111.9,112.05,111.78,133.95,81.5,"10,250,181","1,145,717,240.85","29,991"
26-May-2023,EQ,110.5,110.95,109.35,110.15,110.05,110.0,110.04,133.95,81.5,"8,675,028","954,641,226.60","23,970"
25-May-2023,EQ,110.65,111.15,109.0,110.9,110.25,110.15,110.0,133.95,81.5,"9,219,573","1,014,142,426.95","28,987"
24-May-2023,EQ,111.3,113.5,110.25,111.05,110.9,110.9,111.76,133.95,81.5,"14,866,185","1,661,511,510.95","44,862"
