Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,529.95,532.45,524.55,528.5,530.0,528.7,529.07,558.75,462.7,"752,253","397,990,930.90","19,666"
23-Jun-2023,EQ,524.25,529.9,522.3,524.25,529.9,528.5,526.71,558.75,462.7,"1,008,663","531,271,186.10","18,280"
22-Jun-2023,EQ,527.05,527.75,520.4,527.15,526.0,524.25,523.66,558.75,462.7,"1,103,762","577,998,929.65","33,399"
21-Jun-2023,EQ,537.1,540.3,526.15,536.1,526.9,527.15,530.83,558.75,462.7,"550,597","292,270,789.65","27,627"
20-Jun-2023,EQ,535.0,540.45,532.0,534.95,537.1,536.1,536.67,558.75,462.7,"1,483,920","796,374,811.30","30,869"
19-Jun-2023,EQ,548.15,550.85,529.7,548.15,536.0,534.95,539.87,558.75,462.7,"848,453","458,058,155.70","25,306"
16-Jun-2023,EQ,547.6,553.45,546.55,545.4,551.0,548.15,549.23,558.75,462.7,"1,730,503","950,447,776.80","43,833"
15-Jun-2023,EQ,541.05,551.0,540.75,539.4,544.55,545.4,545.64,558.75,462.7,"2,156,123","1,176,476,094.10","41,256"
14-Jun-2023,EQ,539.0,543.4,534.65,537.3,540.85,539.4,539.57,558.75,462.7,"1,444,023","779,153,464.30","29,150"
13-Jun-2023,EQ,538.9,544.55,534.85,538.0,539.0,537.3,539.49,558.75,462.7,"1,231,955","664,627,584.25","47,234"
12-Jun-2023,EQ,536.85,539.1,528.45,533.2,539.0,538.0,534.01,558.75,462.7,"787,822","420,706,635.70","27,413"
09-Jun-2023,EQ,545.45,553.95,532.3,545.45,533.0,533.2,540.75,558.75,462.7,"1,110,522","600,514,609.90","25,787"
08-Jun-2023,EQ,547.2,551.4,544.0,549.8,545.5,545.45,546.19,558.75,462.7,"775,479","423,555,006.10","18,911"
07-Jun-2023,EQ,545.4,552.0,544.2,542.75,550.05,549.8,549.81,558.75,462.7,"1,074,463","590,751,644.15","27,263"
06-Jun-2023,EQ,547.9,548.0,537.0,547.15,543.65,542.75,541.02,558.75,462.7,"1,602,972","867,236,514.95","31,424"
05-Jun-2023,EQ,549.0,553.45,545.0,549.45,549.0,547.15,546.9,558.75,462.7,"599,951","328,114,662.25","15,904"
02-Jun-2023,EQ,558.1,558.7,548.2,556.3,549.2,549.45,551.79,558.75,462.7,"959,977","529,704,773.20","24,298"
01-Jun-2023,EQ,544.0,558.75,538.7,543.05,556.65,556.3,553.89,558.75,462.7,"1,969,756","1,091,034,808.80","53,595"
31-May-2023,EQ,544.9,548.0,540.75,541.6,544.45,543.05,543.66,554.35,462.7,"2,583,502","1,404,535,973.00","47,289"
30-May-2023,EQ,544.0,547.5,540.35,544.15,542.9,541.6,543.32,554.35,462.7,"486,319","264,225,680.10","19,701"
29-May-2023,EQ,547.3,548.4,541.3,544.1,543.0,544.15,545.36,554.35,462.7,"980,789","534,879,601.40","22,497"
26-May-2023,EQ,528.4,545.0,528.4,528.4,544.35,544.1,537.89,554.35,462.7,"2,044,193","1,099,546,430.65","38,771"
25-May-2023,EQ,530.65,531.1,525.9,530.9,530.0,528.4,528.19,554.35,462.7,"652,969","344,888,480.20","11,916"
24-May-2023,EQ,522.0,532.75,522.0,526.95,530.5,530.9,530.64,554.35,462.7,"1,062,897","564,017,472.35","20,363"
