Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,906.05,908.0,896.4,906.6,897.4,901.0,902.55,951.80,730.55,"811,669","732,569,548.15","31,105"
23-Jun-2023,EQ,892.0,909.0,888.35,894.25,904.85,906.6,900.92,951.80,724.1,"953,329","858,875,226.45","30,353"
22-Jun-2023,EQ,896.3,905.1,892.4,896.4,893.25,894.25,899.33,951.80,724.1,"538,864","484,614,883.60","20,963"
21-Jun-2023,EQ,895.0,906.55,892.7,891.75,897.0,896.4,899.59,951.80,724.1,"689,890","620,618,985.50","30,487"
20-Jun-2023,EQ,898.9,898.9,889.35,899.05,894.65,891.75,892.55,951.80,724.1,"585,057","522,190,046.70","26,098"
19-Jun-2023,EQ,913.0,919.95,896.5,909.35,897.05,899.05,904.74,951.80,724.1,"414,584","375,089,292.85","22,284"
16-Jun-2023,EQ,903.45,911.8,896.85,896.05,908.8,909.35,905.64,951.80,712.0,"701,638","635,432,927.80","30,503"
15-Jun-2023,EQ,898.0,900.0,888.3,898.05,900.0,896.05,895.54,951.80,712.0,"465,225","416,626,528.40","25,817"
14-Jun-2023,EQ,895.25,906.75,889.4,893.5,897.5,898.05,898.24,951.80,712.0,"719,762","646,520,878.75","29,927"
13-Jun-2023,EQ,880.95,896.1,880.9,880.75,892.35,893.5,891.48,951.80,712.0,"568,855","507,123,217.50","27,944"
12-Jun-2023,EQ,891.0,892.85,872.0,888.2,880.2,880.75,881.39,951.80,712.0,"692,376","610,253,994.20","28,113"
09-Jun-2023,EQ,871.05,894.0,870.15,871.05,887.0,888.2,881.11,951.80,712.0,"1,041,577","917,743,938.45","42,022"
08-Jun-2023,EQ,879.0,879.5,866.2,875.45,872.0,871.05,871.97,951.80,712.0,"826,968","721,087,419.45","28,402"
07-Jun-2023,EQ,869.9,878.05,866.35,867.0,874.35,875.45,873.3,951.80,712.0,"792,531","692,120,364.40","47,063"
06-Jun-2023,EQ,874.9,878.35,864.5,876.15,868.95,867.0,868.98,951.80,712.0,"301,807","262,264,934.35","19,059"
05-Jun-2023,EQ,873.0,882.0,866.5,874.65,875.6,876.15,873.33,951.80,712.0,"439,560","383,882,521.05","28,971"
02-Jun-2023,EQ,882.0,882.55,871.5,876.15,876.0,874.65,874.67,951.80,712.0,"503,772","440,632,658.55","35,973"
01-Jun-2023,EQ,883.0,888.5,872.4,883.5,874.8,876.15,881.7,951.80,712.0,"545,741","481,181,118.35","18,578"
31-May-2023,EQ,870.0,885.85,867.0,867.15,881.2,883.5,880.01,951.80,712.0,"1,533,930","1,349,868,947.95","39,078"
30-May-2023,EQ,866.55,869.6,859.55,866.55,867.0,867.15,865.59,951.80,712.0,"770,563","666,993,244.55","26,084"
29-May-2023,EQ,858.95,868.1,851.55,858.65,864.5,866.55,863.52,951.80,712.0,"1,512,222","1,305,833,179.25","23,630"
26-May-2023,EQ,838.5,860.7,838.1,841.3,857.7,858.65,855.53,951.80,712.0,"1,750,270","1,497,404,456.85","42,726"
25-May-2023,EQ,836.9,842.8,831.05,835.3,842.0,841.3,839.23,951.80,712.0,"666,410","559,270,489.85","27,287"
24-May-2023,EQ,820.0,838.2,818.5,821.95,834.0,835.3,831.75,951.80,712.0,"892,521","742,352,245.35","29,573"
23-May-2023,EQ,825.0,826.4,819.4,823.65,819.45,821.95,822.48,951.80,712.0,"1,073,977","883,320,457.00","32,877"
22-May-2023,EQ,822.0,825.6,812.0,817.05,823.95,823.65,820.12,951.80,712.0,"857,453","703,214,701.30","26,135"
19-May-2023,EQ,790.0,821.2,781.0,797.0,817.0,817.05,807.41,951.80,712.0,"3,025,568","2,442,862,889.85","67,162"
18-May-2023,EQ,797.85,805.0,791.0,796.15,798.0,797.0,799.32,951.80,712.0,"469,018","374,895,403.45","19,116"
17-May-2023,EQ,801.0,804.15,792.05,802.45,796.9,796.15,798.33,951.80,712.0,"557,758","445,276,516.20","22,755"
16-May-2023,EQ,810.0,811.0,800.2,805.65,801.0,802.45,805.76,951.80,712.0,"483,145","389,300,000.45","27,790"
15-May-2023,EQ,795.55,811.2,790.55,795.55,806.0,805.65,804.59,951.80,712.0,"911,312","733,231,164.15","41,603"
12-May-2023,EQ,795.95,800.75,792.2,795.85,794.5,795.55,797.02,951.80,712.0,"672,108","535,680,762.35","36,931"
11-May-2023,EQ,798.5,800.75,792.95,794.05,795.55,795.85,796.54,951.80,712.0,"462,545","368,436,730.05","23,992"
10-May-2023,EQ,794.0,799.8,788.1,792.4,793.15,794.05,794.45,951.80,712.0,"754,121","599,112,206.35","38,563"
09-May-2023,EQ,794.75,806.0,789.0,793.9,792.75,792.4,796.85,951.80,712.0,"1,096,632","873,856,138.55","43,317"
08-May-2023,EQ,790.0,796.0,788.05,787.05,794.0,793.9,792.86,951.80,712.0,"482,419","382,490,519.15","17,457"
05-May-2023,EQ,782.2,797.85,781.8,783.6,787.2,787.05,791.48,951.80,712.0,"1,177,524","931,984,771.85","39,611"
04-May-2023,EQ,789.9,789.9,780.55,785.85,784.0,783.6,783.85,951.80,712.0,"510,695","400,309,104.50","13,912"
03-May-2023,EQ,779.0,797.5,771.3,779.2,786.8,785.85,789.93,951.80,712.0,"1,461,628","1,154,586,051.40","53,032"
02-May-2023,EQ,777.05,784.7,774.25,777.15,779.4,779.2,778.75,951.80,712.0,"626,485","487,873,783.80","36,330"
28-Apr-2023,EQ,764.1,782.8,764.1,767.8,776.3,777.15,776.74,951.80,712.0,"1,350,446","1,048,940,183.45","31,967"
