Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,542.00","1,665.00","1,542.00","1,566.05","1,633.20","1,633.40","1,622.72","1,697.10","1,156.00","885,436","1,436,812,263.40","55,005"
23-Jun-2023,EQ,"1,619.00","1,625.80","1,517.10","1,622.10","1,568.80","1,566.05","1,567.43","1,697.10","1,152.90","605,597","949,228,404.15","57,516"
22-Jun-2023,EQ,"1,614.85","1,644.00","1,591.00","1,614.85","1,624.15","1,622.10","1,618.83","1,697.10","1,152.90","518,808","839,861,504.65","29,248"
21-Jun-2023,EQ,"1,590.00","1,633.05","1,582.65","1,573.00","1,616.00","1,614.85","1,611.93","1,697.10","1,152.90","559,311","901,572,090.80","37,498"
20-Jun-2023,EQ,"1,567.00","1,593.50","1,558.00","1,571.25","1,575.00","1,573.00","1,577.89","1,697.10","1,152.90","133,203","210,179,121.60","11,065"
19-Jun-2023,EQ,"1,601.55","1,608.65","1,561.00","1,601.55","1,570.35","1,571.25","1,581.52","1,697.10","1,152.90","317,057","501,432,931.40","23,764"
16-Jun-2023,EQ,"1,551.00","1,625.00","1,551.00","1,549.35","1,601.00","1,601.55","1,600.56","1,697.10","1,152.90","586,145","938,158,775.90","30,882"
15-Jun-2023,EQ,"1,594.00","1,594.00","1,539.30","1,589.20","1,548.00","1,549.35","1,564.34","1,697.10","1,152.90","262,525","410,677,554.25","22,651"
14-Jun-2023,EQ,"1,582.45","1,596.00","1,564.45","1,582.45","1,586.35","1,589.20","1,583.14","1,697.10","1,152.90","225,995","357,781,150.15","16,153"
13-Jun-2023,EQ,"1,568.20","1,586.35","1,558.55","1,568.20","1,577.50","1,582.45","1,573.87","1,697.10","1,152.90","243,590","383,379,109.55","18,672"
12-Jun-2023,EQ,"1,558.00","1,571.65","1,542.05","1,549.50","1,562.65","1,568.20","1,560.82","1,697.10","1,152.90","194,841","304,111,055.35","13,948"
09-Jun-2023,EQ,"1,532.05","1,574.00","1,532.00","1,540.25","1,546.00","1,549.50","1,557.04","1,697.10","1,152.90","486,896","758,115,624.70","33,386"
08-Jun-2023,EQ,"1,499.50","1,567.85","1,496.00","1,497.40","1,537.75","1,540.25","1,542.14","1,697.10","1,152.90","1,012,751","1,561,800,550.15","59,611"
07-Jun-2023,EQ,"1,477.50","1,499.90","1,469.00","1,469.80","1,498.00","1,497.40","1,488.70","1,697.10","1,152.90","196,621","292,708,796.25","17,643"
06-Jun-2023,EQ,"1,469.50","1,489.75","1,459.25","1,469.15","1,469.55","1,469.80","1,477.40","1,697.10","1,152.90","195,861","289,364,509.85","13,137"
05-Jun-2023,EQ,"1,465.05","1,489.90","1,461.65","1,461.55","1,464.65","1,469.15","1,474.65","1,697.10","1,152.90","287,787","424,383,913.70","13,953"
02-Jun-2023,EQ,"1,470.00","1,477.15","1,444.55","1,475.50","1,460.50","1,461.55","1,461.27","1,697.10","1,152.90","188,109","274,878,458.50","18,264"
01-Jun-2023,EQ,"1,461.80","1,478.00","1,453.00","1,455.25","1,477.20","1,475.50","1,471.02","1,697.10","1,152.90","225,942","332,365,652.35","13,463"
31-May-2023,EQ,"1,447.30","1,463.70","1,441.05","1,447.35","1,451.00","1,455.25","1,453.94","1,697.10","1,152.90","308,665","448,780,324.40","17,781"
30-May-2023,EQ,"1,395.00","1,454.45","1,395.00","1,392.20","1,447.35","1,447.35","1,433.75","1,697.10","1,152.90","947,925","1,359,090,831.85","42,923"
29-May-2023,EQ,"1,373.00","1,428.90","1,372.10","1,367.50","1,392.90","1,392.20","1,403.29","1,697.10","1,152.90","666,609","935,445,749.15","33,423"
26-May-2023,EQ,"1,348.55","1,370.00","1,345.00","1,346.85","1,365.00","1,367.50","1,357.29","1,697.10","1,152.90","179,797","244,036,235.50","13,975"
25-May-2023,EQ,"1,355.20","1,368.45","1,343.75","1,355.20","1,351.85","1,346.85","1,353.08","1,697.10","1,152.90","327,173","442,689,747.20","14,353"
24-May-2023,EQ,"1,380.05","1,392.95","1,350.60","1,388.45","1,357.95","1,355.20","1,370.93","1,697.10","1,152.90","389,853","534,461,373.50","19,060"
23-May-2023,EQ,"1,336.95","1,405.35","1,336.95","1,320.15","1,384.95","1,388.45","1,391.06","1,697.10","1,152.90","1,759,937","2,448,180,866.30","60,321"
22-May-2023,EQ,"1,286.05","1,347.00","1,285.05","1,351.40","1,323.75","1,320.15","1,320.92","1,697.10","1,152.90","1,132,357","1,495,755,066.85","47,074"
19-May-2023,EQ,"1,359.95","1,365.65","1,330.00","1,354.80","1,353.00","1,351.40","1,344.14","1,697.10","1,143.00","205,807","276,633,204.95","17,399"
18-May-2023,EQ,"1,349.00","1,383.40","1,348.05","1,342.30","1,360.00","1,354.80","1,367.54","1,697.10","1,143.00","285,908","390,991,275.10","25,485"
17-May-2023,EQ,"1,376.15","1,379.10","1,333.85","1,366.90","1,343.75","1,342.30","1,348.03","1,697.10","1,143.00","238,415","321,390,111.15","23,210"
16-May-2023,EQ,"1,389.50","1,389.50","1,365.00","1,382.25","1,367.20","1,366.90","1,374.40","1,697.10","1,143.00","160,722","220,896,486.45","13,924"
15-May-2023,EQ,"1,358.15","1,387.45","1,342.95","1,357.05","1,383.00","1,382.25","1,371.00","1,697.10","1,143.00","359,713","493,165,239.25","27,054"
12-May-2023,EQ,"1,372.00","1,389.60","1,355.20","1,371.50","1,356.00","1,357.05","1,371.22","1,697.10","1,143.00","200,367","274,747,106.60","13,441"
11-May-2023,EQ,"1,375.95","1,385.90","1,363.55","1,359.70","1,371.35","1,371.50","1,374.30","1,697.10","1,143.00","224,586","308,647,810.50","18,878"
10-May-2023,EQ,"1,372.00","1,374.95","1,352.55","1,370.70","1,358.60","1,359.70","1,362.87","1,697.10","1,143.00","163,640","223,020,404.30","15,813"
09-May-2023,EQ,"1,379.70","1,383.60","1,365.55","1,373.70","1,368.50","1,370.70","1,373.58","1,697.10","1,143.00","250,603","344,222,556.60","12,741"
08-May-2023,EQ,"1,380.30","1,388.70","1,371.00","1,380.00","1,378.00","1,373.70","1,379.25","1,697.10","1,143.00","157,663","217,457,360.25","10,933"
05-May-2023,EQ,"1,392.90","1,403.40","1,375.95","1,392.90","1,378.50","1,380.00","1,388.85","1,697.10","1,143.00","161,383","224,136,418.10","15,321"
04-May-2023,EQ,"1,374.95","1,397.20","1,368.20","1,372.50","1,390.00","1,392.90","1,384.13","1,697.10","1,143.00","244,013","337,744,564.10","20,351"
03-May-2023,EQ,"1,400.00","1,400.70","1,367.00","1,396.20","1,373.00","1,372.50","1,384.31","1,697.10","1,143.00","356,310","493,243,607.00","26,100"
02-May-2023,EQ,"1,399.40","1,412.85","1,390.50","1,399.40","1,397.35","1,396.20","1,397.63","1,697.10","1,143.00","223,790","312,775,089.60","18,242"
28-Apr-2023,EQ,"1,400.00","1,406.95","1,388.55","1,392.15","1,400.00","1,399.40","1,395.99","1,697.10","1,143.00","444,194","620,091,074.60","18,442"
27-Apr-2023,EQ,"1,394.05","1,409.00","1,387.25","1,394.45","1,393.00","1,392.15","1,394.70","1,697.10","1,143.00","531,971","741,940,040.20","28,188"
26-Apr-2023,EQ,"1,480.00","1,481.50","1,372.00","1,487.65","1,390.15","1,394.45","1,400.98","1,697.10","1,143.00","1,145,904","1,605,392,660.55","53,214"
25-Apr-2023,EQ,"1,464.00","1,492.95","1,455.80","1,462.40","1,486.30","1,487.65","1,480.14","1,697.10","1,143.00","250,470","370,729,916.60","15,072"
24-Apr-2023,EQ,"1,464.95","1,472.55","1,450.00","1,457.75","1,464.10","1,462.40","1,462.27","1,697.10","1,143.00","137,235","200,674,357.55","20,413"
21-Apr-2023,EQ,"1,454.00","1,461.80","1,449.05","1,451.40","1,457.00","1,457.75","1,454.66","1,697.10","1,143.00","110,244","160,367,581.35","11,071"
20-Apr-2023,EQ,"1,445.10","1,455.85","1,437.65","1,442.40","1,452.00","1,451.40","1,447.36","1,697.10","1,143.00","130,948","189,529,426.05","11,432"
19-Apr-2023,EQ,"1,454.95","1,460.45","1,435.10","1,450.50","1,443.00","1,442.40","1,443.80","1,697.10","1,143.00","131,756","190,229,915.60","15,116"
18-Apr-2023,EQ,"1,476.30","1,492.05","1,446.00","1,474.65","1,450.00","1,450.50","1,461.31","1,697.10","1,143.00","181,274","264,897,669.80","12,128"
17-Apr-2023,EQ,"1,467.00","1,478.60","1,457.20","1,466.95","1,473.45","1,474.65","1,469.57","1,697.10","1,143.00","189,067","277,847,663.25","12,512"
13-Apr-2023,EQ,"1,487.95","1,497.85","1,465.00","1,480.95","1,469.00","1,466.95","1,475.30","1,697.10","1,143.00","152,266","224,638,065.75","12,077"
12-Apr-2023,EQ,"1,466.00","1,504.45","1,457.70","1,464.60","1,474.25","1,480.95","1,480.46","1,697.10","1,143.00","362,018","535,954,316.80","26,220"
11-Apr-2023,EQ,"1,520.00","1,523.00","1,460.00","1,515.55","1,462.00","1,464.60","1,482.75","1,697.10","1,143.00","255,093","378,238,137.50","26,610"
10-Apr-2023,EQ,"1,494.75","1,525.00","1,485.65","1,494.75","1,514.00","1,515.55","1,507.49","1,697.10","1,143.00","139,391","210,129,894.20","17,469"
06-Apr-2023,EQ,"1,474.35","1,499.00","1,451.60","1,474.35","1,495.00","1,494.75","1,477.20","1,697.10","1,143.00","154,161","227,726,654.50","11,661"
