Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,386.00","1,447.60","1,376.15","1,386.00","1,441.00","1,433.35","1,428.22","1,791.20","1,171.35","653,549","933,409,571.95","34,412"
23-Jun-2023,EQ,"1,430.00","1,438.45","1,376.05","1,425.60","1,386.00","1,386.00","1,401.43","1,791.20","1,171.35","349,576","489,905,194.75","25,944"
22-Jun-2023,EQ,"1,453.00","1,470.00","1,413.85","1,456.10","1,421.50","1,425.60","1,437.70","1,791.20","1,171.35","454,973","654,113,362.45","33,043"
21-Jun-2023,EQ,"1,441.95","1,474.05","1,428.55","1,424.20","1,453.00","1,456.10","1,452.89","1,791.20","1,171.35","989,212","1,437,216,520.75","60,267"
20-Jun-2023,EQ,"1,384.85","1,430.00","1,378.00","1,374.50","1,430.00","1,424.20","1,413.08","1,791.20","1,171.35","991,116","1,400,527,868.20","51,934"
19-Jun-2023,EQ,"1,370.55","1,414.00","1,357.55","1,352.20","1,382.00","1,374.50","1,389.53","1,791.20","1,171.35","998,100","1,386,887,527.25","54,961"
16-Jun-2023,EQ,"1,334.65","1,363.00","1,317.10","1,321.75","1,351.50","1,352.20","1,349.85","1,791.20","1,171.35","480,253","648,267,732.75","41,577"
15-Jun-2023,EQ,"1,325.00","1,355.95","1,315.70","1,312.75","1,321.00","1,321.75","1,338.21","1,791.20","1,171.35","770,023","1,030,449,852.95","42,429"
14-Jun-2023,EQ,"1,305.00","1,320.00","1,285.00","1,297.55","1,313.20","1,312.75","1,308.93","1,791.20","1,171.35","263,751","345,232,283.40","20,858"
13-Jun-2023,EQ,"1,282.00","1,302.75","1,278.75","1,276.75","1,298.95","1,297.55","1,292.08","1,791.20","1,171.35","158,905","205,318,743.65","16,337"
12-Jun-2023,EQ,"1,280.10","1,292.00","1,260.60","1,279.45","1,280.00","1,276.75","1,278.37","1,791.20","1,171.35","113,098","144,580,848.25","12,318"
09-Jun-2023,EQ,"1,295.25","1,323.95","1,272.10","1,294.10","1,276.75","1,279.45","1,304.73","1,791.20","1,171.35","225,556","294,289,205.55","30,921"
08-Jun-2023,EQ,"1,305.10","1,315.70","1,286.60","1,311.60","1,290.45","1,294.10","1,304.84","1,791.20","1,171.35","224,502","292,939,720.80","23,501"
07-Jun-2023,EQ,"1,315.75","1,328.30","1,303.00","1,315.60","1,310.00","1,311.60","1,313.46","1,791.20","1,171.35","143,434","188,394,513.70","15,565"
06-Jun-2023,EQ,"1,315.00","1,323.80","1,305.15","1,316.85","1,310.55","1,315.60","1,314.05","1,791.20","1,171.35","178,936","235,130,608.10","15,708"
05-Jun-2023,EQ,"1,311.90","1,327.45","1,303.80","1,311.35","1,315.00","1,316.85","1,314.31","1,791.20","1,171.35","143,907","189,138,556.95","12,071"
02-Jun-2023,EQ,"1,305.60","1,317.15","1,298.00","1,307.15","1,312.05","1,311.35","1,306.97","1,791.20","1,171.35","73,347","95,862,018.50","7,285"
01-Jun-2023,EQ,"1,301.20","1,326.40","1,300.85","1,301.15","1,305.00","1,307.15","1,315.34","1,791.20","1,171.35","123,634","162,621,158.20","8,499"
31-May-2023,EQ,"1,305.00","1,339.90","1,294.75","1,305.05","1,301.15","1,301.15","1,316.34","1,791.20","1,171.35","233,397","307,230,761.50","14,730"
30-May-2023,EQ,"1,311.00","1,313.15","1,288.10","1,306.05","1,307.60","1,305.05","1,303.89","1,791.20","1,171.35","107,433","140,080,404.20","9,315"
29-May-2023,EQ,"1,284.90","1,314.60","1,276.15","1,284.80","1,307.55","1,306.05","1,295.88","1,791.20","1,171.35","186,416","241,572,124.00","12,225"
26-May-2023,EQ,"1,262.80","1,289.90","1,253.15","1,253.95","1,281.20","1,284.80","1,277.58","1,825.00","1,171.35","240,467","307,215,051.60","15,205"
25-May-2023,EQ,"1,260.05","1,274.40","1,240.00","1,261.35","1,257.00","1,253.95","1,255.32","1,825.00","1,171.35","105,394","132,302,702.60","8,958"
24-May-2023,EQ,"1,259.00","1,270.00","1,246.05","1,259.00","1,260.80","1,261.35","1,257.48","1,825.00","1,171.35","126,274","158,786,426.00","9,859"
23-May-2023,EQ,"1,245.90","1,280.00","1,239.00","1,242.50","1,258.00","1,259.00","1,265.22","1,825.00","1,171.35","266,806","337,568,637.40","13,654"
22-May-2023,EQ,"1,229.05","1,248.00","1,209.25","1,224.50","1,247.00","1,242.50","1,230.88","1,825.00","1,171.35","214,680","264,244,673.55","14,989"
19-May-2023,EQ,"1,251.25","1,253.00","1,220.00","1,241.30","1,221.50","1,224.50","1,234.49","2,009.20","1,171.35","246,048","303,744,819.00","16,360"
18-May-2023,EQ,"1,298.00","1,298.00","1,235.00","1,296.65","1,244.00","1,241.30","1,258.54","2,009.20","1,171.35","705,609","888,036,488.80","37,183"
17-May-2023,EQ,"1,280.00","1,323.80","1,270.00","1,308.45","1,295.10","1,296.65","1,300.62","2,009.20","1,171.35","1,189,160","1,546,651,091.15","51,181"
16-May-2023,EQ,"1,347.00","1,361.95","1,304.00","1,344.15","1,310.90","1,308.45","1,326.78","2,009.20","1,171.35","201,853","267,815,079.70","14,217"
15-May-2023,EQ,"1,360.90","1,370.00","1,333.55","1,351.25","1,337.55","1,344.15","1,354.06","2,009.20","1,171.35","234,828","317,970,225.45","15,239"
12-May-2023,EQ,"1,324.40","1,357.45","1,305.45","1,317.30","1,356.95","1,351.25","1,340.76","2,148.70","1,171.35","278,159","372,943,729.95","17,606"
11-May-2023,EQ,"1,362.85","1,364.35","1,308.65","1,355.75","1,314.00","1,317.30","1,335.56","2,148.70","1,171.35","197,057","263,181,622.00","12,085"
10-May-2023,EQ,"1,337.70","1,360.00","1,337.45","1,337.70","1,358.00","1,355.75","1,350.77","2,148.70","1,171.35","184,031","248,584,090.70","11,884"
09-May-2023,EQ,"1,349.00","1,360.00","1,333.05","1,339.10","1,336.05","1,337.70","1,342.09","2,148.70","1,171.35","164,346","220,567,251.60","10,919"
08-May-2023,EQ,"1,300.00","1,361.70","1,275.05","1,285.50","1,342.00","1,339.10","1,323.35","2,148.70","1,171.35","635,756","841,327,742.65","35,945"
05-May-2023,EQ,"1,256.05","1,295.10","1,253.45","1,253.45","1,285.00","1,285.50","1,283.50","2,365.00","1,171.35","436,832","560,674,565.90","29,928"
04-May-2023,EQ,"1,241.20","1,257.30","1,231.20","1,239.50","1,254.25","1,253.45","1,245.75","2,365.00","1,171.35","131,723","164,094,037.40","8,843"
03-May-2023,EQ,"1,268.25","1,275.00","1,235.00","1,263.75","1,242.05","1,239.50","1,253.81","2,365.00","1,171.35","162,510","203,756,984.85","9,972"
02-May-2023,EQ,"1,249.95","1,278.70","1,246.05","1,251.50","1,270.00","1,263.75","1,264.69","2,365.00","1,171.35","236,918","299,628,602.35","13,497"
28-Apr-2023,EQ,"1,230.00","1,259.00","1,227.00","1,225.25","1,252.05","1,251.50","1,247.42","2,485.00","1,171.35","214,125","267,104,634.55","9,172"
27-Apr-2023,EQ,"1,225.00","1,232.55","1,214.40","1,217.80","1,232.45","1,225.25","1,221.92","2,485.00","1,171.35","255,081","311,688,908.60","8,319"
26-Apr-2023,EQ,"1,224.85","1,228.90","1,214.10","1,225.65","1,221.15","1,217.80","1,223.51","2,485.00","1,171.35","148,247","181,381,960.70","6,816"
25-Apr-2023,EQ,"1,233.90","1,239.45","1,220.10","1,235.05","1,226.00","1,225.65","1,231.28","2,485.00","1,171.35","86,848","106,934,591.20","7,964"
24-Apr-2023,EQ,"1,241.00","1,243.55","1,226.00","1,239.35","1,238.20","1,235.05","1,236.25","2,485.00","1,171.35","83,508","103,236,680.40","4,598"
21-Apr-2023,EQ,"1,249.90","1,255.95","1,225.50","1,243.15","1,236.40","1,239.35","1,239.56","2,536.00","1,171.35","132,671","164,453,931.90","9,305"
20-Apr-2023,EQ,"1,273.10","1,279.75","1,240.00","1,273.05","1,246.10","1,243.15","1,256.54","2,536.00","1,171.35","123,457","155,129,207.40","11,684"
19-Apr-2023,EQ,"1,298.00","1,307.85","1,270.15","1,295.45","1,271.55","1,273.05","1,286.37","2,536.00","1,171.35","236,853","304,681,735.90","20,408"
18-Apr-2023,EQ,"1,286.00","1,308.45","1,276.15","1,288.55","1,295.05","1,295.45","1,293.77","2,536.00","1,171.35","177,567","229,730,950.15","16,488"
17-Apr-2023,EQ,"1,288.95","1,297.20","1,264.60","1,290.40","1,283.40","1,288.55","1,285.18","2,536.00","1,171.35","112,487","144,566,210.55","9,123"
13-Apr-2023,EQ,"1,294.95","1,311.00","1,284.75","1,294.80","1,287.65","1,290.40","1,295.89","2,566.30","1,171.35","212,286","275,099,232.35","14,666"
12-Apr-2023,EQ,"1,243.00","1,319.55","1,237.75","1,235.40","1,295.25","1,294.80","1,286.96","2,566.30","1,171.35","785,642","1,011,091,504.15","35,608"
11-Apr-2023,EQ,"1,259.75","1,261.95","1,230.10","1,250.40","1,234.00","1,235.40","1,240.43","2,566.30","1,171.35","138,698","172,045,378.10","10,379"
10-Apr-2023,EQ,"1,255.00","1,259.95","1,239.00","1,240.10","1,249.90","1,250.40","1,249.17","2,566.30","1,171.35","224,910","280,950,455.55","11,690"
06-Apr-2023,EQ,"1,258.00","1,258.30","1,237.05","1,252.00","1,244.90","1,240.10","1,244.51","2,570.60","1,171.35","254,851","317,165,172.95","11,735"
05-Apr-2023,EQ,"1,253.10","1,274.65","1,231.45","1,256.10","1,258.60","1,252.00","1,253.18","2,570.60","1,171.35","175,124","219,461,658.40","16,608"
03-Apr-2023,EQ,"1,262.00","1,262.00","1,236.45","1,248.30","1,255.20","1,256.10","1,250.09","2,570.60","1,171.35","129,189","161,497,928.90","15,013"
31-Mar-2023,EQ,"1,207.55","1,253.50","1,171.35","1,201.50","1,240.15","1,248.30","1,230.91","2,570.60","1,171.35","240,658","296,229,534.00","16,168"
29-Mar-2023,EQ,"1,186.00","1,208.05","1,182.60","1,197.30","1,204.80","1,201.50","1,197.21","2,570.60","1,182.60","180,361","215,930,150.15","12,235"
28-Mar-2023,EQ,"1,233.10","1,236.00","1,191.00","1,233.05","1,193.00","1,197.30","1,205.66","2,570.60","1,190.40","246,191","296,823,683.95","26,344"
27-Mar-2023,EQ,"1,205.00","1,243.45","1,202.00","1,203.40","1,233.95","1,233.05","1,231.30","2,570.60","1,190.40","230,838","284,231,596.80","14,841"
24-Mar-2023,EQ,"1,233.00","1,238.75","1,200.00","1,230.55","1,201.00","1,203.40","1,210.96","2,570.60","1,190.40","265,615","321,648,509.85","9,494"
23-Mar-2023,EQ,"1,250.00","1,253.00","1,225.00","1,252.85","1,239.95","1,230.55","1,236.26","2,570.60","1,190.40","67,049","82,889,918.30","8,209"
22-Mar-2023,EQ,"1,240.15","1,270.35","1,228.40","1,239.65","1,252.00","1,252.85","1,245.91","2,570.60","1,190.40","154,679","192,716,660.40","12,475"
21-Mar-2023,EQ,"1,273.00","1,277.00","1,237.20","1,270.50","1,240.00","1,239.65","1,252.64","2,570.60","1,190.40","58,825","73,686,534.15","6,573"
20-Mar-2023,EQ,"1,296.95","1,311.00","1,245.75","1,272.70","1,275.00","1,270.50","1,262.84","2,570.60","1,190.40","111,553","140,873,988.70","15,698"
17-Mar-2023,EQ,"1,263.00","1,281.40","1,255.00","1,261.70","1,275.00","1,272.70","1,269.48","2,570.60","1,190.40","78,218","99,295,820.00","8,196"
16-Mar-2023,EQ,"1,253.10","1,297.10","1,253.10","1,264.90","1,264.30","1,261.70","1,273.25","2,570.60","1,190.40","165,682","210,954,886.25","16,166"
15-Mar-2023,EQ,"1,236.30","1,271.50","1,234.75","1,229.85","1,263.30","1,264.90","1,260.62","2,570.60","1,190.40","179,393","226,145,918.45","12,305"
