Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,748.0,757.2,732.0,747.4,747.5,745.8,746.17,885.00,599.1,"718,629","536,217,181.10","28,024"
23-Jun-2023,EQ,765.0,782.45,744.15,762.95,749.5,747.4,765.2,885.00,599.1,"2,187,413","1,673,817,722.75","64,013"
22-Jun-2023,EQ,744.95,792.35,743.85,738.9,767.0,762.95,774.73,885.00,599.1,"5,787,706","4,483,920,518.40","127,999"
21-Jun-2023,EQ,708.8,755.0,708.1,703.2,741.0,738.9,737.13,885.00,599.1,"4,547,225","3,351,909,753.90","96,310"
20-Jun-2023,EQ,690.45,709.4,679.6,689.35,703.0,703.2,702.55,885.00,599.1,"1,212,034","851,516,150.40","41,911"
19-Jun-2023,EQ,697.1,699.9,680.05,690.1,688.0,689.35,687.71,885.00,599.1,"604,369","415,633,625.70","32,325"
16-Jun-2023,EQ,670.1,697.7,670.1,671.35,694.0,690.1,689.3,885.00,599.1,"1,357,468","935,701,849.60","31,315"
15-Jun-2023,EQ,675.45,679.5,668.3,675.05,671.0,671.35,674.16,885.00,599.1,"377,191","254,287,742.25","19,700"
14-Jun-2023,EQ,682.8,683.05,673.3,679.2,673.7,675.05,676.91,885.00,599.1,"173,611","117,519,620.70","8,401"
13-Jun-2023,EQ,685.1,690.45,677.3,684.0,679.9,679.2,681.91,885.00,599.1,"468,045","319,166,340.95","15,505"
12-Jun-2023,EQ,689.8,695.95,681.3,686.2,683.0,684.0,687.88,885.00,599.1,"250,226","172,125,814.60","10,121"
09-Jun-2023,EQ,709.25,709.25,684.4,703.75,688.9,686.2,693.87,885.00,599.1,"458,492","318,133,937.25","18,820"
08-Jun-2023,EQ,703.3,712.6,695.0,703.3,706.0,703.75,704.87,885.00,599.1,"357,558","252,030,431.40","14,917"
07-Jun-2023,EQ,691.8,714.45,689.75,688.15,702.0,703.3,705.84,885.00,599.1,"1,021,061","720,701,349.10","31,646"
06-Jun-2023,EQ,692.0,692.0,678.1,692.25,690.55,688.15,684.67,885.00,599.1,"385,198","263,735,392.20","13,750"
05-Jun-2023,EQ,698.0,699.65,685.05,697.75,687.7,692.25,694.32,885.00,599.1,"481,437","334,270,946.80","14,215"
02-Jun-2023,EQ,704.05,708.5,691.45,703.2,692.1,697.75,701.29,885.00,599.1,"232,627","163,139,285.35","9,175"
01-Jun-2023,EQ,706.65,715.9,702.0,706.55,703.05,703.2,708.04,885.00,599.1,"305,604","216,380,473.80","11,660"
31-May-2023,EQ,698.0,710.4,695.4,698.7,708.1,706.55,706.2,885.00,599.1,"724,020","511,305,410.85","20,519"
30-May-2023,EQ,700.0,700.0,690.15,696.95,695.55,698.7,695.84,885.00,599.1,"198,839","138,359,907.45","10,936"
29-May-2023,EQ,687.55,708.9,687.55,687.0,696.2,696.95,700.9,885.00,599.1,"953,527","668,322,667.10","36,436"
26-May-2023,EQ,679.0,689.0,676.15,675.45,687.0,687.0,683.94,885.00,599.1,"265,811","181,797,635.00","12,058"
25-May-2023,EQ,679.85,684.35,671.6,679.85,677.1,675.45,678.29,885.00,599.1,"301,771","204,688,844.45","12,481"
24-May-2023,EQ,671.55,691.0,671.15,676.3,678.75,679.85,683.8,885.00,599.1,"413,569","282,800,388.15","14,282"
23-May-2023,EQ,677.2,683.0,670.5,676.05,675.0,676.3,676.39,885.00,599.1,"451,535","305,411,751.85","12,058"
22-May-2023,EQ,670.4,681.0,669.95,672.4,675.05,676.05,676.37,885.00,599.1,"380,634","257,448,820.35","12,847"
19-May-2023,EQ,675.1,678.2,660.6,673.2,670.9,672.4,671.06,885.00,599.1,"384,627","258,106,297.50","11,378"
18-May-2023,EQ,672.65,679.15,669.45,672.45,674.0,673.2,674.17,885.00,599.1,"203,980","137,517,747.80","9,713"
17-May-2023,EQ,681.0,682.55,668.85,681.6,671.0,672.45,672.03,885.00,599.1,"507,708","341,196,579.75","12,239"
16-May-2023,EQ,677.35,689.9,673.55,671.9,678.55,681.6,684.18,885.00,599.1,"2,295,738","1,570,688,473.45","35,119"
15-May-2023,EQ,650.0,676.6,635.75,657.25,675.0,671.9,659.55,885.00,599.1,"821,338","541,715,369.50","30,521"
12-May-2023,EQ,678.0,679.8,654.1,674.9,659.25,657.25,663.57,885.00,599.1,"472,898","313,801,002.25","21,213"
11-May-2023,EQ,663.55,678.5,658.2,663.6,675.0,674.9,670.06,885.00,599.1,"1,248,161","836,337,653.20","19,919"
10-May-2023,EQ,672.85,675.0,659.0,667.95,662.05,663.6,665.46,885.00,599.1,"518,020","344,720,365.00","16,142"
09-May-2023,EQ,660.2,673.95,660.2,659.7,666.5,667.95,669.69,885.00,599.1,"1,323,325","886,220,703.40","47,684"
08-May-2023,EQ,638.95,662.5,636.0,635.4,660.05,659.7,656.58,885.00,599.1,"1,216,674","798,844,341.40","36,804"
05-May-2023,EQ,656.25,659.5,632.05,652.2,635.0,635.4,646.95,885.00,599.1,"961,327","621,932,418.35","40,268"
04-May-2023,EQ,639.6,655.05,637.15,638.75,653.0,652.2,650.41,885.00,599.1,"1,008,138","655,701,889.20","23,716"
03-May-2023,EQ,648.95,653.0,635.1,648.85,639.05,638.75,642.55,885.00,599.1,"499,364","320,868,527.55","25,420"
02-May-2023,EQ,646.45,650.7,630.5,639.75,647.0,648.85,642.06,885.00,599.1,"822,662","528,194,650.70","29,203"
28-Apr-2023,EQ,622.0,642.7,620.65,620.65,637.0,639.75,637.04,885.00,599.1,"917,596","584,546,893.35","31,453"
27-Apr-2023,EQ,614.65,622.9,609.75,614.75,622.1,620.65,614.98,885.00,599.1,"389,171","239,331,343.05","11,102"
26-Apr-2023,EQ,619.95,621.6,599.1,618.6,612.6,614.75,608.75,885.00,599.1,"1,339,808","815,604,363.25","26,221"
25-Apr-2023,EQ,628.0,632.85,617.0,622.95,618.1,618.6,625.47,885.00,604.65,"321,757","201,249,628.90","13,778"
24-Apr-2023,EQ,628.1,629.8,615.1,623.6,623.9,622.95,620.79,885.00,604.65,"546,645","339,353,582.45","19,809"
21-Apr-2023,EQ,645.0,649.95,618.6,641.15,624.0,623.6,629.33,885.00,604.65,"740,218","465,843,717.85","20,299"
20-Apr-2023,EQ,638.95,645.0,633.4,636.3,642.15,641.15,640.65,885.00,604.65,"220,461","141,238,053.15","15,425"
19-Apr-2023,EQ,654.5,654.5,633.05,649.9,635.45,636.3,643.86,885.00,604.65,"475,360","306,065,003.50","18,759"
18-Apr-2023,EQ,639.8,652.0,632.8,637.5,651.8,649.9,644.95,885.00,604.65,"685,032","441,812,114.50","23,262"
17-Apr-2023,EQ,629.0,640.0,621.3,625.7,637.7,637.5,634.94,885.00,604.65,"340,781","216,376,840.75","17,965"
13-Apr-2023,EQ,623.2,629.95,618.15,620.05,627.0,625.7,623.31,885.00,604.65,"810,144","504,970,009.60","21,766"
12-Apr-2023,EQ,623.45,636.4,617.35,620.4,622.0,620.05,623.42,885.00,604.65,"1,153,448","719,083,777.50","21,584"
11-Apr-2023,EQ,630.5,638.1,618.45,627.2,623.5,620.4,623.81,885.00,604.65,"1,858,672","1,159,460,731.55","34,000"
10-Apr-2023,EQ,634.05,637.65,620.55,634.05,629.0,627.2,624.77,885.00,604.65,"493,750","308,481,119.90","13,285"
06-Apr-2023,EQ,617.4,636.0,614.25,618.9,633.8,634.05,622.29,885.00,604.65,"1,888,842","1,175,410,714.90","19,499"
05-Apr-2023,EQ,636.95,645.95,617.4,634.35,618.75,618.9,629.05,885.00,604.65,"989,754","622,604,857.35","27,556"
03-Apr-2023,EQ,634.95,641.6,624.4,635.0,637.0,634.35,633.36,885.00,604.65,"282,325","178,814,768.35","11,985"
31-Mar-2023,EQ,635.35,636.8,625.0,627.5,632.5,635.0,632.4,885.00,604.65,"318,936","201,693,953.25","13,328"
29-Mar-2023,EQ,608.0,631.9,607.7,608.95,626.0,627.5,623.53,885.00,604.65,"647,762","403,899,252.15","23,312"
28-Mar-2023,EQ,622.5,625.25,604.65,622.05,611.7,608.95,610.84,885.00,604.65,"514,302","314,156,526.10","26,841"
27-Mar-2023,EQ,619.65,631.0,617.7,619.65,623.55,622.05,624.19,885.00,611.5,"440,082","274,694,842.85","14,615"
24-Mar-2023,EQ,627.1,635.2,615.3,632.95,616.5,619.65,626.62,885.00,611.5,"1,408,058","882,316,605.75","42,754"
23-Mar-2023,EQ,647.85,647.85,625.1,646.4,632.0,632.95,634.67,885.00,611.5,"860,438","546,094,444.20","33,965"
22-Mar-2023,EQ,644.9,672.0,635.1,629.7,647.8,646.4,652.88,885.00,611.5,"3,116,755","2,034,870,518.80","109,401"
21-Mar-2023,EQ,617.2,642.5,614.1,615.35,628.4,629.7,627.86,885.00,611.5,"1,767,484","1,109,736,144.10","53,607"
20-Mar-2023,EQ,648.0,659.9,611.5,644.7,617.0,615.35,617.53,885.00,611.5,"865,281","534,337,837.85","20,027"
17-Mar-2023,EQ,647.75,661.35,643.15,646.55,645.95,644.7,649.61,885.00,625.2,"237,203","154,088,700.95","14,908"
