Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,011.00","1,034.90","1,010.00","1,016.55","1,030.05","1,029.30","1,026.60","1,103.00",725.0,"223,902","229,857,227.95","12,124"
23-Jun-2023,EQ,"1,037.00","1,040.00","1,013.50","1,037.65","1,015.40","1,016.55","1,019.76","1,103.00",665.8,"371,563","378,903,801.15","20,914"
22-Jun-2023,EQ,"1,038.00","1,069.00","1,035.00","1,039.25","1,035.00","1,037.65","1,054.62","1,103.00",665.8,"679,027","716,115,176.55","33,186"
21-Jun-2023,EQ,"1,034.70","1,044.00","1,026.25","1,034.50","1,040.45","1,039.25","1,036.07","1,103.00",665.8,"196,494","203,581,520.20","10,599"
20-Jun-2023,EQ,"1,029.10","1,037.55","1,026.00","1,031.05","1,037.50","1,034.50","1,030.45","1,103.00",665.8,"143,724","148,100,792.05","6,832"
19-Jun-2023,EQ,"1,045.20","1,051.05","1,023.40","1,045.20","1,031.50","1,031.05","1,035.98","1,103.00",665.8,"231,777","240,116,721.30","13,004"
16-Jun-2023,EQ,"1,041.95","1,049.80","1,036.00","1,040.75","1,041.00","1,045.20","1,043.67","1,103.00",665.8,"147,485","153,926,261.30","8,057"
15-Jun-2023,EQ,"1,053.45","1,056.60","1,038.00","1,047.75","1,042.85","1,040.75","1,045.89","1,103.00",665.8,"200,886","210,105,024.50","10,636"
14-Jun-2023,EQ,"1,032.50","1,050.35","1,029.05","1,027.80","1,050.00","1,047.75","1,043.12","1,103.00",665.8,"335,413","349,876,447.35","18,420"
13-Jun-2023,EQ,"1,026.65","1,034.30","1,021.00","1,020.80","1,028.00","1,027.80","1,027.04","1,103.00",665.8,"222,508","228,524,678.85","11,378"
12-Jun-2023,EQ,"1,032.00","1,032.00","1,015.10","1,025.25","1,020.00","1,020.80","1,022.04","1,103.00",665.8,"164,612","168,239,814.80","9,038"
09-Jun-2023,EQ,"1,032.00","1,037.85","1,020.05","1,029.80","1,022.25","1,025.25","1,029.32","1,103.00",665.8,"107,117","110,257,205.00","10,007"
08-Jun-2023,EQ,"1,036.60","1,042.40","1,024.10","1,030.05","1,031.80","1,029.80","1,035.69","1,103.00",665.8,"246,243","255,031,984.05","14,938"
07-Jun-2023,EQ,"1,033.00","1,035.00","1,026.00","1,027.65","1,035.00","1,030.05","1,030.15","1,103.00",665.8,"122,165","125,848,410.20","5,329"
06-Jun-2023,EQ,"1,030.10","1,033.00","1,020.90","1,028.90","1,030.00","1,027.65","1,025.62","1,103.00",665.8,"157,556","161,592,182.30","8,193"
05-Jun-2023,EQ,"1,040.00","1,046.95","1,025.70","1,037.80","1,026.00","1,028.90","1,032.30","1,103.00",665.8,"239,476","247,212,001.05","10,006"
02-Jun-2023,EQ,"1,069.00","1,076.00","1,030.10","1,069.00","1,038.70","1,037.80","1,043.73","1,103.00",665.8,"568,042","592,883,392.30","23,229"
01-Jun-2023,EQ,"1,057.80","1,079.90","1,055.65","1,057.80","1,071.00","1,069.00","1,069.82","1,103.00",665.8,"602,650","644,727,800.45","40,982"
31-May-2023,EQ,"1,053.80","1,064.65","1,048.80","1,053.85","1,060.00","1,057.80","1,056.69","1,103.00",665.8,"281,106","297,041,512.60","15,700"
30-May-2023,EQ,"1,045.20","1,061.35","1,042.20","1,045.20","1,055.50","1,053.85","1,055.00","1,103.00",665.8,"370,934","391,336,401.35","24,540"
29-May-2023,EQ,"1,044.45","1,053.45","1,039.00","1,035.30","1,045.05","1,045.20","1,045.94","1,103.00",665.8,"158,058","165,319,503.75","9,107"
26-May-2023,EQ,"1,033.45","1,047.20","1,030.10","1,033.05","1,035.40","1,035.30","1,035.88","1,103.00",665.8,"204,505","211,842,117.40","9,735"
25-May-2023,EQ,"1,030.00","1,038.00","1,024.75","1,032.65","1,035.90","1,033.05","1,031.70","1,103.00",665.8,"148,456","153,161,500.40","7,387"
24-May-2023,EQ,"1,021.60","1,039.50","1,021.60","1,029.90","1,030.00","1,032.65","1,033.20","1,103.00",665.8,"223,369","230,785,330.70","13,341"
23-May-2023,EQ,"1,029.10","1,034.60","1,024.10","1,028.50","1,028.95","1,029.90","1,029.69","1,103.00",665.8,"214,061","220,416,787.05","11,514"
22-May-2023,EQ,"1,027.95","1,034.25","1,020.95","1,029.20","1,029.00","1,028.50","1,026.44","1,103.00",665.8,"206,181","211,632,471.65","11,905"
19-May-2023,EQ,"1,047.05","1,047.85","1,025.25","1,041.95","1,027.95","1,029.20","1,033.07","1,103.00",665.8,"283,282","292,649,630.85","13,867"
18-May-2023,EQ,"1,062.90","1,071.50","1,039.05","1,057.45","1,042.05","1,041.95","1,057.67","1,103.00",665.8,"350,910","371,148,411.50","21,703"
17-May-2023,EQ,"1,054.80","1,065.00","1,045.45","1,054.35","1,058.00","1,057.45","1,054.73","1,103.00",665.8,"225,405","237,740,792.60","12,481"
16-May-2023,EQ,"1,053.00","1,074.10","1,050.40","1,053.05","1,054.80","1,054.35","1,063.70","1,103.00",665.8,"425,446","452,548,538.65","19,955"
15-May-2023,EQ,"1,048.65","1,057.00","1,031.65","1,048.35","1,053.00","1,053.05","1,046.65","1,103.00",665.8,"595,994","623,794,666.70","26,593"
12-May-2023,EQ,"1,050.60","1,076.95","1,045.85","1,078.40","1,048.70","1,048.35","1,059.01","1,103.00",665.8,"1,238,264","1,311,337,493.70","35,694"
11-May-2023,EQ,"1,100.00","1,100.00","1,073.90","1,099.45","1,080.95","1,078.40","1,086.45","1,103.00",665.8,"593,770","645,098,800.10","28,032"
10-May-2023,EQ,"1,081.75","1,103.00","1,055.40","1,073.90","1,096.10","1,099.45","1,080.08","1,103.00",665.8,"2,080,139","2,246,706,702.35","66,740"
09-May-2023,EQ,"1,045.00","1,097.70","1,028.95",999.60,"1,073.00","1,073.90","1,074.83","1,097.70",665.8,"6,826,366","7,337,152,125.30","158,975"
08-May-2023,EQ,981.10,"1,002.85",979.00,979.60,"1,001.00",999.60,995.18,"1,035.00",665.8,"250,592","249,385,370.35","11,768"
05-May-2023,EQ,985.05,989.25,976.00,983.95,979.00,979.60,982.09,"1,035.00",665.8,"142,636","140,081,759.65","7,986"
04-May-2023,EQ,"1,006.85","1,006.85",979.00,"1,001.65",985.00,983.95,985.61,"1,035.00",665.8,"471,094","464,315,178.20","18,710"
03-May-2023,EQ,"1,007.35","1,014.85",998.30,"1,003.80","1,003.15","1,001.65","1,006.25","1,035.00",665.8,"227,927","229,352,308.10","13,933"
02-May-2023,EQ,"1,009.75","1,018.00",999.05,"1,008.65","1,003.10","1,003.80","1,008.75","1,035.00",665.8,"260,828","263,111,140.10","11,149"
28-Apr-2023,EQ,"1,008.95","1,015.00","1,000.00","1,006.45","1,007.00","1,008.65","1,007.47","1,035.00",665.8,"333,791","336,282,838.80","16,576"
27-Apr-2023,EQ,"1,013.00","1,020.00","1,002.30","1,013.80","1,005.75","1,006.45","1,011.39","1,035.00",665.8,"362,450","366,577,720.05","16,922"
26-Apr-2023,EQ,"1,015.00","1,018.60","1,001.00","1,010.50","1,013.00","1,013.80","1,011.27","1,035.00",665.8,"276,178","279,289,904.60","13,807"
25-Apr-2023,EQ,"1,017.60","1,022.10","1,006.55","1,017.60","1,014.00","1,010.50","1,014.20","1,035.00",665.8,"344,682","349,575,187.65","14,400"
24-Apr-2023,EQ,"1,003.80","1,021.90",998.85,"1,003.80","1,017.00","1,017.60","1,014.92","1,035.00",665.8,"373,504","379,077,384.05","13,585"
21-Apr-2023,EQ,"1,014.00","1,016.15","1,001.00","1,008.65","1,002.10","1,003.80","1,005.72","1,035.00",665.8,"149,268","150,121,243.80","7,063"
20-Apr-2023,EQ,"1,016.50","1,024.85","1,007.00","1,011.15","1,012.10","1,008.65","1,016.38","1,035.00",665.8,"338,596","344,143,598.30","22,336"
19-Apr-2023,EQ,"1,020.00","1,024.00","1,008.00","1,018.00","1,010.30","1,011.15","1,016.07","1,035.00",665.8,"404,164","410,659,775.60","22,979"
18-Apr-2023,EQ,"1,007.80","1,035.00","1,004.40","1,013.85","1,018.00","1,018.00","1,025.22","1,035.00",665.8,"1,038,085","1,064,268,276.25","36,556"
17-Apr-2023,EQ,982.00,"1,015.00",982.00,991.15,"1,013.00","1,013.85","1,005.36","1,024.50",665.8,"655,253","658,762,245.85","21,412"
13-Apr-2023,EQ,998.00,"1,004.70",988.85,997.25,991.00,991.15,996.59,"1,024.50",665.8,"390,121","388,790,486.55","20,034"
12-Apr-2023,EQ,997.30,"1,015.80",990.60,991.65,998.75,997.25,"1,002.91","1,024.50",665.8,"889,973","892,559,778.45","23,996"
11-Apr-2023,EQ,995.00,"1,002.90",984.65,992.30,992.90,991.65,994.61,"1,024.50",665.8,"659,780","656,226,504.70","19,341"
10-Apr-2023,EQ,"1,000.45","1,024.50",973.15,983.10,991.85,992.30,"1,001.85","1,024.50",665.8,"1,561,798","1,564,693,055.45","55,182"
06-Apr-2023,EQ,968.00,986.00,954.50,957.60,980.35,983.10,973.06,"1,006.65",665.8,"892,334","868,290,750.50","27,344"
05-Apr-2023,EQ,929.15,960.50,920.15,920.95,955.00,957.60,944.64,"1,006.65",665.8,"1,387,525","1,310,717,881.80","50,901"
03-Apr-2023,EQ,995.80,995.80,909.00,983.45,921.85,920.95,926.07,"1,006.65",665.8,"2,190,452","2,028,521,153.10","60,029"
31-Mar-2023,EQ,991.95,991.95,974.55,984.80,986.85,983.45,982.99,"1,006.65",665.8,"422,523","415,336,705.40","17,140"
29-Mar-2023,EQ,981.05,990.55,976.65,979.90,985.50,984.80,982.93,"1,006.65",665.8,"340,000","334,196,049.40","15,017"
28-Mar-2023,EQ,964.00,981.80,959.50,956.35,979.00,979.90,968.98,"1,006.65",665.8,"679,477","658,401,356.30","24,385"
27-Mar-2023,EQ,955.20,964.10,945.40,960.35,954.55,956.35,955.13,"1,006.65",665.8,"312,851","298,814,718.55","15,090"
24-Mar-2023,EQ,975.00,979.70,957.30,973.45,957.30,960.35,968.39,"1,006.65",665.8,"312,601","302,718,328.20","16,532"
23-Mar-2023,EQ,975.00,987.85,970.80,979.40,973.00,973.45,980.65,"1,006.65",665.8,"309,006","303,026,194.05","13,666"
22-Mar-2023,EQ,982.00,988.95,975.55,987.35,980.00,979.40,981.70,"1,006.65",665.8,"282,340","277,172,340.95","13,597"
21-Mar-2023,EQ,981.00,999.45,979.95,970.00,984.10,987.35,989.43,"1,006.65",665.8,"794,142","785,744,829.60","32,690"
20-Mar-2023,EQ,978.05,988.70,963.65,984.40,973.05,970.00,972.61,"1,006.65",665.8,"353,969","344,274,224.15","19,856"
17-Mar-2023,EQ,989.15,997.75,977.85,987.10,982.70,984.40,983.40,"1,006.65",665.8,"294,567","289,676,076.55","17,280"
16-Mar-2023,EQ,966.50,992.00,966.50,974.30,988.50,987.10,981.88,"1,006.65",665.8,"484,625","475,845,017.90","24,871"
15-Mar-2023,EQ,981.00,986.90,966.05,981.60,973.10,974.30,977.37,"1,006.65",665.8,"608,864","595,084,851.15","27,724"
14-Mar-2023,EQ,992.75,"1,002.20",979.15,990.35,980.00,981.60,990.77,"1,006.65",665.8,"761,322","754,296,479.10","28,959"
13-Mar-2023,EQ,986.35,"1,006.65",984.30,986.35,993.45,990.35,994.51,"1,006.65",665.8,"1,303,984","1,296,828,917.50","50,118"
10-Mar-2023,EQ,989.95,996.00,977.00,997.00,989.25,986.35,985.28,"1,006.25",665.8,"669,134","659,284,931.40","22,754"
09-Mar-2023,EQ,986.00,"1,006.25",984.15,987.30,996.00,997.00,998.18,"1,006.25",665.8,"1,106,501","1,104,482,414.60","39,760"
08-Mar-2023,EQ,987.40,995.50,976.20,985.95,986.00,987.30,987.56,995.50,665.8,"1,515,835","1,496,980,458.10","49,119"
06-Mar-2023,EQ,920.00,989.50,917.25,906.90,987.40,985.95,969.40,989.50,665.8,"4,955,639","4,804,000,616.90","128,566"
03-Mar-2023,EQ,908.60,917.00,899.15,898.95,908.90,906.90,910.10,931.70,665.8,"597,836","544,090,740.65","19,168"
02-Mar-2023,EQ,904.00,908.45,896.15,903.95,900.10,898.95,902.90,931.70,665.8,"236,381","213,427,609.60","13,062"
01-Mar-2023,EQ,900.00,905.00,891.05,895.85,904.90,903.95,899.28,931.70,665.8,"244,561","219,929,254.60","15,240"
