Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,83.1,85.2,82.95,83.1,84.95,84.85,84.15,137.5,61.8,"13,763,184","1,158,240,460.35","46,466"
23-Jun-2023,EQ,84.6,84.7,81.35,84.75,83.0,83.1,83.2,137.5,61.8,"16,432,043","1,367,108,801.55","50,476"
22-Jun-2023,EQ,86.45,88.25,84.45,85.85,85.05,84.75,86.26,137.5,61.8,"27,300,806","2,355,087,614.25","64,799"
21-Jun-2023,EQ,82.6,86.2,82.45,82.2,85.9,85.85,84.97,137.5,61.8,"25,851,445","2,196,724,155.45","70,554"
20-Jun-2023,EQ,81.75,82.8,81.0,81.2,82.45,82.2,82.0,137.5,61.8,"12,395,503","1,016,440,381.40","38,634"
19-Jun-2023,EQ,83.25,83.3,81.0,82.55,81.4,81.2,81.98,137.5,61.8,"11,276,874","924,495,515.10","31,362"
16-Jun-2023,EQ,83.15,83.45,81.9,82.15,82.6,82.55,82.76,137.5,61.8,"16,614,549","1,374,972,651.40","49,085"
15-Jun-2023,EQ,83.05,83.5,81.5,83.05,82.05,82.15,82.39,137.5,61.8,"9,930,973","818,228,321.65","30,402"
14-Jun-2023,EQ,84.85,84.9,82.7,84.6,83.0,83.05,83.59,137.5,61.8,"6,592,942","551,102,973.15","27,874"
13-Jun-2023,EQ,84.35,84.9,83.3,83.75,84.4,84.6,84.29,137.5,61.8,"10,078,023","849,466,943.40","31,247"
12-Jun-2023,EQ,82.45,84.4,81.85,81.75,83.85,83.75,83.33,137.5,61.8,"19,503,744","1,625,176,520.55","53,502"
09-Jun-2023,EQ,81.25,82.2,80.6,80.95,81.6,81.75,81.63,137.5,61.8,"12,251,758","1,000,148,814.30","40,321"
08-Jun-2023,EQ,80.95,82.25,80.35,80.5,81.0,80.95,81.36,137.5,61.8,"12,984,898","1,056,498,317.00","38,882"
07-Jun-2023,EQ,80.7,80.95,79.95,80.4,80.85,80.5,80.36,137.5,61.8,"6,681,524","536,899,574.60","27,300"
06-Jun-2023,EQ,80.8,81.6,80.05,80.95,80.6,80.4,80.49,137.5,61.8,"9,823,715","790,718,407.45","30,313"
05-Jun-2023,EQ,81.0,81.45,80.4,80.35,80.9,80.95,80.99,137.5,61.8,"7,355,413","595,730,034.90","25,171"
02-Jun-2023,EQ,79.5,80.5,79.05,78.9,80.25,80.35,79.86,137.5,61.8,"5,950,021","475,155,116.95","34,780"
01-Jun-2023,EQ,79.0,79.95,78.65,79.05,79.1,78.9,79.33,137.5,61.8,"6,139,201","487,013,778.20","23,102"
31-May-2023,EQ,79.55,79.75,78.35,79.5,79.0,79.05,79.1,137.5,61.8,"28,132,124","2,225,141,794.25","46,032"
30-May-2023,EQ,80.55,81.15,79.25,80.55,79.5,79.5,80.03,137.5,61.8,"6,589,846","527,386,044.65","35,779"
29-May-2023,EQ,82.0,82.0,79.8,80.75,80.5,80.55,80.59,137.5,61.8,"12,544,090","1,010,897,768.50","52,439"
26-May-2023,EQ,82.2,82.4,80.0,81.7,80.85,80.75,81.3,137.5,61.8,"23,931,374","1,945,598,753.85","77,743"
25-May-2023,EQ,81.5,81.9,80.55,81.55,81.9,81.7,81.13,137.5,61.8,"9,995,384","810,879,474.20","35,865"
24-May-2023,EQ,81.2,82.4,80.6,81.45,81.5,81.55,81.71,137.5,61.8,"8,232,379","672,677,600.25","41,419"
23-May-2023,EQ,80.55,82.6,80.35,79.9,81.35,81.45,81.46,137.5,61.8,"18,020,145","1,467,993,661.75","48,122"
22-May-2023,EQ,80.6,81.2,79.25,80.15,80.1,79.9,80.01,137.5,61.8,"15,634,496","1,250,871,367.50","45,371"
19-May-2023,EQ,78.95,81.3,77.3,78.65,80.2,80.15,79.9,137.5,61.8,"19,457,711","1,554,600,160.00","62,177"
18-May-2023,EQ,78.35,79.9,78.2,78.05,78.4,78.65,79.19,137.5,61.8,"15,126,952","1,197,916,868.45","71,333"
17-May-2023,EQ,78.6,78.75,76.85,78.4,78.1,78.05,77.94,137.5,61.8,"7,161,967","558,233,689.20","45,014"
16-May-2023,EQ,78.85,79.65,77.9,78.65,78.5,78.4,78.57,137.5,61.8,"6,435,926","505,648,951.70","37,124"
15-May-2023,EQ,78.55,79.2,78.2,78.35,78.5,78.65,78.76,137.5,61.8,"5,382,985","423,938,447.50","32,956"
12-May-2023,EQ,78.0,79.2,77.6,77.85,78.4,78.35,78.46,137.5,61.8,"17,075,506","1,339,815,708.25","47,369"
11-May-2023,EQ,78.7,79.3,77.6,78.3,78.1,77.85,78.37,137.5,61.8,"12,426,479","973,840,249.50","37,660"
10-May-2023,EQ,76.2,78.5,76.1,75.9,78.45,78.3,77.56,137.5,61.8,"12,362,263","958,775,187.55","48,302"
09-May-2023,EQ,76.35,77.1,75.4,76.05,76.0,75.9,76.05,137.5,61.8,"8,182,575","622,251,496.85","27,143"
08-May-2023,EQ,75.35,76.55,75.3,75.3,76.05,76.05,75.94,137.5,61.8,"11,044,478","838,754,111.10","30,821"
05-May-2023,EQ,75.2,76.1,74.95,75.55,75.3,75.3,75.39,137.5,61.8,"10,839,083","817,144,599.85","20,722"
04-May-2023,EQ,74.75,75.75,74.6,74.75,75.4,75.55,75.43,137.5,61.8,"7,222,207","544,798,977.70","20,144"
03-May-2023,EQ,74.95,75.45,74.5,75.15,74.5,74.75,74.91,137.5,61.8,"6,763,160","506,634,312.25","38,202"
02-May-2023,EQ,74.0,75.75,73.5,73.4,75.0,75.15,74.62,137.5,61.8,"11,628,010","867,709,143.05","41,609"
28-Apr-2023,EQ,72.6,73.85,72.5,72.5,73.55,73.4,72.98,141.8,61.8,"8,395,893","612,767,944.70","28,981"
27-Apr-2023,EQ,72.1,72.75,71.5,71.85,72.4,72.5,72.34,141.8,61.8,"7,390,680","534,617,824.70","26,521"
26-Apr-2023,EQ,71.15,72.5,70.85,71.15,71.75,71.85,71.87,141.8,61.8,"15,261,991","1,096,954,593.90","48,314"
25-Apr-2023,EQ,71.0,71.5,70.5,70.85,71.1,71.15,71.03,141.8,61.8,"7,433,438","527,972,421.90","24,918"
24-Apr-2023,EQ,70.2,71.1,69.3,70.05,70.8,70.85,70.65,141.8,61.8,"11,211,467","792,104,285.90","26,814"
21-Apr-2023,EQ,70.5,70.5,69.4,70.0,70.0,70.05,69.97,142.0,61.8,"6,452,890","451,494,380.95","22,416"
20-Apr-2023,EQ,69.2,70.1,68.7,69.0,70.05,70.0,69.53,142.0,61.8,"6,158,301","428,179,539.65","28,116"
19-Apr-2023,EQ,68.7,69.55,68.1,68.7,68.95,69.0,68.91,142.0,61.8,"10,130,763","698,084,519.60","26,253"
18-Apr-2023,EQ,69.25,69.3,68.3,68.85,68.75,68.7,68.91,142.0,61.8,"9,276,925","639,308,413.40","23,791"
17-Apr-2023,EQ,68.2,69.0,67.4,68.3,68.7,68.85,68.27,142.0,61.8,"6,377,103","435,365,103.15","30,967"
13-Apr-2023,EQ,69.15,69.65,67.8,68.85,68.3,68.3,68.41,145.2,61.8,"5,819,182","398,118,261.80","23,955"
12-Apr-2023,EQ,68.85,69.9,68.3,68.35,69.2,68.85,69.0,145.2,61.8,"13,177,548","909,239,287.20","54,768"
11-Apr-2023,EQ,68.0,68.7,67.7,67.95,68.35,68.35,68.27,145.2,61.8,"6,762,461","461,655,387.15","33,783"
10-Apr-2023,EQ,68.15,68.5,67.1,67.9,67.8,67.95,67.89,145.2,61.8,"6,732,819","457,107,770.60","23,333"
06-Apr-2023,EQ,67.5,68.1,67.0,67.55,67.95,67.9,67.57,146.3,61.8,"4,744,160","320,560,508.85","23,180"
05-Apr-2023,EQ,67.6,67.95,66.85,67.6,67.5,67.55,67.38,146.3,61.8,"5,704,724","384,376,485.95","27,357"
03-Apr-2023,EQ,67.85,67.95,67.05,67.1,67.7,67.6,67.54,146.3,61.8,"7,588,956","512,591,595.80","25,776"
31-Mar-2023,EQ,65.4,67.2,64.8,64.55,67.15,67.1,66.35,146.3,61.8,"14,838,386","984,557,506.40","71,012"
29-Mar-2023,EQ,62.9,65.0,62.65,62.9,64.9,64.55,63.95,146.3,61.8,"20,179,302","1,290,458,208.50","59,843"
28-Mar-2023,EQ,64.3,64.45,61.8,64.15,63.0,62.9,62.84,146.3,61.8,"22,322,565","1,402,714,462.20","57,265"
27-Mar-2023,EQ,64.75,64.9,63.5,64.75,64.1,64.15,64.06,146.3,61.8,"17,436,590","1,117,011,890.95","54,118"
24-Mar-2023,EQ,65.25,66.25,64.2,65.25,64.45,64.75,65.18,146.3,61.8,"13,629,859","888,404,385.15","47,103"
23-Mar-2023,EQ,65.45,65.45,64.55,65.45,65.25,65.25,65.1,146.3,61.8,"14,264,635","928,637,323.30","40,163"
22-Mar-2023,EQ,65.95,66.4,65.15,65.55,65.55,65.45,65.77,146.3,61.8,"21,375,536","1,405,844,748.95","52,820"
21-Mar-2023,EQ,66.1,66.3,64.55,65.55,65.6,65.55,65.52,146.3,61.8,"22,470,820","1,472,188,278.65","60,863"
20-Mar-2023,EQ,66.55,67.55,65.15,67.8,65.8,65.55,65.68,146.3,61.8,"33,795,149","2,219,528,429.85","118,815"
17-Mar-2023,EQ,69.4,69.8,66.4,68.5,67.7,67.8,67.83,146.3,61.8,"28,490,207","1,932,368,343.80","86,075"
16-Mar-2023,EQ,71.3,71.3,66.05,76.8,68.7,68.5,69.69,146.3,61.8,"419,907,533","29,261,578,311.50","223,321"
15-Mar-2023,EQ,79.3,79.9,76.0,78.8,76.25,76.8,77.93,146.3,61.8,"5,222,466","406,995,084.30","26,244"
14-Mar-2023,EQ,79.9,80.2,78.2,79.8,78.5,78.8,78.95,146.3,61.8,"7,380,098","582,646,376.70","33,352"
13-Mar-2023,EQ,82.1,82.7,79.3,83.05,79.95,79.8,80.79,146.3,61.8,"7,729,390","624,464,886.40","33,408"
10-Mar-2023,EQ,82.05,83.25,81.35,82.7,82.9,83.05,82.47,146.3,61.8,"5,168,084","426,226,002.65","24,924"
09-Mar-2023,EQ,83.7,83.9,81.9,83.55,82.5,82.7,82.86,146.3,61.8,"6,260,055","518,688,087.55","20,381"
08-Mar-2023,EQ,82.65,83.75,82.2,83.2,83.5,83.55,83.17,146.3,61.8,"6,716,971","558,657,286.25","41,395"
06-Mar-2023,EQ,82.0,83.85,82.0,80.05,83.4,83.2,83.12,146.3,61.8,"18,064,703","1,501,534,630.25","78,964"
03-Mar-2023,EQ,81.55,81.6,79.65,80.75,79.95,80.05,80.24,151.5,61.8,"8,732,564","700,723,688.30","36,683"
02-Mar-2023,EQ,81.0,81.4,80.5,81.4,80.75,80.75,80.88,151.5,61.8,"4,408,437","356,566,470.95","34,115"
01-Mar-2023,EQ,80.0,81.6,79.8,79.65,81.1,81.4,80.67,151.5,61.8,"7,849,215","633,160,935.95","34,141"
28-Feb-2023,EQ,78.8,81.4,78.8,78.45,79.95,79.65,80.24,151.5,61.8,"12,273,404","984,819,797.90","37,024"
27-Feb-2023,EQ,82.7,82.7,77.7,82.45,78.75,78.45,79.02,151.5,61.8,"10,272,737","811,734,470.95","43,547"
24-Feb-2023,EQ,82.5,83.0,81.65,82.35,82.35,82.45,82.31,159.5,61.8,"5,672,880","466,921,850.95","33,794"
23-Feb-2023,EQ,82.1,82.7,81.05,82.05,81.95,82.35,81.82,159.5,61.8,"9,685,134","792,391,634.75","38,130"
22-Feb-2023,EQ,81.5,82.45,81.3,82.15,82.1,82.05,81.83,159.5,61.8,"12,944,556","1,059,265,802.45","55,118"
21-Feb-2023,EQ,82.45,82.5,81.3,81.95,81.95,82.15,82.06,159.5,61.8,"8,302,329","681,293,074.65","35,097"
20-Feb-2023,EQ,82.0,84.25,81.3,79.7,81.85,81.95,82.41,159.5,61.8,"30,986,719","2,553,768,367.80","78,801"
17-Feb-2023,EQ,80.3,80.55,79.05,80.15,79.65,79.7,79.76,174.75,61.8,"5,039,699","401,983,561.80","31,937"
16-Feb-2023,EQ,80.4,80.8,79.95,80.1,80.4,80.15,80.26,174.75,61.8,"7,403,591","594,176,872.35","33,262"
15-Feb-2023,EQ,80.3,80.95,79.6,80.0,80.2,80.1,80.11,174.75,61.8,"5,549,411","444,560,907.45","31,535"
14-Feb-2023,EQ,79.9,81.0,78.75,79.55,80.0,80.0,80.33,174.75,61.8,"8,903,629","715,219,263.75","31,582"
13-Feb-2023,EQ,80.45,80.8,79.1,80.2,79.45,79.55,79.89,174.75,61.8,"8,494,353","678,635,936.60","50,015"
10-Feb-2023,EQ,79.45,81.15,79.1,79.3,80.25,80.2,80.24,184.25,61.8,"13,721,987","1,101,033,877.85","66,468"
09-Feb-2023,EQ,81.95,81.95,78.4,80.75,79.5,79.3,79.83,184.25,61.8,"25,243,262","2,015,164,264.35","80,331"
08-Feb-2023,EQ,80.1,81.45,79.0,80.1,81.35,80.75,80.63,184.25,61.8,"27,927,610","2,251,684,394.65","66,775"
07-Feb-2023,EQ,78.6,80.6,78.4,78.6,79.5,80.1,79.68,184.25,61.8,"26,099,433","2,079,478,118.55","65,585"
06-Feb-2023,EQ,75.9,79.0,75.3,75.9,78.6,78.6,77.71,184.25,61.8,"14,736,020","1,145,106,251.80","41,090"
03-Feb-2023,EQ,75.3,77.0,74.6,74.95,76.0,75.9,75.83,185.0,61.8,"14,447,927","1,095,634,665.60","51,535"
02-Feb-2023,EQ,73.8,75.4,72.7,74.1,75.05,74.95,73.94,185.0,61.8,"14,166,738","1,047,487,201.40","49,336"
01-Feb-2023,EQ,75.9,76.25,72.6,75.5,74.25,74.1,74.87,185.0,61.8,"8,969,452","671,524,728.55","32,948"
31-Jan-2023,EQ,73.5,76.7,73.35,73.1,75.35,75.5,75.5,185.0,61.8,"15,933,228","1,202,961,506.40","46,559"
30-Jan-2023,EQ,71.6,73.4,70.55,71.6,73.3,73.1,72.22,185.0,61.8,"12,691,401","916,523,779.00","53,052"
27-Jan-2023,EQ,72.6,73.3,70.3,72.65,71.55,71.6,71.25,185.95,61.8,"12,933,536","921,463,516.90","47,141"
25-Jan-2023,EQ,73.8,73.9,71.9,73.8,72.7,72.65,72.51,185.95,61.8,"7,170,245","519,911,985.05","30,142"
24-Jan-2023,EQ,73.35,74.25,73.2,73.3,73.5,73.8,73.65,185.95,61.8,"6,719,774","494,907,517.60","19,589"
23-Jan-2023,EQ,73.1,73.65,72.4,73.0,73.2,73.3,73.3,185.95,61.8,"8,051,050","590,149,165.55","26,206"
20-Jan-2023,EQ,74.05,74.3,72.45,74.3,73.0,73.0,72.83,192.75,61.8,"22,276,297","1,622,291,444.35","52,513"
19-Jan-2023,EQ,74.05,74.55,73.35,74.4,74.4,74.3,73.97,192.75,61.8,"7,877,208","582,694,250.05","36,329"
18-Jan-2023,EQ,74.3,74.65,73.8,74.2,74.2,74.4,74.24,192.75,61.8,"6,757,023","501,621,007.20","23,550"
17-Jan-2023,EQ,73.7,77.2,73.25,75.55,74.2,74.2,75.15,192.75,61.8,"37,422,448","2,812,324,219.60","64,005"
16-Jan-2023,EQ,77.3,77.6,75.4,77.25,75.7,75.55,75.94,192.75,61.8,"7,934,425","602,517,254.55","34,634"
13-Jan-2023,EQ,77.95,77.95,73.7,78.15,77.25,77.25,76.0,253.95,61.8,"27,735,387","2,107,761,376.00","70,597"
12-Jan-2023,EQ,77.5,78.3,76.7,77.2,78.05,78.15,77.79,253.95,61.8,"12,356,244","961,211,349.50","42,069"
11-Jan-2023,EQ,79.0,79.25,76.55,78.75,77.05,77.2,77.67,253.95,61.8,"9,319,238","723,798,444.50","31,673"
10-Jan-2023,EQ,77.15,79.45,76.8,76.95,78.55,78.75,78.77,253.95,61.8,"24,457,060","1,926,504,644.65","86,559"
09-Jan-2023,EQ,75.9,77.25,75.8,75.3,76.95,76.95,76.8,253.95,61.8,"10,223,954","785,179,101.15","42,101"
06-Jan-2023,EQ,75.45,75.9,74.3,75.5,75.65,75.3,75.42,253.95,61.8,"5,384,253","406,104,803.25","25,964"
05-Jan-2023,EQ,74.95,75.65,74.0,74.8,75.5,75.5,75.07,253.95,61.8,"4,882,904","366,545,565.35","25,716"
04-Jan-2023,EQ,76.2,76.25,74.05,76.05,74.6,74.8,74.93,253.95,61.8,"5,807,168","435,110,737.25","25,588"
03-Jan-2023,EQ,75.7,76.35,75.25,75.7,76.05,76.05,75.99,253.95,61.8,"7,239,821","550,120,765.70","39,361"
02-Jan-2023,EQ,74.3,76.1,74.15,74.15,75.7,75.7,75.66,253.95,61.8,"10,896,070","824,404,568.25","45,465"
30-Dec-2022,EQ,74.9,75.05,73.95,74.45,74.25,74.15,74.46,253.95,61.8,"10,695,284","796,333,617.00","28,263"
29-Dec-2022,EQ,73.5,74.85,72.6,74.35,74.5,74.45,73.92,253.95,61.8,"12,008,802","887,646,330.60","47,476"
28-Dec-2022,EQ,73.4,74.85,72.4,73.45,74.35,74.35,74.39,253.95,61.8,"17,632,917","1,311,665,586.50","37,362"
27-Dec-2022,EQ,71.85,73.6,71.7,71.7,73.3,73.45,72.98,253.95,61.8,"19,155,264","1,398,021,133.95","45,569"
26-Dec-2022,EQ,66.9,71.95,66.3,66.9,71.65,71.7,70.56,253.95,61.8,"16,444,479","1,160,395,656.70","44,535"
23-Dec-2022,EQ,68.3,68.5,66.1,69.0,67.3,66.9,66.96,253.95,61.8,"25,284,532","1,693,040,123.60","58,173"
22-Dec-2022,EQ,70.6,71.2,68.6,70.2,68.9,69.0,69.25,253.95,61.8,"26,903,798","1,863,121,604.95","33,930"
21-Dec-2022,EQ,70.15,71.55,69.7,69.5,70.15,70.2,70.57,253.95,61.8,"25,241,342","1,781,317,835.50","44,928"
20-Dec-2022,EQ,70.5,70.65,68.65,70.55,69.4,69.5,69.39,253.95,61.8,"14,804,500","1,027,221,477.10","44,849"
19-Dec-2022,EQ,70.65,70.8,69.5,70.55,70.45,70.55,70.25,253.95,61.8,"15,771,290","1,107,995,819.10","41,059"
16-Dec-2022,EQ,71.4,71.7,70.05,71.55,70.5,70.55,70.65,253.95,61.8,"12,589,177","889,456,016.35","38,947"
15-Dec-2022,EQ,72.65,72.95,71.25,72.25,71.55,71.55,71.87,253.95,61.8,"9,060,878","651,188,660.70","42,618"
14-Dec-2022,EQ,72.05,73.0,71.85,72.0,72.35,72.25,72.32,253.95,61.8,"22,127,453","1,600,319,795.65","47,983"
13-Dec-2022,EQ,73.1,73.35,71.9,72.75,72.0,72.0,72.24,253.95,61.8,"9,536,285","688,863,041.65","42,215"
12-Dec-2022,EQ,73.1,73.6,71.55,73.1,72.4,72.75,72.75,253.95,61.8,"11,645,949","847,297,018.00","53,534"
09-Dec-2022,EQ,74.05,74.45,72.15,73.65,73.15,73.1,73.11,253.95,61.8,"15,136,209","1,106,573,740.20","68,346"
08-Dec-2022,EQ,73.25,74.35,72.65,73.0,73.8,73.65,73.6,253.95,61.8,"13,421,532","987,852,292.70","49,318"
07-Dec-2022,EQ,74.0,74.25,72.85,73.55,73.0,73.0,73.11,253.95,61.8,"15,597,640","1,140,364,613.20","41,058"
06-Dec-2022,EQ,75.45,75.6,73.2,75.45,73.7,73.55,73.98,253.95,61.8,"14,300,075","1,057,918,711.45","58,059"
05-Dec-2022,EQ,74.2,76.3,73.7,74.0,75.5,75.45,75.3,253.95,61.8,"17,391,816","1,309,573,936.85","46,713"
02-Dec-2022,EQ,74.0,74.85,73.0,74.0,74.1,74.0,74.0,253.95,61.8,"12,606,481","932,911,578.60","29,908"
01-Dec-2022,EQ,75.0,75.25,73.65,74.75,74.0,74.0,74.14,253.95,61.8,"9,782,144","725,275,546.90","34,474"
30-Nov-2022,EQ,73.3,75.1,73.0,73.3,74.65,74.75,74.29,253.95,61.8,"11,250,272","835,801,419.00","33,626"
29-Nov-2022,EQ,73.1,74.45,72.9,73.1,73.2,73.3,73.79,253.95,61.8,"9,387,783","692,763,534.00","35,409"
28-Nov-2022,EQ,73.7,74.1,72.85,73.4,73.05,73.1,73.38,253.95,61.8,"5,777,705","423,967,768.80","22,001"
25-Nov-2022,EQ,71.95,73.8,71.65,71.65,73.4,73.4,73.04,253.95,61.8,"6,579,002","480,498,919.70","20,533"
24-Nov-2022,EQ,71.5,72.1,70.75,71.45,72.0,71.65,71.38,253.95,61.8,"8,046,460","574,386,905.00","27,691"
23-Nov-2022,EQ,71.8,72.1,71.25,71.45,71.5,71.45,71.51,253.95,61.8,"3,389,898","242,413,473.15","17,348"
22-Nov-2022,EQ,72.0,72.1,71.0,71.5,71.55,71.45,71.42,253.95,61.8,"4,942,824","353,002,160.50","26,212"
21-Nov-2022,EQ,72.1,72.6,70.9,72.2,72.0,71.5,71.68,253.95,61.8,"6,324,086","453,298,520.90","27,980"
18-Nov-2022,EQ,73.5,73.8,71.55,73.3,72.2,72.2,72.4,254.8,61.8,"8,645,314","625,937,889.25","36,737"
17-Nov-2022,EQ,71.8,73.55,71.4,72.15,73.0,73.3,72.81,254.8,61.8,"10,386,117","756,243,349.45","33,323"
16-Nov-2022,EQ,74.0,74.1,71.45,74.0,72.2,72.15,72.47,254.8,61.8,"11,535,745","835,970,804.10","47,190"
15-Nov-2022,EQ,73.25,74.2,72.4,72.9,73.9,74.0,73.64,254.8,61.8,"9,249,463","681,151,303.70","32,936"
14-Nov-2022,EQ,71.4,73.55,70.8,71.05,72.85,72.9,72.36,254.8,61.8,"23,708,274","1,715,510,951.40","55,643"
11-Nov-2022,EQ,74.25,74.55,69.4,70.45,71.0,71.05,71.25,254.8,61.8,"42,473,474","3,026,341,424.90","97,496"
10-Nov-2022,EQ,68.5,71.75,67.7,68.3,71.15,70.45,69.48,254.8,61.8,"33,577,029","2,332,851,167.20","80,938"
09-Nov-2022,EQ,66.95,69.05,66.85,66.55,68.3,68.3,68.36,254.8,61.8,"14,802,160","1,011,899,184.85","52,463"
07-Nov-2022,EQ,65.7,67.6,65.4,65.05,66.75,66.55,66.59,254.8,61.8,"17,066,971","1,136,565,703.50","55,367"
04-Nov-2022,EQ,64.65,65.25,64.45,64.55,65.1,65.05,64.86,254.8,61.8,"10,365,748","672,356,421.75","28,183"
03-Nov-2022,EQ,64.35,64.95,64.1,64.65,64.65,64.55,64.55,254.8,61.8,"5,907,798","381,359,398.85","28,821"
02-Nov-2022,EQ,65.3,65.6,64.4,65.15,64.6,64.65,64.75,254.8,61.8,"5,024,386","325,346,727.40","27,537"
01-Nov-2022,EQ,64.85,66.7,64.5,64.5,65.15,65.15,65.51,254.8,61.8,"12,470,523","816,911,585.10","40,671"
31-Oct-2022,EQ,65.5,65.5,63.8,64.15,64.65,64.5,64.21,254.8,61.8,"12,983,527","833,647,350.70","32,667"
28-Oct-2022,EQ,64.0,64.4,63.25,63.75,64.2,64.15,63.94,254.8,61.8,"9,996,015","639,186,951.35","36,578"
27-Oct-2022,EQ,62.45,64.0,62.25,62.1,63.85,63.75,63.3,254.8,61.8,"17,732,344","1,122,417,308.00","53,364"
25-Oct-2022,EQ,63.0,63.05,61.8,62.8,62.0,62.1,62.28,254.8,61.8,"26,134,447","1,627,727,362.75","52,399"
24-Oct-2022,EQ,62.9,63.2,62.2,62.1,62.9,62.8,62.86,254.8,61.9,"2,362,128","148,475,484.25","21,237"
21-Oct-2022,EQ,63.8,63.85,61.9,63.5,62.15,62.1,62.58,254.8,61.9,"17,745,584","1,110,603,686.30","83,028"
20-Oct-2022,EQ,63.5,64.5,61.95,63.5,63.5,63.5,63.33,254.8,61.95,"16,207,220","1,026,482,072.50","69,628"
19-Oct-2022,EQ,64.5,64.8,63.25,63.9,63.5,63.5,63.92,254.8,63.25,"20,643,720","1,319,549,764.60","71,934"
18-Oct-2022,EQ,65.5,65.85,63.3,69.2,64.1,63.9,64.71,254.8,63.3,"105,159,669","6,804,487,381.80","158,107"
17-Oct-2022,EQ,69.45,69.65,68.6,69.4,69.0,69.2,69.22,254.8,68.6,"4,650,175","321,894,107.25","27,970"
