Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,828.00","1,839.05","1,807.60","1,831.05","1,812.70","1,814.00","1,821.80","2,444.90","1,660.05","1,020,207","1,858,616,146.20","36,431"
23-Jun-2023,EQ,"1,854.80","1,857.00","1,826.30","1,855.05","1,834.35","1,831.05","1,836.52","2,444.90","1,660.05","347,429","638,058,867.90","32,632"
22-Jun-2023,EQ,"1,865.65","1,869.95","1,850.10","1,876.75","1,858.00","1,855.05","1,856.56","2,444.90","1,660.05","517,032","959,901,122.80","38,045"
21-Jun-2023,EQ,"1,880.00","1,888.90","1,870.00","1,884.50","1,878.00","1,876.75","1,880.59","2,444.90","1,660.05","249,164","468,574,702.20","17,522"
20-Jun-2023,EQ,"1,873.05","1,889.00","1,854.30","1,873.05","1,886.00","1,884.50","1,878.42","2,444.90","1,660.05","589,667","1,107,640,871.70","27,856"
19-Jun-2023,EQ,"1,867.00","1,879.00","1,854.15","1,860.05","1,874.00","1,873.05","1,866.15","2,444.90","1,660.05","263,493","491,718,105.85","16,642"
16-Jun-2023,EQ,"1,855.00","1,892.00","1,852.10","1,875.10","1,865.70","1,860.05","1,868.74","2,444.90","1,660.05","666,741","1,245,968,230.30","35,026"
15-Jun-2023,EQ,"1,880.00","1,893.55","1,869.15","1,877.25","1,875.00","1,875.10","1,879.91","2,444.90","1,660.05","259,571","487,969,781.25","24,030"
14-Jun-2023,EQ,"1,890.00","1,898.15","1,872.75","1,898.25","1,881.00","1,877.25","1,880.97","2,444.90","1,660.05","219,687","413,224,545.90","18,718"
13-Jun-2023,EQ,"1,899.90","1,914.00","1,891.00","1,889.95","1,898.00","1,898.25","1,904.13","2,444.90","1,660.05","215,275","409,911,345.00","16,051"
12-Jun-2023,EQ,"1,856.95","1,893.00","1,850.00","1,853.25","1,892.00","1,889.95","1,880.74","2,444.90","1,660.05","325,236","611,684,720.60","20,766"
09-Jun-2023,EQ,"1,870.00","1,874.85","1,843.00","1,863.85","1,847.00","1,853.25","1,855.18","2,616.85","1,660.05","374,786","695,296,533.30","21,462"
08-Jun-2023,EQ,"1,906.00","1,908.75","1,860.00","1,908.75","1,868.05","1,863.85","1,879.24","2,616.85","1,660.05","589,171","1,107,193,459.50","35,956"
07-Jun-2023,EQ,"1,923.95","1,934.00","1,903.25","1,914.40","1,907.00","1,908.75","1,913.83","2,616.85","1,660.05","489,623","937,053,004.30","23,332"
06-Jun-2023,EQ,"1,947.55","1,947.55","1,895.00","1,987.35","1,918.00","1,914.40","1,917.28","2,616.85","1,660.05","906,257","1,737,545,628.85","46,968"
05-Jun-2023,EQ,"2,025.00","2,040.00","1,977.30","2,017.65","1,981.30","1,987.35","2,002.13","2,616.85","1,660.05","575,415","1,152,053,647.70","33,580"
02-Jun-2023,EQ,"1,997.00","2,032.80","1,978.65","1,977.35","2,025.00","2,017.65","2,005.14","2,700.00","1,660.05","650,822","1,304,992,089.65","36,413"
01-Jun-2023,EQ,"1,955.00","2,023.00","1,955.00","1,946.85","1,971.00","1,977.35","1,998.22","2,700.00","1,660.05","778,642","1,555,899,175.00","48,561"
31-May-2023,EQ,"1,965.20","1,975.00","1,931.35","1,974.90","1,960.00","1,946.85","1,950.79","2,700.00","1,660.05","1,212,827","2,365,975,493.60","46,782"
30-May-2023,EQ,"1,975.50","1,985.20","1,960.80","1,967.85","1,971.00","1,974.90","1,976.67","2,700.00","1,660.05","277,684","548,888,632.15","19,736"
29-May-2023,EQ,"1,982.20","2,000.00","1,960.55","1,974.70","1,975.00","1,967.85","1,980.25","2,700.00","1,660.05","379,011","750,538,116.80","25,343"
26-May-2023,EQ,"1,947.55","1,992.45","1,944.00","1,933.90","1,976.00","1,974.70","1,974.78","2,700.00","1,660.05","576,992","1,139,432,998.60","30,231"
25-May-2023,EQ,"1,957.00","1,957.00","1,916.95","1,947.80","1,936.00","1,933.90","1,933.70","2,700.00","1,660.05","199,824","386,400,082.50","14,472"
24-May-2023,EQ,"1,938.00","1,954.85","1,911.25","1,944.25","1,946.00","1,947.80","1,940.88","2,700.00","1,660.05","314,938","611,257,187.30","20,880"
23-May-2023,EQ,"1,980.00","1,995.00","1,935.00","1,968.80","1,942.00","1,944.25","1,972.55","2,700.00","1,660.05","436,514","861,044,725.40","29,281"
22-May-2023,EQ,"1,914.80","1,974.70","1,907.50","1,906.50","1,972.00","1,968.80","1,940.87","2,700.00","1,660.05","596,977","1,158,652,535.35","34,092"
19-May-2023,EQ,"1,862.20","1,927.75","1,848.55","1,862.20","1,912.00","1,906.50","1,902.24","2,700.00","1,660.05","737,768","1,403,412,332.55","39,307"
18-May-2023,EQ,"1,869.90","1,879.95","1,850.00","1,860.65","1,850.10","1,862.20","1,867.13","2,700.00","1,660.05","244,990","457,429,192.30","12,722"
17-May-2023,EQ,"1,880.15","1,890.00","1,839.60","1,880.15","1,860.80","1,860.65","1,856.55","2,700.00","1,660.05","296,129","549,778,047.30","20,708"
16-May-2023,EQ,"1,874.90","1,899.25","1,861.25","1,865.05","1,876.00","1,880.15","1,885.43","2,700.00","1,660.05","299,566","564,811,919.05","17,533"
15-May-2023,EQ,"1,850.05","1,872.00","1,842.65","1,852.35","1,866.00","1,865.05","1,860.62","2,700.00","1,660.05","208,388","387,729,896.30","21,259"
12-May-2023,EQ,"1,875.20","1,877.95","1,842.50","1,872.20","1,852.00","1,852.35","1,862.29","2,710.30","1,660.05","276,950","515,762,118.80","19,669"
11-May-2023,EQ,"1,884.00","1,889.95","1,863.05","1,865.80","1,870.00","1,872.20","1,875.13","2,710.30","1,660.05","171,687","321,936,187.30","9,619"
10-May-2023,EQ,"1,870.00","1,879.40","1,850.45","1,860.20","1,865.00","1,865.80","1,865.96","2,710.30","1,660.05","589,666","1,100,291,369.85","25,149"
09-May-2023,EQ,"1,851.00","1,874.95","1,837.15","1,850.80","1,859.40","1,860.20","1,859.97","2,710.30","1,660.05","414,152","770,308,907.50","19,819"
08-May-2023,EQ,"1,839.00","1,860.00","1,829.30","1,820.00","1,850.05","1,850.80","1,848.37","2,710.30","1,660.05","359,581","664,640,019.45","24,413"
05-May-2023,EQ,"1,845.00","1,852.00","1,812.50","1,844.90","1,826.50","1,820.00","1,824.93","2,823.00","1,660.05","203,833","371,980,691.70","15,046"
04-May-2023,EQ,"1,857.00","1,862.10","1,838.05","1,852.40","1,840.10","1,844.90","1,848.53","2,823.00","1,660.05","209,106","386,538,442.65","10,161"
03-May-2023,EQ,"1,824.00","1,858.50","1,806.60","1,861.05","1,858.00","1,852.40","1,842.72","2,823.00","1,660.05","414,566","763,928,681.80","24,426"
02-May-2023,EQ,"1,823.95","1,879.00","1,821.00","1,814.45","1,858.90","1,861.05","1,858.78","2,823.00","1,660.05","799,693","1,486,454,954.15","36,253"
28-Apr-2023,EQ,"1,751.00","1,843.70","1,751.00","1,784.05","1,818.95","1,814.45","1,810.54","2,885.00","1,660.05","1,043,873","1,889,978,744.30","51,816"
27-Apr-2023,EQ,"1,751.75","1,806.65","1,751.75","1,760.00","1,778.00","1,784.05","1,780.05","2,885.00","1,660.05","504,125","897,365,290.45","26,128"
26-Apr-2023,EQ,"1,755.75","1,769.50","1,743.80","1,759.80","1,760.00","1,760.00","1,759.13","2,885.00","1,660.05","463,884","816,033,936.45","21,863"
25-Apr-2023,EQ,"1,760.00","1,773.90","1,734.85","1,760.30","1,760.10","1,759.80","1,757.32","2,885.00","1,660.05","513,355","902,126,941.25","26,695"
24-Apr-2023,EQ,"1,765.00","1,768.95","1,734.10","1,759.95","1,764.50","1,760.30","1,753.24","2,885.00","1,660.05","482,497","845,933,081.90","25,353"
21-Apr-2023,EQ,"1,730.05","1,762.95","1,725.00","1,758.00","1,762.00","1,759.95","1,747.06","3,005.55","1,660.05","410,227","716,691,689.10","24,889"
20-Apr-2023,EQ,"1,785.00","1,799.00","1,754.10","1,784.05","1,761.30","1,758.00","1,772.12","3,005.55","1,660.05","252,068","446,695,807.35","22,274"
19-Apr-2023,EQ,"1,792.00","1,793.20","1,760.00","1,783.80","1,781.05","1,784.05","1,775.94","3,005.55","1,660.05","307,190","545,549,706.85","32,970"
18-Apr-2023,EQ,"1,744.00","1,789.00","1,733.75","1,736.55","1,783.00","1,783.80","1,759.35","3,005.55","1,660.05","390,524","687,068,781.15","33,322"
17-Apr-2023,EQ,"1,749.95","1,749.95","1,660.05","1,771.05","1,740.00","1,736.55","1,698.27","3,005.55","1,660.05","1,218,305","2,069,014,422.90","94,848"
13-Apr-2023,EQ,"1,804.00","1,809.95","1,755.60","1,820.60","1,770.05","1,771.05","1,773.50","3,178.15","1,661.20","598,354","1,061,183,329.35","43,137"
12-Apr-2023,EQ,"1,806.95","1,825.25","1,788.00","1,799.05","1,820.05","1,820.60","1,810.65","3,178.15","1,661.20","268,871","486,831,224.75","21,115"
11-Apr-2023,EQ,"1,818.50","1,847.70","1,790.05","1,811.70","1,799.00","1,799.05","1,813.02","3,178.15","1,661.20","537,815","975,070,109.60","36,533"
10-Apr-2023,EQ,"1,799.95","1,819.00","1,786.45","1,794.10","1,815.05","1,811.70","1,805.51","3,178.15","1,661.20","235,546","425,280,335.00","21,380"
06-Apr-2023,EQ,"1,805.65","1,826.25","1,766.35","1,815.65","1,793.50","1,794.10","1,801.55","3,373.55","1,661.20","248,868","448,348,081.10","17,773"
05-Apr-2023,EQ,"1,801.60","1,827.00","1,787.00","1,797.65","1,819.40","1,815.65","1,807.83","3,373.55","1,661.20","400,995","724,930,069.85","23,779"
03-Apr-2023,EQ,"1,812.00","1,818.00","1,769.55","1,795.75","1,800.55","1,797.65","1,787.99","3,373.55","1,661.20","314,524","562,365,407.25","24,694"
31-Mar-2023,EQ,"1,732.95","1,802.45","1,732.95","1,718.20","1,794.25","1,795.75","1,779.13","3,465.80","1,661.20","748,058","1,330,889,280.95","45,733"
29-Mar-2023,EQ,"1,670.00","1,749.55","1,670.00","1,669.10","1,737.60","1,718.20","1,703.86","3,465.80","1,661.20","3,001,937","5,114,876,268.75","72,514"
28-Mar-2023,EQ,"1,712.60","1,713.95","1,661.20","1,724.75","1,665.00","1,669.10","1,684.86","3,465.80","1,661.20","807,937","1,361,258,843.30","42,320"
27-Mar-2023,EQ,"1,745.10","1,768.55","1,720.10","1,737.40","1,723.00","1,724.75","1,749.37","3,465.80","1,720.10","542,919","949,765,769.85","23,456"
24-Mar-2023,EQ,"1,789.00","1,812.00","1,727.15","1,782.85","1,735.00","1,737.40","1,764.55","3,465.80","1,727.15","450,064","794,161,389.50","22,863"
