Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"99,799.95","100,079.90","99,071.80","99,492.05","99,758.50","99,954.65","99,761.24","100,950.00","70,300.00","3,699","369,016,815.55","2,625"
23-Jun-2023,EQ,"99,977.00","99,977.00","98,880.05","99,868.45","99,301.00","99,492.05","99,461.15","100,950.00","66,491.45","4,670","464,483,571.20","3,398"
22-Jun-2023,EQ,"100,400.00","100,900.00","99,500.00","100,422.20","99,840.00","99,868.45","100,148.45","100,950.00","66,491.45","5,564","557,225,970.15","3,688"
21-Jun-2023,EQ,"99,648.00","100,950.00","99,484.35","99,348.20","100,450.00","100,422.20","100,321.16","100,950.00","66,491.45","10,714","1,074,840,877.70","6,368"
20-Jun-2023,EQ,"100,200.00","100,200.00","98,280.10","99,758.20","99,472.85","99,348.20","99,223.08","100,849.60","66,491.45","8,914","884,474,566.75","5,593"
19-Jun-2023,EQ,"100,000.00","100,651.00","99,557.05","99,892.50","100,030.65","99,758.20","100,019.14","100,849.60","66,491.45","4,964","496,494,986.95","3,072"
16-Jun-2023,EQ,"100,083.00","100,694.95","99,549.50","100,081.00","99,780.00","99,892.50","100,128.75","100,849.60","65,878.35","9,713","972,550,525.25","4,821"
15-Jun-2023,EQ,"100,099.00","100,849.60","99,711.00","100,114.15","100,075.00","100,081.00","100,184.29","100,849.60","65,878.35","8,297","831,229,080.40","5,166"
14-Jun-2023,EQ,"99,993.00","100,400.00","99,400.00","99,992.85","99,800.00","100,114.15","99,990.37","100,439.95","65,878.35","9,786","978,505,714.95","5,405"
13-Jun-2023,EQ,"99,150.20","100,439.95","99,150.20","98,968.55","99,900.00","99,992.85","99,882.58","100,439.95","65,878.35","16,655","1,663,544,302.55","10,092"
12-Jun-2023,EQ,"98,335.10","99,400.00","98,152.75","98,390.95","98,802.10","98,968.55","98,760.61","99,933.50","65,878.35","7,627","753,247,176.30","5,125"
09-Jun-2023,EQ,"97,264.00","98,597.90","97,150.00","97,077.35","98,262.05","98,390.95","98,036.58","99,933.50","65,878.35","8,604","843,506,717.10","5,740"
08-Jun-2023,EQ,"97,610.00","98,599.00","96,900.00","97,553.10","97,150.00","97,077.35","97,757.91","99,933.50","65,878.35","9,411","919,999,734.25","6,245"
07-Jun-2023,EQ,"97,000.00","99,230.50","96,775.15","96,636.25","97,550.00","97,553.10","98,006.46","99,933.50","65,878.35","10,781","1,056,607,645.90","6,669"
06-Jun-2023,EQ,"96,888.00","97,249.50","96,227.65","96,797.45","96,700.00","96,636.25","96,593.54","99,933.50","65,878.35","4,249","410,425,941.10","2,821"
05-Jun-2023,EQ,"96,880.00","97,187.95","96,502.15","96,368.50","96,850.00","96,797.45","96,816.76","99,933.50","65,878.35","3,003","290,740,727.65","2,177"
02-Jun-2023,EQ,"97,567.30","98,100.00","96,067.55","97,567.30","96,304.95","96,368.50","96,834.38","99,933.50","65,878.35","7,514","727,613,547.25","5,382"
01-Jun-2023,EQ,"97,100.00","97,988.95","97,099.00","97,211.70","97,600.00","97,567.30","97,609.56","99,933.50","65,878.35","3,795","370,428,295.90","2,734"
31-May-2023,EQ,"96,906.40","98,650.75","96,650.10","97,096.40","97,137.35","97,211.70","97,441.27","99,933.50","65,878.35","13,323","1,298,210,040.70","6,826"
30-May-2023,EQ,"97,782.20","97,935.00","96,900.00","97,782.20","96,970.00","97,096.40","97,393.13","99,933.50","65,878.35","4,289","417,719,138.60","2,700"
29-May-2023,EQ,"98,050.00","98,440.90","97,475.00","97,881.80","97,800.00","97,782.20","97,793.35","99,933.50","65,878.35","4,096","400,561,558.20","2,498"
26-May-2023,EQ,"96,735.00","98,171.00","96,601.15","96,727.35","97,600.00","97,881.80","97,573.89","99,933.50","65,878.35","6,694","653,159,609.00","4,396"
25-May-2023,EQ,"95,680.00","97,052.50","95,570.40","95,640.30","96,600.00","96,727.35","96,322.18","99,933.50","65,878.35","8,319","801,304,238.30","4,689"
24-May-2023,EQ,"95,550.00","97,458.40","95,338.55","95,487.65","95,563.25","95,640.30","96,347.46","99,933.50","65,878.35","13,583","1,308,687,519.55","7,711"
23-May-2023,EQ,"96,066.00","96,453.80","95,225.30","95,911.45","95,524.50","95,487.65","95,945.46","99,933.50","65,878.35","9,019","865,332,113.10","4,564"
22-May-2023,EQ,"96,356.65","96,553.40","95,674.25","96,236.65","95,674.25","95,911.45","96,060.92","99,933.50","65,878.35","7,085","680,591,594.30","3,630"
19-May-2023,EQ,"97,258.05","97,280.95","95,700.00","97,060.70","95,953.00","96,236.65","96,389.93","99,933.50","65,878.35","10,866","1,047,372,946.45","5,675"
18-May-2023,EQ,"97,872.25","98,400.00","96,800.10","97,655.10","97,142.00","97,060.70","97,436.74","99,933.50","65,878.35","8,164","795,473,562.50","5,246"
17-May-2023,EQ,"96,536.00","97,900.00","96,299.80","96,551.85","97,710.00","97,655.10","97,320.66","99,933.50","65,878.35","9,469","921,529,373.25","6,249"
16-May-2023,EQ,"96,800.00","97,600.00","96,400.00","96,900.90","96,420.00","96,551.85","96,979.07","99,933.50","65,878.35","9,357","907,433,193.75","5,794"
