Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,220.70","1,240.00","1,200.00","1,221.85","1,235.75","1,237.75","1,230.69","1,240.00",911.25,"455,204","560,216,151.00","20,064"
23-Jun-2023,EQ,"1,214.90","1,227.00","1,195.05","1,209.90","1,221.30","1,221.85","1,216.38","1,239.60",911.25,"468,789","570,226,936.40","39,212"
22-Jun-2023,EQ,"1,235.70","1,238.45","1,202.60","1,231.10","1,215.00","1,209.90","1,219.02","1,239.60",911.25,"395,547","482,177,849.10","50,974"
21-Jun-2023,EQ,"1,191.50","1,239.60","1,186.10","1,191.25","1,234.00","1,231.10","1,223.96","1,239.60",911.25,"1,586,212","1,941,460,915.25","65,934"
20-Jun-2023,EQ,"1,182.00","1,194.00","1,176.00","1,180.50","1,191.80","1,191.25","1,186.67","1,213.95",911.25,"329,604","391,132,079.15","31,535"
19-Jun-2023,EQ,"1,169.00","1,187.00","1,166.50","1,167.85","1,181.95","1,180.50","1,180.58","1,213.95",911.25,"380,216","448,875,268.45","25,828"
16-Jun-2023,EQ,"1,157.85","1,179.00","1,145.00","1,155.85","1,169.50","1,167.85","1,169.70","1,213.95",911.25,"507,665","593,813,922.00","29,569"
15-Jun-2023,EQ,"1,157.00","1,169.15","1,140.95","1,153.85","1,156.00","1,155.85","1,158.26","1,213.95",911.25,"580,174","671,993,700.85","22,659"
14-Jun-2023,EQ,"1,157.90","1,158.65","1,140.50","1,156.40","1,150.00","1,153.85","1,150.25","1,213.95",911.25,"390,757","449,467,866.45","18,371"
13-Jun-2023,EQ,"1,137.00","1,159.95","1,135.60","1,133.10","1,152.20","1,156.40","1,151.91","1,213.95",911.25,"806,743","929,297,516.20","36,032"
12-Jun-2023,EQ,"1,112.00","1,141.90","1,112.00","1,116.80","1,135.00","1,133.10","1,132.87","1,213.95",911.25,"394,676","447,117,697.70","19,349"
09-Jun-2023,EQ,"1,128.00","1,131.00","1,109.00","1,125.10","1,117.05","1,116.80","1,122.49","1,213.95",911.25,"314,658","353,199,924.90","17,289"
08-Jun-2023,EQ,"1,131.10","1,133.10","1,115.00","1,127.65","1,126.85","1,125.10","1,125.03","1,213.95",911.25,"264,080","297,098,588.95","12,780"
07-Jun-2023,EQ,"1,133.90","1,133.90","1,121.45","1,126.65","1,128.30","1,127.65","1,126.32","1,213.95",911.25,"155,109","174,702,322.80","11,032"
06-Jun-2023,EQ,"1,126.70","1,130.00","1,119.50","1,126.90","1,126.40","1,126.65","1,125.77","1,213.95",911.25,"213,921","240,826,252.70","14,085"
05-Jun-2023,EQ,"1,126.00","1,129.50","1,115.15","1,123.60","1,126.70","1,126.90","1,124.35","1,213.95",911.25,"241,937","272,022,569.70","14,273"
02-Jun-2023,EQ,"1,130.00","1,133.65","1,117.00","1,126.05","1,120.20","1,123.60","1,125.30","1,213.95",911.25,"209,361","235,593,967.00","23,369"
01-Jun-2023,EQ,"1,120.00","1,131.15","1,112.50","1,115.50","1,126.60","1,126.05","1,124.99","1,213.95",911.25,"229,233","257,883,882.10","14,576"
31-May-2023,EQ,"1,116.00","1,126.20","1,110.35","1,116.40","1,113.90","1,115.50","1,117.46","1,213.95",911.25,"526,630","588,487,594.40","20,036"
30-May-2023,EQ,"1,115.85","1,119.25","1,104.00","1,115.95","1,116.40","1,116.40","1,112.30","1,213.95",911.25,"216,424","240,727,460.35","17,098"
29-May-2023,EQ,"1,118.00","1,129.90","1,108.50","1,108.50","1,113.15","1,115.95","1,117.85","1,213.95",911.25,"286,216","319,947,789.80","15,636"
26-May-2023,EQ,"1,111.75","1,113.70","1,093.60","1,111.00","1,109.85","1,108.50","1,105.62","1,213.95",911.25,"375,498","415,159,971.70","21,178"
25-May-2023,EQ,"1,103.65","1,117.90","1,091.35","1,103.65","1,114.00","1,111.00","1,103.03","1,213.95",911.25,"484,566","534,490,884.30","15,752"
