Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,81.5,82.75,80.65,81.4,82.6,82.5,81.84,87.0,66.95,"7,554,623","618,236,532.10","18,400"
23-Jun-2023,EQ,83.5,83.5,81.15,83.85,81.35,81.4,82.11,87.0,66.95,"6,197,957","508,905,943.95","19,117"
22-Jun-2023,EQ,83.8,84.5,82.55,84.05,83.7,83.85,83.69,87.0,66.95,"7,562,426","632,906,707.15","16,640"
21-Jun-2023,EQ,85.3,85.65,83.7,85.2,83.95,84.05,84.26,87.0,66.95,"6,870,008","578,881,735.85","18,268"
20-Jun-2023,EQ,84.6,85.85,84.35,84.6,85.35,85.2,85.23,87.0,66.95,"4,747,248","404,584,571.45","14,905"
19-Jun-2023,EQ,85.2,85.5,84.4,84.9,84.6,84.6,84.96,87.0,66.95,"4,262,238","362,119,799.30","19,259"
16-Jun-2023,EQ,85.3,86.0,84.6,84.8,84.75,84.9,85.31,88.45,66.95,"6,599,003","562,974,320.70","14,181"
15-Jun-2023,EQ,85.65,85.95,84.6,85.55,84.7,84.8,85.08,88.45,66.95,"8,246,347","701,620,880.70","22,600"
14-Jun-2023,EQ,85.7,86.45,85.2,85.05,85.65,85.55,85.7,88.45,66.95,"6,421,221","550,309,794.55","19,892"
13-Jun-2023,EQ,85.65,85.65,84.45,85.05,85.1,85.05,85.05,88.45,66.95,"7,695,088","654,462,222.65","21,747"
12-Jun-2023,EQ,84.55,86.4,84.3,84.3,85.0,85.05,85.47,88.45,66.95,"9,706,928","829,651,165.10","32,989"
09-Jun-2023,EQ,84.45,85.2,83.65,84.5,84.2,84.3,84.37,94.45,66.95,"6,997,178","590,360,880.40","19,153"
08-Jun-2023,EQ,84.35,85.45,84.15,84.35,84.5,84.5,84.74,94.45,66.95,"9,413,522","797,706,657.15","35,878"
07-Jun-2023,EQ,83.9,84.65,83.4,83.5,84.35,84.35,84.05,94.45,66.95,"5,451,487","458,189,022.20","16,935"
06-Jun-2023,EQ,83.85,84.2,82.9,83.85,83.5,83.5,83.43,94.45,66.95,"3,676,378","306,725,635.35","11,132"
05-Jun-2023,EQ,84.45,84.65,83.6,83.9,84.0,83.85,84.01,94.45,66.95,"4,803,136","403,532,123.70","11,700"
02-Jun-2023,EQ,83.4,84.1,82.5,82.75,83.85,83.9,83.43,97.4,66.95,"10,245,661","854,823,134.70","19,438"
01-Jun-2023,EQ,83.95,84.3,82.6,83.8,82.9,82.75,83.24,97.4,66.95,"4,392,057","365,593,094.20","11,192"
31-May-2023,EQ,83.55,84.2,82.75,84.2,83.8,83.8,83.52,97.4,66.95,"7,278,592","607,905,408.20","22,037"
30-May-2023,EQ,86.55,86.65,84.0,86.05,84.45,84.2,85.0,97.4,66.95,"8,689,842","738,604,273.25","24,782"
29-May-2023,EQ,85.0,87.0,84.35,84.6,86.5,86.05,86.06,97.4,66.95,"14,212,140","1,223,150,025.80","39,189"
