Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,300.00","4,421.95","4,270.15","4,306.90","4,403.55","4,407.60","4,382.02","4,624.90","3,308.20","261,675","1,146,666,360.50","31,743"
23-Jun-2023,EQ,"4,390.00","4,399.95","4,282.25","4,404.35","4,295.00","4,306.90","4,345.40","4,624.90","3,308.20","242,192","1,052,421,221.45","23,496"
22-Jun-2023,EQ,"4,470.00","4,473.75","4,312.50","4,474.10","4,401.00","4,404.35","4,374.49","4,624.90","3,308.20","470,393","2,057,728,211.45","37,083"
21-Jun-2023,EQ,"4,460.00","4,505.00","4,442.55","4,455.70","4,475.00","4,474.10","4,473.65","4,624.90","3,308.20","232,516","1,040,195,561.50","33,297"
20-Jun-2023,EQ,"4,444.00","4,460.00","4,400.50","4,441.65","4,450.00","4,455.70","4,439.20","4,624.90","3,308.20","185,999","825,687,532.00","24,118"
19-Jun-2023,EQ,"4,416.90","4,479.00","4,400.15","4,416.90","4,435.00","4,441.65","4,443.58","4,624.90","3,308.20","283,761","1,260,915,552.10","28,131"
16-Jun-2023,EQ,"4,349.95","4,445.00","4,331.05","4,321.50","4,419.00","4,416.90","4,414.54","4,624.90","3,308.20","753,231","3,325,166,355.90","72,201"
15-Jun-2023,EQ,"4,324.80","4,358.55","4,280.00","4,309.80","4,312.00","4,321.50","4,324.44","4,624.90","3,308.20","256,902","1,110,956,881.20","32,727"
14-Jun-2023,EQ,"4,334.90","4,364.70","4,290.85","4,334.90","4,311.20","4,309.80","4,314.25","4,624.90","3,308.20","295,156","1,273,376,422.15","32,228"
13-Jun-2023,EQ,"4,275.50","4,354.95","4,264.85","4,268.60","4,328.50","4,334.90","4,322.82","4,624.90","3,308.20","400,440","1,731,028,676.50","43,001"
12-Jun-2023,EQ,"4,165.00","4,284.55","4,156.75","4,143.10","4,264.85","4,268.60","4,250.25","4,624.90","3,308.20","586,325","2,492,026,557.30","52,643"
09-Jun-2023,EQ,"4,131.30","4,225.00","4,082.90","4,120.90","4,145.00","4,143.10","4,155.91","4,624.90","3,308.20","456,101","1,895,516,709.10","44,409"
08-Jun-2023,EQ,"4,190.00","4,191.05","4,104.90","4,184.35","4,121.00","4,120.90","4,146.95","4,624.90","3,308.20","182,652","757,447,859.90","24,295"
07-Jun-2023,EQ,"4,148.00","4,200.00","4,130.00","4,116.30","4,185.00","4,184.35","4,164.80","4,624.90","3,308.20","248,613","1,035,423,053.10","27,071"
06-Jun-2023,EQ,"4,136.80","4,198.00","4,081.75","4,136.90","4,138.95","4,116.30","4,137.40","4,624.90","3,308.20","373,510","1,545,360,118.90","36,149"
05-Jun-2023,EQ,"4,220.00","4,299.90","4,123.75","4,266.35","4,138.60","4,136.90","4,184.72","4,624.90","3,308.20","652,777","2,731,688,351.30","45,045"
02-Jun-2023,EQ,"4,104.00","4,305.00","4,104.00","4,218.65","4,264.80","4,266.35","4,246.65","4,624.90","3,308.20","669,918","2,844,908,629.50","62,106"
01-Jun-2023,EQ,"4,100.00","4,281.95","4,095.05","4,073.85","4,214.00","4,218.65","4,230.07","4,624.90","3,308.20","829,850","3,510,325,586.85","73,311"
31-May-2023,EQ,"4,065.00","4,165.00","4,033.00","4,065.25","4,089.00","4,073.85","4,081.54","4,624.90","3,308.20","1,396,470","5,699,753,020.30","79,251"
30-May-2023,EQ,"4,220.00","4,220.00","4,054.40","4,207.10","4,064.95","4,065.25","4,100.62","4,624.90","3,308.20","491,864","2,016,947,249.95","39,928"
29-May-2023,EQ,"4,149.95","4,295.00","4,101.00","4,197.75","4,203.20","4,207.10","4,200.18","4,624.90","3,308.20","1,166,166","4,898,106,923.85","93,334"
26-May-2023,EQ,"3,918.70","4,250.00","3,735.00","3,900.35","4,168.00","4,197.75","4,059.39","4,624.90","3,308.20","1,685,253","6,841,093,831.25","136,866"
