Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,445.05","4,482.90","4,403.85","4,458.50","4,482.00","4,457.30","4,444.07","4,950.00","3,557.95","66,389","295,037,053.85","10,167"
23-Jun-2023,EQ,"4,557.95","4,577.40","4,441.15","4,553.95","4,450.90","4,458.50","4,467.80","4,950.00","3,433.15","119,027","531,788,465.85","17,811"
22-Jun-2023,EQ,"4,669.40","4,699.00","4,541.55","4,669.40","4,560.95","4,553.95","4,633.20","4,950.00","3,433.15","121,683","563,782,255.20","14,196"
21-Jun-2023,EQ,"4,617.30","4,680.00","4,597.05","4,617.30","4,662.00","4,669.40","4,644.74","4,950.00","3,433.15","92,610","430,149,607.95","12,201"
20-Jun-2023,EQ,"4,655.00","4,676.60","4,590.00","4,641.80","4,624.15","4,617.30","4,620.40","4,950.00","3,433.15","72,347","334,271,732.35","8,834"
19-Jun-2023,EQ,"4,645.00","4,696.00","4,630.10","4,653.75","4,641.35","4,641.80","4,653.92","4,950.00","3,433.15","49,050","228,274,658.95","7,973"
16-Jun-2023,EQ,"4,632.90","4,684.00","4,625.05","4,632.15","4,650.15","4,653.75","4,663.17","4,950.00","3,433.15","78,435","365,755,632.75","9,456"
15-Jun-2023,EQ,"4,629.00","4,668.20","4,610.00","4,627.90","4,633.70","4,632.15","4,644.22","4,950.00","3,433.15","90,604","420,784,901.50","12,223"
14-Jun-2023,EQ,"4,598.90","4,664.40","4,543.60","4,570.35","4,625.05","4,627.90","4,618.39","4,950.00","3,433.15","136,491","630,369,054.00","14,573"
13-Jun-2023,EQ,"4,445.00","4,575.00","4,422.05","4,409.15","4,571.00","4,570.35","4,524.81","4,950.00","3,433.15","174,163","788,054,255.90","19,154"
12-Jun-2023,EQ,"4,480.05","4,488.55","4,366.00","4,458.80","4,405.00","4,409.15","4,400.15","4,950.00","3,433.15","507,385","2,232,572,011.40","23,176"
09-Jun-2023,EQ,"4,610.35","4,610.35","4,444.40","4,581.25","4,465.00","4,458.80","4,503.93","4,950.00","3,433.15","157,390","708,873,821.15","17,717"
08-Jun-2023,EQ,"4,711.10","4,744.95","4,572.10","4,705.80","4,583.00","4,581.25","4,622.70","4,950.00","3,433.15","153,899","711,429,514.55","15,451"
07-Jun-2023,EQ,"4,645.60","4,723.95","4,620.00","4,627.40","4,711.00","4,705.80","4,692.27","4,950.00","3,433.15","199,220","934,794,965.70","17,417"
06-Jun-2023,EQ,"4,646.00","4,666.50","4,602.00","4,645.80","4,629.95","4,627.40","4,626.44","4,950.00","3,433.15","58,389","270,133,358.60","6,805"
05-Jun-2023,EQ,"4,661.75","4,670.00","4,630.00","4,615.55","4,649.90","4,645.80","4,649.83","4,950.00","3,433.15","98,067","455,994,417.95","7,940"
02-Jun-2023,EQ,"4,561.20","4,629.45","4,561.20","4,592.25","4,619.00","4,615.55","4,609.58","4,950.00","3,433.15","62,450","287,867,982.55","11,899"
01-Jun-2023,EQ,"4,657.65","4,686.40","4,570.00","4,665.10","4,580.00","4,592.25","4,629.29","4,950.00","3,433.15","100,445","464,989,274.80","8,845"
31-May-2023,EQ,"4,677.95","4,699.65","4,650.00","4,672.75","4,659.40","4,665.10","4,675.27","4,950.00","3,433.15","52,508","245,489,291.30","8,016"
30-May-2023,EQ,"4,645.05","4,684.20","4,632.00","4,640.80","4,668.00","4,672.75","4,667.21","4,950.00","3,433.15","73,873","344,780,822.65","12,081"
29-May-2023,EQ,"4,621.05","4,675.00","4,607.10","4,620.85","4,645.00","4,640.80","4,646.05","4,950.00","3,433.15","81,574","378,997,090.70","10,293"
26-May-2023,EQ,"4,604.90","4,637.45","4,577.10","4,602.80","4,615.20","4,620.85","4,611.44","4,950.00","3,432.85","85,723","395,306,814.35","10,180"
25-May-2023,EQ,"4,605.00","4,626.00","4,551.05","4,601.50","4,606.10","4,602.80","4,585.04","4,950.00","3,432.85","79,951","366,578,228.85","12,290"
24-May-2023,EQ,"4,565.00","4,667.00","4,511.25","4,559.35","4,612.00","4,601.50","4,609.22","4,950.00","3,432.85","176,185","812,075,583.35","20,065"
23-May-2023,EQ,"4,609.50","4,609.95","4,540.05","4,591.50","4,558.00","4,559.35","4,564.02","4,950.00","3,432.85","95,077","433,933,741.80","11,647"
22-May-2023,EQ,"4,562.00","4,603.50","4,524.05","4,556.05","4,585.20","4,591.50","4,557.59","4,950.00","3,432.85","58,538","266,791,930.75","8,320"
19-May-2023,EQ,"4,630.00","4,630.70","4,528.55","4,619.90","4,535.60","4,556.05","4,561.13","4,950.00","3,432.85","123,842","564,859,928.50","15,001"
18-May-2023,EQ,"4,662.60","4,684.55","4,603.85","4,652.45","4,610.00","4,619.90","4,631.76","4,950.00","3,432.85","97,729","452,657,241.90","11,984"
17-May-2023,EQ,"4,680.00","4,750.00","4,610.55","4,680.00","4,645.25","4,652.45","4,659.70","4,950.00","3,432.85","176,775","823,719,212.45","21,776"
16-May-2023,EQ,"4,724.95","4,762.00","4,660.10","4,695.40","4,678.95","4,680.00","4,723.15","4,950.00","3,432.85","195,950","925,500,305.55","24,547"
15-May-2023,EQ,"4,890.40","4,950.00","4,646.35","4,748.00","4,691.00","4,695.40","4,739.72","4,950.00","3,432.85","914,785","4,335,829,167.55","88,306"
12-May-2023,EQ,"4,720.00","4,773.85","4,629.00","4,724.35","4,772.00","4,748.00","4,692.38","4,879.95","3,432.85","594,553","2,789,869,299.00","35,476"
11-May-2023,EQ,"4,782.05","4,798.00","4,675.00","4,764.55","4,743.00","4,724.35","4,722.40","4,879.95","3,432.85","270,091","1,275,477,350.10","22,610"
10-May-2023,EQ,"4,792.10","4,829.70","4,716.05","4,799.00","4,765.00","4,764.55","4,761.94","4,879.95","3,432.85","95,820","456,288,975.30","11,824"
09-May-2023,EQ,"4,799.90","4,853.85","4,770.00","4,788.40","4,797.60","4,799.00","4,806.86","4,879.95","3,432.85","132,614","637,456,684.05","11,334"
08-May-2023,EQ,"4,792.90","4,823.10","4,752.00","4,784.10","4,786.10","4,788.40","4,791.92","4,879.95","3,432.85","65,169","312,284,871.10","10,221"
05-May-2023,EQ,"4,807.00","4,845.95","4,768.00","4,816.20","4,795.00","4,784.10","4,805.01","4,879.95","3,432.85","50,389","242,119,846.00","8,137"
04-May-2023,EQ,"4,805.00","4,855.40","4,785.00","4,799.50","4,801.10","4,816.20","4,819.00","4,879.95","3,432.85","58,655","282,658,359.30","7,847"
03-May-2023,EQ,"4,799.00","4,824.95","4,768.80","4,800.40","4,795.00","4,799.50","4,800.68","4,879.95","3,432.85","54,071","259,577,550.75","6,523"
02-May-2023,EQ,"4,866.30","4,879.95","4,777.40","4,850.20","4,801.00","4,800.40","4,832.26","4,879.95","3,432.85","215,613","1,041,898,264.80","18,463"
28-Apr-2023,EQ,"4,762.00","4,865.00","4,747.30","4,743.80","4,845.00","4,850.20","4,812.08","4,865.00","3,432.85","184,155","886,169,501.55","21,653"
27-Apr-2023,EQ,"4,679.90","4,760.00","4,670.00","4,683.50","4,746.10","4,743.80","4,716.87","4,848.35","3,432.85","89,405","421,711,951.70","9,924"
26-Apr-2023,EQ,"4,671.00","4,735.25","4,650.00","4,705.20","4,681.00","4,683.50","4,695.87","4,848.35","3,432.85","63,367","297,563,274.45","8,781"
