Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,104.8,105.05,103.8,104.7,104.9,104.8,104.29,137.45,92.25,"6,045,536","630,483,434.25","27,335"
23-Jun-2023,EQ,105.7,105.7,104.4,105.75,104.75,104.7,104.85,137.45,92.25,"5,907,664","619,441,686.55","29,405"
22-Jun-2023,EQ,106.35,107.0,105.25,106.75,105.8,105.75,106.07,137.45,92.25,"6,195,147","657,148,062.20","31,396"
21-Jun-2023,EQ,107.8,107.8,106.2,107.2,106.8,106.75,106.76,137.45,92.25,"6,017,163","642,371,919.10","23,759"
20-Jun-2023,EQ,106.3,108.2,106.2,106.15,107.35,107.2,107.33,137.45,92.25,"7,834,279","840,889,041.75","26,560"
19-Jun-2023,EQ,107.2,107.7,106.05,107.0,106.25,106.15,106.65,137.45,92.25,"10,068,518","1,073,827,398.20","35,072"
16-Jun-2023,EQ,107.95,108.45,106.8,107.75,107.0,107.0,107.45,137.45,92.25,"11,153,214","1,198,380,296.35","31,141"
15-Jun-2023,EQ,109.1,109.35,107.5,108.95,107.7,107.75,108.2,137.45,92.25,"5,495,904","594,679,194.35","30,177"
14-Jun-2023,EQ,109.45,110.3,108.75,108.75,108.9,108.95,109.27,137.45,92.25,"6,186,356","675,998,166.15","23,522"
13-Jun-2023,EQ,108.35,109.65,108.25,108.0,108.7,108.75,109.02,137.45,92.25,"8,074,157","880,205,773.70","30,279"
12-Jun-2023,EQ,107.95,108.6,107.0,107.55,108.0,108.0,108.01,137.45,92.25,"3,346,097","361,404,126.45","19,486"
09-Jun-2023,EQ,108.85,108.85,106.6,108.6,107.75,107.55,107.44,137.45,92.25,"5,403,104","580,509,588.35","21,998"
08-Jun-2023,EQ,109.8,110.5,108.4,109.5,108.6,108.6,109.46,137.45,92.25,"6,747,808","738,645,146.20","30,895"
07-Jun-2023,EQ,109.3,109.85,109.1,109.2,109.4,109.5,109.48,137.45,92.25,"6,481,805","709,657,713.85","22,939"
06-Jun-2023,EQ,109.1,109.5,108.7,109.0,109.05,109.2,109.09,137.45,92.25,"6,536,444","713,039,657.80","18,498"
05-Jun-2023,EQ,110.0,110.3,108.9,108.9,108.9,109.0,109.34,137.45,92.25,"7,096,659","775,975,359.00","29,041"
02-Jun-2023,EQ,107.0,109.3,106.9,106.9,109.2,108.9,108.4,137.45,92.25,"9,429,711","1,022,134,956.35","44,269"
01-Jun-2023,EQ,106.5,107.5,106.5,106.8,107.0,106.9,107.04,137.45,92.25,"10,151,216","1,086,562,684.75","18,854"
31-May-2023,EQ,106.9,107.1,105.35,107.2,106.9,106.8,106.42,137.45,92.25,"6,739,068","717,198,915.75","26,882"
30-May-2023,EQ,106.9,107.8,106.45,106.9,107.25,107.2,107.27,137.45,92.25,"6,457,849","692,711,171.65","21,872"
29-May-2023,EQ,107.0,107.8,106.3,106.5,106.85,106.9,107.2,137.45,92.25,"10,337,943","1,108,249,768.40","34,950"
26-May-2023,EQ,104.5,106.85,104.35,104.3,106.5,106.5,106.04,137.45,92.25,"10,066,252","1,067,445,455.70","38,173"
25-May-2023,EQ,105.15,105.45,103.85,105.1,104.55,104.3,104.31,137.45,92.25,"10,199,436","1,063,860,327.95","46,324"
24-May-2023,EQ,107.1,107.15,104.9,105.75,105.1,105.1,105.61,137.45,92.25,"8,403,809","887,555,016.60","34,555"
23-May-2023,EQ,105.5,106.7,105.5,105.15,106.0,105.75,106.12,137.45,92.25,"7,794,772","827,186,792.05","30,399"
22-May-2023,EQ,105.65,106.95,104.8,105.65,105.4,105.15,105.69,137.45,92.25,"7,707,496","814,597,117.70","36,517"
19-May-2023,EQ,105.2,105.8,103.75,104.8,105.75,105.65,104.91,146.85,92.25,"5,332,799","559,473,756.50","29,904"
