Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,983.90,988.50,977.50,983.95,982.30,982.30,981.67,"1,088.95",726.55,"290,340","285,018,023.80","12,714"
23-Jun-2023,EQ,999.95,"1,007.75",977.00,997.85,982.50,983.95,986.36,"1,088.95",725.95,"459,635","453,367,323.35","21,990"
22-Jun-2023,EQ,"1,013.50","1,018.95",990.30,"1,013.40",994.65,997.85,"1,004.16","1,088.95",725.95,"360,176","361,672,959.60","17,377"
21-Jun-2023,EQ,"1,018.75","1,024.10","1,002.45","1,020.20","1,013.00","1,013.40","1,011.80","1,088.95",725.95,"442,261","447,481,823.00","20,209"
20-Jun-2023,EQ,"1,008.05","1,024.10",995.35,"1,009.10","1,015.00","1,020.20","1,014.82","1,088.95",725.95,"555,424","563,656,640.80","26,894"
19-Jun-2023,EQ,"1,018.00","1,021.55","1,003.05","1,014.35","1,009.65","1,009.10","1,013.61","1,088.95",725.95,"492,210","498,906,606.15","16,525"
16-Jun-2023,EQ,996.95,"1,024.00",996.30,994.20,"1,012.00","1,014.35","1,014.72","1,088.95",725.95,"992,730","1,007,342,409.95","34,900"
15-Jun-2023,EQ,"1,019.00","1,043.10",988.15,"1,019.05",990.00,994.20,"1,018.52","1,088.95",725.95,"1,664,584","1,695,420,376.60","47,422"
14-Jun-2023,EQ,985.80,"1,025.65",977.25,984.10,"1,017.20","1,019.05","1,005.19","1,088.95",725.95,"1,367,277","1,374,373,502.85","37,279"
13-Jun-2023,EQ,966.00,985.95,958.25,963.55,985.15,984.10,974.42,"1,088.95",725.95,"481,815","469,489,802.80","24,520"
12-Jun-2023,EQ,968.40,970.55,961.10,965.85,964.75,963.55,964.58,"1,088.95",725.95,"322,310","310,892,434.10","14,991"
09-Jun-2023,EQ,970.00,982.00,962.55,967.05,967.00,965.85,972.18,"1,088.95",725.95,"317,442","308,612,026.40","19,112"
08-Jun-2023,EQ,986.00,987.10,961.50,980.95,966.10,967.05,971.27,"1,088.95",725.95,"445,030","432,245,833.25","18,924"
07-Jun-2023,EQ,986.45,995.75,975.85,985.15,978.45,980.95,984.41,"1,088.95",725.95,"751,214","739,505,618.20","22,939"
06-Jun-2023,EQ,960.20,991.95,958.00,959.70,983.00,985.15,979.26,"1,088.95",725.95,"982,778","962,396,777.80","29,933"
05-Jun-2023,EQ,964.80,972.55,952.20,958.85,960.20,959.70,961.45,"1,088.95",725.95,"457,416","439,781,960.75","20,252"
02-Jun-2023,EQ,943.95,965.40,941.25,940.55,959.05,958.85,956.58,"1,088.95",725.95,"835,559","799,282,907.50","30,089"
01-Jun-2023,EQ,930.75,952.90,928.00,930.75,941.60,940.55,943.09,"1,088.95",725.95,"674,688","636,289,258.90","28,325"
31-May-2023,EQ,931.45,937.95,917.00,933.15,930.50,930.75,928.87,"1,088.95",725.95,"828,343","769,423,390.70","15,014"
30-May-2023,EQ,928.05,936.00,925.00,929.65,932.00,933.15,931.13,"1,088.95",725.95,"457,307","425,814,263.50","13,641"
29-May-2023,EQ,935.00,939.60,926.55,932.90,928.05,929.65,931.53,"1,088.95",725.95,"428,091","398,779,295.10","16,062"
26-May-2023,EQ,940.00,950.00,928.80,941.25,930.10,932.90,936.57,"1,088.95",725.95,"733,396","686,880,197.15","24,887"
25-May-2023,EQ,920.00,947.00,913.80,924.75,940.00,941.25,931.22,"1,088.95",725.95,"908,420","845,938,201.65","17,468"
24-May-2023,EQ,924.15,929.00,916.60,925.65,919.00,924.75,925.30,"1,088.95",725.95,"382,577","353,997,391.35","11,364"
23-May-2023,EQ,926.05,934.40,918.25,925.55,922.90,925.65,926.74,"1,088.95",725.95,"295,798","274,128,454.00","10,019"
22-May-2023,EQ,918.00,931.00,908.55,918.45,924.75,925.55,923.09,"1,088.95",725.95,"622,274","574,412,945.85","21,638"
19-May-2023,EQ,894.05,924.10,884.75,890.05,915.00,918.45,906.58,"1,088.95",725.95,"1,276,153","1,156,936,752.25","27,217"
18-May-2023,EQ,907.95,917.00,888.45,914.90,892.50,890.05,902.72,"1,088.95",725.95,"1,125,395","1,015,919,622.45","28,766"
17-May-2023,EQ,973.50,973.50,910.85,975.15,916.50,914.90,923.40,"1,088.95",725.95,"3,206,907","2,961,243,857.50","68,058"
16-May-2023,EQ,990.40,"1,002.55",972.25,986.90,972.30,975.15,986.62,"1,088.95",725.95,"728,149","718,407,241.40","24,009"
15-May-2023,EQ,939.00,"1,001.90",939.00,941.10,988.00,986.90,978.23,"1,088.95",725.95,"1,760,246","1,721,921,264.10","53,564"
12-May-2023,EQ,949.75,955.00,936.70,949.70,941.95,941.10,945.91,"1,088.95",725.95,"231,674","219,143,156.55","15,786"
11-May-2023,EQ,942.55,956.00,939.80,939.75,946.95,949.70,950.55,"1,088.95",725.95,"622,434","591,657,599.75","28,420"
10-May-2023,EQ,930.00,944.80,923.05,931.50,941.70,939.75,936.02,"1,088.95",725.95,"576,245","539,375,430.25","33,601"
09-May-2023,EQ,939.00,950.70,927.65,938.85,928.00,931.50,937.63,"1,088.95",725.95,"550,978","516,612,652.45","19,022"
08-May-2023,EQ,924.50,951.90,924.50,923.35,935.00,938.85,943.69,"1,088.95",725.95,"729,667","688,578,579.20","26,577"
