Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,809.95","3,853.25","3,788.65","3,813.25","3,830.00","3,827.35","3,820.16","3,972.95","2,883.25","50,325","192,249,664.75","7,080"
23-Jun-2023,EQ,"3,860.00","3,860.00","3,746.10","3,853.85","3,803.00","3,813.25","3,799.76","3,972.95","2,883.25","80,101","304,364,629.10","10,748"
22-Jun-2023,EQ,"3,910.95","3,910.95","3,842.90","3,908.10","3,854.00","3,853.85","3,868.51","3,972.95","2,883.25","47,769","184,794,617.60","7,594"
21-Jun-2023,EQ,"3,931.00","3,944.00","3,885.05","3,911.65","3,900.00","3,908.10","3,910.52","3,972.95","2,883.25","59,057","230,943,324.05","8,821"
20-Jun-2023,EQ,"3,869.75","3,942.00","3,861.10","3,864.35","3,924.95","3,911.65","3,903.33","3,972.95","2,883.25","92,030","359,223,640.50","13,912"
19-Jun-2023,EQ,"3,875.05","3,899.00","3,825.40","3,869.90","3,875.05","3,864.35","3,854.65","3,972.95","2,883.25","101,423","390,950,212.00","13,540"
16-Jun-2023,EQ,"3,910.00","3,972.95","3,842.20","3,851.90","3,870.05","3,869.90","3,912.87","3,972.95","2,883.25","264,914","1,036,574,641.10","31,785"
15-Jun-2023,EQ,"3,900.00","3,926.90","3,838.25","3,884.45","3,850.10","3,851.90","3,887.19","3,926.90","2,883.25","117,884","458,238,060.75","15,725"
14-Jun-2023,EQ,"3,797.50","3,900.00","3,770.60","3,797.50","3,876.10","3,884.45","3,848.28","3,900.00","2,883.25","334,785","1,288,347,233.85","31,134"
13-Jun-2023,EQ,"3,626.20","3,840.00","3,613.30","3,595.80","3,786.05","3,797.50","3,762.94","3,840.00","2,883.25","411,994","1,550,309,506.40","35,138"
12-Jun-2023,EQ,"3,530.05","3,603.75","3,523.25","3,540.95","3,592.00","3,595.80","3,583.10","3,722.50","2,883.25","45,035","161,364,940.85","6,456"
09-Jun-2023,EQ,"3,519.25","3,572.90","3,519.25","3,541.20","3,538.95","3,540.95","3,539.52","3,722.50","2,883.25","43,799","155,027,343.40","6,245"
08-Jun-2023,EQ,"3,575.10","3,589.95","3,535.00","3,592.85","3,538.65","3,541.20","3,552.52","3,722.50","2,883.25","47,318","168,098,323.25","7,912"
07-Jun-2023,EQ,"3,579.90","3,613.95","3,563.30","3,551.45","3,594.50","3,592.85","3,595.57","3,722.50","2,883.25","38,921","139,943,329.35","6,787"
06-Jun-2023,EQ,"3,628.00","3,640.00","3,546.20","3,629.30","3,557.50","3,551.45","3,569.25","3,722.50","2,883.25","54,025","192,828,787.55","7,006"
05-Jun-2023,EQ,"3,649.70","3,655.00","3,601.40","3,613.55","3,633.00","3,629.30","3,625.47","3,722.50","2,883.25","58,938","213,678,146.90","7,188"
02-Jun-2023,EQ,"3,611.55","3,657.00","3,602.20","3,616.55","3,625.00","3,613.55","3,626.33","3,722.50","2,883.25","26,268","95,256,500.70","4,895"
01-Jun-2023,EQ,"3,650.00","3,656.00","3,610.00","3,633.60","3,621.00","3,616.55","3,639.52","3,722.50","2,883.25","28,380","103,289,533.80","5,138"
