Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"37,676.50","38,013.60","37,640.00","37,676.50","37,800.00","37,851.15","37,852.36","54,349.10","34,952.65","10,126","383,292,948.25","5,324"
23-Jun-2023,EQ,"38,186.00","38,186.00","37,333.55","37,958.95","37,601.00","37,676.50","37,628.81","54,349.10","34,952.65","16,827","633,180,030.50","7,052"
22-Jun-2023,EQ,"38,390.00","38,399.95","37,800.00","38,259.65","37,970.00","37,958.95","37,989.80","54,349.10","34,952.65","16,950","643,927,156.70","8,636"
21-Jun-2023,EQ,"38,772.95","38,800.00","38,170.00","38,647.35","38,250.00","38,259.65","38,385.06","54,349.10","34,952.65","21,698","832,878,980.30","11,115"
20-Jun-2023,EQ,"38,710.00","38,898.80","38,439.00","38,811.10","38,690.00","38,647.35","38,627.80","54,349.10","34,952.65","12,258","473,499,630.40","5,661"
19-Jun-2023,EQ,"38,700.00","38,900.00","38,462.15","38,568.40","38,785.00","38,811.10","38,681.60","54,349.10","34,952.65","12,503","483,635,999.05","5,691"
16-Jun-2023,EQ,"38,600.00","39,039.00","38,377.00","38,377.00","38,600.00","38,568.40","38,666.16","54,349.10","34,952.65","29,325","1,133,885,272.95","12,223"
15-Jun-2023,EQ,"38,540.00","38,954.00","38,239.60","38,488.05","38,440.00","38,377.00","38,618.69","54,349.10","34,952.65","19,493","752,794,219.30","8,259"
14-Jun-2023,EQ,"38,500.00","38,542.35","38,257.55","38,386.65","38,542.00","38,488.05","38,417.32","54,349.10","34,952.65","11,773","452,287,073.10","5,712"
13-Jun-2023,EQ,"38,390.95","38,470.00","38,114.60","38,147.55","38,450.00","38,386.65","38,314.19","54,349.10","34,952.65","22,666","868,429,389.35","9,448"
12-Jun-2023,EQ,"38,574.00","38,574.00","37,908.80","38,363.20","38,189.00","38,147.55","38,164.84","54,349.10","34,952.65","40,624","1,550,408,643.55","13,484"
09-Jun-2023,EQ,"38,855.25","39,209.40","38,259.30","39,004.35","38,387.95","38,363.20","38,704.29","54,349.10","34,952.65","19,005","735,575,030.40","8,828"
08-Jun-2023,EQ,"39,105.00","39,298.90","38,802.00","39,272.85","38,850.00","39,004.35","39,126.37","54,349.10","34,952.65","22,609","884,608,156.45","8,588"
07-Jun-2023,EQ,"38,899.95","39,388.30","38,750.00","38,793.95","39,230.00","39,272.85","39,118.08","54,349.10","34,952.65","32,433","1,268,716,650.25","9,309"
06-Jun-2023,EQ,"38,900.00","39,050.00","38,650.00","38,875.70","38,750.00","38,793.95","38,808.19","54,349.10","34,952.65","35,090","1,361,779,295.55","9,950"
05-Jun-2023,EQ,"38,750.05","39,061.75","38,280.00","38,568.35","38,750.00","38,875.70","38,652.20","54,349.10","34,952.65","48,171","1,861,915,333.15","13,366"
02-Jun-2023,EQ,"39,201.05","39,292.65","38,460.60","39,133.45","38,500.00","38,568.35","38,748.59","54,349.10","34,952.65","33,208","1,286,763,019.30","14,118"
