Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,888.00,897.90,863.50,882.25,886.00,883.95,878.84,"2,084.10",630.45,"3,818,014","3,355,428,271.20","98,027"
23-Jun-2023,EQ,928.00,928.95,876.70,928.95,888.80,882.25,900.67,"2,084.10",630.45,"4,581,845","4,126,726,439.35","108,908"
22-Jun-2023,EQ,960.95,977.20,913.30,950.15,928.45,928.95,943.73,"2,084.10",630.45,"9,808,401","9,256,478,725.25","235,124"
21-Jun-2023,EQ,903.95,970.70,903.95,838.50,957.30,950.15,946.16,"2,084.10",630.45,"19,224,399","18,189,342,331.05","340,305"
20-Jun-2023,EQ,794.75,841.00,793.90,793.20,840.00,838.50,823.31,"2,084.10",630.45,"5,015,146","4,129,018,605.00","96,381"
19-Jun-2023,EQ,785.20,806.00,781.10,782.35,794.00,793.20,792.68,"2,084.10",630.45,"1,828,942","1,449,761,518.85","34,646"
16-Jun-2023,EQ,773.00,788.65,772.25,800.80,782.00,782.35,782.27,"2,084.10",630.45,"1,617,635","1,265,426,731.90","35,977"
15-Jun-2023,EQ,809.00,813.70,798.45,800.30,802.50,800.80,804.89,"2,084.10",630.45,"1,109,630","893,133,499.55","27,228"
14-Jun-2023,EQ,811.00,811.75,794.20,807.25,802.00,800.30,800.32,"2,084.10",630.45,"1,078,645","863,264,189.70","26,782"
13-Jun-2023,EQ,803.80,810.00,801.00,800.15,807.95,807.25,806.53,"2,084.10",630.45,"1,545,581","1,246,552,164.35","39,460"
12-Jun-2023,EQ,790.45,800.80,784.55,784.35,800.00,800.15,794.52,"2,084.10",630.45,"566,523","450,114,177.25","20,901"
09-Jun-2023,EQ,787.00,800.00,780.50,785.75,782.00,784.35,790.73,"2,084.10",630.45,"979,424","774,461,500.85","28,750"
08-Jun-2023,EQ,797.00,806.95,784.50,793.60,786.50,785.75,794.99,"2,084.10",630.45,"1,185,744","942,649,665.70","30,664"
07-Jun-2023,EQ,789.95,797.55,785.40,787.60,792.25,793.60,792.86,"2,084.10",630.45,"617,730","489,773,468.85","17,030"
06-Jun-2023,EQ,792.25,797.70,780.35,788.85,788.90,787.60,786.94,"2,084.10",630.45,"673,763","530,214,299.55","20,436"
05-Jun-2023,EQ,793.60,796.35,786.75,785.70,788.55,788.85,792.37,"2,084.10",630.45,"991,853","785,913,561.70","31,411"
02-Jun-2023,EQ,789.00,794.00,782.35,782.45,786.00,785.70,787.91,"2,084.10",630.45,"856,311","674,692,828.35","30,448"
01-Jun-2023,EQ,771.90,789.95,770.00,771.25,781.00,782.45,783.70,"2,084.10",630.45,"1,010,943","792,275,591.10","32,312"
31-May-2023,EQ,777.45,785.00,766.00,777.85,770.00,771.25,771.67,"2,084.10",630.45,"560,927","432,848,209.50","18,690"
30-May-2023,EQ,777.05,780.80,767.20,775.35,778.80,777.85,775.20,"2,084.10",630.45,"393,594","305,114,176.90","13,604"
29-May-2023,EQ,775.00,784.90,772.00,771.30,774.90,775.35,778.47,"2,084.10",630.45,"726,166","565,297,813.00","23,571"
26-May-2023,EQ,772.70,774.00,762.00,769.50,769.80,771.30,768.26,"2,084.10",630.45,"663,648","509,852,723.40","23,228"
25-May-2023,EQ,769.65,775.60,765.00,769.55,770.80,769.50,769.58,"2,084.10",630.45,"711,893","547,857,869.55","20,615"
24-May-2023,EQ,773.85,776.95,760.05,774.45,769.80,769.55,768.12,"2,084.10",630.45,"1,217,572","935,244,636.50","29,697"
23-May-2023,EQ,762.00,778.90,757.60,760.00,773.80,774.45,770.62,"2,084.10",630.45,"1,533,094","1,181,428,550.55","47,597"
22-May-2023,EQ,742.10,762.05,740.00,741.10,760.55,760.00,753.34,"2,084.10",630.45,"1,056,388","795,817,380.45","30,318"
19-May-2023,EQ,748.00,750.95,738.45,747.35,741.00,741.10,743.36,"2,084.10",630.45,"528,342","392,747,934.50","18,793"
18-May-2023,EQ,750.10,754.00,738.00,745.60,747.20,747.35,745.65,"2,084.10",630.45,"856,250","638,459,102.75","28,200"
17-May-2023,EQ,750.60,757.00,735.30,747.80,745.95,745.60,747.16,"2,084.10",630.45,"839,364","627,142,758.80","29,914"
16-May-2023,EQ,737.80,756.00,737.10,736.70,748.85,747.80,750.08,"2,084.10",630.45,"1,305,683","979,361,515.40","36,461"
15-May-2023,EQ,727.00,739.70,721.20,726.00,736.00,736.70,734.73,"2,084.10",630.45,"870,651","639,693,011.45","24,868"
12-May-2023,EQ,741.50,742.80,722.60,740.05,724.00,726.00,731.10,"2,084.10",630.45,"711,691","520,316,160.20","25,584"
11-May-2023,EQ,744.00,749.90,735.00,738.95,741.00,740.05,738.74,"2,084.10",630.45,"761,567","562,598,648.95","21,570"
10-May-2023,EQ,743.50,749.70,735.10,743.35,740.00,738.95,741.39,"2,084.10",630.45,"860,835","638,216,519.55","22,847"
09-May-2023,EQ,748.00,768.65,740.95,747.85,742.85,743.35,753.82,"2,084.10",630.45,"1,496,560","1,128,140,779.55","41,956"
08-May-2023,EQ,735.00,755.45,716.00,734.85,746.50,747.85,743.08,"2,084.10",630.45,"2,306,419","1,713,863,939.05","52,247"
05-May-2023,EQ,759.00,761.00,728.10,757.60,736.80,734.85,743.34,"2,182.20",630.45,"1,554,936","1,155,850,657.40","57,218"
04-May-2023,EQ,747.70,759.00,742.25,744.00,757.30,757.60,753.77,"2,182.20",630.45,"1,009,290","760,772,815.25","26,971"
03-May-2023,EQ,738.00,749.55,736.20,742.50,743.50,744.00,743.23,"2,182.20",630.45,"630,631","468,702,464.30","18,722"
02-May-2023,EQ,740.95,749.00,735.00,736.75,740.60,742.50,742.85,"2,182.20",630.45,"969,301","720,049,839.20","27,799"
28-Apr-2023,EQ,718.95,739.15,717.80,714.60,736.40,736.75,732.24,"2,232.40",630.45,"1,849,740","1,354,455,290.50","52,838"
27-Apr-2023,EQ,716.20,719.00,706.45,717.05,716.95,714.60,713.30,"2,232.40",630.45,"538,670","384,235,153.40","21,715"
26-Apr-2023,EQ,720.90,723.85,710.30,720.05,716.20,717.05,718.24,"2,232.40",630.45,"588,302","422,540,651.15","22,785"
25-Apr-2023,EQ,719.95,724.45,713.05,717.70,719.00,720.05,719.74,"2,232.40",630.45,"632,880","455,507,395.20","23,972"
24-Apr-2023,EQ,723.00,723.05,712.45,718.35,717.95,717.70,717.43,"2,232.40",630.45,"572,648","410,832,881.05","21,926"
21-Apr-2023,EQ,716.70,721.00,712.20,716.75,718.90,718.35,716.73,"2,291.40",630.45,"874,112","626,502,155.35","19,528"
20-Apr-2023,EQ,718.40,723.45,714.00,716.65,715.00,716.75,718.45,"2,291.40",630.45,"973,491","699,402,277.55","23,618"
19-Apr-2023,EQ,721.50,725.55,714.00,720.20,715.65,716.65,719.43,"2,291.40",630.45,"920,565","662,284,439.45","31,125"
18-Apr-2023,EQ,707.00,727.30,706.75,702.80,718.25,720.20,718.15,"2,291.40",630.45,"2,807,820","2,016,440,509.45","69,237"
17-Apr-2023,EQ,702.40,707.30,696.55,701.40,703.00,702.80,701.45,"2,291.40",630.45,"573,613","402,360,827.05","17,748"
13-Apr-2023,EQ,694.55,705.45,690.40,697.00,701.00,701.40,698.29,"2,353.95",630.45,"818,124","571,290,083.70","28,129"
12-Apr-2023,EQ,702.20,702.75,691.10,702.20,696.20,697.00,696.31,"2,353.95",630.45,"814,806","567,361,552.80","23,820"
11-Apr-2023,EQ,705.00,705.55,697.00,701.95,700.05,702.20,701.81,"2,353.95",630.45,"582,705","408,948,286.25","21,437"
10-Apr-2023,EQ,704.00,704.80,690.60,699.20,702.00,701.95,698.76,"2,353.95",630.45,"744,077","519,934,623.30","21,598"
06-Apr-2023,EQ,683.00,701.30,678.00,683.75,699.95,699.20,692.28,"2,380.50",630.45,"1,182,858","818,863,265.25","32,930"
05-Apr-2023,EQ,685.00,689.80,677.35,684.35,684.30,683.75,683.00,"2,380.50",630.45,"893,359","610,167,826.25","26,976"
03-Apr-2023,EQ,678.35,686.65,676.00,678.35,685.00,684.35,681.61,"2,380.50",630.45,"987,999","673,426,906.10","24,338"
31-Mar-2023,EQ,670.05,681.00,668.20,665.10,677.45,678.35,674.77,"2,380.50",630.45,"1,446,466","976,028,291.60","31,816"
29-Mar-2023,EQ,638.00,669.00,638.00,634.65,665.15,665.10,656.92,"2,380.50",630.45,"2,972,108","1,952,448,048.20","60,293"
28-Mar-2023,EQ,653.00,653.05,630.45,649.60,634.70,634.65,638.29,"2,380.50",630.45,"1,274,274","813,361,511.45","39,453"
27-Mar-2023,EQ,650.30,655.45,641.00,649.65,647.85,649.60,648.61,"2,380.50",641.00,"1,519,828","985,776,252.70","42,311"
24-Mar-2023,EQ,669.00,670.80,645.00,666.10,646.45,649.65,658.30,"2,380.50",645.00,"1,256,550","827,192,009.60","43,033"
23-Mar-2023,EQ,671.00,676.15,662.00,673.65,666.00,666.10,667.91,"2,380.50",648.00,"1,260,716","842,038,554.65","43,138"
22-Mar-2023,EQ,677.95,687.50,671.25,678.75,673.45,673.65,679.43,"2,380.50",648.00,"1,060,325","720,416,363.65","30,483"
21-Mar-2023,EQ,660.45,681.50,655.70,655.95,675.60,678.75,670.70,"2,380.50",648.00,"1,827,251","1,225,541,006.50","46,786"
20-Mar-2023,EQ,680.00,693.95,648.00,688.85,657.00,655.95,658.07,"2,380.50",648.00,"2,983,256","1,963,200,850.15","94,691"
17-Mar-2023,EQ,699.65,705.65,683.25,691.90,688.95,688.85,692.38,"2,380.50",656.40,"1,869,684","1,294,539,108.85","43,372"
16-Mar-2023,EQ,676.00,697.00,656.40,672.70,694.00,691.90,673.79,"2,380.50",656.40,"3,742,670","2,521,778,250.65","61,717"
15-Mar-2023,EQ,685.00,698.50,666.60,680.10,676.90,672.70,680.16,"2,380.50",666.60,"4,291,516","2,918,928,217.50","111,493"
14-Mar-2023,EQ,708.00,712.80,677.40,706.35,678.75,680.10,691.11,"2,380.50",677.40,"2,475,314","1,710,708,018.65","88,961"
13-Mar-2023,EQ,745.40,747.50,703.25,745.40,707.85,706.35,720.62,"2,380.50",703.25,"2,021,591","1,456,790,728.40","71,984"
10-Mar-2023,EQ,767.85,767.85,743.05,768.80,744.40,745.40,748.83,"2,380.50",743.05,"2,035,784","1,524,451,206.35","65,992"
09-Mar-2023,EQ,778.00,780.50,766.00,776.05,769.00,768.80,772.09,"2,380.50",761.00,"611,052","471,787,768.55","22,954"
08-Mar-2023,EQ,779.85,779.95,766.00,780.25,777.00,776.05,773.73,"2,380.50",761.00,"1,000,471","774,094,670.80","34,493"
06-Mar-2023,EQ,786.80,791.65,777.70,782.85,781.00,780.25,785.59,"2,380.50",761.00,"895,655","703,615,816.35","28,180"
03-Mar-2023,EQ,768.20,793.00,763.55,764.35,782.35,782.85,774.91,"2,380.50",761.00,"2,889,806","2,239,337,332.20","51,653"
02-Mar-2023,EQ,779.00,781.80,761.00,778.50,764.00,764.35,769.98,"2,380.50",761.00,"793,226","610,765,292.55","30,726"
01-Mar-2023,EQ,773.90,783.50,763.00,770.65,778.00,778.50,774.33,"2,380.50",763.00,"1,483,910","1,149,031,754.60","28,565"
28-Feb-2023,EQ,787.00,788.70,765.10,783.55,770.50,770.65,776.20,"2,380.50",765.10,"785,061","609,367,737.60","28,219"
27-Feb-2023,EQ,796.55,801.00,773.70,794.15,788.00,783.55,786.03,"2,380.50",773.70,"849,256","667,539,047.40","35,749"
24-Feb-2023,EQ,796.05,805.00,791.05,794.25,796.50,794.15,797.57,"2,380.50",785.05,"1,163,498","927,976,632.15","26,247"
23-Feb-2023,EQ,807.40,812.15,790.20,806.75,796.00,794.25,796.58,"2,380.50",785.05,"1,253,230","998,297,141.60","32,715"
22-Feb-2023,EQ,825.00,827.90,804.00,826.85,807.80,806.75,812.04,"2,380.50",785.05,"691,783","561,752,786.75","24,640"
21-Feb-2023,EQ,842.00,845.00,823.50,842.30,824.60,826.85,832.32,"2,380.50",785.05,"2,187,222","1,820,473,529.85","32,840"
20-Feb-2023,EQ,875.00,875.00,838.00,868.45,841.70,842.30,852.17,"2,380.50",785.05,"1,109,968","945,877,736.95","28,608"
17-Feb-2023,EQ,876.60,909.00,865.10,880.75,866.40,868.45,884.49,"2,380.50",785.05,"1,597,883","1,413,304,130.55","45,865"
16-Feb-2023,EQ,882.00,884.30,873.50,878.35,880.30,880.75,879.66,"2,380.50",785.05,"447,219","393,400,592.30","20,147"
15-Feb-2023,EQ,870.00,880.00,864.00,872.10,876.20,878.35,874.05,"2,380.50",785.05,"377,756","330,178,606.00","17,817"
14-Feb-2023,EQ,876.80,881.60,865.30,874.90,869.00,872.10,872.78,"2,380.50",785.05,"701,078","611,884,632.40","26,476"
13-Feb-2023,EQ,895.40,899.00,858.80,891.00,873.00,874.90,876.84,"2,380.50",785.05,"1,275,644","1,118,531,840.60","41,678"
10-Feb-2023,EQ,837.00,909.90,832.00,837.10,889.00,891.00,887.42,"2,528.90",785.05,"6,449,033","5,723,028,850.60","158,719"
09-Feb-2023,EQ,848.90,849.00,809.00,844.05,835.60,837.10,828.65,"2,528.90",785.05,"2,578,011","2,136,256,030.30","75,618"
08-Feb-2023,EQ,841.55,847.60,830.70,841.50,842.00,844.05,840.97,"2,528.90",785.05,"469,780","395,069,030.75","18,762"
07-Feb-2023,EQ,849.35,853.20,835.05,845.10,841.70,841.50,843.01,"2,528.90",785.05,"451,678","380,771,155.00","19,617"
06-Feb-2023,EQ,875.80,882.00,832.60,875.80,841.70,845.10,846.05,"2,528.90",785.05,"1,212,425","1,025,777,079.90","44,085"
03-Feb-2023,EQ,860.00,878.40,852.15,851.75,876.25,875.80,867.27,"2,560.00",785.05,"980,296","850,184,746.05","36,114"
02-Feb-2023,EQ,840.05,860.10,826.20,844.80,851.20,851.75,843.35,"2,560.00",785.05,"1,337,320","1,127,826,059.35","58,638"
01-Feb-2023,EQ,866.95,876.85,828.30,859.90,844.75,844.80,861.53,"2,560.00",785.05,"1,001,849","863,122,142.35","44,715"
31-Jan-2023,EQ,818.00,862.45,816.80,817.35,858.00,859.90,850.31,"2,560.00",785.05,"1,244,259","1,058,008,063.30","51,222"
30-Jan-2023,EQ,809.80,838.45,805.50,809.80,818.00,817.35,822.22,"2,560.00",785.05,"578,163","475,377,000.50","27,223"
27-Jan-2023,EQ,828.65,836.95,801.35,824.50,811.50,809.80,813.45,"2,560.00",785.05,"636,690","517,915,274.75","28,841"
25-Jan-2023,EQ,843.60,845.20,817.15,843.70,825.00,824.50,828.86,"2,560.00",785.05,"793,680","657,848,372.10","24,522"
24-Jan-2023,EQ,852.95,856.00,840.00,850.05,841.45,843.70,846.44,"2,560.00",785.05,"752,410","636,868,569.60","25,531"
23-Jan-2023,EQ,835.35,855.85,830.40,835.35,850.00,850.05,847.26,"2,560.00",785.05,"773,031","654,955,983.90","26,847"
20-Jan-2023,EQ,836.55,841.50,828.55,836.55,838.35,835.35,836.46,"2,698.25",785.05,"594,894","497,603,106.75","22,278"
19-Jan-2023,EQ,825.00,843.30,819.40,827.40,835.05,836.55,831.74,"2,698.25",785.05,"641,958","533,941,080.80","23,931"
18-Jan-2023,EQ,830.00,834.95,824.40,830.00,825.80,827.40,828.72,"2,698.25",785.05,"308,788","255,899,473.10","14,032"
17-Jan-2023,EQ,828.50,839.80,821.25,830.45,831.00,830.00,830.52,"2,698.25",785.05,"370,797","307,955,365.70","16,431"
16-Jan-2023,EQ,836.85,841.40,828.00,837.10,830.00,830.45,833.79,"2,698.25",785.05,"331,851","276,692,932.95","14,936"
13-Jan-2023,EQ,837.00,840.00,823.35,836.85,836.00,837.10,832.98,"2,698.25",785.05,"421,082","350,751,749.30","15,856"
12-Jan-2023,EQ,831.00,842.00,827.30,830.85,838.05,836.85,836.19,"2,698.25",785.05,"940,812","786,700,550.20","23,121"
11-Jan-2023,EQ,820.00,842.60,813.55,817.55,832.00,830.85,830.84,"2,698.25",785.05,"1,243,354","1,033,023,346.90","34,003"
10-Jan-2023,EQ,808.00,821.50,807.95,808.15,818.50,817.55,814.82,"2,698.25",785.05,"771,158","628,351,967.65","26,167"
09-Jan-2023,EQ,805.00,811.95,798.00,798.00,808.00,808.15,806.93,"2,698.25",785.05,"509,339","411,002,654.70","25,524"
06-Jan-2023,EQ,808.20,813.00,793.05,804.15,799.40,798.00,802.23,"2,750.00",785.05,"745,885","598,373,082.00","24,255"
05-Jan-2023,EQ,816.00,822.00,797.00,815.95,806.90,804.15,805.13,"2,750.00",785.05,"1,275,915","1,027,277,656.35","35,721"
04-Jan-2023,EQ,840.70,841.95,812.55,840.70,815.75,815.95,822.58,"2,750.00",785.05,"762,133","626,917,715.45","24,111"
03-Jan-2023,EQ,841.85,853.75,834.75,837.65,841.00,840.70,843.07,"2,750.00",785.05,"688,424","580,388,402.65","29,712"
02-Jan-2023,EQ,834.70,841.00,824.40,828.40,837.40,837.65,835.44,"2,750.00",785.05,"424,749","354,853,252.00","14,557"
30-Dec-2022,EQ,828.95,848.00,825.35,824.80,830.00,828.40,836.57,"2,750.00",785.05,"856,927","716,875,845.75","24,232"
29-Dec-2022,EQ,823.00,827.50,806.00,822.85,824.00,824.80,815.20,"2,750.00",785.05,"691,304","563,552,053.20","20,033"
28-Dec-2022,EQ,829.80,836.90,816.05,829.85,821.00,822.85,822.44,"2,750.00",785.05,"701,743","577,141,141.55","22,760"
27-Dec-2022,EQ,817.00,838.00,809.05,810.10,833.75,829.85,823.39,"2,750.00",785.05,"667,903","549,942,782.25","21,209"
26-Dec-2022,EQ,793.95,819.35,785.05,790.45,812.00,810.10,809.76,"2,750.00",785.05,"911,108","737,775,523.35","24,434"
23-Dec-2022,EQ,824.95,824.95,785.75,827.55,794.95,790.45,805.98,"2,750.00",785.05,"944,104","760,933,521.80","29,546"
22-Dec-2022,EQ,840.00,850.40,822.60,838.45,828.00,827.55,830.95,"2,750.00",785.05,"908,309","754,758,009.20","24,372"
21-Dec-2022,EQ,855.00,880.00,833.95,852.65,836.50,838.45,851.14,"2,750.00",785.05,"887,152","755,088,241.15","24,935"
20-Dec-2022,EQ,873.40,873.40,842.60,871.20,852.55,852.65,851.49,"2,750.00",785.05,"935,540","796,601,849.75","29,164"
19-Dec-2022,EQ,892.30,895.50,867.10,892.30,873.40,871.20,875.27,"2,750.00",785.05,"892,272","780,982,044.80","24,613"
16-Dec-2022,EQ,913.50,917.95,886.50,912.80,891.40,892.30,899.27,"2,804.70",785.05,"1,686,303","1,516,445,768.55","42,675"
15-Dec-2022,EQ,873.20,923.00,867.55,870.10,913.00,912.80,907.39,"2,804.70",785.05,"5,363,190","4,866,482,483.80","101,745"
14-Dec-2022,EQ,863.05,875.65,856.00,858.75,870.00,870.10,868.21,"2,804.70",785.05,"1,695,459","1,472,009,702.55","31,786"
13-Dec-2022,EQ,858.70,868.00,855.00,858.10,855.00,858.75,859.63,"2,804.70",785.05,"647,918","556,971,349.80","29,253"
12-Dec-2022,EQ,843.00,860.00,838.00,846.05,859.00,858.10,854.90,"2,804.70",785.05,"1,055,656","902,483,811.45","37,564"
09-Dec-2022,EQ,875.00,877.50,840.20,870.90,845.00,846.05,859.99,"2,804.70",785.05,"1,099,875","945,884,015.05","30,098"
08-Dec-2022,EQ,881.10,884.60,867.00,880.15,870.00,870.90,872.03,"2,804.70",785.05,"790,568","689,398,839.55","25,899"
07-Dec-2022,EQ,897.00,903.50,871.00,901.00,877.65,880.15,884.32,"2,804.70",785.05,"1,799,399","1,591,252,736.20","57,608"
06-Dec-2022,EQ,897.00,924.30,890.80,896.25,897.00,901.00,907.01,"2,804.70",785.05,"2,703,167","2,451,810,939.55","71,449"
05-Dec-2022,EQ,864.00,906.20,861.00,859.70,904.80,896.25,890.02,"2,804.70",785.05,"3,472,292","3,090,393,461.10","62,875"
02-Dec-2022,EQ,868.85,869.50,853.00,863.40,858.00,859.70,859.97,"2,804.70",785.05,"699,314","601,388,665.30","25,735"
01-Dec-2022,EQ,829.00,865.15,828.05,824.85,861.50,863.40,854.06,"2,804.70",785.05,"2,799,824","2,391,214,783.20","66,544"
30-Nov-2022,EQ,824.00,827.60,816.55,820.60,825.10,824.85,822.90,"2,804.70",785.05,"604,761","497,656,763.00","15,767"
29-Nov-2022,EQ,822.00,827.50,817.60,820.70,817.60,820.60,822.66,"2,804.70",785.05,"402,901","331,450,164.30","14,244"
28-Nov-2022,EQ,821.80,828.90,813.55,819.85,820.00,820.70,821.85,"2,804.70",785.05,"556,366","457,248,554.65","18,549"
25-Nov-2022,EQ,795.00,826.00,794.00,796.65,820.00,819.85,818.46,"2,804.70",785.05,"1,333,601","1,091,503,380.20","47,353"
24-Nov-2022,EQ,792.05,800.60,787.00,788.10,795.00,796.65,792.89,"2,804.70",785.05,"515,840","409,002,231.65","27,185"
23-Nov-2022,EQ,797.00,799.20,785.20,793.15,788.50,788.10,789.96,"2,804.70",785.05,"569,329","449,745,052.20","33,438"
22-Nov-2022,EQ,794.00,796.05,788.05,792.20,793.60,793.15,791.40,"2,804.70",785.05,"546,476","432,479,828.60","26,508"
21-Nov-2022,EQ,786.05,799.60,786.05,789.15,792.00,792.20,793.72,"2,804.70",785.05,"704,193","558,930,950.10","28,032"
18-Nov-2022,EQ,804.40,805.35,785.05,800.35,788.50,789.15,791.04,"2,804.70",785.05,"818,423","647,405,133.95","30,359"
17-Nov-2022,EQ,808.50,811.00,797.55,807.10,800.75,800.35,803.93,"2,804.70",786.15,"907,537","729,597,091.85","26,391"
16-Nov-2022,EQ,822.90,823.40,803.20,822.20,805.90,807.10,810.96,"2,804.70",786.15,"780,261","632,760,636.50","28,237"
15-Nov-2022,EQ,831.20,835.65,818.70,827.05,821.60,822.20,825.07,"2,804.70",786.15,"473,497","390,668,027.80","19,341"
14-Nov-2022,EQ,823.50,830.50,805.60,820.05,827.00,827.05,820.94,"2,804.70",786.15,"1,002,839","823,269,448.05","34,035"
11-Nov-2022,EQ,819.70,828.15,814.30,811.60,819.40,820.05,821.82,"2,863.45",786.15,"1,042,602","856,829,996.65","37,890"
10-Nov-2022,EQ,840.00,849.20,802.50,888.85,812.90,811.60,820.36,"2,863.45",786.15,"4,591,512","3,766,673,499.45","108,851"
09-Nov-2022,EQ,909.35,911.10,885.00,904.90,889.50,888.85,892.95,"2,863.45",786.15,"713,122","636,780,561.55","22,208"
07-Nov-2022,EQ,890.85,910.00,886.65,886.40,903.00,904.90,899.73,"2,863.45",786.15,"870,504","783,218,183.75","26,793"
04-Nov-2022,EQ,900.00,914.70,873.15,895.90,884.10,886.40,890.88,"2,863.45",786.15,"1,907,486","1,699,335,495.55","58,422"
03-Nov-2022,EQ,834.40,901.95,834.00,837.25,897.50,895.90,880.54,"2,863.45",786.15,"3,513,328","3,093,632,075.55","97,133"
02-Nov-2022,EQ,854.00,860.90,835.10,852.20,837.95,837.25,844.86,"2,863.45",786.15,"557,383","470,908,318.75","24,105"
01-Nov-2022,EQ,850.80,857.85,847.10,849.40,854.00,852.20,852.80,"2,863.45",786.15,"588,165","501,586,335.65","23,572"
31-Oct-2022,EQ,852.00,860.00,846.80,847.85,850.00,849.40,853.43,"2,863.45",786.15,"742,479","633,650,849.05","37,059"
28-Oct-2022,EQ,840.00,851.70,840.00,849.40,849.00,847.85,846.54,"2,863.45",786.15,"672,450","569,257,628.70","28,942"
27-Oct-2022,EQ,837.40,852.70,833.25,831.00,848.00,849.40,846.45,"2,863.45",786.15,"851,745","720,959,793.75","26,642"
25-Oct-2022,EQ,842.00,846.00,828.65,842.55,831.00,831.00,836.22,"2,863.45",786.15,"636,000","531,835,684.65","30,256"
24-Oct-2022,EQ,855.00,857.00,838.05,847.90,844.90,842.55,844.47,"2,863.45",786.15,"140,021","118,242,849.65","6,479"
21-Oct-2022,EQ,841.40,850.50,835.55,841.40,846.00,847.90,843.12,"2,877.90",786.15,"921,391","776,845,235.95","50,162"
20-Oct-2022,EQ,823.00,844.95,815.25,825.45,840.50,841.40,833.23,"2,877.90",786.15,"900,438","750,268,497.20","28,195"
19-Oct-2022,EQ,823.00,836.60,820.60,819.90,825.90,825.45,828.07,"2,877.90",786.15,"1,103,055","913,405,875.15","38,614"
18-Oct-2022,EQ,812.55,825.20,807.00,803.25,823.00,819.90,814.47,"2,877.90",786.15,"1,122,207","914,008,713.25","34,298"
17-Oct-2022,EQ,806.50,810.70,786.15,805.85,803.40,803.25,801.63,"2,877.90",786.15,"840,659","673,895,092.90","37,727"
14-Oct-2022,EQ,827.00,828.00,803.00,803.05,806.00,805.85,816.26,"2,877.90",795.80,"942,462","769,294,832.10","39,290"
13-Oct-2022,EQ,826.00,827.95,801.60,825.50,803.10,803.05,809.67,"2,877.90",795.80,"835,211","676,248,317.80","45,747"
12-Oct-2022,EQ,810.30,829.50,795.80,806.25,825.50,825.50,815.34,"2,877.90",795.80,"1,220,595","995,194,902.55","35,912"
11-Oct-2022,EQ,826.50,829.25,803.10,822.85,804.30,806.25,815.88,"2,877.90",803.10,"1,043,961","851,750,575.40","39,351"
10-Oct-2022,EQ,839.95,839.95,817.00,845.10,823.90,822.85,823.43,"2,877.90",817.00,"1,076,035","886,040,454.95","42,427"
