Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"4,794.75","4,927.75","4,771.00","4,804.85","4,910.00","4,906.15","4,860.86","5,278.95","3,092.05","222,718","1,082,601,225.25","24,014"
23-Jun-2023,EQ,"4,858.95","4,858.95","4,781.35","4,869.90","4,785.00","4,804.85","4,820.29","5,278.95","3,092.05","164,604","793,438,517.15","21,288"
22-Jun-2023,EQ,"4,917.00","4,936.95","4,856.05","4,937.40","4,865.00","4,869.90","4,888.00","5,278.95","3,092.05","213,145","1,041,853,176.55","17,803"
21-Jun-2023,EQ,"4,999.90","5,000.00","4,928.00","4,969.05","4,942.00","4,937.40","4,953.91","5,278.95","3,092.05","195,989","970,912,540.55","19,699"
20-Jun-2023,EQ,"4,950.00","4,975.00","4,905.75","4,943.10","4,971.00","4,969.05","4,946.00","5,278.95","3,092.05","196,462","971,701,266.40","15,886"
19-Jun-2023,EQ,"4,940.05","4,980.00","4,910.95","4,958.75","4,935.00","4,943.10","4,945.35","5,278.95","3,092.05","212,753","1,052,137,983.05","15,950"
16-Jun-2023,EQ,"5,005.00","5,005.00","4,931.00","4,984.25","4,950.00","4,958.75","4,963.88","5,278.95","3,092.05","250,192","1,241,923,317.40","22,559"
15-Jun-2023,EQ,"4,950.00","5,010.00","4,906.00","4,964.25","4,968.00","4,984.25","4,983.17","5,278.95","3,092.05","372,058","1,854,029,386.10","25,541"
14-Jun-2023,EQ,"4,928.00","4,987.35","4,862.00","5,040.20","4,970.00","4,964.25","4,917.47","5,278.95","3,092.05","517,393","2,544,264,932.15","40,476"
13-Jun-2023,EQ,"5,011.95","5,085.00","4,985.00","4,983.70","5,035.25","5,040.20","5,046.73","5,278.95","3,092.05","360,095","1,817,302,344.85","30,125"
12-Jun-2023,EQ,"4,920.05","5,002.00","4,839.00","4,886.75","4,977.00","4,983.70","4,955.66","5,278.95","3,092.05","276,496","1,370,219,057.55","24,096"
09-Jun-2023,EQ,"4,939.95","4,946.00","4,820.00","4,926.15","4,877.00","4,886.75","4,871.80","5,278.95","3,092.05","374,362","1,823,817,051.40","41,481"
08-Jun-2023,EQ,"5,040.00","5,040.00","4,915.00","5,018.55","4,935.00","4,926.15","4,951.34","5,278.95","3,092.05","216,000","1,069,489,950.25","29,177"
07-Jun-2023,EQ,"5,000.00","5,039.00","4,970.00","4,981.05","5,009.35","5,018.55","5,007.89","5,278.95","3,092.05","229,124","1,147,428,344.40","23,273"
06-Jun-2023,EQ,"5,098.00","5,098.00","4,905.00","5,209.45","4,985.00","4,981.05","4,981.44","5,278.95","3,092.05","759,668","3,784,236,866.05","71,879"
05-Jun-2023,EQ,"5,268.00","5,276.00","5,191.50","5,226.50","5,200.00","5,209.45","5,225.89","5,278.95","3,092.05","106,367","555,861,726.40","10,940"
02-Jun-2023,EQ,"5,200.00","5,278.95","5,175.00","5,173.50","5,224.70","5,226.50","5,229.70","5,278.95","3,092.05","383,230","2,004,178,740.30","35,992"
01-Jun-2023,EQ,"5,158.00","5,201.00","5,094.25","5,138.40","5,170.00","5,173.50","5,153.87","5,201.00","3,092.05","283,454","1,460,883,833.85","29,245"
31-May-2023,EQ,"5,068.45","5,159.00","5,050.00","5,072.35","5,142.00","5,138.40","5,122.99","5,160.00","3,092.05","330,284","1,692,040,335.25","29,024"
30-May-2023,EQ,"5,043.85","5,101.50","5,026.15","5,039.25","5,068.70","5,072.35","5,068.33","5,160.00","3,092.05","215,994","1,094,728,415.50","23,747"
29-May-2023,EQ,"5,133.65","5,133.65","5,031.25","5,088.95","5,041.05","5,039.25","5,077.67","5,160.00","3,092.05","246,803","1,253,185,156.20","25,667"
26-May-2023,EQ,"5,066.00","5,160.00","5,031.40","5,026.50","5,075.25","5,088.95","5,114.85","5,160.00","3,092.05","586,129","2,997,964,025.95","44,751"
25-May-2023,EQ,"4,990.00","5,043.00","4,966.15","4,966.70","5,035.00","5,026.50","5,011.98","5,135.00","3,092.05","220,280","1,104,038,382.80","21,595"
24-May-2023,EQ,"4,935.00","5,059.95","4,895.35","4,950.05","4,980.00","4,966.70","4,990.20","5,135.00","3,092.05","402,580","2,008,955,055.50","28,913"
23-May-2023,EQ,"5,040.00","5,096.00","4,940.00","5,041.10","4,950.00","4,950.05","5,003.16","5,135.00","3,092.05","339,022","1,696,179,652.90","42,960"
22-May-2023,EQ,"4,900.00","5,056.25","4,890.00","4,888.20","5,040.00","5,041.10","4,964.72","5,135.00","3,092.05","433,771","2,153,550,655.70","31,174"
19-May-2023,EQ,"4,785.00","4,896.00","4,765.40","4,748.25","4,880.00","4,888.20","4,854.28","5,135.00","3,092.05","508,919","2,470,433,039.35","39,596"
18-May-2023,EQ,"4,846.95","4,854.20","4,735.30","4,804.35","4,743.00","4,748.25","4,797.34","5,135.00","3,092.05","180,362","865,257,481.80","18,548"
17-May-2023,EQ,"4,725.75","4,813.45","4,684.00","4,718.00","4,805.00","4,804.35","4,752.92","5,135.00","3,092.05","356,831","1,695,988,232.20","29,984"
16-May-2023,EQ,"4,715.00","4,814.00","4,675.00","4,691.35","4,714.00","4,718.00","4,754.55","5,135.00","3,092.05","330,323","1,570,538,576.60","30,373"
15-May-2023,EQ,"4,660.00","4,701.45","4,617.00","4,651.90","4,699.00","4,691.35","4,678.74","5,135.00","3,092.05","155,642","728,208,158.35","15,680"
12-May-2023,EQ,"4,679.00","4,718.30","4,626.75","4,667.20","4,646.10","4,651.90","4,669.61","5,135.00","3,092.05","209,608","978,787,906.40","19,626"
11-May-2023,EQ,"4,717.00","4,725.70","4,648.90","4,671.80","4,669.15","4,667.20","4,677.67","5,135.00","3,092.05","230,208","1,076,837,509.70","22,938"
10-May-2023,EQ,"4,726.00","4,726.00","4,657.50","4,695.10","4,672.65","4,671.80","4,686.54","5,135.00","3,092.05","141,399","662,672,386.75","13,089"
09-May-2023,EQ,"4,700.00","4,766.00","4,681.30","4,674.25","4,692.75","4,695.10","4,726.27","5,135.00","3,092.05","274,423","1,296,997,239.65","22,059"
08-May-2023,EQ,"4,673.00","4,695.95","4,636.00","4,639.75","4,666.10","4,674.25","4,664.21","5,135.00","3,092.05","190,163","886,959,545.45","26,739"
05-May-2023,EQ,"4,669.00","4,716.60","4,627.75","4,669.25","4,634.65","4,639.75","4,658.52","5,135.00","3,092.05","210,638","981,261,346.00","28,939"
04-May-2023,EQ,"4,685.65","4,718.00","4,620.00","4,677.95","4,663.45","4,669.25","4,663.15","5,135.00","3,092.05","248,605","1,159,281,355.80","25,008"
03-May-2023,EQ,"4,720.00","4,749.40","4,671.00","4,750.90","4,683.00","4,677.95","4,707.61","5,135.00","3,092.05","279,559","1,316,054,734.20","25,058"
02-May-2023,EQ,"4,757.00","4,822.45","4,730.45","4,737.25","4,731.25","4,750.90","4,776.43","5,135.00","3,092.05","273,054","1,304,223,951.20","27,054"
28-Apr-2023,EQ,"4,598.00","4,769.80","4,590.05","4,583.20","4,727.00","4,737.25","4,720.70","5,135.00","3,092.05","584,752","2,760,440,245.05","68,834"
27-Apr-2023,EQ,"4,469.80","4,631.90","4,445.00","4,472.20","4,566.00","4,583.20","4,566.39","5,135.00","3,092.05","453,725","2,071,886,771.40","33,332"
26-Apr-2023,EQ,"4,408.05","4,545.50","4,351.30","4,472.20","4,460.05","4,472.20","4,481.87","5,135.00","3,092.05","583,786","2,616,450,997.00","51,439"
25-Apr-2023,EQ,"4,395.00","4,498.00","4,364.35","4,442.30","4,462.85","4,472.20","4,429.80","5,135.00","3,092.05","764,971","3,388,669,996.50","60,555"
24-Apr-2023,EQ,"4,340.00","4,468.95","4,335.05","4,301.35","4,468.95","4,442.30","4,418.49","5,135.00","3,092.05","719,217","3,177,856,072.20","70,732"
21-Apr-2023,EQ,"4,300.00","4,348.50","4,225.00","4,290.05","4,333.00","4,301.35","4,288.45","5,135.00","3,092.05","243,354","1,043,611,427.15","21,963"
20-Apr-2023,EQ,"4,339.90","4,374.05","4,270.00","4,317.40","4,280.00","4,290.05","4,314.43","5,135.00","3,092.05","200,831","866,472,010.30","23,157"
19-Apr-2023,EQ,"4,369.95","4,390.00","4,283.00","4,355.60","4,328.60","4,317.40","4,337.50","5,135.00","3,092.05","367,600","1,594,464,828.30","41,613"
18-Apr-2023,EQ,"4,244.95","4,382.00","4,180.00","4,204.55","4,360.00","4,355.60","4,271.21","5,135.00","3,092.05","656,221","2,802,857,540.00","49,335"
17-Apr-2023,EQ,"4,200.00","4,225.00","3,962.05","4,391.75","4,210.00","4,204.55","4,126.74","5,135.00","3,092.05","1,323,898","5,463,377,134.60","128,881"
13-Apr-2023,EQ,"4,516.50","4,540.00","4,351.00","4,543.60","4,399.00","4,391.75","4,404.45","5,135.00","3,092.05","622,154","2,740,248,944.05","82,311"
12-Apr-2023,EQ,"4,514.65","4,564.00","4,500.00","4,512.50","4,563.00","4,543.60","4,543.00","5,135.00","3,092.05","185,390","842,226,945.95","22,666"
11-Apr-2023,EQ,"4,569.00","4,569.00","4,491.30","4,569.75","4,501.65","4,512.50","4,522.59","5,135.00","3,092.05","183,969","832,017,172.05","26,463"
10-Apr-2023,EQ,"4,548.00","4,583.50","4,491.00","4,547.30","4,568.00","4,569.75","4,542.26","5,135.00","3,092.05","132,523","601,953,927.95","18,994"
06-Apr-2023,EQ,"4,526.00","4,583.00","4,508.80","4,550.55","4,534.30","4,547.30","4,547.82","5,135.00","3,092.05","232,981","1,059,556,289.85","24,724"
05-Apr-2023,EQ,"4,534.00","4,574.95","4,470.10","4,533.55","4,555.00","4,550.55","4,528.67","5,135.00","3,092.05","246,942","1,118,319,317.25","25,208"
03-Apr-2023,EQ,"4,630.00","4,634.20","4,462.00","4,609.50","4,534.00","4,533.55","4,517.02","5,135.00","3,092.05","327,490","1,479,278,762.55","31,719"
31-Mar-2023,EQ,"4,581.85","4,650.00","4,533.00","4,541.80","4,604.00","4,609.50","4,578.56","5,135.00","3,092.05","591,127","2,706,510,425.25","34,555"
29-Mar-2023,EQ,"4,417.00","4,555.50","4,387.10","4,425.05","4,550.00","4,541.80","4,469.10","5,135.00","3,092.05","394,439","1,762,786,510.25","33,311"
28-Mar-2023,EQ,"4,379.00","4,448.35","4,356.45","4,367.10","4,410.00","4,425.05","4,410.25","5,135.00","3,092.05","189,022","833,633,927.20","22,910"
