Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,218.8,220.9,216.65,218.8,220.2,220.35,219.7,242.4,195.7,"1,083,389","238,017,496.00","18,436"
23-Jun-2023,EQ,222.85,223.0,218.5,222.85,218.7,218.8,219.41,242.4,195.4,"1,206,748","264,770,962.30","18,679"
22-Jun-2023,EQ,226.0,226.5,222.1,225.9,222.8,222.85,223.98,242.4,195.4,"1,625,405","364,061,605.40","22,295"
21-Jun-2023,EQ,224.45,226.5,224.0,224.05,226.5,225.9,225.49,242.4,195.4,"985,611","222,240,627.10","24,585"
20-Jun-2023,EQ,225.15,226.1,222.8,226.0,224.15,224.05,224.06,242.4,195.4,"1,882,038","421,694,685.50","53,727"
19-Jun-2023,EQ,227.35,227.35,225.1,226.1,225.7,226.0,225.87,242.4,195.4,"1,010,996","228,353,739.00","35,253"
16-Jun-2023,EQ,228.0,228.35,225.55,227.75,226.6,226.1,226.39,242.4,195.4,"2,978,816","674,368,816.55","34,172"
15-Jun-2023,EQ,231.0,231.0,226.25,230.05,227.55,227.75,227.67,242.4,195.4,"2,070,529","471,396,279.95","23,538"
14-Jun-2023,EQ,223.25,231.0,222.75,223.25,229.75,230.05,228.01,242.4,195.4,"3,227,498","735,891,771.95","31,367"
13-Jun-2023,EQ,224.25,224.85,222.95,224.1,223.25,223.25,223.47,242.4,195.4,"1,657,978","370,510,237.45","19,700"
12-Jun-2023,EQ,223.5,225.1,221.8,222.8,223.85,224.1,223.92,242.4,195.4,"2,066,522","462,729,590.40","24,489"
09-Jun-2023,EQ,222.7,223.1,221.05,222.7,222.65,222.8,222.23,242.4,195.4,"1,457,734","323,957,293.90","21,087"
08-Jun-2023,EQ,224.1,225.6,222.35,223.45,222.65,222.7,223.59,242.4,195.4,"1,973,569","441,273,362.05","16,092"
07-Jun-2023,EQ,224.0,224.45,223.0,223.45,224.0,223.45,223.48,242.4,195.4,"2,099,481","469,190,654.65","20,078"
06-Jun-2023,EQ,224.05,225.0,222.85,224.05,223.35,223.45,223.48,242.4,195.4,"1,168,437","261,123,251.70","11,590"
05-Jun-2023,EQ,223.0,224.6,222.05,222.7,224.2,224.05,223.62,242.4,195.4,"1,672,398","373,975,070.15","14,783"
