Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,200.25,203.65,198.1,200.15,200.1,199.85,200.07,211.9,100.85,"7,424,746","1,485,444,589.80","44,814"
23-Jun-2023,EQ,202.95,204.0,198.85,203.25,200.1,200.15,200.56,211.9,97.1,"7,258,270","1,455,697,156.95","53,655"
22-Jun-2023,EQ,208.95,209.4,201.0,208.8,202.95,203.25,204.49,211.9,97.1,"9,326,013","1,907,075,378.80","65,033"
21-Jun-2023,EQ,204.75,211.9,204.2,203.95,209.3,208.8,208.39,211.9,97.1,"16,604,952","3,460,343,658.40","100,685"
20-Jun-2023,EQ,197.75,204.5,196.5,197.25,204.3,203.95,201.04,204.5,97.1,"7,781,286","1,564,360,489.35","57,512"
19-Jun-2023,EQ,197.1,199.55,195.75,197.1,197.45,197.25,197.66,204.4,97.1,"7,397,549","1,462,173,718.55","43,155"
16-Jun-2023,EQ,196.85,198.4,194.25,200.9,197.25,197.1,196.55,204.4,97.1,"9,861,048","1,938,187,714.35","53,944"
15-Jun-2023,EQ,200.5,203.3,199.3,201.05,201.15,200.9,201.6,204.4,97.1,"8,432,262","1,699,918,996.55","50,940"
14-Jun-2023,EQ,204.4,204.4,199.75,203.05,200.9,201.05,201.49,204.4,97.1,"10,438,154","2,103,134,282.60","58,749"
13-Jun-2023,EQ,202.55,204.15,198.0,202.15,203.15,203.05,201.66,204.15,97.1,"11,349,466","2,288,725,968.40","71,870"
12-Jun-2023,EQ,199.45,203.0,198.8,198.7,202.3,202.15,201.53,203.0,97.1,"6,765,017","1,363,359,568.45","50,162"
09-Jun-2023,EQ,198.0,199.5,195.65,196.85,198.7,198.7,198.19,199.5,97.1,"6,323,263","1,253,177,048.20","48,828"
08-Jun-2023,EQ,196.2,199.15,194.85,196.45,197.05,196.85,197.2,199.15,97.1,"8,465,643","1,669,419,819.30","52,376"
07-Jun-2023,EQ,195.45,197.25,195.0,194.5,196.5,196.45,196.31,197.5,97.1,"6,298,160","1,236,417,445.40","39,207"
06-Jun-2023,EQ,194.4,197.2,191.65,193.65,194.6,194.5,194.47,197.5,97.1,"10,567,472","2,055,056,257.95","71,915"
05-Jun-2023,EQ,191.55,197.5,190.45,190.45,193.55,193.65,194.23,197.5,97.1,"15,595,565","3,029,135,912.25","83,460"
02-Jun-2023,EQ,184.0,191.0,183.35,183.2,190.1,190.45,188.94,191.0,97.1,"19,369,171","3,659,535,510.70","116,669"
01-Jun-2023,EQ,182.0,183.9,181.8,182.4,183.3,183.2,183.2,183.9,97.1,"6,403,213","1,173,070,794.55","37,074"
31-May-2023,EQ,180.9,183.45,179.55,181.15,182.15,182.4,181.79,183.45,97.1,"11,030,532","2,005,243,408.40","73,183"
30-May-2023,EQ,174.95,181.65,173.75,174.3,180.9,181.15,178.16,181.65,97.1,"15,495,553","2,760,748,147.15","59,483"
29-May-2023,EQ,173.8,177.2,172.15,170.45,174.15,174.3,175.09,177.45,97.1,"12,923,369","2,262,743,778.25","101,865"
26-May-2023,EQ,171.8,173.0,168.75,170.6,170.0,170.45,170.5,177.45,97.1,"3,855,560","657,359,901.65","23,281"
25-May-2023,EQ,166.45,171.0,166.05,166.5,171.0,170.6,169.34,177.45,97.1,"9,463,504","1,602,562,457.95","42,882"
24-May-2023,EQ,165.75,166.9,164.7,165.75,166.65,166.5,166.22,177.45,97.1,"4,279,187","711,277,871.25","30,353"
23-May-2023,EQ,166.7,167.7,165.3,166.3,165.55,165.75,166.44,177.45,97.1,"6,000,329","998,683,061.50","48,092"
22-May-2023,EQ,165.65,166.95,164.1,165.65,166.7,166.3,165.27,177.45,97.1,"6,642,266","1,097,734,499.15","42,929"
19-May-2023,EQ,165.0,166.55,163.3,164.85,165.45,165.65,165.28,177.45,97.1,"6,348,109","1,049,218,751.50","36,308"
18-May-2023,EQ,165.65,168.6,164.15,164.35,164.95,164.85,166.68,177.45,97.1,"9,509,302","1,584,971,448.60","59,657"
17-May-2023,EQ,168.0,168.8,163.0,167.3,164.8,164.35,165.17,177.45,97.1,"11,594,204","1,915,032,759.25","49,798"
16-May-2023,EQ,172.2,174.35,166.65,171.15,167.7,167.3,170.21,177.45,97.1,"18,604,245","3,166,618,259.85","69,966"
15-May-2023,EQ,165.25,172.0,164.3,164.65,171.0,171.15,168.9,177.45,97.1,"12,142,121","2,050,758,456.95","60,093"
12-May-2023,EQ,162.15,165.2,158.65,164.6,164.85,164.65,162.66,177.45,97.1,"22,450,063","3,651,747,704.55","97,046"
11-May-2023,EQ,166.0,168.6,163.65,165.3,164.45,164.6,165.98,177.45,97.1,"9,679,853","1,606,659,733.15","73,385"
