Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"2,650.00","2,669.00","2,623.95","2,658.30","2,635.85","2,630.90","2,637.97","2,918.95","2,079.00","243,751","643,006,705.55","18,705"
23-Jun-2023,EQ,"2,650.40","2,683.60","2,636.00","2,636.30","2,657.00","2,658.30","2,663.00","2,918.95","2,010.65","789,589","2,102,677,262.65","29,184"
22-Jun-2023,EQ,"2,683.95","2,688.50","2,632.10","2,671.25","2,639.95","2,636.30","2,658.21","2,918.95","2,010.65","163,415","434,391,355.70","14,375"
21-Jun-2023,EQ,"2,700.00","2,703.00","2,660.30","2,678.50","2,671.05","2,671.25","2,678.64","2,918.95","2,010.65","347,029","929,567,432.15","21,458"
20-Jun-2023,EQ,"2,674.90","2,701.00","2,670.80","2,673.30","2,685.00","2,678.50","2,686.04","2,918.95","2,010.65","447,600","1,202,271,188.60","28,841"
19-Jun-2023,EQ,"2,709.00","2,718.95","2,668.00","2,697.70","2,675.25","2,673.30","2,686.00","2,918.95","2,010.65","300,224","806,400,527.25","23,266"
16-Jun-2023,EQ,"2,694.00","2,705.00","2,667.65","2,680.70","2,700.00","2,697.70","2,688.77","2,918.95","1,988.55","435,650","1,171,362,197.60","35,985"
15-Jun-2023,EQ,"2,714.05","2,724.85","2,672.40","2,693.10","2,681.05","2,680.70","2,693.77","2,918.95","1,988.55","401,002","1,080,206,530.60","32,125"
14-Jun-2023,EQ,"2,686.00","2,729.65","2,675.75","2,686.65","2,690.00","2,693.10","2,702.60","2,918.95","1,988.55","513,278","1,387,183,300.25","40,244"
13-Jun-2023,EQ,"2,666.00","2,735.00","2,656.55","2,640.75","2,680.00","2,686.65","2,710.55","2,918.95","1,988.55","874,863","2,371,360,873.50","68,037"
12-Jun-2023,EQ,"2,616.25","2,659.80","2,607.75","2,614.95","2,647.65","2,640.75","2,637.90","2,918.95","1,988.55","234,521","618,641,848.85","21,395"
09-Jun-2023,EQ,"2,638.00","2,652.95","2,610.50","2,634.45","2,613.00","2,614.95","2,627.82","2,918.95","1,988.55","100,618","264,405,851.45","12,820"
08-Jun-2023,EQ,"2,664.00","2,678.00","2,621.65","2,654.85","2,635.05","2,634.45","2,647.69","2,918.95","1,988.55","164,181","434,700,514.15","13,872"
07-Jun-2023,EQ,"2,631.00","2,664.40","2,631.00","2,624.10","2,652.00","2,654.85","2,652.51","2,918.95","1,988.55","182,315","483,592,773.20","22,441"
06-Jun-2023,EQ,"2,637.00","2,653.45","2,609.80","2,638.55","2,625.50","2,624.10","2,629.07","2,918.95","1,988.55","127,143","334,267,522.75","16,564"
05-Jun-2023,EQ,"2,639.00","2,651.80","2,625.00","2,632.45","2,643.90","2,638.55","2,638.80","2,918.95","1,988.55","115,456","304,665,547.05","13,557"
02-Jun-2023,EQ,"2,652.55","2,661.50","2,623.00","2,651.55","2,634.15","2,632.45","2,634.56","2,918.95","1,988.55","263,292","693,659,874.30","27,194"
01-Jun-2023,EQ,"2,618.00","2,669.00","2,614.05","2,607.85","2,651.45","2,651.55","2,651.61","2,918.95","1,988.55","478,918","1,269,904,160.15","31,124"
31-May-2023,EQ,"2,600.05","2,618.70","2,592.10","2,594.20","2,612.00","2,607.85","2,606.62","2,918.95","1,988.55","495,074","1,290,469,146.20","29,395"
30-May-2023,EQ,"2,590.00","2,605.00","2,572.60","2,582.95","2,587.40","2,594.20","2,592.35","2,918.95","1,988.55","181,279","469,938,159.50","18,631"
29-May-2023,EQ,"2,595.55","2,599.00","2,570.00","2,586.15","2,579.95","2,582.95","2,579.99","2,918.95","1,988.55","219,835","567,171,717.70","18,822"
26-May-2023,EQ,"2,540.95","2,591.30","2,521.00","2,523.25","2,589.00","2,586.15","2,562.71","2,918.95","1,988.55","311,970","799,489,268.45","23,044"
25-May-2023,EQ,"2,523.00","2,541.95","2,496.00","2,526.65","2,540.15","2,523.25","2,511.67","2,918.95","1,988.55","359,963","904,107,646.75","25,982"
24-May-2023,EQ,"2,517.00","2,535.90","2,510.80","2,533.30","2,532.00","2,526.65","2,522.88","2,918.95","1,988.55","234,361","591,264,640.95","15,062"
23-May-2023,EQ,"2,549.00","2,555.45","2,528.00","2,535.20","2,528.05","2,533.30","2,540.05","2,918.95","1,988.55","183,100","465,083,873.35","12,125"
22-May-2023,EQ,"2,563.10","2,574.45","2,526.00","2,566.60","2,535.00","2,535.20","2,535.97","2,918.95","1,988.55","255,297","647,425,395.05","20,963"
19-May-2023,EQ,"2,552.25","2,575.70","2,545.30","2,552.25","2,570.00","2,566.60","2,563.25","2,918.95","1,988.55","313,001","802,301,129.85","19,495"
18-May-2023,EQ,"2,555.20","2,571.20","2,542.10","2,545.10","2,551.00","2,552.25","2,557.85","2,918.95","1,988.55","394,341","1,008,665,832.80","14,270"
17-May-2023,EQ,"2,539.95","2,559.20","2,523.05","2,544.20","2,555.20","2,545.10","2,544.12","2,918.95","1,988.55","655,757","1,668,321,415.40","17,018"
16-May-2023,EQ,"2,568.45","2,580.00","2,540.00","2,550.35","2,548.90","2,544.20","2,561.64","2,918.95","1,988.55","202,738","519,341,309.45","19,203"
15-May-2023,EQ,"2,587.00","2,600.00","2,545.40","2,587.25","2,555.00","2,550.35","2,569.70","2,918.95","1,988.55","248,675","639,019,746.50","20,879"
12-May-2023,EQ,"2,580.00","2,613.75","2,555.00","2,566.45","2,581.00","2,587.25","2,592.38","2,918.95","1,988.55","671,693","1,741,280,950.65","45,827"
11-May-2023,EQ,"2,539.95","2,575.00","2,523.90","2,509.40","2,564.00","2,566.45","2,545.42","2,918.95","1,988.55","840,132","2,138,488,563.45","48,631"
10-May-2023,EQ,"2,477.00","2,544.90","2,477.00","2,471.75","2,510.80","2,509.40","2,519.61","2,918.95","1,988.55","1,196,164","3,013,866,703.05","74,145"
09-May-2023,EQ,"2,425.00","2,478.50","2,400.15","2,450.70","2,469.00","2,471.75","2,444.60","2,918.95","1,988.55","1,102,876","2,696,088,064.40","52,860"
08-May-2023,EQ,"2,480.35","2,492.00","2,417.00","2,472.10","2,454.90","2,450.70","2,448.39","2,918.95","1,988.55","682,720","1,671,567,382.05","44,666"
05-May-2023,EQ,"2,470.35","2,486.90","2,461.50","2,465.15","2,472.00","2,472.10","2,476.11","2,918.95","1,988.55","341,393","845,327,166.85","29,364"
04-May-2023,EQ,"2,474.95","2,474.95","2,450.75","2,463.95","2,464.95","2,465.15","2,461.31","2,918.95","1,988.55","299,652","737,535,951.30","24,610"
03-May-2023,EQ,"2,422.95","2,469.70","2,413.65","2,419.75","2,460.00","2,463.95","2,455.75","2,918.95","1,988.55","536,625","1,317,818,273.30","44,281"
02-May-2023,EQ,"2,429.00","2,431.00","2,406.00","2,419.25","2,419.10","2,419.75","2,420.92","2,918.95","1,988.55","189,298","458,274,854.75","22,643"
28-Apr-2023,EQ,"2,395.05","2,422.50","2,376.00","2,389.20","2,415.00","2,419.25","2,404.47","2,918.95","1,988.55","378,439","909,945,011.80","49,643"
27-Apr-2023,EQ,"2,428.45","2,449.85","2,385.00","2,411.75","2,390.00","2,389.20","2,407.93","2,918.95","1,988.55","330,033","794,697,689.85","26,668"
26-Apr-2023,EQ,"2,407.95","2,430.00","2,403.80","2,411.35","2,408.00","2,411.75","2,415.76","2,918.95","1,988.55","261,256","631,131,724.65","27,292"
25-Apr-2023,EQ,"2,421.15","2,428.85","2,403.00","2,421.15","2,410.00","2,411.35","2,411.64","2,918.95","1,988.55","198,464","478,623,855.30","24,562"
24-Apr-2023,EQ,"2,450.00","2,450.40","2,416.00","2,440.15","2,421.95","2,421.15","2,427.59","2,918.95","1,988.55","184,164","447,074,872.30","20,594"
21-Apr-2023,EQ,"2,419.90","2,445.05","2,414.00","2,408.10","2,440.00","2,440.15","2,433.16","2,918.95","1,988.55","367,124","893,272,563.00","27,577"
