Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,807.95","3,864.00","3,800.00","3,807.40","3,830.50","3,850.80","3,835.40","4,011.15","2,511.95","133,085","510,434,861.60","15,477"
23-Jun-2023,EQ,"3,862.00","3,867.85","3,792.75","3,866.25","3,807.90","3,807.40","3,822.28","4,011.15","2,442.10","409,182","1,564,007,072.30","36,622"
22-Jun-2023,EQ,"3,996.00","3,998.85","3,846.90","3,972.45","3,872.00","3,866.25","3,892.40","4,011.15","2,442.10","252,898","984,381,360.40","30,200"
21-Jun-2023,EQ,"3,900.00","4,011.15","3,859.75","3,879.95","3,997.15","3,972.45","3,932.47","4,011.15","2,442.10","223,923","880,571,462.55","23,742"
20-Jun-2023,EQ,"3,849.00","3,888.95","3,831.90","3,854.00","3,880.00","3,879.95","3,858.02","3,939.75","2,442.10","240,900","929,396,766.05","21,510"
19-Jun-2023,EQ,"3,928.95","3,939.75","3,828.85","3,904.45","3,860.00","3,854.00","3,861.60","3,939.75","2,442.10","210,766","813,893,409.50","22,065"
16-Jun-2023,EQ,"3,870.00","3,933.00","3,840.00","3,854.70","3,905.00","3,904.45","3,905.97","3,933.00","2,442.10","439,922","1,718,321,656.80","28,400"
15-Jun-2023,EQ,"3,832.00","3,869.80","3,818.95","3,821.15","3,844.90","3,854.70","3,847.82","3,869.80","2,442.10","234,009","900,425,261.50","24,649"
14-Jun-2023,EQ,"3,769.35","3,831.60","3,725.00","3,761.45","3,824.00","3,821.15","3,797.78","3,831.60","2,442.10","328,223","1,246,518,926.10","26,485"
13-Jun-2023,EQ,"3,761.90","3,774.15","3,735.05","3,736.80","3,760.00","3,761.45","3,754.45","3,824.85","2,442.10","217,820","817,793,332.35","20,614"
12-Jun-2023,EQ,"3,639.00","3,769.80","3,633.75","3,619.90","3,740.00","3,736.80","3,734.73","3,824.85","2,442.10","680,960","2,543,199,850.20","69,612"
09-Jun-2023,EQ,"3,556.00","3,667.50","3,552.55","3,631.45","3,610.05","3,619.90","3,629.96","3,824.85","2,442.10","336,757","1,222,415,850.75","25,520"
08-Jun-2023,EQ,"3,724.00","3,824.85","3,620.00","3,679.40","3,637.90","3,631.45","3,724.53","3,824.85","2,442.10","638,261","2,377,219,470.65","52,306"
07-Jun-2023,EQ,"3,599.70","3,698.00","3,580.10","3,587.00","3,682.00","3,679.40","3,662.33","3,698.45","2,442.10","379,723","1,390,671,009.30","35,479"
06-Jun-2023,EQ,"3,540.00","3,600.00","3,520.15","3,534.80","3,595.35","3,587.00","3,574.38","3,698.45","2,442.10","241,109","861,814,314.75","26,837"
05-Jun-2023,EQ,"3,490.00","3,539.00","3,485.00","3,481.70","3,525.00","3,534.80","3,519.42","3,698.45","2,442.10","161,528","568,484,104.05","21,935"
02-Jun-2023,EQ,"3,538.10","3,561.85","3,467.95","3,519.55","3,482.00","3,481.70","3,490.91","3,698.45","2,442.10","292,937","1,022,617,065.10","29,636"
