Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,50.55,50.6,49.7,50.5,50.4,50.3,50.1,62.0,28.75,"23,362,169","1,170,537,484.40","37,952"
23-Jun-2023,EQ,50.8,50.9,50.15,51.0,50.4,50.5,50.55,62.0,28.05,"28,505,207","1,440,896,683.15","41,856"
22-Jun-2023,EQ,53.15,53.2,50.75,52.85,51.15,51.0,51.64,62.0,28.05,"53,046,985","2,739,501,036.45","89,411"
21-Jun-2023,EQ,52.05,53.25,51.8,51.9,52.9,52.85,52.63,62.0,28.05,"52,583,478","2,767,716,537.90","74,503"
20-Jun-2023,EQ,51.85,52.25,51.45,51.95,51.95,51.9,51.79,62.0,28.05,"23,194,150","1,201,258,462.30","33,538"
19-Jun-2023,EQ,51.35,52.5,51.2,51.55,51.9,51.95,51.96,62.0,28.05,"34,057,742","1,769,788,844.00","53,886"
16-Jun-2023,EQ,50.7,52.45,50.5,50.4,51.25,51.55,51.6,62.0,28.05,"96,884,339","4,999,553,127.35","72,683"
15-Jun-2023,EQ,51.8,52.05,50.2,51.8,50.35,50.4,51.1,62.0,28.05,"33,888,122","1,731,613,513.50","61,364"
14-Jun-2023,EQ,52.2,52.3,51.65,52.0,51.65,51.8,51.9,62.0,28.05,"16,336,696","847,836,106.30","28,955"
13-Jun-2023,EQ,51.9,52.2,51.55,51.55,52.0,52.0,51.88,62.0,28.05,"17,963,382","931,899,912.65","27,043"
12-Jun-2023,EQ,51.4,51.85,50.95,51.35,51.8,51.55,51.34,62.0,28.05,"17,394,733","892,993,775.25","28,726"
09-Jun-2023,EQ,52.15,52.2,51.2,51.95,51.3,51.35,51.59,62.0,28.05,"20,964,121","1,081,555,981.65","32,065"
08-Jun-2023,EQ,52.45,52.65,51.75,52.35,51.95,51.95,52.18,62.0,28.05,"31,319,973","1,634,288,998.55","47,984"
07-Jun-2023,EQ,52.15,52.45,52.05,52.05,52.4,52.35,52.27,62.0,28.05,"16,129,252","843,117,532.25","33,748"
06-Jun-2023,EQ,52.35,52.35,51.55,52.15,52.0,52.05,51.95,62.0,28.05,"18,736,434","973,390,048.65","31,443"
05-Jun-2023,EQ,52.55,52.8,52.0,52.3,52.15,52.15,52.38,62.0,28.05,"19,034,598","997,105,011.00","39,305"
02-Jun-2023,EQ,51.8,52.5,51.8,51.7,52.3,52.3,52.29,62.0,28.05,"25,135,897","1,314,431,327.25","42,303"
01-Jun-2023,EQ,51.85,52.25,51.55,51.85,51.7,51.7,51.97,62.0,28.05,"29,135,650","1,514,105,219.75","48,802"
31-May-2023,EQ,51.4,51.95,50.9,51.45,51.85,51.85,51.49,62.0,28.05,"36,101,259","1,858,760,590.90","47,923"
30-May-2023,EQ,50.8,51.55,50.65,50.8,51.45,51.45,51.2,62.0,28.05,"31,271,579","1,601,070,018.25","43,918"
29-May-2023,EQ,50.65,51.35,50.3,50.35,50.75,50.8,50.9,62.0,28.05,"33,668,195","1,713,730,372.65","50,666"
26-May-2023,EQ,49.75,50.5,49.7,49.65,50.35,50.35,50.22,62.0,28.05,"24,170,849","1,213,754,051.65","37,322"
25-May-2023,EQ,50.05,50.05,49.35,49.9,49.75,49.65,49.67,62.0,28.05,"27,256,728","1,353,706,970.10","38,726"
24-May-2023,EQ,50.25,50.8,49.8,50.6,49.85,49.9,50.24,62.0,28.05,"25,931,404","1,302,862,708.60","45,516"
23-May-2023,EQ,50.75,50.95,50.3,50.55,50.5,50.6,50.66,62.0,28.05,"30,905,073","1,565,697,010.40","45,564"
22-May-2023,EQ,49.85,50.75,49.7,49.25,50.55,50.55,50.42,62.0,28.05,"59,690,876","3,009,791,306.75","84,088"
