Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,435.00","3,480.00","3,416.00","3,427.65","3,479.00","3,466.35","3,459.75","3,618.00","2,104.00","204,577","707,785,441.00","22,779"
23-Jun-2023,EQ,"3,491.00","3,511.15","3,415.25","3,483.95","3,432.00","3,427.65","3,446.77","3,618.00","2,043.85","272,568","939,480,372.60","28,633"
22-Jun-2023,EQ,"3,450.00","3,555.00","3,441.10","3,418.35","3,489.90","3,483.95","3,508.36","3,618.00","2,043.85","899,667","3,156,359,950.55","77,106"
21-Jun-2023,EQ,"3,529.40","3,560.95","3,379.75","3,542.45","3,454.00","3,418.35","3,465.67","3,618.00","2,043.85","468,855","1,624,895,576.40","50,795"
20-Jun-2023,EQ,"3,540.00","3,569.80","3,515.65","3,529.65","3,543.00","3,542.45","3,537.61","3,618.00","2,043.85","275,988","976,338,071.60","38,907"
19-Jun-2023,EQ,"3,585.00","3,599.50","3,514.25","3,574.70","3,529.95","3,529.65","3,550.00","3,618.00","2,043.85","169,991","603,467,441.30","22,835"
16-Jun-2023,EQ,"3,550.00","3,586.95","3,538.20","3,559.00","3,575.00","3,574.70","3,558.40","3,618.00","2,043.85","223,482","795,239,052.55","28,043"
15-Jun-2023,EQ,"3,575.00","3,593.60","3,549.55","3,587.80","3,556.00","3,559.00","3,569.17","3,618.00","2,043.85","184,254","657,633,550.90","23,613"
14-Jun-2023,EQ,"3,607.00","3,607.00","3,571.60","3,583.90","3,580.05","3,587.80","3,587.10","3,618.00","2,043.85","153,118","549,249,371.90","19,377"
13-Jun-2023,EQ,"3,534.00","3,590.00","3,519.45","3,534.10","3,583.85","3,583.90","3,570.87","3,618.00","2,043.85","249,758","891,854,133.75","23,928"
12-Jun-2023,EQ,"3,548.00","3,558.00","3,510.40","3,547.50","3,533.00","3,534.10","3,535.32","3,618.00","2,043.85","243,029","859,184,696.15","24,152"
