Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,390.70","1,390.95","1,368.70","1,381.70","1,375.00","1,374.95","1,377.02","2,214.85","1,336.40","512,503","705,727,381.90","19,654"
23-Jun-2023,EQ,"1,383.90","1,390.35","1,366.60","1,381.50","1,380.10","1,381.70","1,380.01","2,214.85","1,336.40","366,721","506,080,079.60","19,023"
22-Jun-2023,EQ,"1,391.65","1,395.25","1,378.00","1,388.25","1,384.95","1,381.50","1,385.48","2,214.85","1,336.40","329,851","457,002,281.90","20,516"
21-Jun-2023,EQ,"1,402.00","1,409.10","1,380.90","1,401.60","1,387.55","1,388.25","1,389.95","2,214.85","1,336.40","712,574","990,445,567.55","28,942"
20-Jun-2023,EQ,"1,422.90","1,430.70","1,391.05","1,422.95","1,400.00","1,401.60","1,403.21","2,214.85","1,336.40","729,427","1,023,536,563.85","37,979"
19-Jun-2023,EQ,"1,452.00","1,455.90","1,414.60","1,450.95","1,424.00","1,422.95","1,431.92","2,214.85","1,336.40","732,131","1,048,350,330.10","29,802"
16-Jun-2023,EQ,"1,509.95","1,516.80","1,445.00","1,498.80","1,448.00","1,450.95","1,481.25","2,214.85","1,336.40","1,121,757","1,661,599,368.45","52,617"
15-Jun-2023,EQ,"1,470.00","1,509.00","1,465.50","1,456.85","1,499.00","1,498.80","1,492.32","2,214.85","1,336.40","1,315,471","1,963,102,152.85","57,838"
14-Jun-2023,EQ,"1,457.00","1,463.15","1,445.80","1,446.95","1,460.50","1,456.85","1,455.71","2,214.85","1,336.40","349,079","508,158,800.20","17,762"
13-Jun-2023,EQ,"1,455.95","1,465.00","1,441.00","1,441.25","1,448.00","1,446.95","1,451.49","2,214.85","1,336.40","328,543","476,876,617.90","14,713"
12-Jun-2023,EQ,"1,430.95","1,447.45","1,416.75","1,414.35","1,443.35","1,441.25","1,437.02","2,214.85","1,336.40","603,346","867,021,903.30","25,064"
09-Jun-2023,EQ,"1,430.00","1,436.50","1,407.00","1,429.50","1,408.00","1,414.35","1,421.85","2,214.85","1,336.40","334,934","476,225,638.60","17,868"
08-Jun-2023,EQ,"1,444.50","1,445.25","1,424.00","1,442.95","1,430.00","1,429.50","1,434.34","2,214.85","1,336.40","197,707","283,579,764.80","12,242"
07-Jun-2023,EQ,"1,451.00","1,458.50","1,440.60","1,449.05","1,441.45","1,442.95","1,449.62","2,214.85","1,336.40","314,283","455,590,430.60","18,682"
06-Jun-2023,EQ,"1,435.00","1,451.00","1,426.90","1,430.70","1,450.00","1,449.05","1,439.91","2,214.85","1,336.40","446,228","642,528,734.55","18,673"
05-Jun-2023,EQ,"1,408.05","1,443.50","1,408.05","1,399.90","1,429.00","1,430.70","1,431.78","2,214.85","1,336.40","907,532","1,299,386,011.75","39,512"
02-Jun-2023,EQ,"1,416.25","1,420.30","1,395.85","1,416.20","1,402.25","1,399.90","1,401.74","2,214.85","1,336.40","387,978","543,844,920.65","28,157"
01-Jun-2023,EQ,"1,422.00","1,424.85","1,411.95","1,415.35","1,413.05","1,416.20","1,417.47","2,214.85","1,336.40","246,275","349,087,529.80","15,010"
31-May-2023,EQ,"1,415.80","1,421.95","1,408.00","1,415.80","1,412.95","1,415.35","1,413.79","2,214.85","1,336.40","393,786","556,731,905.10","17,601"
30-May-2023,EQ,"1,398.00","1,420.00","1,393.00","1,398.35","1,414.00","1,415.80","1,413.48","2,214.85","1,336.40","378,678","535,255,559.40","32,329"
29-May-2023,EQ,"1,421.00","1,421.25","1,392.10","1,404.45","1,395.60","1,398.35","1,401.19","2,214.85","1,336.40","235,434","329,886,857.00","19,232"
26-May-2023,EQ,"1,352.55","1,407.50","1,352.55","1,361.30","1,406.00","1,404.45","1,387.53","2,214.85","1,336.40","782,615","1,085,904,412.95","36,226"
25-May-2023,EQ,"1,369.95","1,369.95","1,356.00","1,365.55","1,357.00","1,361.30","1,362.28","2,214.85","1,336.40","201,762","274,855,666.05","13,452"
24-May-2023,EQ,"1,350.00","1,369.95","1,346.80","1,349.90","1,365.00","1,365.55","1,359.91","2,214.85","1,336.40","503,323","684,474,555.20","23,620"
23-May-2023,EQ,"1,349.55","1,365.05","1,341.50","1,348.00","1,343.70","1,349.90","1,355.37","2,214.85","1,336.40","695,683","942,908,173.40","21,266"
22-May-2023,EQ,"1,371.55","1,371.55","1,347.00","1,372.60","1,350.00","1,348.00","1,353.44","2,214.85","1,336.40","486,737","658,768,418.15","23,933"
19-May-2023,EQ,"1,384.95","1,384.95","1,365.00","1,374.45","1,373.00","1,372.60","1,371.25","2,214.85","1,336.40","189,521","259,881,569.10","11,638"
