Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,164.3,170.8,161.65,163.45,170.4,170.15,167.57,206.35,141.5,"3,855,822","646,105,616.20","25,242"
23-Jun-2023,EQ,165.9,166.95,162.2,165.1,163.85,163.45,164.42,206.35,128.6,"1,757,181","288,924,456.05","15,789"
22-Jun-2023,EQ,171.15,171.95,163.45,170.85,165.2,165.1,167.05,206.35,128.6,"2,454,198","409,979,923.75","20,844"
21-Jun-2023,EQ,172.3,173.0,169.5,171.75,171.05,170.85,171.26,206.35,128.6,"1,650,980","282,743,515.75","13,426"
20-Jun-2023,EQ,172.0,173.8,170.65,172.9,171.8,171.75,171.97,206.35,128.6,"2,402,845","413,218,625.25","17,179"
19-Jun-2023,EQ,173.15,176.0,172.0,172.15,172.55,172.9,174.22,206.35,128.6,"3,905,145","680,366,627.25","24,955"
16-Jun-2023,EQ,168.45,174.75,167.2,167.5,172.3,172.15,172.17,206.35,128.6,"9,456,484","1,628,157,998.70","54,416"
15-Jun-2023,EQ,170.0,171.95,167.0,166.55,167.25,167.5,169.1,206.35,128.6,"9,467,547","1,600,962,807.75","54,541"
14-Jun-2023,EQ,158.5,168.0,157.0,158.5,167.95,166.55,164.2,206.35,128.6,"7,245,851","1,189,746,041.35","45,070"
13-Jun-2023,EQ,158.95,159.95,157.8,158.2,158.0,158.5,158.73,206.35,128.6,"1,031,317","163,704,670.60","9,757"
12-Jun-2023,EQ,158.25,159.65,156.6,158.1,158.4,158.2,158.08,206.35,128.6,"805,323","127,303,059.65","7,011"
09-Jun-2023,EQ,159.75,161.8,157.1,159.2,157.65,158.1,159.53,206.35,128.6,"1,265,039","201,809,345.50","12,267"
08-Jun-2023,EQ,161.95,163.2,158.8,161.1,159.3,159.2,160.96,206.35,128.6,"1,465,668","235,911,210.25","11,995"
07-Jun-2023,EQ,162.9,163.5,160.75,161.6,161.1,161.1,161.8,206.35,128.6,"1,305,596","211,248,782.15","11,753"
