Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,166.5,168.75,165.0,166.5,165.8,165.95,166.78,189.3,80.35,"6,351,555","1,059,298,470.90","22,243"
23-Jun-2023,EQ,167.0,167.9,164.55,166.95,165.9,166.5,166.38,189.3,74.15,"7,795,087","1,296,915,860.05","31,821"
22-Jun-2023,EQ,172.15,172.5,166.25,172.15,167.25,166.95,168.34,189.3,74.15,"7,249,547","1,220,368,409.60","31,078"
21-Jun-2023,EQ,172.05,175.75,170.9,172.65,171.8,172.15,172.9,189.3,74.15,"4,919,666","850,585,742.00","21,620"
20-Jun-2023,EQ,171.15,174.85,170.45,171.95,172.8,172.65,172.57,189.3,74.15,"5,482,575","946,119,064.20","25,116"
19-Jun-2023,EQ,172.55,175.85,171.15,173.35,171.7,171.95,173.28,189.3,74.15,"6,065,819","1,051,097,564.05","26,567"
16-Jun-2023,EQ,168.0,174.7,166.8,166.65,173.0,173.35,171.27,189.3,74.15,"10,048,339","1,720,939,027.30","43,210"
15-Jun-2023,EQ,173.8,173.95,166.2,173.35,166.8,166.65,169.04,189.3,74.15,"10,136,342","1,713,431,236.30","51,858"
14-Jun-2023,EQ,178.05,179.5,172.9,178.65,173.3,173.35,175.37,189.3,74.15,"5,400,506","947,073,324.30","25,353"
13-Jun-2023,EQ,178.65,179.5,175.75,177.95,178.2,178.65,178.18,189.3,74.15,"5,881,090","1,047,869,400.65","29,378"
12-Jun-2023,EQ,175.5,178.5,174.2,174.75,177.9,177.95,176.23,189.3,74.15,"4,323,572","761,933,004.10","20,700"
09-Jun-2023,EQ,173.5,180.0,173.1,173.45,175.0,174.75,176.92,189.3,74.15,"9,844,707","1,741,757,549.95","43,664"
08-Jun-2023,EQ,175.75,177.8,172.9,175.75,173.95,173.45,175.01,189.3,74.15,"6,311,098","1,104,503,115.60","31,164"
07-Jun-2023,EQ,175.5,178.15,175.35,175.5,175.5,175.75,176.8,189.3,74.15,"6,473,065","1,144,429,931.75","38,512"
06-Jun-2023,EQ,173.2,176.4,170.85,173.2,175.35,175.5,173.8,189.3,74.15,"8,692,716","1,510,801,923.10","32,955"
05-Jun-2023,EQ,170.0,175.15,168.55,169.15,173.6,173.2,172.48,189.3,74.15,"10,269,611","1,771,281,550.00","42,892"
02-Jun-2023,EQ,169.7,171.2,167.55,168.5,168.85,169.15,169.59,189.3,74.15,"11,685,051","1,981,630,429.45","52,859"
01-Jun-2023,EQ,162.85,171.6,162.5,162.1,168.55,168.5,168.81,189.3,74.15,"22,614,405","3,817,506,042.80","84,767"
31-May-2023,EQ,163.0,164.35,158.7,163.0,161.45,162.1,161.49,189.3,74.15,"13,249,346","2,139,691,175.75","48,715"
30-May-2023,EQ,153.5,163.7,152.95,153.75,163.0,163.0,160.57,189.3,74.15,"23,319,418","3,744,446,790.95","84,704"
29-May-2023,EQ,149.15,154.5,149.0,148.35,153.5,153.75,152.88,189.3,74.15,"10,463,140","1,599,563,391.35","37,915"
26-May-2023,EQ,147.4,149.4,146.45,147.05,148.35,148.35,148.03,189.3,74.15,"4,800,760","710,639,998.80","17,894"
25-May-2023,EQ,145.0,148.1,144.15,145.45,146.9,147.05,145.71,189.3,74.15,"4,080,777","594,605,495.25","18,975"
24-May-2023,EQ,147.1,147.7,145.2,147.45,145.35,145.45,146.32,189.3,74.15,"3,631,239","531,325,958.05","15,541"
23-May-2023,EQ,143.2,148.8,143.2,143.2,147.2,147.45,147.12,189.3,74.15,"9,921,820","1,459,684,688.35","48,567"
22-May-2023,EQ,144.0,144.7,142.55,144.0,142.85,143.2,143.36,189.3,74.15,"4,217,412","604,588,822.05","22,237"
19-May-2023,EQ,143.15,144.5,138.85,142.05,143.75,144.0,141.93,189.3,74.15,"8,677,099","1,231,548,970.45","31,521"
18-May-2023,EQ,145.95,146.9,141.25,144.65,142.0,142.05,144.18,189.3,74.15,"7,289,548","1,051,032,235.60","31,503"
17-May-2023,EQ,149.0,149.45,143.55,149.45,144.75,144.65,145.82,189.3,74.15,"9,721,237","1,417,588,277.70","35,723"
16-May-2023,EQ,153.25,153.8,149.0,152.45,149.35,149.45,151.36,189.3,74.15,"6,820,104","1,032,259,920.40","28,140"
15-May-2023,EQ,147.5,153.0,145.75,147.3,153.0,152.45,148.96,189.3,74.15,"11,154,319","1,661,593,550.45","33,058"
12-May-2023,EQ,150.0,150.9,146.7,150.6,147.4,147.3,147.77,189.3,74.15,"8,368,312","1,236,597,898.20","32,805"
11-May-2023,EQ,153.0,153.2,150.05,150.4,151.0,150.6,151.37,189.3,74.15,"9,211,461","1,394,338,973.20","31,724"
10-May-2023,EQ,151.45,152.2,147.7,151.45,151.0,150.4,149.71,189.3,74.15,"5,886,662","881,316,680.00","26,095"
09-May-2023,EQ,153.0,154.4,150.3,152.5,150.65,151.45,152.32,189.3,74.15,"5,560,658","846,992,566.20","21,552"
08-May-2023,EQ,149.4,153.3,148.3,148.95,152.95,152.5,151.78,189.3,74.15,"6,295,527","955,566,311.90","24,837"
05-May-2023,EQ,155.0,156.0,148.0,155.35,148.2,148.95,151.67,189.3,74.15,"10,032,385","1,521,583,973.45","41,450"
04-May-2023,EQ,155.05,156.75,154.25,154.85,155.6,155.35,155.31,189.3,74.15,"5,158,249","801,102,491.10","20,613"
03-May-2023,EQ,153.5,156.95,151.6,154.6,155.0,154.85,154.99,189.3,74.15,"9,863,862","1,528,809,998.70","39,012"
02-May-2023,EQ,159.3,159.3,154.1,161.8,154.55,154.6,155.95,189.3,74.15,"16,643,955","2,595,604,356.60","60,435"
28-Apr-2023,EQ,160.0,163.35,159.25,159.35,161.0,161.8,161.56,189.3,74.15,"9,010,110","1,455,673,180.85","35,867"
27-Apr-2023,EQ,152.85,160.3,152.8,153.35,159.2,159.35,157.48,189.3,74.15,"10,817,116","1,703,433,087.20","41,947"
26-Apr-2023,EQ,152.1,154.9,151.4,153.05,153.5,153.35,153.52,189.3,74.15,"4,827,715","741,134,028.80","20,546"
25-Apr-2023,EQ,151.5,155.35,151.1,151.5,152.85,153.05,153.39,189.3,74.15,"5,516,084","846,103,786.20","23,250"
24-Apr-2023,EQ,148.0,151.9,148.0,147.65,151.6,151.5,150.55,189.3,74.15,"5,768,073","868,386,872.00","24,201"
21-Apr-2023,EQ,150.25,150.25,146.2,149.6,146.8,147.65,147.8,189.3,74.15,"5,273,122","779,393,529.70","19,544"
20-Apr-2023,EQ,150.45,153.15,148.3,149.45,149.5,149.6,150.69,189.3,74.15,"8,857,391","1,334,677,702.05","31,497"
19-Apr-2023,EQ,154.55,155.3,148.5,154.55,148.6,149.45,151.25,189.3,74.15,"7,461,705","1,128,570,522.35","33,184"
18-Apr-2023,EQ,153.1,156.3,153.1,154.35,154.0,154.55,154.65,189.3,74.15,"6,296,024","973,658,713.00","24,918"
17-Apr-2023,EQ,147.1,155.3,146.25,147.1,154.3,154.35,152.74,189.3,74.15,"14,098,234","2,153,364,026.10","57,315"
13-Apr-2023,EQ,145.85,149.0,142.75,145.35,148.75,147.1,145.16,189.3,74.15,"5,649,745","820,114,891.90","22,446"
