Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,157.0,159.4,155.2,156.0,156.6,156.25,156.3,168.85,91.05,"10,223,521","1,597,946,026.05","57,759"
23-Jun-2023,EQ,160.0,160.9,155.45,159.05,156.35,156.0,157.8,168.85,91.05,"8,520,782","1,344,595,868.30","58,707"
22-Jun-2023,EQ,163.9,163.9,156.5,163.85,159.25,159.05,158.81,168.85,91.05,"14,009,571","2,224,853,007.40","94,825"
21-Jun-2023,EQ,161.1,168.85,160.6,159.8,163.9,163.85,164.42,168.85,91.05,"24,747,224","4,069,027,431.55","130,870"
20-Jun-2023,EQ,153.95,161.0,153.3,153.85,161.0,159.8,157.12,161.0,91.05,"15,061,901","2,366,511,071.70","76,691"
19-Jun-2023,EQ,153.0,154.6,152.05,152.6,154.0,153.85,153.29,156.2,91.05,"7,123,074","1,091,910,942.10","50,912"
16-Jun-2023,EQ,151.75,153.65,150.55,151.55,152.8,152.6,152.39,156.2,91.05,"7,403,920","1,128,291,157.35","41,113"
15-Jun-2023,EQ,154.65,155.15,151.0,153.7,151.3,151.55,152.81,156.2,91.05,"7,666,988","1,171,620,843.00","33,356"
14-Jun-2023,EQ,155.4,155.95,152.95,154.9,153.75,153.7,153.88,156.2,91.05,"7,737,722","1,190,655,798.45","40,195"
13-Jun-2023,EQ,155.15,156.2,151.8,154.6,154.85,154.9,154.48,156.2,91.05,"12,418,368","1,918,385,620.90","60,883"
12-Jun-2023,EQ,149.6,155.1,148.8,149.05,154.7,154.6,153.32,155.1,91.05,"14,649,620","2,246,146,868.45","72,976"
09-Jun-2023,EQ,145.9,149.45,145.2,145.8,148.6,149.05,148.31,149.45,91.05,"8,270,232","1,226,550,774.95","42,540"
08-Jun-2023,EQ,146.6,147.5,145.0,146.55,146.1,145.8,146.03,147.5,91.05,"6,645,263","970,386,598.70","29,442"
07-Jun-2023,EQ,146.6,147.35,146.15,146.15,146.5,146.55,146.55,147.35,91.05,"3,927,043","575,505,776.75","20,416"
06-Jun-2023,EQ,145.5,146.4,142.9,145.25,146.4,146.15,145.02,147.2,91.05,"5,730,697","831,057,271.15","47,872"
05-Jun-2023,EQ,145.0,147.2,144.65,144.25,145.1,145.25,146.1,147.2,91.05,"10,772,251","1,573,777,336.45","61,312"
02-Jun-2023,EQ,141.75,145.2,141.45,140.6,144.0,144.25,143.65,145.2,91.05,"11,032,233","1,584,811,828.50","61,948"
01-Jun-2023,EQ,142.15,142.45,140.4,141.55,140.8,140.6,141.5,142.65,91.05,"6,036,123","854,101,726.50","35,582"
31-May-2023,EQ,140.45,142.65,139.75,140.35,141.4,141.55,141.5,142.65,91.05,"13,591,196","1,923,175,740.95","52,716"
30-May-2023,EQ,136.0,141.0,135.2,135.85,140.3,140.35,138.75,141.0,91.05,"15,899,557","2,206,052,726.85","54,109"
29-May-2023,EQ,134.5,137.8,134.0,133.45,135.55,135.85,136.31,140.8,91.05,"11,395,309","1,553,316,893.85","58,233"
26-May-2023,EQ,133.0,133.85,132.05,133.0,133.45,133.45,132.99,140.8,91.05,"6,649,980","884,397,916.75","26,956"
25-May-2023,EQ,130.8,133.35,130.5,130.9,133.25,133.0,132.26,140.8,91.05,"7,354,404","972,718,968.00","27,461"
24-May-2023,EQ,130.5,131.45,129.8,130.5,130.9,130.9,130.68,140.8,91.05,"4,991,702","652,325,471.75","22,393"
23-May-2023,EQ,129.5,131.5,128.35,129.0,130.3,130.5,130.2,140.8,91.05,"9,958,429","1,296,586,412.35","52,133"
22-May-2023,EQ,129.8,130.4,128.8,129.8,129.0,129.0,129.63,140.8,91.05,"7,575,592","982,041,368.60","47,023"
19-May-2023,EQ,130.25,130.55,127.4,129.5,129.95,129.8,129.06,140.8,91.05,"7,924,933","1,022,820,882.80","31,544"
18-May-2023,EQ,133.1,134.35,129.05,133.1,129.25,129.5,132.01,140.8,91.05,"11,351,018","1,498,415,277.90","59,185"
17-May-2023,EQ,133.4,134.25,131.35,132.65,133.2,133.1,132.67,140.8,91.05,"9,026,909","1,197,565,593.70","39,072"
16-May-2023,EQ,136.95,137.55,132.25,136.35,132.75,132.65,134.85,140.8,91.05,"18,848,790","2,541,683,683.60","48,301"
15-May-2023,EQ,133.45,136.8,131.7,132.85,136.6,136.35,135.29,140.8,91.05,"8,845,743","1,196,743,733.65","38,686"
12-May-2023,EQ,131.4,133.35,130.35,131.6,132.75,132.85,131.93,140.8,91.05,"6,697,676","883,629,530.15","27,767"
11-May-2023,EQ,132.35,133.6,131.35,131.45,131.6,131.6,132.38,140.8,91.05,"7,647,215","1,012,333,674.75","30,071"
10-May-2023,EQ,132.1,132.45,130.7,131.95,132.1,131.45,131.5,140.8,91.05,"5,728,123","753,258,616.60","19,689"
09-May-2023,EQ,133.7,135.45,131.5,133.6,132.0,131.95,133.0,140.8,91.05,"6,029,220","801,895,415.65","34,026"
08-May-2023,EQ,132.9,135.25,132.5,132.3,133.85,133.6,133.75,140.8,91.05,"8,158,248","1,091,137,104.85","31,648"
05-May-2023,EQ,137.05,137.7,132.1,136.9,132.7,132.3,134.38,140.8,91.05,"12,581,014","1,690,632,850.35","69,492"
04-May-2023,EQ,136.7,140.8,136.25,136.15,136.7,136.9,138.28,140.8,91.05,"12,035,888","1,664,293,902.55","46,518"
03-May-2023,EQ,136.2,138.6,135.75,136.45,136.35,136.15,136.97,138.6,91.05,"10,032,855","1,374,207,736.45","39,881"
02-May-2023,EQ,133.9,138.4,133.05,132.15,136.4,136.45,136.52,138.55,91.05,"20,740,058","2,831,426,839.40","99,687"
28-Apr-2023,EQ,125.45,132.4,125.15,125.1,132.25,132.15,129.92,138.55,91.05,"24,029,372","3,121,923,270.55","88,075"
27-Apr-2023,EQ,125.2,125.8,124.45,125.3,124.95,125.1,125.04,138.55,91.05,"3,724,514","465,702,031.75","13,242"
26-Apr-2023,EQ,125.0,126.0,124.35,125.05,125.3,125.3,125.35,138.55,91.05,"4,179,866","523,927,826.30","22,442"
25-Apr-2023,EQ,124.4,127.45,124.0,123.95,125.1,125.05,125.93,138.55,91.05,"9,397,015","1,183,409,064.25","39,745"
24-Apr-2023,EQ,122.05,124.15,121.05,121.9,124.1,123.95,123.16,138.55,91.05,"4,726,202","582,084,600.95","26,921"
21-Apr-2023,EQ,122.7,123.25,121.55,122.7,121.9,121.9,122.14,138.55,91.05,"3,961,253","483,842,000.65","21,258"
20-Apr-2023,EQ,122.85,123.55,122.25,122.85,122.8,122.7,122.83,138.55,91.05,"2,099,290","257,852,919.05","14,846"
19-Apr-2023,EQ,123.25,124.35,122.55,123.25,122.95,122.85,123.43,138.55,91.05,"2,394,983","295,618,370.55","22,757"
18-Apr-2023,EQ,123.4,124.4,121.8,122.9,123.2,123.25,122.94,138.55,91.05,"8,159,668","1,003,127,598.85","32,623"
17-Apr-2023,EQ,121.25,123.6,120.5,121.35,123.1,122.9,122.62,138.55,91.05,"6,166,859","756,204,401.45","31,957"
13-Apr-2023,EQ,123.4,123.4,120.0,123.3,121.35,121.35,121.37,138.55,91.05,"5,447,261","661,108,915.40","25,829"
12-Apr-2023,EQ,124.05,124.65,123.0,124.35,123.3,123.3,123.68,138.55,91.05,"3,505,826","433,612,051.20","21,693"
11-Apr-2023,EQ,124.3,125.6,122.6,124.05,124.25,124.35,124.07,138.55,91.05,"6,856,892","850,743,516.75","35,946"
10-Apr-2023,EQ,119.1,124.45,118.55,118.75,124.2,124.05,122.49,138.55,91.05,"13,996,876","1,714,466,554.50","49,454"
06-Apr-2023,EQ,117.2,119.65,116.7,117.7,118.85,118.75,118.8,138.55,91.05,"5,950,739","706,935,285.40","24,161"
05-Apr-2023,EQ,117.15,118.1,116.0,117.1,117.7,117.7,117.01,138.55,91.05,"4,746,533","555,404,359.00","18,997"
03-Apr-2023,EQ,116.15,117.3,115.65,115.45,117.05,117.1,116.84,138.55,91.05,"3,774,391","441,002,977.10","22,049"
31-Mar-2023,EQ,116.0,117.15,115.05,115.75,115.9,115.45,115.83,138.55,91.05,"7,157,701","829,068,570.05","29,777"
29-Mar-2023,EQ,114.05,116.0,113.8,114.1,115.35,115.75,115.17,138.55,91.05,"3,240,893","373,254,058.05","20,438"
28-Mar-2023,EQ,115.45,115.5,113.2,115.05,114.0,114.1,114.28,138.55,91.05,"3,499,631","399,933,964.10","27,893"
27-Mar-2023,EQ,115.15,115.9,113.8,115.15,115.0,115.05,115.03,138.55,91.05,"4,746,510","545,976,103.25","27,771"
24-Mar-2023,EQ,117.4,117.5,114.8,117.4,115.05,115.15,116.08,138.55,91.05,"4,063,763","471,724,581.95","20,629"
23-Mar-2023,EQ,118.0,118.9,117.05,118.5,117.25,117.4,117.84,138.55,91.05,"4,117,362","485,200,800.10","17,599"
22-Mar-2023,EQ,118.9,120.1,118.2,118.65,118.75,118.5,119.18,138.55,91.05,"4,909,359","585,118,879.70","21,784"
21-Mar-2023,EQ,116.95,118.85,116.2,116.15,118.7,118.65,117.59,138.55,91.05,"6,321,736","743,367,955.10","34,247"
20-Mar-2023,EQ,118.9,118.9,115.05,118.35,116.2,116.15,116.56,138.55,91.05,"4,336,995","505,511,365.45","22,801"
17-Mar-2023,EQ,118.0,118.95,115.65,117.2,118.5,118.35,117.6,138.55,91.05,"17,093,755","2,010,200,412.65","51,205"
16-Mar-2023,EQ,116.8,117.85,114.9,116.75,117.15,117.2,116.79,138.55,91.05,"8,218,711","959,875,814.80","29,970"
15-Mar-2023,EQ,117.6,119.6,116.4,117.05,117.0,116.75,118.42,138.55,91.05,"6,316,701","748,041,791.70","30,758"
14-Mar-2023,EQ,119.55,119.65,116.75,119.65,117.15,117.05,118.08,138.55,91.05,"7,954,918","939,343,558.80","40,351"
13-Mar-2023,EQ,123.2,123.45,119.0,122.4,120.15,119.65,120.67,138.55,91.05,"7,017,652","846,795,808.70","32,228"
10-Mar-2023,EQ,126.05,126.05,121.25,126.05,122.6,122.4,122.79,138.55,91.05,"10,105,366","1,240,838,336.40","47,107"
09-Mar-2023,EQ,124.95,128.45,124.7,124.65,126.3,126.05,126.8,138.55,91.05,"13,020,658","1,651,082,926.60","60,098"
08-Mar-2023,EQ,120.8,125.2,120.15,121.45,124.75,124.65,123.72,138.55,91.05,"12,807,032","1,584,528,040.30","58,930"
06-Mar-2023,EQ,118.75,122.25,118.25,118.15,121.65,121.45,120.94,138.55,91.05,"9,315,446","1,126,650,594.40","46,306"
03-Mar-2023,EQ,116.5,118.9,116.5,115.75,118.2,118.15,118.16,138.55,91.05,"7,553,470","892,485,666.45","37,320"
02-Mar-2023,EQ,115.25,116.1,114.85,115.05,115.75,115.75,115.56,138.55,91.05,"3,413,410","394,448,866.50","18,835"
01-Mar-2023,EQ,114.75,115.55,113.85,114.3,115.0,115.05,114.95,138.55,91.05,"7,363,118","846,396,733.90","28,513"
28-Feb-2023,EQ,112.2,115.0,111.95,111.9,114.5,114.3,113.82,138.55,91.05,"9,034,566","1,028,307,959.20","27,866"
27-Feb-2023,EQ,112.9,113.0,110.75,113.0,112.1,111.9,111.66,138.55,91.05,"4,467,937","498,892,873.00","27,660"
24-Feb-2023,EQ,113.4,113.8,112.4,112.8,113.0,113.0,113.13,138.55,91.05,"3,476,646","393,329,849.10","20,711"
23-Feb-2023,EQ,112.0,113.15,111.25,112.05,112.95,112.8,112.5,138.55,91.05,"3,623,161","407,609,011.45","18,952"
22-Feb-2023,EQ,113.0,113.45,111.5,113.95,112.05,112.05,112.08,138.55,91.05,"5,557,791","622,892,352.30","34,033"
21-Feb-2023,EQ,113.55,115.4,112.6,113.55,113.8,113.95,114.15,138.55,91.05,"4,220,675","481,778,498.75","19,055"
20-Feb-2023,EQ,115.95,116.0,113.25,115.6,113.55,113.55,114.21,138.55,91.05,"7,418,836","847,311,041.65","23,962"
17-Feb-2023,EQ,115.85,116.55,114.85,116.45,115.6,115.6,115.57,138.55,91.05,"3,000,421","346,761,718.40","17,700"
16-Feb-2023,EQ,116.5,117.1,115.6,115.85,116.35,116.45,116.44,138.55,91.05,"4,019,208","467,995,957.75","23,000"
15-Feb-2023,EQ,113.3,116.25,113.1,113.55,116.0,115.85,114.6,138.55,91.05,"5,573,008","638,690,619.20","24,646"
14-Feb-2023,EQ,114.3,114.3,110.45,114.05,113.45,113.55,112.26,138.55,91.05,"11,217,322","1,259,204,963.25","51,974"
13-Feb-2023,EQ,116.8,117.25,113.35,117.0,113.95,114.05,114.74,138.55,91.05,"5,926,426","680,021,201.35","32,279"
10-Feb-2023,EQ,117.0,118.2,116.5,117.3,117.15,117.0,116.99,141.3,91.05,"3,526,586","412,584,051.60","18,733"
09-Feb-2023,EQ,117.55,118.55,115.95,120.85,117.2,117.3,117.06,141.3,91.05,"6,545,269","766,192,840.00","28,866"
08-Feb-2023,EQ,121.25,121.5,119.75,120.6,120.9,120.85,120.73,141.3,91.05,"7,409,779","894,560,525.70","19,910"
07-Feb-2023,EQ,121.45,123.35,120.2,121.1,120.5,120.6,121.45,141.3,91.05,"9,355,097","1,136,220,860.05","43,604"
06-Feb-2023,EQ,119.35,121.5,119.0,118.75,121.15,121.1,120.65,141.3,91.05,"8,742,504","1,054,805,144.80","32,699"
03-Feb-2023,EQ,118.25,119.0,115.5,117.75,118.8,118.75,117.01,143.3,91.05,"6,938,807","811,893,619.90","32,703"
02-Feb-2023,EQ,117.4,120.25,116.25,117.45,118.0,117.75,118.15,143.3,91.05,"7,459,937","881,384,537.90","28,897"
01-Feb-2023,EQ,122.9,123.0,115.95,121.75,117.4,117.45,119.27,143.3,91.05,"14,504,365","1,729,937,439.25","53,599"
31-Jan-2023,EQ,116.15,122.1,114.0,115.95,121.75,121.75,119.37,143.3,91.05,"13,672,983","1,632,152,291.65","56,448"
30-Jan-2023,EQ,115.3,118.55,114.75,115.15,116.1,115.95,116.32,143.3,91.05,"7,768,757","903,641,423.05","36,160"
27-Jan-2023,EQ,120.5,120.95,112.05,120.5,115.35,115.15,115.14,143.3,91.05,"17,188,911","1,979,132,728.25","73,215"
25-Jan-2023,EQ,122.9,123.2,119.6,122.9,120.9,120.5,120.95,143.3,91.05,"10,632,753","1,286,055,124.60","31,360"
24-Jan-2023,EQ,124.75,124.85,122.35,124.35,123.0,122.9,123.3,143.3,91.05,"3,929,827","484,528,211.10","19,446"
23-Jan-2023,EQ,124.95,124.95,123.8,124.1,124.4,124.35,124.28,143.3,91.05,"3,611,592","448,832,970.75","16,208"
20-Jan-2023,EQ,123.95,125.5,123.35,123.55,124.0,124.1,124.55,143.3,91.05,"9,653,692","1,202,390,157.60","44,608"
19-Jan-2023,EQ,123.5,123.8,122.5,123.7,123.7,123.55,123.24,143.3,91.05,"3,815,492","470,217,228.70","14,290"
18-Jan-2023,EQ,123.5,124.35,122.95,123.1,123.5,123.7,123.53,143.3,91.05,"7,636,685","943,342,082.10","26,723"
17-Jan-2023,EQ,123.7,124.25,121.25,123.45,123.15,123.1,123.18,143.3,91.05,"6,968,664","858,401,131.30","30,184"
16-Jan-2023,EQ,123.0,124.4,122.25,122.8,123.05,123.45,123.36,143.3,91.05,"6,285,534","775,409,380.20","24,681"
13-Jan-2023,EQ,121.0,123.45,120.3,120.65,122.9,122.8,122.26,143.3,91.05,"5,902,262","721,624,295.00","26,004"
12-Jan-2023,EQ,122.0,122.15,119.35,121.75,120.65,120.65,120.7,143.3,91.05,"6,547,602","790,284,487.45","33,519"
11-Jan-2023,EQ,123.6,123.7,121.0,123.15,121.8,121.75,121.94,143.3,91.05,"7,187,284","876,386,946.35","29,397"
10-Jan-2023,EQ,125.65,125.8,122.1,125.55,123.15,123.15,123.59,143.3,91.05,"8,123,881","1,003,990,643.45","36,838"
09-Jan-2023,EQ,124.95,126.25,124.3,123.7,125.3,125.55,125.24,143.3,91.05,"8,916,789","1,116,782,103.50","40,165"
06-Jan-2023,EQ,124.35,126.1,122.6,123.85,123.9,123.7,124.41,143.3,91.05,"15,575,269","1,937,663,523.60","55,318"
05-Jan-2023,EQ,122.9,124.25,121.05,122.2,123.95,123.85,122.74,143.3,91.05,"9,774,790","1,199,769,664.25","40,368"
04-Jan-2023,EQ,122.85,123.85,119.95,123.0,121.9,122.2,122.14,143.3,91.05,"14,375,149","1,755,796,464.45","54,937"
03-Jan-2023,EQ,121.25,123.9,119.75,120.4,122.9,123.0,122.36,143.3,91.05,"27,524,213","3,367,821,855.95","88,043"
02-Jan-2023,EQ,117.8,120.75,117.0,116.5,120.3,120.4,119.17,143.3,91.05,"19,310,744","2,301,221,454.40","59,940"
30-Dec-2022,EQ,114.1,118.5,113.6,113.85,116.65,116.5,116.87,143.3,91.05,"16,350,601","1,910,857,963.85","55,082"
29-Dec-2022,EQ,113.0,114.05,111.5,113.35,113.95,113.85,112.87,143.3,91.05,"6,321,264","713,481,830.55","23,334"
28-Dec-2022,EQ,113.45,114.8,112.8,113.45,113.35,113.35,113.81,143.3,91.05,"5,763,285","655,898,899.35","25,056"
27-Dec-2022,EQ,114.5,115.45,112.3,114.0,113.6,113.45,113.5,143.3,91.05,"7,594,964","862,047,610.80","34,260"
26-Dec-2022,EQ,108.8,114.6,108.0,108.75,113.9,114.0,112.79,143.3,91.05,"11,744,504","1,324,644,759.80","47,275"
23-Dec-2022,EQ,112.0,112.45,108.25,112.5,109.0,108.75,109.91,143.3,91.05,"12,678,874","1,393,490,904.50","43,512"
22-Dec-2022,EQ,111.6,113.45,110.15,110.05,112.5,112.5,111.87,143.3,91.05,"17,816,529","1,993,174,040.80","51,499"
21-Dec-2022,EQ,112.8,112.95,109.8,112.25,110.1,110.05,110.83,143.3,91.05,"9,464,490","1,048,944,427.80","24,402"
20-Dec-2022,EQ,113.3,113.3,111.0,113.3,112.2,112.25,111.82,143.3,91.05,"5,323,451","595,292,659.70","20,222"
19-Dec-2022,EQ,111.0,113.8,111.0,110.9,113.4,113.3,112.68,143.3,91.05,"7,003,000","789,102,203.55","42,156"
16-Dec-2022,EQ,113.95,114.35,110.65,114.2,111.25,110.9,111.79,143.3,91.05,"9,252,067","1,034,327,885.95","41,668"
15-Dec-2022,EQ,113.5,115.6,112.85,113.3,114.0,114.2,114.54,143.3,91.05,"14,198,423","1,626,326,495.50","47,551"
14-Dec-2022,EQ,112.3,114.05,112.05,111.95,113.4,113.3,113.28,143.3,91.05,"7,451,278","844,063,001.25","29,527"
13-Dec-2022,EQ,112.7,113.0,111.15,112.55,112.2,111.95,111.66,143.3,91.05,"9,509,178","1,061,781,560.00","40,908"
12-Dec-2022,EQ,111.35,112.7,110.55,111.65,112.4,112.55,111.78,143.3,91.05,"7,912,674","884,446,992.20","30,410"
