Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,84.1,84.75,83.4,84.4,84.45,84.45,84.02,93.9,67.5,"9,941,493","835,286,409.95","21,017"
23-Jun-2023,EQ,84.55,85.35,83.8,85.15,84.2,84.4,84.66,93.9,63.6,"10,873,933","920,638,024.25","22,829"
22-Jun-2023,EQ,85.65,86.1,84.5,85.85,85.1,85.15,85.3,93.9,63.6,"10,984,829","936,978,780.10","21,782"
21-Jun-2023,EQ,86.05,86.45,85.0,86.0,85.8,85.85,85.8,93.9,63.6,"12,679,704","1,087,917,544.00","27,818"
20-Jun-2023,EQ,85.75,87.05,85.35,85.9,86.1,86.0,86.26,93.9,63.6,"18,507,799","1,596,534,668.10","36,691"
19-Jun-2023,EQ,85.6,86.45,85.2,85.15,85.95,85.9,85.89,93.9,63.6,"16,961,035","1,456,725,400.85","33,360"
16-Jun-2023,EQ,85.25,85.6,84.7,84.8,84.85,85.15,85.22,93.9,63.6,"11,501,358","980,110,849.05","28,189"
15-Jun-2023,EQ,84.85,85.2,83.9,84.75,84.7,84.8,84.62,93.9,63.6,"12,731,420","1,077,327,363.35","28,280"
14-Jun-2023,EQ,84.7,85.75,84.25,84.1,84.7,84.75,84.88,93.9,63.6,"20,418,160","1,732,991,636.40","37,345"
13-Jun-2023,EQ,83.75,84.95,83.75,83.55,84.35,84.1,84.29,93.9,63.6,"14,147,667","1,192,456,137.55","30,106"
12-Jun-2023,EQ,83.45,84.3,83.0,82.9,83.6,83.55,83.64,93.9,63.6,"10,006,837","836,964,559.55","23,416"
09-Jun-2023,EQ,84.2,84.2,82.4,84.05,82.95,82.9,82.96,93.9,63.6,"15,482,610","1,284,436,939.10","32,686"
08-Jun-2023,EQ,84.95,85.8,83.9,84.75,84.15,84.05,84.93,93.9,63.6,"17,361,553","1,474,494,298.15","38,872"
07-Jun-2023,EQ,83.4,85.0,83.15,83.2,84.75,84.75,84.21,93.9,63.6,"18,300,344","1,541,102,426.40","36,617"
06-Jun-2023,EQ,83.9,83.95,82.85,83.7,83.15,83.2,83.27,93.9,63.6,"9,032,643","752,192,585.65","25,696"
05-Jun-2023,EQ,83.9,84.2,83.1,83.6,83.65,83.7,83.59,93.9,63.6,"11,749,146","982,163,258.00","26,963"
02-Jun-2023,EQ,82.65,83.9,82.55,82.2,83.5,83.6,83.14,93.9,63.6,"12,665,361","1,052,951,586.25","26,412"
01-Jun-2023,EQ,82.5,82.95,81.8,82.5,82.2,82.2,82.28,93.9,63.6,"22,911,903","1,885,205,076.25","42,513"
31-May-2023,EQ,82.7,83.1,82.1,83.2,82.45,82.5,82.52,93.9,63.6,"12,966,397","1,070,023,964.15","27,415"
30-May-2023,EQ,84.4,84.55,83.0,84.3,83.4,83.2,83.81,93.9,63.6,"11,048,903","925,973,520.85","24,101"
29-May-2023,EQ,82.4,84.85,82.05,82.1,84.35,84.3,83.96,93.9,63.6,"20,634,118","1,732,461,646.50","41,862"
26-May-2023,EQ,80.85,82.7,80.45,82.25,82.1,82.1,81.52,93.9,63.6,"26,673,130","2,174,282,456.60","45,074"
25-May-2023,EQ,82.6,82.75,81.65,82.5,82.6,82.25,82.21,93.9,63.6,"9,575,601","787,213,011.15","24,114"
