Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,842.0,857.00,834.4,857.10,847.0,844.85,845.13,"1,028.65",695.55,"2,256,172","1,906,765,462.25","51,064"
23-Jun-2023,EQ,879.0,879.00,854.25,880.30,855.0,857.10,864.83,"1,028.65",655.7,"1,100,838","952,040,676.30","52,530"
22-Jun-2023,EQ,885.8,887.85,871.25,885.80,881.0,880.30,877.50,"1,028.65",655.7,"1,071,782","940,489,668.85","53,835"
21-Jun-2023,EQ,894.55,899.00,883.1,893.80,885.55,885.80,889.17,"1,028.65",655.7,"1,202,870","1,069,559,365.25","37,701"
20-Jun-2023,EQ,903.0,904.00,890.5,905.45,893.0,893.80,894.43,"1,028.65",655.7,"1,160,812","1,038,269,909.40","34,894"
19-Jun-2023,EQ,912.9,916.95,904.3,912.90,905.0,905.45,909.86,"1,028.65",655.7,"510,625","464,598,431.10","23,894"
16-Jun-2023,EQ,911.5,917.40,908.0,912.70,912.6,912.90,913.91,"1,028.65",655.7,"619,703","566,354,964.00","31,753"
15-Jun-2023,EQ,922.95,925.00,909.2,921.55,911.3,912.70,915.04,"1,028.65",655.7,"655,674","599,965,561.15","31,472"
14-Jun-2023,EQ,933.0,933.00,918.0,926.25,920.1,921.55,921.17,"1,028.65",655.7,"509,000","468,875,550.85","22,788"
13-Jun-2023,EQ,926.0,932.70,921.1,924.50,924.5,926.25,927.62,"1,028.65",655.7,"1,763,766","1,636,101,396.40","45,498"
12-Jun-2023,EQ,929.45,929.45,917.5,925.80,925.5,924.50,923.44,"1,028.65",655.7,"426,288","393,652,371.85","29,137"
09-Jun-2023,EQ,915.15,928.40,913.05,915.15,923.9,925.80,922.15,"1,028.65",655.7,"692,217","638,327,389.50","39,840"
08-Jun-2023,EQ,926.0,930.45,905.0,927.70,917.0,915.15,916.78,"1,028.65",655.7,"1,162,383","1,065,646,254.20","33,052"
07-Jun-2023,EQ,926.5,931.15,920.0,926.05,925.8,927.70,924.61,"1,028.65",655.7,"630,641","583,097,162.30","25,561"
06-Jun-2023,EQ,924.0,928.60,914.0,919.80,925.5,926.05,920.52,"1,028.65",655.7,"941,880","867,017,832.90","31,324"
05-Jun-2023,EQ,920.0,925.00,912.15,914.40,918.05,919.80,916.75,"1,028.65",655.7,"946,814","867,987,766.00","33,910"
02-Jun-2023,EQ,913.95,918.00,906.0,910.50,916.8,914.40,912.32,"1,028.65",655.7,"721,774","658,489,427.40","33,342"
01-Jun-2023,EQ,915.9,917.60,903.0,916.95,912.0,910.50,907.60,"1,028.65",655.7,"1,139,440","1,034,159,949.20","27,931"
31-May-2023,EQ,918.0,928.85,900.0,917.05,924.0,916.95,914.70,"1,028.65",655.7,"4,239,673","3,878,037,144.70","74,363"
30-May-2023,EQ,909.8,923.55,906.15,905.70,916.85,917.05,917.87,"1,028.65",655.7,"1,753,378","1,609,373,182.00","47,811"
29-May-2023,EQ,903.75,914.95,902.0,901.50,904.95,905.70,909.04,"1,028.65",655.7,"714,336","649,360,187.60","28,552"
26-May-2023,EQ,900.0,903.00,889.75,894.85,901.05,901.50,899.22,"1,028.65",655.7,"806,267","725,011,503.70","30,769"
25-May-2023,EQ,887.7,898.25,884.4,889.35,892.25,894.85,893.20,"1,028.65",655.7,"844,714","754,497,291.20","28,711"
24-May-2023,EQ,889.0,895.95,884.1,887.85,887.95,889.35,890.41,"1,028.65",655.7,"632,123","562,850,878.50","26,713"
23-May-2023,EQ,890.0,899.40,884.1,888.10,886.9,887.85,890.41,"1,028.65",655.7,"1,058,077","942,122,430.75","54,945"
22-May-2023,EQ,892.0,896.90,884.3,891.55,890.0,888.10,889.39,"1,028.65",655.7,"549,608","488,814,413.15","25,246"
19-May-2023,EQ,886.0,893.05,883.55,886.60,889.25,891.55,889.93,"1,028.65",655.7,"1,043,077","928,270,624.90","39,243"
18-May-2023,EQ,882.95,894.40,880.95,879.40,884.0,886.60,889.65,"1,028.65",655.7,"1,353,307","1,203,969,437.85","53,867"
17-May-2023,EQ,876.75,881.70,865.5,877.50,881.0,879.40,873.11,"1,028.65",655.7,"1,130,443","987,002,983.60","55,102"
16-May-2023,EQ,895.95,898.50,875.0,890.95,875.0,877.50,887.29,"1,028.65",655.7,"1,515,710","1,344,869,467.20","76,183"
15-May-2023,EQ,867.0,896.65,860.0,866.85,890.05,890.95,886.00,"1,028.65",655.7,"2,600,176","2,303,744,517.00","81,766"
12-May-2023,EQ,865.85,878.00,857.55,865.65,864.0,866.85,869.00,"1,028.65",655.7,"2,573,526","2,236,404,982.80","66,988"
11-May-2023,EQ,829.75,869.45,825.7,824.25,864.0,865.65,853.63,"1,028.65",655.7,"3,616,002","3,086,732,260.05","94,234"
10-May-2023,EQ,820.7,825.00,811.05,820.70,821.0,824.25,819.55,"1,028.65",655.7,"892,808","731,705,259.10","67,639"
09-May-2023,EQ,814.9,823.00,810.7,814.90,817.0,820.70,818.77,"1,028.65",655.7,"1,681,575","1,376,821,946.65","51,557"
08-May-2023,EQ,804.95,817.00,802.0,800.60,815.05,814.90,813.27,"1,028.65",655.7,"1,002,920","815,649,088.95","27,164"
05-May-2023,EQ,796.0,819.65,790.15,796.55,800.0,800.60,809.09,"1,028.65",655.7,"1,808,989","1,463,630,204.95","61,565"
04-May-2023,EQ,782.1,799.70,782.1,786.70,796.9,796.55,794.71,"1,028.65",655.7,"782,566","621,911,962.10","33,825"
03-May-2023,EQ,780.9,791.00,770.9,781.95,786.8,786.70,783.54,"1,028.65",655.7,"1,159,947","908,864,751.00","34,708"
02-May-2023,EQ,768.0,786.85,752.3,772.25,782.1,781.95,776.20,"1,028.65",655.7,"2,035,928","1,580,281,864.75","66,842"
28-Apr-2023,EQ,785.0,785.00,758.25,784.20,771.0,772.25,771.27,"1,028.65",655.7,"1,404,497","1,083,245,927.25","42,510"
27-Apr-2023,EQ,776.2,787.60,771.1,776.20,783.05,784.20,777.99,"1,028.65",655.7,"715,787","556,871,790.45","19,936"
26-Apr-2023,EQ,771.0,789.90,769.1,772.65,776.3,776.20,779.67,"1,028.65",655.7,"1,041,830","812,279,605.95","30,891"
25-Apr-2023,EQ,772.75,778.50,767.8,772.75,773.5,772.65,773.49,"1,028.65",655.7,"708,509","548,021,525.90","25,566"
24-Apr-2023,EQ,765.6,777.85,762.3,762.35,771.0,772.75,773.42,"1,028.65",655.7,"1,136,990","879,376,086.50","48,204"
21-Apr-2023,EQ,753.75,766.00,748.05,753.75,761.8,762.35,759.93,"1,028.65",655.7,"435,417","330,887,240.70","13,944"
20-Apr-2023,EQ,759.0,760.00,748.35,759.15,752.7,753.75,753.13,"1,028.65",655.7,"365,114","274,977,339.50","15,358"
19-Apr-2023,EQ,766.85,769.80,755.55,770.05,758.8,759.15,760.85,"1,028.65",655.7,"393,082","299,074,480.35","18,964"
18-Apr-2023,EQ,764.0,775.00,758.8,762.15,770.2,770.05,767.07,"1,028.65",655.7,"1,160,835","890,441,646.40","32,131"
