Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,266.95","1,276.20","1,263.20","1,262.70","1,267.00","1,266.35","1,269.02","1,340.35","1,051.55","1,009,927","1,281,617,511.60","32,771"
23-Jun-2023,EQ,"1,271.20","1,274.90","1,260.50","1,276.50","1,264.95","1,262.70","1,267.71","1,340.35","1,051.55","1,076,729","1,364,984,454.50","42,854"
22-Jun-2023,EQ,"1,295.90","1,306.00","1,272.95","1,294.95","1,276.65","1,276.50","1,290.51","1,340.35","1,051.55","556,505","718,174,667.75","30,080"
21-Jun-2023,EQ,"1,295.35","1,306.30","1,286.25","1,295.35","1,295.95","1,294.95","1,297.54","1,340.35","1,051.55","855,234","1,109,700,225.00","45,286"
20-Jun-2023,EQ,"1,281.85","1,306.80","1,280.50","1,280.50","1,291.45","1,295.35","1,297.06","1,340.35","1,051.55","1,474,323","1,912,292,701.70","76,541"
19-Jun-2023,EQ,"1,281.35","1,288.15","1,275.00","1,281.35","1,276.50","1,280.50","1,282.77","1,340.35","1,051.55","741,782","951,536,176.00","41,360"
16-Jun-2023,EQ,"1,241.00","1,291.95","1,236.05","1,241.10","1,281.25","1,281.35","1,276.08","1,340.35","1,051.55","2,049,003","2,614,683,367.95","71,724"
15-Jun-2023,EQ,"1,245.00","1,250.60","1,236.45","1,242.30","1,238.00","1,241.10","1,242.57","1,340.35","1,051.55","738,348","917,450,768.30","40,162"
14-Jun-2023,EQ,"1,240.10","1,254.95","1,227.65","1,243.30","1,240.00","1,242.30","1,239.09","1,340.35","1,051.55","713,768","884,420,801.30","30,546"
13-Jun-2023,EQ,"1,238.00","1,248.80","1,238.00","1,238.90","1,241.00","1,243.30","1,242.88","1,340.35","1,051.55","1,253,147","1,557,508,723.15","47,701"
12-Jun-2023,EQ,"1,242.20","1,256.30","1,234.85","1,232.40","1,236.80","1,238.90","1,245.81","1,340.35","1,051.55","1,402,903","1,747,753,898.80","57,074"
09-Jun-2023,EQ,"1,227.60","1,253.60","1,227.50","1,238.90","1,228.00","1,232.40","1,243.32","1,340.35","1,051.55","1,904,738","2,368,200,108.55","69,576"
08-Jun-2023,EQ,"1,247.70","1,254.75","1,234.05","1,245.80","1,242.00","1,238.90","1,245.45","1,340.35","1,051.55","760,962","947,736,384.75","40,444"
07-Jun-2023,EQ,"1,225.30","1,248.00","1,221.00","1,223.00","1,247.70","1,245.80","1,241.70","1,340.35","1,051.55","1,067,618","1,325,662,080.35","55,811"
06-Jun-2023,EQ,"1,219.85","1,225.00","1,210.10","1,215.40","1,224.50","1,223.00","1,218.04","1,340.35","1,051.55","793,761","966,828,683.20","30,459"
05-Jun-2023,EQ,"1,208.00","1,219.00","1,205.00","1,202.50","1,218.00","1,215.40","1,211.28","1,340.35","1,051.55","1,599,077","1,936,922,174.60","39,854"
02-Jun-2023,EQ,"1,211.80","1,216.20","1,199.25","1,207.75","1,203.50","1,202.50","1,205.99","1,340.35","1,051.55","737,046","888,866,840.40","41,604"
01-Jun-2023,EQ,"1,241.50","1,243.00","1,204.40","1,235.00","1,210.00","1,207.75","1,220.44","1,340.35","1,051.55","1,041,761","1,271,404,301.15","61,820"
31-May-2023,EQ,"1,215.55","1,239.65","1,211.95","1,215.90","1,238.00","1,235.00","1,232.41","1,340.35","1,051.55","2,382,996","2,936,820,465.10","64,165"
30-May-2023,EQ,"1,214.65","1,217.80","1,200.85","1,218.10","1,215.50","1,215.90","1,211.36","1,340.35","1,051.55","745,769","903,397,366.25","40,684"
29-May-2023,EQ,"1,198.95","1,231.90","1,197.10","1,195.75","1,215.00","1,218.10","1,218.41","1,340.35","1,051.55","1,370,649","1,670,009,822.75","53,039"
26-May-2023,EQ,"1,175.00","1,203.70","1,173.15","1,177.35","1,193.80","1,195.75","1,190.82","1,340.35","1,051.55","703,725","838,008,211.60","38,706"
25-May-2023,EQ,"1,175.35","1,182.00","1,171.50","1,175.35","1,181.80","1,177.35","1,175.54","1,340.35","1,051.55","1,136,179","1,335,627,293.20","41,474"
24-May-2023,EQ,"1,169.50","1,177.15","1,158.80","1,165.60","1,176.45","1,175.35","1,173.50","1,340.35","1,051.55","995,336","1,168,029,289.20","47,997"
23-May-2023,EQ,"1,147.00","1,167.85","1,144.85","1,150.80","1,166.45","1,165.60","1,158.98","1,340.35","1,051.55","1,139,676","1,320,865,004.40","49,755"
22-May-2023,EQ,"1,157.45","1,159.90","1,149.20","1,154.15","1,153.20","1,150.80","1,153.09","1,340.35","1,051.55","392,404","452,478,380.35","20,237"
19-May-2023,EQ,"1,152.70","1,157.70","1,142.55","1,152.70","1,155.55","1,154.15","1,149.78","1,340.35","1,034.15","333,053","382,936,451.75","26,287"
18-May-2023,EQ,"1,162.60","1,172.85","1,150.50","1,162.60","1,150.85","1,152.70","1,156.93","1,340.35","1,034.15","1,133,501","1,311,386,508.45","46,664"
17-May-2023,EQ,"1,182.80","1,184.95","1,159.20","1,180.75","1,161.25","1,162.60","1,166.91","1,340.35","1,034.15","688,730","803,689,147.15","55,632"
16-May-2023,EQ,"1,196.00","1,201.80","1,174.20","1,189.45","1,182.55","1,180.75","1,189.79","1,340.35","1,034.15","926,172","1,101,947,688.90","74,699"
15-May-2023,EQ,"1,181.10","1,194.50","1,181.10","1,187.05","1,183.25","1,189.45","1,190.03","1,340.35","1,034.15","680,497","809,812,995.40","43,012"
12-May-2023,EQ,"1,180.00","1,193.95","1,174.00","1,185.40","1,188.70","1,187.05","1,186.11","1,340.35","1,033.20","1,158,276","1,373,845,439.80","61,892"
11-May-2023,EQ,"1,189.10","1,195.80","1,179.05","1,188.80","1,181.25","1,185.40","1,186.02","1,340.35","1,033.20","621,616","737,247,438.20","29,706"
10-May-2023,EQ,"1,184.40","1,195.00","1,181.35","1,183.15","1,187.00","1,188.80","1,189.30","1,340.35","1,033.20","1,420,187","1,689,034,787.80","35,478"
09-May-2023,EQ,"1,183.95","1,189.95","1,176.90","1,182.35","1,185.00","1,183.15","1,183.63","1,340.35","1,033.20","1,412,254","1,671,591,594.95","63,604"
08-May-2023,EQ,"1,178.00","1,185.70","1,168.00","1,173.70","1,182.55","1,182.35","1,177.58","1,340.35","1,033.20","1,221,625","1,438,556,387.35","64,989"
05-May-2023,EQ,"1,172.00","1,183.25","1,167.50","1,167.45","1,176.00","1,173.70","1,175.73","1,340.35","1,033.20","1,360,996","1,600,167,500.45","52,059"
04-May-2023,EQ,"1,136.95","1,169.90","1,136.95","1,136.90","1,167.00","1,167.45","1,162.00","1,340.35","1,033.20","2,409,910","2,800,323,308.10","95,690"
03-May-2023,EQ,"1,148.50","1,150.10","1,134.30","1,150.90","1,135.15","1,136.90","1,138.52","1,340.35","1,033.20","623,440","709,796,236.70","40,183"
02-May-2023,EQ,"1,147.00","1,158.25","1,144.35","1,140.10","1,151.00","1,150.90","1,150.10","1,340.35","1,033.20","916,515","1,054,083,006.80","79,247"
28-Apr-2023,EQ,"1,148.00","1,148.00","1,130.15","1,137.05","1,140.00","1,140.10","1,139.07","1,340.35","1,033.20","1,380,448","1,572,431,844.75","84,018"
27-Apr-2023,EQ,"1,138.75","1,145.00","1,125.00","1,118.30","1,144.05","1,137.05","1,134.79","1,340.35","1,033.20","1,895,316","2,150,782,858.45","75,232"
26-Apr-2023,EQ,"1,106.00","1,122.00","1,104.00","1,105.85","1,121.05","1,118.30","1,116.12","1,340.35","1,033.20","993,607","1,108,979,711.25","41,278"
25-Apr-2023,EQ,"1,106.00","1,122.15","1,101.05","1,105.70","1,105.50","1,105.85","1,111.96","1,340.35","1,033.20","1,099,269","1,222,338,735.20","56,029"
24-Apr-2023,EQ,"1,106.00","1,113.65","1,090.60","1,106.55","1,106.50","1,105.70","1,100.49","1,340.35","1,033.20","1,337,055","1,471,413,626.90","61,803"
21-Apr-2023,EQ,"1,136.60","1,136.60","1,103.35","1,128.85","1,108.50","1,106.55","1,114.58","1,340.35","1,033.20","835,506","931,239,655.95","50,659"
20-Apr-2023,EQ,"1,123.40","1,131.80","1,112.50","1,123.40","1,131.35","1,128.85","1,123.69","1,340.35","1,033.20","663,526","745,599,358.60","33,756"
19-Apr-2023,EQ,"1,140.00","1,145.25","1,120.50","1,145.55","1,123.00","1,123.40","1,131.29","1,340.35","1,033.20","1,033,060","1,168,690,981.80","40,995"
18-Apr-2023,EQ,"1,145.35","1,153.30","1,140.10","1,145.35","1,145.00","1,145.55","1,146.89","1,340.35","1,033.20","521,013","597,542,029.60","26,215"
17-Apr-2023,EQ,"1,120.00","1,150.75","1,119.00","1,130.25","1,146.90","1,145.35","1,143.48","1,340.35","1,033.20","1,053,536","1,204,693,351.60","38,127"
13-Apr-2023,EQ,"1,126.85","1,139.00","1,123.50","1,126.85","1,130.00","1,130.25","1,129.78","1,340.35","1,033.20","1,508,398","1,704,161,014.40","38,758"
12-Apr-2023,EQ,"1,118.50","1,130.00","1,112.10","1,112.65","1,130.00","1,126.85","1,122.28","1,340.35","1,033.20","784,276","880,177,562.15","41,756"
11-Apr-2023,EQ,"1,110.90","1,131.85","1,108.40","1,106.25","1,115.00","1,112.65","1,116.39","1,340.35","1,033.20","913,188","1,019,476,066.60","46,673"
10-Apr-2023,EQ,"1,119.40","1,119.45","1,104.05","1,116.25","1,106.00","1,106.25","1,111.77","1,340.35","1,033.20","985,731","1,095,904,693.60","47,312"
06-Apr-2023,EQ,"1,108.90","1,120.00","1,105.00","1,105.55","1,116.00","1,116.25","1,113.73","1,340.35","1,033.20","959,185","1,068,270,434.00","31,658"
05-Apr-2023,EQ,"1,109.55","1,118.90","1,100.45","1,103.80","1,108.90","1,105.55","1,108.01","1,340.35","1,033.20","713,828","790,927,317.80","40,729"
03-Apr-2023,EQ,"1,100.00","1,126.80","1,091.80","1,101.10","1,105.00","1,103.80","1,106.38","1,340.35","1,033.20","1,689,388","1,869,108,857.15","45,709"
31-Mar-2023,EQ,"1,100.20","1,112.95","1,097.25","1,098.70","1,100.00","1,101.10","1,104.53","1,340.35","1,033.20","959,958","1,060,303,975.50","50,502"
29-Mar-2023,EQ,"1,094.00","1,106.00","1,083.25","1,091.30","1,102.00","1,098.70","1,093.44","1,340.35","1,033.20","890,212","973,397,193.80","42,238"
28-Mar-2023,EQ,"1,104.80","1,106.50","1,088.05","1,099.30","1,093.40","1,091.30","1,096.36","1,340.35","1,033.20","609,715","668,465,679.20","32,877"
27-Mar-2023,EQ,"1,109.70","1,116.60","1,095.10","1,112.20","1,099.40","1,099.30","1,107.34","1,340.35","1,033.20","1,078,978","1,194,793,631.95","27,343"
24-Mar-2023,EQ,"1,110.00","1,121.85","1,088.50","1,118.65","1,110.10","1,112.20","1,106.21","1,340.35","1,033.20","1,019,781","1,128,089,739.60","43,003"
23-Mar-2023,EQ,"1,113.80","1,125.55","1,105.00","1,113.10","1,113.20","1,118.65","1,119.52","1,340.35","1,033.20","463,672","519,088,461.45","25,246"
22-Mar-2023,EQ,"1,119.50","1,127.65","1,103.05","1,097.70","1,111.05","1,113.10","1,117.50","1,340.35","1,033.20","1,399,723","1,564,184,953.10","48,212"
21-Mar-2023,EQ,"1,075.05","1,099.70","1,075.05","1,074.10","1,098.45","1,097.70","1,092.04","1,340.35","1,033.20","842,669","920,231,565.60","44,658"
20-Mar-2023,EQ,"1,071.60","1,089.95","1,054.00","1,071.60","1,070.10","1,074.10","1,067.86","1,340.35","1,033.20","842,875","900,074,273.00","43,217"
17-Mar-2023,EQ,"1,068.00","1,091.10","1,066.15","1,062.65","1,074.00","1,071.60","1,075.62","1,340.35","1,033.20","1,569,036","1,687,688,904.30","46,029"
16-Mar-2023,EQ,"1,071.95","1,088.55","1,054.60","1,067.05","1,065.00","1,062.65","1,067.99","1,340.35","1,033.20","1,023,855","1,093,462,621.85","54,830"
15-Mar-2023,EQ,"1,080.00","1,081.40","1,062.00","1,077.10","1,068.00","1,067.05","1,071.54","1,340.35","1,033.20","1,566,147","1,678,187,234.20","105,042"
14-Mar-2023,EQ,"1,074.80","1,092.55","1,071.00","1,072.50","1,078.05","1,077.10","1,080.18","1,340.35","1,033.20","1,089,923","1,177,309,015.20","43,872"
13-Mar-2023,EQ,"1,092.00","1,101.40","1,066.15","1,095.90","1,077.00","1,072.50","1,078.30","1,340.35","1,033.20","875,379","943,922,768.50","38,394"
10-Mar-2023,EQ,"1,093.00","1,100.55","1,083.95","1,096.70","1,097.00","1,095.90","1,094.02","1,340.35","1,003.50","893,708","977,730,451.10","51,962"
09-Mar-2023,EQ,"1,129.20","1,134.70","1,092.00","1,129.20","1,097.50","1,096.70","1,108.43","1,340.35","1,003.50","1,239,659","1,374,072,789.50","50,571"
08-Mar-2023,EQ,"1,130.00","1,141.30","1,110.70","1,128.70","1,129.50","1,129.20","1,124.83","1,340.35","1,003.50","959,097","1,078,825,097.25","42,479"
06-Mar-2023,EQ,"1,132.00","1,145.95","1,125.00","1,129.25","1,132.10","1,128.70","1,136.45","1,340.35","1,003.50","920,574","1,046,186,006.85","36,451"
03-Mar-2023,EQ,"1,100.15","1,132.70","1,100.15","1,100.15","1,131.00","1,129.25","1,120.02","1,340.35","1,003.50","922,485","1,033,201,738.20","56,786"
02-Mar-2023,EQ,"1,121.70","1,123.00","1,098.10","1,118.15","1,100.05","1,100.15","1,107.05","1,340.35","1,003.50","491,880","544,538,041.10","30,527"
01-Mar-2023,EQ,"1,126.65","1,126.65","1,108.80","1,121.00","1,122.00","1,118.15","1,115.50","1,340.35","1,003.50","675,500","753,520,165.15","34,670"
28-Feb-2023,EQ,"1,131.40","1,134.90","1,109.05","1,129.15","1,116.35","1,121.00","1,122.58","1,340.35","1,003.50","1,219,508","1,368,993,196.60","39,260"
27-Feb-2023,EQ,"1,122.05","1,135.00","1,110.45","1,122.05","1,135.00","1,129.15","1,119.01","1,340.35","1,003.50","987,563","1,105,096,903.95","33,124"
24-Feb-2023,EQ,"1,136.10","1,142.35","1,119.20","1,135.40","1,126.75","1,122.05","1,129.89","1,340.35","1,003.50","973,799","1,100,282,061.05","35,405"
23-Feb-2023,EQ,"1,136.85","1,141.90","1,123.85","1,131.15","1,137.00","1,135.40","1,133.55","1,340.35","1,003.50","768,179","870,766,646.85","49,343"
22-Feb-2023,EQ,"1,148.90","1,148.95","1,125.15","1,150.35","1,132.05","1,131.15","1,131.95","1,340.35","1,003.50","944,068","1,068,633,594.00","44,880"
21-Feb-2023,EQ,"1,164.20","1,168.00","1,144.20","1,158.40","1,148.80","1,150.35","1,151.39","1,340.35","1,003.50","610,755","703,215,886.00","36,692"
20-Feb-2023,EQ,"1,144.00","1,170.65","1,141.15","1,149.70","1,156.65","1,158.40","1,157.22","1,340.35","1,003.50","488,052","564,784,672.85","23,371"
17-Feb-2023,EQ,"1,175.60","1,175.60","1,137.25","1,174.10","1,143.75","1,149.70","1,152.55","1,340.35","1,003.50","909,951","1,048,759,826.20","36,136"
16-Feb-2023,EQ,"1,186.30","1,186.30","1,169.55","1,180.35","1,174.00","1,174.10","1,175.31","1,340.35","1,003.50","356,750","419,291,053.10","24,540"
15-Feb-2023,EQ,"1,160.90","1,183.85","1,150.00","1,161.70","1,177.10","1,180.35","1,166.81","1,340.35","1,003.50","1,243,115","1,450,475,623.95","41,663"
14-Feb-2023,EQ,"1,178.00","1,181.45","1,155.10","1,179.10","1,160.90","1,161.70","1,164.68","1,340.35","1,003.50","990,530","1,153,654,068.25","51,030"
13-Feb-2023,EQ,"1,180.20","1,187.95","1,173.05","1,184.50","1,178.55","1,179.10","1,178.07","1,340.35","1,003.50","812,659","957,371,430.05","43,452"
10-Feb-2023,EQ,"1,179.85","1,187.50","1,167.05","1,180.45","1,181.85","1,184.50","1,180.12","1,340.35","1,003.50","1,655,228","1,953,362,308.70","52,557"
09-Feb-2023,EQ,"1,170.60","1,185.00","1,162.75","1,164.50","1,182.00","1,180.45","1,176.07","1,340.35","1,003.50","2,186,484","2,571,457,863.20","61,824"
08-Feb-2023,EQ,"1,140.00","1,172.00","1,135.15","1,131.75","1,164.20","1,164.50","1,159.23","1,340.35","1,003.50","3,265,863","3,785,879,052.85","144,422"
07-Feb-2023,EQ,"1,143.00","1,147.85","1,124.45","1,138.40","1,135.00","1,131.75","1,133.46","1,340.35","1,003.50","1,741,642","1,974,073,431.10","95,552"
06-Feb-2023,EQ,"1,127.20","1,146.85","1,115.00","1,138.05","1,142.45","1,138.40","1,131.54","1,340.35","1,003.50","2,909,587","3,292,311,863.10","120,041"
03-Feb-2023,EQ,"1,115.00","1,145.65","1,115.00","1,107.50","1,136.50","1,138.05","1,127.90","1,340.35","1,003.50","4,061,171","4,580,603,447.35","195,589"
02-Feb-2023,EQ,"1,090.20","1,155.00","1,088.75","1,109.40","1,111.00","1,107.50","1,115.88","1,340.35","1,003.50","8,566,734","9,559,418,133.60","252,076"
01-Feb-2023,EQ,"1,219.55","1,228.75","1,068.85","1,219.55","1,114.50","1,109.40","1,136.26","1,340.35","1,003.50","8,470,232","9,624,381,116.30","267,010"
31-Jan-2023,EQ,"1,243.70","1,243.70","1,212.55","1,233.45","1,220.00","1,219.55","1,220.52","1,340.35","1,003.50","1,760,628","2,148,877,053.30","93,114"
30-Jan-2023,EQ,"1,222.00","1,244.45","1,215.60","1,250.25","1,236.35","1,233.45","1,227.27","1,340.35","1,003.50","1,694,822","2,080,001,830.50","89,907"
27-Jan-2023,EQ,"1,263.70","1,291.50","1,230.00","1,257.45","1,245.05","1,250.25","1,247.99","1,340.35","1,003.50","1,164,597","1,453,408,925.45","94,501"
25-Jan-2023,EQ,"1,273.20","1,278.80","1,250.05","1,273.25","1,255.00","1,257.45","1,257.38","1,340.35","1,003.50","599,832","754,216,345.75","41,149"
24-Jan-2023,EQ,"1,296.00","1,301.00","1,270.20","1,295.40","1,272.65","1,273.25","1,280.10","1,340.35","1,003.50","657,428","841,576,752.55","58,632"
23-Jan-2023,EQ,"1,285.00","1,318.15","1,280.00","1,296.10","1,295.70","1,295.40","1,295.20","1,340.35","1,003.50","1,367,408","1,771,073,397.10","76,966"
20-Jan-2023,EQ,"1,324.05","1,325.95","1,292.35","1,323.10","1,296.60","1,296.10","1,302.46","1,340.35","1,003.50","966,855","1,259,287,611.15","67,594"
19-Jan-2023,EQ,"1,313.00","1,330.00","1,303.60","1,310.65","1,320.50","1,323.10","1,321.96","1,340.35","1,003.50","1,189,082","1,571,913,092.30","81,089"
18-Jan-2023,EQ,"1,309.00","1,322.00","1,302.15","1,298.45","1,310.00","1,310.65","1,311.43","1,340.35","1,003.50","1,078,873","1,414,868,081.90","66,944"
17-Jan-2023,EQ,"1,304.70","1,310.40","1,294.50","1,300.90","1,299.00","1,298.45","1,300.54","1,340.35","1,003.50","895,667","1,164,849,560.45","43,444"
16-Jan-2023,EQ,"1,319.55","1,322.75","1,295.00","1,312.95","1,300.00","1,300.90","1,305.88","1,340.35","1,003.50","600,742","784,495,232.85","33,384"
13-Jan-2023,EQ,"1,319.00","1,326.00","1,306.00","1,315.70","1,307.00","1,312.95","1,316.46","1,340.35","1,003.50","1,214,977","1,599,473,514.75","57,134"
12-Jan-2023,EQ,"1,291.30","1,320.00","1,291.30","1,291.30","1,316.00","1,315.70","1,308.03","1,340.35","1,003.50","1,377,949","1,802,394,539.80","73,178"
