Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,556.0,558.5,554.5,554.6,557.35,557.05,556.75,629.55,458.0,"8,360,264","4,654,618,050.30","164,198"
23-Jun-2023,EQ,562.0,562.1,553.8,562.95,555.45,554.6,556.89,629.55,430.7,"12,215,712","6,802,803,838.55","218,058"
22-Jun-2023,EQ,566.35,569.0,561.05,566.35,562.9,562.95,564.62,629.55,430.7,"14,979,063","8,457,457,302.25","199,200"
21-Jun-2023,EQ,567.4,569.5,565.65,567.4,566.3,566.35,567.46,629.55,430.7,"14,946,871","8,481,784,144.45","219,147"
20-Jun-2023,EQ,568.85,569.45,562.55,568.85,568.0,567.4,565.75,629.55,430.7,"14,549,152","8,231,166,324.45","216,416"
19-Jun-2023,EQ,571.25,572.75,565.9,571.25,569.2,568.85,568.29,629.55,430.7,"17,903,691","10,174,491,934.45","213,062"
16-Jun-2023,EQ,568.75,574.7,567.05,566.5,570.0,571.25,570.69,629.55,430.7,"12,660,226","7,225,083,719.50","178,755"
15-Jun-2023,EQ,576.0,576.7,565.25,576.55,566.75,566.5,571.49,629.55,430.7,"17,934,877","10,249,589,135.90","232,221"
14-Jun-2023,EQ,577.0,578.55,575.25,576.4,576.35,576.55,576.96,629.55,430.7,"8,948,696","5,163,047,228.70","122,388"
13-Jun-2023,EQ,579.45,581.4,574.25,578.65,576.35,576.4,576.44,629.55,430.7,"12,612,098","7,270,079,551.55","198,530"
12-Jun-2023,EQ,580.0,581.5,577.7,578.7,578.55,578.65,579.37,629.55,430.7,"8,786,066","5,090,356,083.85","129,364"
09-Jun-2023,EQ,588.0,589.1,576.75,588.5,578.8,578.7,580.81,629.55,430.7,"18,870,272","10,960,050,604.80","253,490"
08-Jun-2023,EQ,589.95,593.95,586.35,589.2,588.0,588.5,591.21,629.55,430.7,"15,971,917","9,442,724,430.85","140,988"
07-Jun-2023,EQ,588.0,590.6,586.0,585.35,588.8,589.2,588.49,629.55,430.7,"11,113,781","6,540,371,617.50","170,307"
06-Jun-2023,EQ,588.0,588.9,583.0,587.2,586.0,585.35,585.23,629.55,430.7,"11,199,940","6,554,543,425.95","140,444"
05-Jun-2023,EQ,588.5,589.8,586.0,587.2,587.0,587.2,587.86,629.55,430.7,"12,920,507","7,595,473,740.25","143,514"
02-Jun-2023,EQ,584.7,588.9,583.0,582.75,586.6,587.2,586.45,629.55,430.7,"11,323,908","6,640,901,519.45","157,397"
01-Jun-2023,EQ,581.8,586.4,581.0,579.85,583.05,582.75,584.03,629.55,430.7,"17,820,226","10,407,510,474.15","170,662"
31-May-2023,EQ,583.8,584.8,577.5,592.8,581.0,579.85,581.09,629.55,430.7,"28,797,643","16,733,958,686.45","209,733"
30-May-2023,EQ,595.0,595.5,591.5,595.0,592.95,592.8,593.57,629.55,430.7,"15,031,640","8,922,277,742.60","156,739"
29-May-2023,EQ,590.0,596.4,588.05,586.0,594.6,595.0,593.5,629.55,430.7,"18,432,231","10,939,616,927.30","323,484"
26-May-2023,EQ,581.25,587.75,580.55,581.25,585.75,586.0,585.13,629.55,430.7,"9,788,076","5,727,306,518.30","117,540"
25-May-2023,EQ,582.0,582.9,577.0,582.7,580.7,581.25,580.06,629.55,430.7,"16,479,436","9,559,118,791.75","151,117"
24-May-2023,EQ,579.8,585.25,578.25,581.6,582.0,582.7,583.06,629.55,430.7,"17,616,658","10,271,655,251.50","158,808"
23-May-2023,EQ,578.9,583.7,576.8,577.15,580.3,581.6,580.66,629.55,430.7,"16,120,548","9,360,557,915.40","154,666"
22-May-2023,EQ,577.5,580.3,573.45,575.15,576.55,577.15,577.12,629.55,430.7,"21,484,049","12,398,869,154.95","205,172"
19-May-2023,EQ,579.0,586.25,569.9,574.2,575.65,575.15,576.07,629.55,430.7,"42,293,962","24,364,273,546.75","351,340"
18-May-2023,EQ,590.3,593.9,571.4,586.3,576.35,574.2,583.0,629.55,430.7,"45,656,620","26,617,635,078.25","403,645"
17-May-2023,EQ,586.0,590.5,579.5,586.3,587.2,586.3,584.82,629.55,430.7,"23,739,774","13,883,395,488.50","251,054"
