Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,668.70","1,713.45","1,642.25","1,676.65","1,700.00","1,703.35","1,673.21","1,793.55","1,146.00","1,805,538","3,021,048,666.20","68,411"
23-Jun-2023,EQ,"1,693.05","1,708.55","1,641.85","1,718.75","1,669.00","1,676.65","1,670.18","1,793.55","1,116.45","5,355,116","8,944,023,438.90","187,773"
22-Jun-2023,EQ,"1,765.00","1,765.00","1,691.70","1,734.35","1,719.00","1,718.75","1,723.93","1,793.55","1,116.45","4,139,057","7,135,442,005.65","189,202"
21-Jun-2023,EQ,"1,715.60","1,793.55","1,675.00","1,559.65","1,732.10","1,734.35","1,723.59","1,793.55","1,116.45","13,465,423","23,208,863,967.45","304,635"
20-Jun-2023,EQ,"1,470.00","1,572.70","1,456.05","1,469.85","1,556.80","1,559.65","1,522.12","1,572.70","1,116.45","2,762,920","4,205,482,116.40","86,205"
19-Jun-2023,EQ,"1,473.00","1,500.90","1,452.80","1,401.50","1,471.00","1,469.85","1,469.88","1,509.00","1,116.45","3,194,059","4,694,882,410.45","95,841"
16-Jun-2023,EQ,"1,406.50","1,411.00","1,390.10","1,414.20","1,404.70","1,401.50","1,399.84","1,509.00","1,112.55","1,379,509","1,931,085,762.25","49,873"
15-Jun-2023,EQ,"1,414.00","1,420.00","1,404.00","1,407.80","1,413.80","1,414.20","1,412.87","1,509.00","1,112.55","549,578","776,483,640.95","32,122"
14-Jun-2023,EQ,"1,450.00","1,450.00","1,402.25","1,443.40","1,407.25","1,407.80","1,417.45","1,509.00","1,112.55","723,458","1,025,464,314.15","41,830"
13-Jun-2023,EQ,"1,458.10","1,461.00","1,435.00","1,452.35","1,443.00","1,443.40","1,446.60","1,509.00","1,112.55","660,172","955,003,543.70","43,147"
12-Jun-2023,EQ,"1,425.00","1,461.25","1,417.00","1,417.20","1,453.00","1,452.35","1,437.53","1,509.00","1,112.55","590,220","848,459,041.20","28,028"
09-Jun-2023,EQ,"1,410.00","1,438.80","1,409.00","1,410.95","1,414.60","1,417.20","1,424.87","1,509.00","1,112.55","487,176","694,160,630.25","18,499"
08-Jun-2023,EQ,"1,413.00","1,449.00","1,400.00","1,408.35","1,419.90","1,410.95","1,420.09","1,509.00","1,112.55","806,116","1,144,761,107.45","25,884"
07-Jun-2023,EQ,"1,400.00","1,426.00","1,390.00","1,408.90","1,403.00","1,408.35","1,410.67","1,509.00","1,112.55","759,808","1,071,836,248.25","24,878"
06-Jun-2023,EQ,"1,407.45","1,419.75","1,385.75","1,400.95","1,407.15","1,408.90","1,408.34","1,509.00","1,112.55","355,440","500,579,695.80","27,194"
05-Jun-2023,EQ,"1,421.00","1,427.15","1,397.65","1,413.35","1,402.00","1,400.95","1,406.95","1,509.00","1,112.55","502,008","706,301,581.65","33,169"
02-Jun-2023,EQ,"1,415.35","1,424.20","1,404.20","1,410.25","1,416.00","1,413.35","1,413.35","1,509.00","1,112.55","736,009","1,040,239,190.00","34,020"
01-Jun-2023,EQ,"1,399.75","1,418.50","1,399.75","1,399.75","1,415.35","1,410.25","1,412.10","1,509.00","1,112.55","580,575","819,832,362.90","34,952"
31-May-2023,EQ,"1,417.65","1,419.90","1,391.40","1,416.80","1,400.00","1,399.75","1,400.13","1,509.00","1,112.55","1,216,121","1,702,725,122.00","37,586"
30-May-2023,EQ,"1,411.50","1,421.20","1,405.70","1,408.80","1,414.15","1,416.80","1,413.96","1,509.00","1,112.55","789,757","1,116,686,403.25","56,377"
29-May-2023,EQ,"1,388.00","1,423.40","1,383.60","1,383.60","1,408.00","1,408.80","1,409.48","1,509.00","1,112.55","1,175,769","1,657,228,201.30","44,911"
26-May-2023,EQ,"1,375.35","1,386.15","1,365.00","1,375.35","1,381.90","1,383.60","1,376.48","1,509.00","1,100.00","524,563","722,049,083.60","20,826"
25-May-2023,EQ,"1,369.65","1,388.00","1,358.35","1,369.65","1,374.00","1,375.35","1,373.42","1,509.00","1,100.00","475,274","652,750,083.20","17,514"
24-May-2023,EQ,"1,362.70","1,390.00","1,356.20","1,363.30","1,369.60","1,369.65","1,368.71","1,509.00","1,100.00","998,284","1,366,359,936.40","25,929"
23-May-2023,EQ,"1,323.95","1,380.35","1,320.35","1,319.30","1,363.00","1,363.30","1,358.51","1,509.00","1,100.00","724,363","984,052,464.85","33,399"
22-May-2023,EQ,"1,336.00","1,337.90","1,306.00","1,339.30","1,318.00","1,319.30","1,317.64","1,509.00","1,100.00","744,812","981,394,037.65","22,008"
19-May-2023,EQ,"1,356.90","1,356.90","1,333.00","1,346.10","1,335.35","1,339.30","1,345.81","1,509.00","1,051.80","691,565","930,713,494.05","16,445"
18-May-2023,EQ,"1,352.45","1,357.00","1,329.45","1,344.20","1,351.25","1,346.10","1,342.84","1,509.00","1,051.80","637,838","856,513,219.30","23,837"
17-May-2023,EQ,"1,329.00","1,350.60","1,325.10","1,328.60","1,350.00","1,344.20","1,337.83","1,509.00","1,051.80","375,324","502,120,057.20","29,397"
16-May-2023,EQ,"1,350.00","1,360.30","1,325.00","1,340.60","1,326.15","1,328.60","1,341.65","1,509.00","1,051.80","1,007,426","1,351,615,269.90","43,949"
15-May-2023,EQ,"1,353.00","1,367.60","1,336.05","1,349.75","1,342.90","1,340.60","1,348.86","1,509.00","1,051.80","662,823","894,058,059.95","21,737"
12-May-2023,EQ,"1,364.95","1,374.65","1,341.00","1,364.30","1,348.00","1,349.75","1,358.29","1,509.00","1,047.10","373,700","507,594,598.80","23,074"
11-May-2023,EQ,"1,351.10","1,369.90","1,340.05","1,353.05","1,361.50","1,364.30","1,360.80","1,509.00","1,047.10","335,168","456,098,228.50","23,153"
10-May-2023,EQ,"1,361.00","1,361.00","1,330.50","1,348.25","1,350.65","1,353.05","1,347.45","1,509.00","1,047.10","544,299","733,415,594.25","29,354"
09-May-2023,EQ,"1,358.70","1,400.00","1,345.70","1,347.90","1,349.50","1,348.25","1,368.67","1,509.00","1,047.10","943,591","1,291,460,665.75","40,883"
08-May-2023,EQ,"1,329.00","1,355.00","1,318.85","1,318.85","1,350.00","1,347.90","1,344.88","1,509.00","1,047.10","629,269","846,292,237.80","28,415"
05-May-2023,EQ,"1,328.00","1,347.35","1,316.25","1,327.70","1,318.00","1,318.85","1,328.62","1,509.00","1,047.10","373,515","496,261,071.10","18,705"
04-May-2023,EQ,"1,326.00","1,331.00","1,316.00","1,319.05","1,329.00","1,327.70","1,324.44","1,509.00","1,047.10","521,108","690,177,215.55","36,806"
03-May-2023,EQ,"1,323.05","1,335.70","1,316.25","1,325.30","1,317.55","1,319.05","1,321.72","1,509.00","1,047.10","480,881","635,591,218.45","26,696"
02-May-2023,EQ,"1,348.90","1,353.30","1,321.65","1,332.60","1,322.10","1,325.30","1,336.53","1,509.00","1,047.10","889,058","1,188,256,910.35","41,278"
28-Apr-2023,EQ,"1,350.00","1,365.00","1,309.00","1,405.55","1,332.80","1,332.60","1,328.42","1,509.00","1,047.10","3,075,649","4,085,766,367.20","102,038"
27-Apr-2023,EQ,"1,400.00","1,412.00","1,382.00","1,406.15","1,405.00","1,405.55","1,400.19","1,509.00","1,047.10","1,071,163","1,499,836,550.60","37,989"
26-Apr-2023,EQ,"1,439.85","1,439.85","1,382.00","1,432.75","1,403.15","1,406.15","1,405.18","1,509.00","1,047.10","936,077","1,315,359,012.50","41,122"
25-Apr-2023,EQ,"1,399.70","1,469.30","1,395.10","1,392.60","1,430.00","1,432.75","1,417.32","1,509.00","1,047.10","2,292,627","3,249,376,759.15","74,739"
24-Apr-2023,EQ,"1,361.00","1,411.80","1,356.20","1,358.85","1,392.00","1,392.60","1,387.38","1,509.00","1,047.10","696,858","966,809,326.45","37,188"
21-Apr-2023,EQ,"1,355.40","1,361.75","1,341.05","1,339.35","1,361.00","1,358.85","1,351.10","1,509.00","1,047.10","306,722","414,411,288.60","13,696"
20-Apr-2023,EQ,"1,370.05","1,373.55","1,335.85","1,366.55","1,339.35","1,339.35","1,351.80","1,509.00","1,047.10","394,557","533,361,427.85","22,196"
19-Apr-2023,EQ,"1,347.35","1,369.90","1,337.55","1,339.20","1,362.00","1,366.55","1,359.28","1,509.00","1,047.10","529,941","720,336,734.20","26,851"
18-Apr-2023,EQ,"1,327.25","1,345.00","1,319.00","1,321.35","1,335.00","1,339.20","1,336.43","1,509.00","1,047.10","520,458","695,554,765.05","29,202"
17-Apr-2023,EQ,"1,300.00","1,327.00","1,295.90","1,296.60","1,325.00","1,321.35","1,317.40","1,509.00","1,047.10","585,482","771,311,100.45","30,510"
13-Apr-2023,EQ,"1,308.95","1,308.95","1,292.00","1,309.00","1,300.00","1,296.60","1,297.69","1,509.00","1,047.10","154,923","201,041,329.80","20,642"
12-Apr-2023,EQ,"1,299.00","1,312.00","1,288.55","1,295.30","1,309.35","1,309.00","1,303.46","1,509.00","1,047.10","536,120","698,810,846.10","18,538"
11-Apr-2023,EQ,"1,304.75","1,310.00","1,277.00","1,304.75","1,285.00","1,295.30","1,292.35","1,509.00","1,047.10","463,230","598,653,038.35","23,535"
10-Apr-2023,EQ,"1,303.85","1,307.00","1,285.05","1,303.85","1,303.00","1,304.75","1,302.04","1,509.00","1,047.10","126,077","164,157,722.50","11,614"
06-Apr-2023,EQ,"1,286.00","1,307.00","1,280.15","1,289.05","1,303.80","1,303.85","1,298.97","1,509.00","1,047.10","285,678","371,086,359.30","19,318"
05-Apr-2023,EQ,"1,281.00","1,294.20","1,274.45","1,286.45","1,287.70","1,289.05","1,283.94","1,509.00","1,047.10","342,106","439,243,454.55","21,672"
03-Apr-2023,EQ,"1,266.00","1,291.00","1,266.00","1,259.40","1,287.95","1,286.45","1,278.19","1,509.00","1,047.10","459,492","587,319,316.60","29,769"
31-Mar-2023,EQ,"1,253.00","1,281.90","1,253.00","1,251.80","1,260.25","1,259.40","1,268.90","1,509.00","1,047.10","897,987","1,139,454,741.20","50,159"
29-Mar-2023,EQ,"1,225.90","1,260.00","1,221.50","1,225.90","1,250.05","1,251.80","1,245.30","1,509.00","1,047.10","329,827","410,733,906.55","23,409"
28-Mar-2023,EQ,"1,211.05","1,234.30","1,202.15","1,209.40","1,226.00","1,225.90","1,216.65","1,509.00","1,047.10","521,025","633,907,474.30","29,609"
27-Mar-2023,EQ,"1,232.00","1,233.00","1,205.65","1,233.20","1,211.00","1,209.40","1,214.74","1,509.00","1,047.10","389,678","473,358,016.05","30,922"
24-Mar-2023,EQ,"1,254.30","1,259.30","1,225.00","1,260.55","1,230.00","1,233.20","1,238.06","1,509.00","1,047.10","858,054","1,062,324,025.30","33,792"
23-Mar-2023,EQ,"1,242.00","1,264.15","1,234.00","1,246.15","1,255.00","1,260.55","1,256.90","1,509.00","1,047.10","428,237","538,253,014.10","30,257"
22-Mar-2023,EQ,"1,261.95","1,264.80","1,241.70","1,260.50","1,245.00","1,246.15","1,253.40","1,509.00","1,047.10","362,950","454,922,933.70","15,723"
21-Mar-2023,EQ,"1,233.40","1,288.65","1,218.10","1,219.70","1,261.75","1,260.50","1,245.56","1,509.00","1,047.10","1,015,872","1,265,327,888.35","73,347"
20-Mar-2023,EQ,"1,274.90","1,274.90","1,203.55","1,246.00","1,218.15","1,219.70","1,223.38","1,509.00","1,047.10","680,483","832,488,596.40","30,550"
17-Mar-2023,EQ,"1,256.50","1,267.95","1,236.80","1,250.20","1,246.10","1,246.00","1,248.94","1,509.00","1,047.10","836,522","1,044,761,687.35","28,133"
16-Mar-2023,EQ,"1,232.00","1,260.85","1,228.70","1,229.55","1,248.15","1,250.20","1,246.69","1,509.00","1,047.10","797,714","994,502,666.75","45,959"
15-Mar-2023,EQ,"1,251.00","1,254.05","1,225.40","1,239.00","1,232.00","1,229.55","1,237.59","1,509.00","1,047.10","397,410","491,828,780.00","25,336"
14-Mar-2023,EQ,"1,251.05","1,258.00","1,223.00","1,258.05","1,236.05","1,239.00","1,238.38","1,509.00","1,047.10","628,358","778,146,512.55","27,506"
13-Mar-2023,EQ,"1,270.75","1,283.85","1,251.70","1,269.65","1,258.50","1,258.05","1,267.73","1,509.00","1,047.10","736,766","934,020,042.55","29,890"
10-Mar-2023,EQ,"1,284.95","1,285.00","1,258.45","1,290.40","1,267.80","1,269.65","1,269.95","1,509.00","1,002.00","289,325","367,428,502.55","22,157"
09-Mar-2023,EQ,"1,279.95","1,314.70","1,275.00","1,270.45","1,292.45","1,290.40","1,298.04","1,509.00","1,002.00","1,604,402","2,082,574,468.80","54,529"
