Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,679.95","3,713.00","3,645.10","3,675.70","3,695.50","3,699.35","3,678.43","3,938.40","2,340.35","214,506","789,046,250.45","22,520"
23-Jun-2023,EQ,"3,697.00","3,705.90","3,640.10","3,688.85","3,665.00","3,675.70","3,671.66","3,938.40","2,250.80","172,186","632,207,855.45","17,917"
22-Jun-2023,EQ,"3,808.00","3,810.00","3,680.40","3,802.25","3,692.80","3,688.85","3,721.97","3,938.40","2,250.80","347,354","1,292,840,906.65","29,043"
21-Jun-2023,EQ,"3,835.00","3,859.90","3,780.10","3,829.40","3,800.00","3,802.25","3,824.39","3,938.40","2,250.80","359,152","1,373,536,475.00","32,579"
20-Jun-2023,EQ,"3,830.00","3,840.00","3,795.40","3,807.70","3,833.00","3,829.40","3,815.42","3,938.40","2,250.80","319,316","1,218,326,040.95","26,732"
19-Jun-2023,EQ,"3,802.00","3,838.00","3,783.35","3,793.10","3,797.05","3,807.70","3,817.69","3,938.40","2,250.80","228,208","871,227,820.50","25,099"
16-Jun-2023,EQ,"3,746.65","3,799.00","3,740.00","3,751.70","3,790.00","3,793.10","3,778.13","3,938.40","2,250.80","306,264","1,157,103,771.55","25,117"
15-Jun-2023,EQ,"3,768.00","3,778.00","3,730.55","3,763.20","3,754.00","3,751.70","3,748.48","3,938.40","2,250.80","249,510","935,282,199.05","35,079"
14-Jun-2023,EQ,"3,749.00","3,769.35","3,726.60","3,734.40","3,746.00","3,763.20","3,750.63","3,938.40","2,250.80","248,920","933,607,197.70","24,157"
13-Jun-2023,EQ,"3,655.00","3,742.20","3,645.05","3,658.40","3,731.00","3,734.40","3,703.64","3,938.40","2,250.80","301,398","1,116,268,514.40","34,918"
12-Jun-2023,EQ,"3,679.00","3,679.95","3,638.00","3,658.55","3,654.00","3,658.40","3,659.60","3,938.40","2,250.80","120,613","441,395,079.55","15,085"
09-Jun-2023,EQ,"3,674.95","3,695.45","3,631.05","3,659.45","3,658.35","3,658.55","3,659.84","3,938.40","2,250.80","273,260","1,000,086,620.75","24,699"
08-Jun-2023,EQ,"3,668.95","3,673.60","3,612.05","3,653.90","3,662.00","3,659.45","3,650.49","3,938.40","2,250.80","395,757","1,444,708,630.45","20,375"
07-Jun-2023,EQ,"3,615.00","3,659.85","3,600.00","3,586.25","3,659.85","3,653.90","3,633.67","3,938.40","2,250.80","576,222","2,093,801,370.70","41,506"
06-Jun-2023,EQ,"3,525.05","3,593.00","3,516.20","3,522.00","3,591.00","3,586.25","3,561.76","3,938.40","2,250.80","310,048","1,104,316,220.20","23,983"
05-Jun-2023,EQ,"3,552.65","3,583.70","3,512.05","3,552.65","3,525.00","3,522.00","3,542.59","3,938.40","2,250.80","217,131","769,206,580.10","24,490"
02-Jun-2023,EQ,"3,539.00","3,569.95","3,526.70","3,534.30","3,548.00","3,552.65","3,555.40","3,938.40","2,250.80","233,641","830,686,633.60","18,736"
01-Jun-2023,EQ,"3,551.65","3,559.70","3,518.00","3,551.65","3,540.00","3,534.30","3,532.41","3,938.40","2,250.80","197,495","697,634,094.15","19,979"
31-May-2023,EQ,"3,560.00","3,578.60","3,522.85","3,559.70","3,553.10","3,551.65","3,550.55","3,938.40","2,250.80","1,927,298","6,842,976,256.05","50,864"
30-May-2023,EQ,"3,533.00","3,605.00","3,520.15","3,512.70","3,556.30","3,559.70","3,559.05","3,938.40","2,250.80","797,193","2,837,247,593.35","44,607"
29-May-2023,EQ,"3,550.00","3,554.00","3,491.00","3,519.40","3,513.00","3,512.70","3,515.90","3,938.40","2,250.80","497,135","1,747,879,077.20","26,887"
26-May-2023,EQ,"3,500.00","3,545.00","3,478.95","3,487.25","3,514.20","3,519.40","3,517.92","3,938.40","2,250.80","443,484","1,560,140,777.75","34,193"
25-May-2023,EQ,"3,438.00","3,498.55","3,418.30","3,431.00","3,483.00","3,487.25","3,469.08","3,938.40","2,250.80","735,424","2,551,247,583.20","59,044"
24-May-2023,EQ,"3,410.60","3,482.70","3,376.00","3,410.60","3,428.10","3,431.00","3,433.15","3,938.40","2,250.80","861,660","2,958,207,231.25","49,295"
23-May-2023,EQ,"3,416.95","3,432.00","3,368.05","3,399.70","3,409.95","3,410.60","3,402.34","3,938.40","2,250.80","1,031,482","3,509,448,322.45","63,025"
22-May-2023,EQ,"3,600.10","3,606.00","3,314.05","3,722.70","3,404.00","3,399.70","3,377.13","3,938.40","2,250.80","4,935,790","16,668,801,945.35","242,103"
19-May-2023,EQ,"3,841.15","3,878.00","3,619.05","3,832.25","3,631.60","3,722.70","3,781.37","3,938.40","2,250.80","737,307","2,788,033,508.60","40,484"
18-May-2023,EQ,"3,919.00","3,919.00","3,822.10","3,891.20","3,831.60","3,832.25","3,853.97","3,938.40","2,250.80","403,526","1,555,177,384.75","33,759"
17-May-2023,EQ,"3,888.00","3,918.40","3,840.55","3,872.00","3,892.35","3,891.20","3,879.23","3,938.40","2,250.80","373,120","1,447,419,642.90","42,325"
16-May-2023,EQ,"3,856.00","3,914.95","3,846.00","3,833.40","3,873.00","3,872.00","3,878.35","3,938.40","2,250.80","362,842","1,407,229,077.90","38,336"
15-May-2023,EQ,"3,914.00","3,925.30","3,819.25","3,891.05","3,841.00","3,833.40","3,852.15","3,938.40","2,250.80","472,666","1,820,779,111.45","56,491"
12-May-2023,EQ,"3,835.00","3,938.40","3,791.80","3,797.05","3,898.00","3,891.05","3,869.61","3,938.40","2,150.10","1,229,943","4,759,401,398.55","103,080"
11-May-2023,EQ,"3,721.40","3,812.00","3,708.50","3,714.45","3,795.50","3,797.05","3,771.12","3,812.00","2,150.10","516,601","1,948,163,530.20","49,747"
10-May-2023,EQ,"3,680.00","3,759.80","3,665.25","3,664.60","3,721.45","3,714.45","3,724.48","3,759.80","2,150.10","561,123","2,089,894,012.75","63,930"
09-May-2023,EQ,"3,723.00","3,724.25","3,632.40","3,689.75","3,650.15","3,664.60","3,687.20","3,724.25","2,150.10","474,423","1,749,291,303.70","52,480"
08-May-2023,EQ,"3,649.95","3,700.00","3,620.65","3,634.45","3,700.00","3,689.75","3,667.60","3,700.00","2,150.10","323,554","1,186,665,270.50","41,797"
05-May-2023,EQ,"3,589.95","3,644.10","3,581.00","3,578.35","3,640.00","3,634.45","3,622.83","3,644.10","2,150.10","349,447","1,265,987,076.65","42,026"
04-May-2023,EQ,"3,543.00","3,596.90","3,532.00","3,540.90","3,585.00","3,578.35","3,572.90","3,596.90","2,150.10","400,532","1,431,060,482.75","38,869"
03-May-2023,EQ,"3,500.00","3,548.50","3,470.40","3,500.10","3,535.00","3,540.90","3,523.44","3,548.50","2,150.10","347,080","1,222,915,035.40","35,083"
02-May-2023,EQ,"3,462.20","3,528.75","3,450.05","3,449.60","3,500.20","3,500.10","3,502.71","3,528.75","2,150.10","344,626","1,207,124,458.35","33,122"
28-Apr-2023,EQ,"3,450.00","3,468.95","3,431.05","3,439.45","3,457.00","3,449.60","3,448.57","3,482.00","2,150.10","451,470","1,556,924,221.40","27,034"
27-Apr-2023,EQ,"3,449.95","3,482.00","3,430.00","3,447.65","3,438.95","3,439.45","3,454.71","3,482.00","2,150.10","482,821","1,668,005,936.80","27,095"
26-Apr-2023,EQ,"3,337.95","3,456.35","3,335.05","3,331.35","3,446.80","3,447.65","3,403.73","3,456.35","2,150.10","722,630","2,459,635,199.50","38,771"
25-Apr-2023,EQ,"3,283.90","3,357.20","3,271.00","3,268.60","3,330.05","3,331.35","3,331.15","3,400.00","2,150.10","417,207","1,389,781,103.40","26,509"
24-Apr-2023,EQ,"3,250.00","3,285.00","3,246.05","3,249.45","3,276.95","3,268.60","3,266.15","3,400.00","2,150.10","128,145","418,540,876.90","17,060"
21-Apr-2023,EQ,"3,289.90","3,296.25","3,240.00","3,271.30","3,248.80","3,249.45","3,255.24","3,400.00","2,150.10","192,726","627,368,491.55","22,953"
20-Apr-2023,EQ,"3,277.00","3,301.15","3,262.90","3,261.75","3,265.00","3,271.30","3,277.69","3,400.00","2,150.10","192,813","631,981,916.10","18,834"
19-Apr-2023,EQ,"3,319.50","3,330.00","3,258.00","3,315.75","3,260.85","3,261.75","3,283.91","3,400.00","2,150.10","270,513","888,340,846.15","20,891"
18-Apr-2023,EQ,"3,352.90","3,362.85","3,305.20","3,339.65","3,309.00","3,315.75","3,328.98","3,400.00","2,150.10","236,426","787,056,308.05","19,932"
