Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,426.05,429.9,423.0,427.75,429.8,428.55,426.2,568.5,393.8,"521,373","222,210,589.80","12,968"
23-Jun-2023,EQ,443.75,446.8,426.1,439.75,427.25,427.75,433.37,568.5,393.8,"784,252","339,872,217.85","16,654"
22-Jun-2023,EQ,444.0,447.6,435.0,442.6,441.05,439.75,441.29,568.5,393.8,"543,909","240,022,776.10","12,975"
21-Jun-2023,EQ,443.0,452.4,442.0,443.25,442.8,442.6,445.99,568.5,393.8,"808,609","360,628,120.30","16,590"
20-Jun-2023,EQ,443.05,445.35,439.5,443.05,443.5,443.25,442.59,568.5,393.8,"377,917","167,262,203.25","10,193"
19-Jun-2023,EQ,445.0,446.95,440.85,444.85,444.35,443.05,443.64,568.5,393.8,"281,889","125,057,139.30","8,224"
16-Jun-2023,EQ,445.0,447.0,438.05,442.55,445.25,444.85,442.98,568.5,393.8,"626,596","277,567,589.75","16,498"
15-Jun-2023,EQ,446.8,449.95,441.5,447.1,442.0,442.55,445.42,568.5,393.8,"271,614","120,981,851.10","6,781"
14-Jun-2023,EQ,450.2,451.0,445.25,447.85,447.45,447.1,447.27,568.5,393.8,"199,015","89,012,705.05","6,882"
13-Jun-2023,EQ,445.0,451.15,444.2,444.65,448.4,447.85,447.93,568.5,393.8,"636,590","285,144,750.65","14,391"
12-Jun-2023,EQ,443.15,446.55,440.55,443.55,444.55,444.65,443.64,568.5,393.8,"815,858","361,948,449.80","10,823"
09-Jun-2023,EQ,449.75,451.9,442.35,449.0,443.3,443.55,445.42,568.5,393.8,"573,678","255,527,611.95","16,929"
08-Jun-2023,EQ,460.05,462.6,446.5,460.05,449.0,449.0,452.84,568.5,393.8,"658,572","298,225,519.75","18,148"
07-Jun-2023,EQ,462.1,467.4,458.95,463.65,461.95,460.05,461.67,568.5,393.8,"824,054","380,444,820.00","17,586"
06-Jun-2023,EQ,461.9,464.8,457.55,459.85,463.0,463.65,462.32,568.5,393.8,"569,099","263,104,813.85","14,192"
05-Jun-2023,EQ,459.8,464.0,456.5,456.0,458.95,459.85,460.59,568.5,393.8,"998,239","459,778,812.80","21,372"
02-Jun-2023,EQ,455.0,458.45,451.45,453.1,456.0,456.0,455.76,568.5,393.8,"671,483","306,035,153.15","10,549"
01-Jun-2023,EQ,447.8,454.3,445.5,444.2,452.0,453.1,450.74,568.5,393.8,"622,361","280,522,373.90","11,579"
31-May-2023,EQ,452.3,457.9,441.5,447.85,444.2,444.2,449.11,568.5,393.8,"1,322,231","593,830,080.05","26,694"
30-May-2023,EQ,447.85,450.8,445.0,447.2,448.4,447.85,447.73,568.5,393.8,"194,115","86,911,709.20","5,673"
29-May-2023,EQ,447.3,450.75,442.5,445.5,445.25,447.2,446.79,568.5,393.8,"349,888","156,326,004.00","7,633"
26-May-2023,EQ,442.6,451.1,439.1,440.7,447.0,445.5,445.38,568.5,393.8,"423,692","188,704,953.40","10,452"
25-May-2023,EQ,439.05,446.45,435.7,439.0,441.0,440.7,441.83,568.5,393.8,"612,144","270,463,245.35","15,070"
