Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,729.95,729.95,720.8,727.45,727.5,726.95,725.75,755.95,535.1,"306,744","222,619,141.70","10,831"
23-Jun-2023,EQ,728.0,728.95,717.05,728.2,727.0,727.45,723.44,755.95,530.1,"375,213","271,442,389.55","13,481"
22-Jun-2023,EQ,745.45,745.45,726.65,745.45,727.05,728.2,733.09,755.95,530.1,"318,517","233,502,497.25","12,571"
21-Jun-2023,EQ,751.3,751.75,742.9,748.4,745.9,745.45,745.73,755.95,530.1,"201,677","150,396,182.45","10,078"
20-Jun-2023,EQ,743.25,752.5,743.25,743.25,748.05,748.4,748.66,755.95,530.1,"200,016","149,744,948.05","13,053"
19-Jun-2023,EQ,742.0,750.6,741.55,742.4,743.0,743.25,746.39,755.95,530.1,"241,242","180,060,212.25","9,770"
16-Jun-2023,EQ,748.75,750.75,740.0,749.65,742.0,742.4,743.49,755.95,523.3,"264,238","196,457,097.15","15,246"
15-Jun-2023,EQ,743.6,755.95,743.45,743.5,749.0,749.65,750.92,755.95,523.3,"582,031","437,060,227.55","31,176"
14-Jun-2023,EQ,738.8,745.0,737.65,738.8,745.0,743.5,740.58,746.75,523.3,"224,554","166,300,393.25","16,187"
13-Jun-2023,EQ,738.9,741.2,733.95,735.8,739.15,738.8,737.18,746.75,523.3,"357,423","263,486,636.75","25,196"
12-Jun-2023,EQ,733.0,739.5,725.65,728.05,735.3,735.8,734.23,746.75,523.3,"409,823","300,902,837.75","20,955"
09-Jun-2023,EQ,723.05,736.8,721.0,723.2,730.0,728.05,729.98,746.75,521.35,"298,909","218,197,273.05","30,351"
08-Jun-2023,EQ,733.25,736.95,718.35,733.25,723.7,723.2,723.49,746.75,521.35,"464,498","336,061,502.65","23,206"
07-Jun-2023,EQ,740.95,746.75,730.05,734.5,732.85,733.25,736.43,746.75,521.35,"533,841","393,134,095.35","25,650"
06-Jun-2023,EQ,720.0,740.45,719.15,721.3,740.45,734.5,728.37,740.45,521.35,"429,117","312,555,227.60","23,202"
05-Jun-2023,EQ,722.0,725.35,719.3,720.5,723.0,721.3,721.82,729.9,521.35,"409,494","295,580,393.85","18,536"
02-Jun-2023,EQ,723.1,729.9,716.0,726.55,720.0,720.5,720.88,729.9,521.35,"552,699","398,428,359.35","21,218"
01-Jun-2023,EQ,729.0,729.65,720.0,725.0,723.1,726.55,725.18,729.65,521.35,"450,379","326,607,999.15","16,412"
31-May-2023,EQ,714.95,727.95,713.1,714.95,723.45,725.0,723.71,727.95,521.35,"1,302,002","942,272,354.50","24,972"
30-May-2023,EQ,711.5,723.1,708.7,714.5,716.75,714.95,715.41,724.5,521.35,"363,872","260,319,313.50","16,986"
29-May-2023,EQ,721.8,724.5,708.4,718.05,714.9,714.5,716.82,724.5,521.35,"336,097","240,922,010.40","24,723"
26-May-2023,EQ,712.7,723.8,710.85,712.75,720.0,718.05,718.7,723.8,510.05,"570,018","409,673,315.90","21,354"
25-May-2023,EQ,710.75,719.45,706.75,708.8,709.0,712.75,713.18,719.45,510.05,"520,663","371,326,440.55","24,484"
24-May-2023,EQ,696.7,715.0,696.0,699.25,707.8,708.8,708.58,718.9,510.05,"820,829","581,623,907.40","41,886"
23-May-2023,EQ,703.1,703.1,694.2,699.4,697.0,699.25,698.13,718.9,510.05,"402,249","280,823,924.85","14,912"
22-May-2023,EQ,691.0,701.9,690.95,701.0,697.35,699.4,698.2,718.9,510.05,"286,310","199,902,302.15","20,392"
19-May-2023,EQ,700.85,705.0,691.6,699.15,700.0,701.0,699.6,718.9,510.05,"467,474","327,043,110.25","14,198"
18-May-2023,EQ,693.0,709.0,692.15,691.85,701.45,699.15,699.04,718.9,510.05,"629,443","440,006,583.05","28,012"
17-May-2023,EQ,691.1,694.4,682.15,695.4,693.95,691.85,689.07,718.9,510.05,"479,899","330,683,144.45","22,260"
16-May-2023,EQ,698.5,700.7,691.95,699.2,693.75,695.4,696.55,718.9,510.05,"301,314","209,881,442.65","20,995"
15-May-2023,EQ,699.55,702.4,689.3,699.6,697.85,699.2,697.42,718.9,510.05,"492,725","343,637,114.15","24,518"
12-May-2023,EQ,709.5,718.9,697.85,707.9,700.85,699.6,708.86,718.9,510.05,"703,569","498,728,435.15","39,127"
11-May-2023,EQ,701.95,710.35,700.5,701.15,709.9,707.9,706.5,712.0,510.05,"559,967","395,616,412.95","22,290"
10-May-2023,EQ,703.0,709.2,694.55,702.4,701.6,701.15,700.36,712.0,510.05,"610,311","427,439,841.20","17,513"
09-May-2023,EQ,700.0,712.0,698.6,697.8,701.0,702.4,705.28,712.0,510.05,"1,054,242","743,537,302.20","35,645"
08-May-2023,EQ,696.4,708.8,690.55,695.55,697.1,697.8,698.1,708.8,510.05,"924,642","645,492,542.05","28,195"
05-May-2023,EQ,691.5,706.0,688.05,690.2,695.1,695.55,695.59,706.2,510.05,"1,141,273","793,853,880.05","42,618"
04-May-2023,EQ,689.0,698.5,684.3,689.25,690.4,690.2,691.98,706.2,510.05,"549,317","380,115,504.15","17,565"
03-May-2023,EQ,692.2,706.2,686.25,694.8,688.0,689.25,694.41,706.2,510.05,"1,037,899","720,728,133.45","40,134"
02-May-2023,EQ,677.8,699.5,677.8,677.0,693.5,694.8,694.5,699.5,510.05,"1,896,776","1,317,308,384.45","64,466"
28-Apr-2023,EQ,655.0,685.7,653.0,649.85,675.9,677.0,674.37,685.7,510.05,"2,793,922","1,884,139,222.50","87,634"
27-Apr-2023,EQ,644.6,660.0,632.0,624.4,649.0,649.85,646.91,660.0,510.05,"3,807,008","2,462,808,585.30","71,260"
26-Apr-2023,EQ,627.8,632.7,621.5,625.75,623.0,624.4,627.15,649.85,510.05,"447,898","280,899,180.50","17,178"
25-Apr-2023,EQ,621.5,630.6,619.0,620.1,626.95,625.75,625.97,649.85,510.05,"820,638","513,691,954.95","22,478"
24-Apr-2023,EQ,620.3,623.0,611.2,617.1,620.0,620.1,618.89,649.85,510.05,"336,799","208,442,163.45","10,888"
21-Apr-2023,EQ,619.55,620.7,612.0,616.5,615.6,617.1,616.06,649.85,510.05,"302,534","186,379,834.90","12,166"
20-Apr-2023,EQ,615.0,621.15,610.1,615.85,615.9,616.5,616.15,649.85,510.05,"289,870","178,603,943.05","14,326"
19-Apr-2023,EQ,620.7,626.65,614.1,617.85,614.55,615.85,621.62,649.85,510.05,"389,991","242,428,020.35","18,896"
18-Apr-2023,EQ,610.05,622.0,605.9,611.6,619.5,617.85,615.87,649.85,510.05,"481,929","296,805,400.95","27,386"
17-Apr-2023,EQ,615.0,620.8,609.0,616.15,609.0,611.6,616.79,649.85,510.05,"438,299","270,339,354.80","17,444"
13-Apr-2023,EQ,621.55,621.85,607.9,621.5,618.65,616.15,615.04,683.0,510.05,"770,915","474,146,594.95","21,028"
12-Apr-2023,EQ,611.2,623.65,610.85,611.2,621.5,621.5,620.05,683.0,510.05,"655,805","406,631,876.45","16,889"
11-Apr-2023,EQ,603.1,613.9,601.75,603.1,611.4,611.2,609.64,683.0,510.05,"617,898","376,696,172.40","21,596"
10-Apr-2023,EQ,604.65,605.85,595.8,604.65,603.0,603.1,600.92,683.0,510.05,"349,695","210,137,097.40","10,128"
06-Apr-2023,EQ,595.05,605.5,589.35,594.95,604.35,604.65,601.2,683.0,510.05,"461,840","277,660,431.60","17,202"
05-Apr-2023,EQ,586.15,598.1,582.55,586.15,596.3,594.95,591.75,683.0,510.05,"513,436","303,825,907.60","12,201"
03-Apr-2023,EQ,597.6,597.6,576.55,594.5,586.85,586.15,584.66,683.0,510.05,"580,729","339,526,490.15","19,709"
31-Mar-2023,EQ,578.95,601.5,578.05,578.95,592.2,594.5,593.9,683.0,510.05,"600,936","356,896,481.60","42,948"
29-Mar-2023,EQ,573.6,580.5,573.6,577.15,578.1,578.95,578.06,683.0,510.05,"227,435","131,470,191.95","16,535"
